date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-08-16,95.9,96.0,,,7461,,,,,,0.0,,,0.1,,,
2021-08-17,96.4,96.4,0.42,0.42,220,,,,,,0.42,,,0.13,,,
2021-08-18,96.4,96.6,0.21,0.0,12262,,,,,,0.62,,,0.14,,,
2021-08-19,96.6,96.4,-0.21,0.0,9616,,,,,,0.42,96.2,,0.16,,,
2021-08-20,96.55,96.5,0.1,0.16,866,,,,,,0.52,96.2,,0.16,,,
2021-08-23,96.6,96.6,0.1,0.1,1260,,0.62,,,,0.62,96.3,,0.16,,,
2021-08-24,96.5,96.7,0.1,-0.1,37717,,0.31,,,,0.73,96.4,,0.16,,,
2021-08-25,97.5,97.2,0.52,0.83,5041,,0.62,,,,1.25,96.8,,0.21,,,
2021-08-26,97.3,97.1,-0.1,0.1,20250,,0.73,,,,1.15,94.6,,0.22,,,
2021-08-27,97.1,97.0,-0.1,0.0,24418,,0.52,,,,1.04,92.3,,0.21,,,
2021-08-30,97.0,97.0,0.0,0.0,31467,,0.41,,,,1.04,92.3,,0.21,,,
2021-08-31,97.0,97.0,0.0,0.0,14999,,0.31,,,,1.04,92.3,,0.24,,,
2021-09-01,97.3,97.3,0.31,0.31,10905,,0.1,,,,1.35,93.0,,0.24,,,
2021-09-02,97.5,97.5,0.21,0.21,771,,0.41,,,,1.56,93.4,,0.26,,,
2021-09-03,97.5,97.5,0.0,0.0,48,,0.52,,,,1.56,93.4,,0.24,,,
2021-09-08,97.6,97.6,0.1,0.1,1070,,0.62,,,,1.67,93.6,,0.25,,,
2021-09-10,97.62,97.5,-0.1,0.02,1927,,0.52,,,,1.56,90.5,,0.24,,,
2021-09-13,97.6,97.5,0.0,0.1,10607,,0.21,,,,1.56,90.5,,0.27,,,
2021-09-17,97.9,97.9,0.41,0.41,10,,0.41,,,,1.98,91.8,,0.28,,,
2021-09-20,97.9,98.1,0.21,0.0,1936,0.2,0.62,,,,2.19,92.3,,0.3,,,0.0
2021-09-27,97.8,97.8,-0.31,-0.31,237,0.03,0.2,,,,1.88,83.4,,0.31,,,-0.31
2021-09-28,97.8,98.1,0.31,0.0,2025,0.22,0.62,2.19,,,2.19,85.0,0.21,0.31,,,0.0
2021-09-29,97.9,97.8,-0.31,-0.2,72,0.01,0.31,1.45,,,1.88,77.2,0.22,0.34,,,-0.31
2021-09-30,98.0,98.5,0.72,0.2,1451,0.17,0.61,1.97,,,2.6,81.4,0.26,0.41,,,0.0
2021-10-01,97.9,98.5,0.0,-0.61,3160,0.37,0.41,2.18,,,2.6,81.4,0.25,0.43,,,0.0
2021-10-04,98.5,98.6,0.1,0.0,20,0.0,0.82,2.18,,,2.71,82.0,0.25,0.41,,,0.0
2021-10-05,98.5,98.5,-0.1,-0.1,34,0.01,0.41,1.97,,,2.6,79.4,0.25,0.39,,,-0.1
2021-10-20,98.3,98.8,0.3,-0.2,5193,0.8,1.02,2.17,,,2.92,81.3,0.26,0.42,,,0.0
2021-10-21,97.9,98.3,-0.51,-0.91,62,0.01,-0.2,1.13,,,2.4,69.8,0.27,0.46,,,-0.51
2021-10-22,98.1,98.6,0.31,-0.2,11415,2.34,0.1,1.54,,,2.71,72.3,0.28,0.48,,,-0.2
2021-11-02,98.2,98.4,-0.2,-0.41,319,0.1,-0.2,1.44,,,2.5,68.2,0.28,0.49,,,-0.4
2021-11-03,98.0,98.4,0.0,-0.41,1148,0.44,-0.1,1.44,,,2.5,68.2,0.28,0.48,,,-0.4
2021-11-09,98.3,98.5,0.1,-0.1,381,0.18,-0.3,1.55,,,2.6,69.2,0.28,0.46,,,-0.3
2021-11-11,98.3,98.4,-0.1,-0.2,7576,3.11,0.1,1.13,,,2.5,66.9,0.28,0.44,,,-0.4
2021-11-12,98.65,98.65,0.26,0.26,23,0.01,0.05,1.18,,,2.76,69.7,0.28,0.43,,,-0.15
2021-11-16,98.6,98.6,-0.05,-0.05,25000,6.89,0.2,1.13,,,2.71,68.4,0.28,0.4,,,-0.2
2021-11-19,98.7,98.8,0.2,0.1,600,0.17,0.41,1.23,,,2.92,70.6,0.28,0.39,,,0.0
2021-11-22,98.7,98.9,0.1,-0.1,8576,2.48,0.41,1.44,,,3.02,71.7,0.28,0.37,,,0.0
2021-11-26,98.3,98.3,-0.61,-0.61,21,0.01,-0.1,0.82,,,2.4,58.1,0.31,0.39,,,-0.61
2021-11-30,98.8,100.0,1.73,0.51,5647,1.55,1.37,2.15,,,4.17,73.4,0.48,0.48,,,0.0
2021-12-01,99.2,99.3,-0.7,-0.8,155,0.04,0.71,1.22,,,3.44,63.2,0.51,0.53,,,-0.7
2021-12-06,99.0,99.0,-0.3,-0.3,120,0.03,0.2,1.23,,,3.12,59.4,0.51,0.51,,,-1.0
2021-12-08,98.8,98.4,-0.61,-0.2,10040,2.48,-0.51,0.31,,,2.5,52.5,0.53,0.52,,,-1.6
2021-12-09,98.7,98.8,0.41,0.3,300,0.08,0.51,1.02,,,2.92,56.1,0.53,0.51,,,-1.2
2021-12-10,98.2,98.2,-0.61,-0.61,20,0.01,-1.8,-0.3,,,2.29,50.0,0.52,0.52,,,-1.8
