date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,5.49,5.73,,,153381,,,,,,0.0,,,6.88,,,
2005-02-28,6.11,5.61,-2.14,6.59,75168,,,,,,-2.14,0.0,,7.27,,,
2005-03-01,5.51,5.65,0.78,-1.72,52275,,,,,,-1.37,2.7,,6.95,,,
2005-03-02,5.51,5.57,-1.56,-2.48,77537,,,,,,-2.91,2.5,,6.81,,,
2005-03-03,5.86,5.6,0.63,5.2,33336,,,,,,-2.3,4.8,,6.79,,,
2005-03-04,5.72,5.81,3.76,2.19,279685,,1.38,,,,1.38,17.1,,6.53,,,
2005-03-07,5.95,5.97,2.72,2.42,79922,,6.42,,,,4.14,24.9,,6.19,,,
2005-03-08,6.19,6.53,9.4,3.68,679673,,15.52,,,,13.93,44.8,,6.02,,,
2005-03-09,6.65,7.02,7.53,1.75,157104,,26.18,,,,22.51,55.9,,6.11,,,
2005-03-10,7.2,6.95,-0.99,2.5,65436,,24.15,,,,21.3,54.2,,6.49,,,
2005-03-11,6.58,7.27,4.54,-5.31,187828,,25.08,,,,26.8,60.0,,6.51,,,
2005-03-14,7.32,7.37,1.45,0.73,159461,,23.53,,,,28.64,61.7,,6.63,,,
2005-03-15,7.42,7.61,3.21,0.59,76771,,16.54,,,,32.78,65.4,,6.57,,,
2005-03-16,7.67,7.28,-4.38,0.8,31481,,3.63,,,,26.96,57.1,,6.98,,,
2005-03-17,7.39,7.47,2.65,1.57,58808,,7.44,,,,30.32,60.3,,6.74,,,
2005-03-18,7.58,7.62,1.99,1.53,51752,,4.83,,,,32.92,62.5,,6.54,,,
2005-03-21,7.64,7.52,-1.26,0.24,32439,,2.02,,,,31.25,60.1,,6.51,,,
2005-03-22,7.46,7.58,0.81,-0.82,67088,,-0.35,,,,32.32,61.2,,6.51,,,
2005-03-23,7.58,8.01,5.55,0.0,121187,,10.01,,,,39.67,67.3,,6.28,,,
2005-03-24,8.02,8.08,0.87,0.22,19237,0.16,8.11,,,,40.89,68.2,,5.99,,,0.0
2005-03-28,8.04,8.1,0.33,-0.43,119178,0.98,6.34,,,,41.35,68.6,,6.19,,,0.0
2005-03-29,7.98,7.72,-4.77,-1.52,22441,0.19,2.56,34.61,,,34.61,58.4,3.53,6.46,,,-4.77
2005-03-30,7.83,7.46,-3.3,1.48,34637,0.29,-1.62,33.02,,,30.17,52.8,3.6,6.56,,,-7.91
2005-03-31,7.55,7.75,3.88,1.18,127384,1.06,-3.18,37.11,,,35.23,57.7,3.63,6.48,,,-4.33
2005-04-01,7.89,7.78,0.34,1.81,119394,0.96,-3.69,39.75,,,35.69,58.2,3.58,6.62,,,-4.01
2005-04-04,7.78,7.97,2.48,0.0,24233,0.22,-1.63,42.32,,,39.06,61.3,3.57,6.47,,,-1.63
