date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-10-07,9.1,8.02,,,1767346,,,,,,0.0,,,24.81,,,
2016-10-10,8.0,8.0,-0.25,-0.25,261960,,,,,,-0.25,0.0,,23.44,,,
2016-10-11,8.0,7.5,-6.25,0.0,275773,,,,,,-6.48,0.0,,23.87,,,
2016-10-12,7.5,7.5,0.0,0.0,96729,,,,,,-6.48,0.0,,22.25,,,
2016-10-13,7.5,6.78,-9.6,0.0,127183,,,,,,-15.46,0.0,,24.41,,,
2016-10-14,6.58,6.5,-4.13,-2.95,112011,,-18.95,,,,-18.95,0.0,,24.22,,,
2016-10-17,6.65,6.69,2.92,2.31,148569,,-16.37,,,,-16.58,11.6,,22.32,,,
2016-10-18,6.75,6.62,-1.05,0.9,80403,,-11.73,,,,-17.46,11.1,,21.32,,,
2016-10-19,6.75,6.56,-0.91,1.96,21151,,-12.53,,,,-18.2,10.7,,20.36,,,
2016-10-20,6.41,6.61,0.76,-2.29,48236,,-2.51,,,,-17.58,13.7,,19.05,,,
2016-10-21,6.51,6.5,-1.66,-1.51,88729,,0.0,,,,-18.95,12.7,,18.21,,,
2016-10-24,6.54,6.46,-0.62,0.62,19128,,-3.44,,,,-19.45,12.3,,17.19,,,
2016-10-25,6.46,6.33,-2.01,0.0,57110,,-4.38,,,,-21.07,11.2,,16.79,,,
2016-10-26,6.29,7.36,16.27,-0.63,97969,,12.2,,,,-8.23,49.8,,14.48,,,
2016-10-27,7.3,7.5,1.9,-0.82,275204,,13.46,,,,-6.48,52.8,,13.95,,,
2016-10-28,7.51,6.82,-9.07,0.13,55218,,4.92,,,,-14.96,40.2,,15.21,,,
2016-10-31,6.88,6.66,-2.35,0.88,39632,,3.1,,,,-16.96,37.9,,14.8,,,
2016-11-01,6.4,7.25,8.86,-3.9,19043,,14.53,,,,-9.6,49.4,,13.51,,,
2016-11-02,7.42,6.98,-3.72,2.34,54118,,-5.16,,,,-12.97,45.3,,13.72,,,
2016-11-03,7.2,6.59,-5.59,3.15,68403,0.37,-12.13,,,,-17.83,40.1,,14.3,,,-17.83
2016-11-04,6.93,6.87,4.25,5.16,44340,0.45,0.73,,,,-14.34,44.9,,13.29,,,-14.34
2016-11-07,7.25,6.84,-0.44,5.53,23995,0.27,2.7,-14.71,,,-14.71,44.5,5.73,12.92,,,-14.71
2016-11-08,6.87,7.04,2.92,0.44,19299,0.26,-2.9,-12.0,,,-12.22,48.0,5.78,12.1,,,-12.22
2016-11-09,6.98,6.92,-1.7,-0.85,13190,0.19,-0.86,-7.73,,,-13.72,46.1,5.64,11.79,,,-13.72
2016-11-10,7.25,7.03,1.59,4.77,9626,0.15,6.68,-6.27,,,-12.34,48.1,5.65,11.14,,,-12.34
2016-11-11,7.0,6.8,-3.27,-0.43,9734,0.16,-1.02,0.29,,,-15.21,44.4,5.28,10.93,,,-15.21
2016-11-14,6.8,6.93,1.91,0.0,36062,0.67,1.32,6.62,,,-13.59,46.9,5.2,10.36,,,-13.59
2016-11-15,7.49,6.91,-0.29,8.08,33890,0.66,-1.85,3.29,,,-13.84,46.6,5.17,10.47,,,-13.84
2016-11-16,7.2,6.96,0.72,4.2,17634,0.34,0.58,5.14,,,-13.22,47.6,5.16,10.29,,,-13.22
2016-11-17,7.04,6.86,-1.44,1.15,22776,0.45,-2.42,4.57,,,-14.46,45.7,5.17,9.88,,,-14.46
2016-11-18,7.48,7.2,4.96,9.04,30719,0.65,5.88,8.93,,,-10.22,52.7,5.27,9.41,,,-10.22
2016-11-21,7.19,7.22,0.28,-0.14,36604,0.76,4.18,11.08,,,-9.98,53.0,5.24,8.93,,,-9.98
2016-11-22,7.2,7.23,0.14,-0.28,26974,0.58,4.63,11.92,,,-9.85,53.2,5.24,8.38,,,-9.85
2016-11-23,7.28,7.07,-2.21,0.69,136907,2.81,1.58,11.69,,,-11.85,49.6,5.24,8.35,,,-11.85
2016-11-25,7.07,7.29,3.11,0.0,9535,0.27,6.27,-0.95,,,-9.1,54.2,3.89,7.73,,,-9.1
2016-11-28,7.17,7.23,-0.82,-1.65,18361,0.55,0.42,-3.6,,,-9.85,52.8,3.87,7.52,,,-9.85
2016-11-29,7.17,7.33,1.38,-0.83,21103,0.65,1.52,7.48,,,-8.6,55.0,3.29,7.07,,,-8.6
