date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-06-30,11.91,12.29,,,4078369,,,,,,0.0,,,14.48,,,
2000-07-03,12.39,11.86,-3.5,0.76,902850,,,,,,-3.5,0.0,,14.43,,,
2000-07-05,11.7,11.12,-6.27,-1.4,3461625,,,,,,-9.55,0.0,,14.99,,,
2000-07-06,11.13,9.81,-11.73,0.09,4168792,,,,,,-20.16,0.0,,17.3,,,
2000-07-07,9.83,10.33,5.22,0.16,2247627,,,,,,-15.99,7.1,,16.07,,,
2000-07-10,10.25,10.76,4.16,-0.75,3274288,,-12.5,,,,-12.5,12.8,,15.62,,,
2000-07-11,10.57,10.44,-2.95,-1.77,3230702,,-12.0,,,,-15.08,12.2,,16.07,,,
2000-07-13,12.89,13.02,24.73,23.47,6833297,,17.11,,,,5.92,37.4,,13.78,,,
2000-07-14,13.04,11.91,-8.52,0.15,2092743,,21.37,,,,-3.1,33.0,,14.76,,,
2000-07-17,12.02,12.77,7.19,0.96,1829354,,23.64,,,,3.86,38.9,,13.82,,,
2000-07-18,12.51,13.54,6.03,-2.02,2511014,,25.85,,,,10.13,43.8,,13.06,,,
2000-07-19,13.64,14.26,5.33,0.75,3557619,,36.59,,,,16.0,47.9,,12.3,,,
2000-07-21,14.66,13.27,-6.9,2.81,1625320,,1.95,,,,7.99,43.2,,13.18,,,
2000-07-24,14.25,11.86,-10.64,7.36,3849755,,-0.41,,,,-3.5,37.5,,15.14,,,
2000-07-25,12.18,12.2,2.87,2.67,1841407,,-4.41,,,,-0.72,39.6,,14.34,,,
2000-07-26,12.24,11.36,-6.91,0.29,2230931,,-16.08,,,,-7.58,36.4,,15.12,,,
2000-07-27,11.27,10.42,-8.26,-0.83,2819384,,-26.91,,,,-15.21,33.2,,16.22,,,
2000-07-28,10.65,10.68,2.47,2.22,2102946,,-19.55,,,,-13.12,34.9,,15.35,,,
2000-07-31,10.74,9.85,-7.79,0.57,1926734,,-16.98,,,,-19.89,32.0,,16.18,,,
2000-08-01,10.03,9.32,-5.39,1.81,1036864,0.37,-23.65,,,,-24.21,30.4,,16.54,,,-34.66
2000-08-02,9.3,9.92,6.47,-0.2,2198938,0.82,-12.69,,,,-19.3,34.6,,15.18,,,-30.44
2000-08-03,9.7,11.56,16.53,-2.16,1738002,0.64,10.91,-5.96,,,-5.96,44.5,9.32,13.34,,,-18.94
2000-08-04,11.31,12.46,7.78,-2.17,1709714,0.65,16.65,5.02,,,1.35,49.0,9.43,12.15,,,-12.63
2000-08-07,12.68,11.86,-4.78,1.79,570828,0.23,20.46,6.69,,,-3.5,46.3,9.38,12.59,,,-16.81
2000-08-08,11.91,11.64,-1.83,0.41,375145,0.16,24.99,18.66,,,-5.27,45.3,8.96,12.29,,,-18.33
2000-08-09,11.88,11.34,-2.58,2.01,428012,0.19,14.37,9.86,,,-7.71,43.9,8.95,12.26,,,-20.44
2000-08-10,11.5,11.21,-1.16,1.36,348249,0.17,-2.99,4.25,,,-8.78,43.3,8.93,11.97,,,-21.36
2000-08-11,11.21,11.19,-0.23,0.0,155344,0.09,-10.2,7.17,,,-8.99,43.2,8.89,11.58,,,-21.54
2000-08-14,11.05,10.76,-3.85,-1.19,687690,0.41,-9.33,-17.39,,,-12.5,41.0,7.02,11.54,,,-24.57
2000-08-15,10.73,11.0,2.25,-0.24,236493,0.15,-5.55,-7.66,,,-10.52,42.8,6.81,10.81,,,-22.87
2000-08-16,11.04,11.84,7.62,0.41,858797,0.57,4.34,-7.29,,,-3.71,48.5,6.83,9.87,,,-16.99
