date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,19.51,19.6,,,540042,,,,,,0.0,,,1.1,,,
2005-02-28,19.33,19.54,-0.31,-1.39,439378,,,,,,-0.31,0.0,,1.19,,,
2005-03-01,19.54,19.6,0.31,0.0,383731,,,,,,0.0,7.1,,1.17,,,
2005-03-02,19.6,19.42,-0.92,0.0,308708,,,,,,-0.92,5.8,,1.18,,,
2005-03-03,19.57,19.3,-0.64,0.77,489865,,,,,,-1.55,5.1,,1.26,,,
2005-03-04,19.36,20.06,3.95,0.3,1287656,,2.34,,,,2.34,47.3,,1.43,,,
2005-03-07,20.0,19.9,-0.8,-0.32,443282,,1.84,,,,1.52,43.0,,1.43,,,
2005-03-08,19.93,19.58,-1.62,0.12,682593,,-0.12,,,,-0.12,35.9,,1.48,,,
2005-03-09,19.64,19.32,-1.31,0.28,253530,,-0.51,,,,-1.43,31.4,,1.52,,,
2005-03-10,19.33,19.08,-1.24,0.05,429845,,-1.12,,,,-2.66,27.9,,1.55,,,
2005-03-11,19.15,19.4,1.64,0.37,234610,,-3.32,,,,-1.06,37.7,,1.57,,,
2005-03-14,19.4,19.33,-0.33,0.0,235082,,-2.86,,,,-1.39,36.6,,1.53,,,
2005-03-15,19.37,19.25,-0.43,0.18,321524,,-1.69,,,,-1.81,35.1,,1.51,,,
2005-03-16,19.21,19.16,-0.46,-0.2,420777,,-0.84,,,,-2.26,33.7,,1.48,,,
2005-03-17,19.21,19.55,2.02,0.23,573182,,2.43,,,,-0.29,44.7,,1.53,,,
2005-03-18,19.6,19.51,-0.19,0.29,170375,,0.59,,,,-0.48,44.0,,1.51,,,
2005-03-21,19.51,19.37,-0.74,0.0,473922,,0.18,,,,-1.21,41.1,,1.53,,,
2005-03-22,19.42,19.39,0.12,0.29,316368,,0.73,,,,-1.1,41.7,,1.59,,,
2005-03-23,19.3,19.02,-1.91,-0.46,238681,,-0.74,,,,-2.98,34.9,,1.67,,,
2005-03-24,19.08,19.25,1.19,0.31,265101,0.62,-1.54,,,,-1.83,41.2,,1.7,,,-4.07
2005-03-28,19.33,19.18,-0.35,0.45,302921,0.73,-1.7,,,,-2.17,40.0,,1.71,,,-4.4
2005-03-29,19.15,18.88,-1.56,-0.13,324025,0.79,-2.52,-3.7,,,-3.7,34.9,1.39,1.76,,,-5.9
2005-03-30,18.88,18.9,0.1,0.0,805295,1.88,-2.53,-3.3,,,-3.6,35.5,1.39,1.73,,,-5.8
2005-03-31,18.83,18.46,-2.31,-0.37,404212,0.93,-2.93,-5.83,,,-5.83,29.3,1.46,1.82,,,-7.98
2005-04-01,18.52,17.83,-3.42,0.29,811857,1.81,-7.35,-8.2,,,-9.05,23.0,1.61,2.06,,,-11.13
2005-04-04,18.09,17.88,0.28,1.47,1005211,2.31,-6.77,-7.36,,,-8.79,24.4,1.61,2.23,,,-10.88
2005-04-05,18.19,17.98,0.58,1.73,1333615,2.78,-4.74,-10.36,,,-8.26,27.3,1.3,2.35,,,-10.36
2005-04-06,18.03,17.67,-1.74,0.25,1003806,2.02,-6.49,-11.21,,,-9.86,24.3,1.33,2.42,,,-11.92
