date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,9.0,9.12,,,144500,,,,,,0.0,,,2.19,,,
2005-02-28,9.0,9.09,-0.33,-1.32,291200,,,,,,-0.33,0.0,,2.23,,,
2005-03-01,9.01,8.82,-2.97,-0.88,452700,,,,,,-3.29,0.0,,2.6,,,
2005-03-02,8.76,8.65,-1.93,-0.68,198600,,,,,,-5.15,0.0,,2.72,,,
2005-03-03,8.7,8.79,1.62,0.58,126000,,,,,,-3.62,16.1,,2.83,,,
2005-03-04,8.87,8.74,-0.57,0.91,139700,,-4.17,,,,-4.17,15.2,,2.93,,,
2005-03-07,8.73,8.82,0.92,-0.11,93500,,-2.97,,,,-3.29,23.0,,2.91,,,
2005-03-08,8.79,8.6,-2.49,-0.34,85000,,-2.49,,,,-5.7,18.1,,3.05,,,
2005-03-09,8.61,8.48,-1.4,0.12,103900,,-1.97,,,,-7.02,16.1,,3.08,,,
2005-03-10,8.5,8.24,-2.83,0.24,231000,,-6.26,,,,-9.65,13.0,,3.28,,,
2005-03-11,8.18,8.04,-2.43,-0.73,232700,,-8.01,,,,-11.84,11.0,,3.45,,,
2005-03-14,8.0,8.2,1.99,-0.5,153100,,-7.03,,,,-10.09,21.1,,3.51,,,
2005-03-15,8.21,8.42,2.68,0.12,246600,,-2.09,,,,-7.68,32.4,,3.47,,,
2005-03-16,8.25,8.23,-2.26,-2.02,100600,,-2.95,,,,-9.76,28.6,,3.53,,,
2005-03-17,8.27,8.18,-0.61,0.49,53700,,-0.73,,,,-10.31,27.7,,3.42,,,
2005-03-18,8.27,8.1,-0.98,1.1,200900,,0.75,,,,-11.18,26.2,,3.39,,,
2005-03-21,8.14,8.22,1.48,0.49,73700,,0.24,,,,-9.87,32.0,,3.28,,,
2005-03-22,8.18,8.19,-0.36,-0.49,46900,,-2.73,,,,-10.2,31.3,,3.27,,,
2005-03-23,8.19,8.34,1.83,0.0,94300,,1.34,,,,-8.55,38.2,,3.44,,,
2005-03-24,8.4,8.29,-0.6,0.72,104100,0.66,1.34,,,,-9.1,36.9,,3.45,,,-9.1
2005-03-28,8.29,8.27,-0.24,0.0,154800,0.97,2.1,,,,-9.32,36.3,,3.35,,,-9.32
2005-03-29,8.23,8.01,-3.14,-0.48,73100,0.49,-2.55,-12.17,,,-12.17,30.1,1.8,3.59,,,-12.17
2005-03-30,8.0,8.21,2.5,-0.12,117600,0.89,0.24,-9.68,,,-9.98,38.8,1.92,3.45,,,-9.98
2005-03-31,8.2,8.21,0.0,-0.12,94500,0.75,-1.56,-6.92,,,-9.98,38.8,1.83,3.31,,,-9.98
2005-04-01,8.19,7.96,-3.05,-0.24,287300,2.14,-3.98,-7.98,,,-12.72,32.9,1.9,4.0,,,-12.72
2005-04-04,7.4,7.6,-4.52,-7.04,376800,2.58,-8.1,-13.54,,,-16.67,26.6,2.04,4.45,,,-16.67
2005-04-05,7.6,7.64,0.53,0.0,305700,1.95,-4.62,-12.59,,,-16.23,28.2,2.06,4.33,,,-16.23
2005-04-06,7.7,7.45,-2.49,0.79,87200,0.56,-9.26,-15.53,,,-18.31,25.3,2.06,4.46,,,-18.31
2005-04-07,7.46,7.6,2.01,0.13,137300,0.87,-7.43,-11.63,,,-16.67,31.3,2.11,4.29,,,-16.67
2005-04-08,7.6,7.4,-2.63,0.0,188600,1.21,-7.04,-12.74,,,-18.86,28.1,2.15,4.29,,,-18.86
2005-04-11,7.41,7.49,1.22,0.14,284500,1.79,-1.45,-9.1,,,-17.87,31.5,2.13,4.19,,,-17.87
2005-04-12,7.43,7.5,0.13,-0.8,135400,0.86,-1.83,-6.72,,,-17.76,31.9,2.08,4.01,,,-17.76
2005-04-13,7.45,7.27,-3.07,-0.67,245900,1.55,-2.42,-11.34,,,-20.29,28.0,2.09,4.15,,,-20.29
2005-04-14,7.26,7.28,0.14,-0.14,238200,1.44,-4.21,-13.54,,,-20.18,28.4,1.97,4.02,,,-20.18
2005-04-15,7.29,7.21,-0.96,0.14,194700,1.13,-2.57,-12.39,,,-20.94,27.2,1.93,3.93,,,-20.94
2005-04-18,7.2,6.95,-3.61,-0.14,427600,2.33,-7.21,-15.04,,,-23.79,23.3,2.04,4.12,,,-23.79
2005-04-19,7.0,6.95,0.0,0.72,315800,1.62,-7.33,-14.2,,,-23.79,23.3,2.05,4.09,,,-23.79
2005-04-20,7.07,6.6,-5.04,1.73,256300,1.24,-9.22,-19.71,,,-27.63,19.1,2.19,4.64,,,-27.63
2005-04-21,6.68,7.0,6.06,1.21,254200,1.19,-3.85,-14.53,,,-23.25,33.9,2.68,4.51,,,-23.25
2005-04-22,7.0,7.08,1.14,0.0,217500,0.99,-1.8,-15.11,,,-22.37,36.4,2.65,4.42,,,-22.37
2005-04-25,7.06,7.01,-0.99,-0.28,117700,0.54,0.86,-15.44,,,-23.14,35.1,2.65,4.66,,,-23.14
2005-04-26,6.97,6.91,-1.43,-0.57,119400,0.54,-0.58,-16.44,,,-24.23,33.4,2.65,4.85,,,-24.23
2005-04-27,6.85,6.97,0.87,-0.87,130700,0.59,5.61,-12.98,,,-23.57,35.5,2.62,4.71,,,-23.57
2005-04-28,6.97,6.75,-3.16,0.0,139000,0.62,-3.57,-17.78,,,-25.99,31.5,2.57,4.83,,,-25.99
2005-04-29,6.75,6.75,0.0,0.0,134200,0.62,-4.66,-17.78,,,-25.99,31.5,2.57,4.63,,,-25.99
2005-05-02,6.7,6.83,1.19,-0.74,225500,1.09,-2.57,-14.2,,,-25.11,34.6,2.56,4.51,,,-25.11
