date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-03-28,9.74,9.74,,,1325,,,,,,0.0,,,0.0,,,
2019-03-29,9.74,9.76,0.17,-0.0,50100,,,,,,0.17,,,0.01,,,
2019-04-01,9.75,9.75,-0.07,-0.07,12400,,,,,,0.1,97.0,,0.02,,,
2019-04-02,9.75,9.77,0.16,0.0,288592,,,,,,0.26,97.2,,0.04,,,
2019-04-03,11.72,9.81,0.46,20.02,548000,,,,,,0.72,97.7,,1.46,,,
2019-04-04,9.82,9.78,-0.31,0.1,5990,,0.41,,,,0.41,86.5,,1.42,,,
2019-04-05,9.78,9.78,0.0,0.0,5000,,0.24,,,,0.41,86.5,,1.31,,,
2019-04-08,9.77,9.77,-0.1,-0.1,101318,,0.21,,,,0.31,82.8,,1.26,,,
2019-04-09,9.77,9.77,0.0,0.0,25800,,0.05,,,,0.31,82.8,,1.17,,,
2019-04-10,9.79,9.76,-0.11,0.2,356669,,-0.51,,,,0.2,78.8,,1.12,,,
2019-04-11,9.78,9.78,0.21,0.21,624,,0.0,,,,0.41,80.8,,1.06,,,
2019-04-12,9.79,9.79,0.1,0.1,476216,,0.1,,,,0.51,81.7,,1.01,,,
2019-04-15,9.78,9.85,0.61,-0.1,183420,,0.82,,,,1.13,85.9,,0.98,,,
2019-04-16,9.82,9.83,-0.2,-0.3,8458,,0.61,,,,0.92,79.3,,0.93,,,
2019-04-17,9.83,9.8,-0.31,0.0,50450,,0.41,,,,0.61,70.5,,0.89,,,
2019-04-22,9.83,9.81,0.1,0.31,4500,,0.31,,,,0.72,71.7,,0.85,,,
2019-04-23,9.82,9.82,0.1,0.09,10000,,0.31,,,,0.82,72.8,,0.8,,,
2019-04-24,9.82,9.82,0.0,0.0,11500,,-0.3,,,,0.82,72.8,,0.75,,,
2019-04-25,9.82,9.82,-0.01,0.0,1400,,-0.11,,,,0.81,72.4,,0.71,,,
2019-04-26,9.79,9.81,-0.09,-0.31,227490,1.92,0.1,,,,0.72,69.4,,0.68,,,-0.41
2019-04-29,9.8,9.81,0.0,-0.1,1543424,7.89,0.0,,,,0.72,69.4,,0.64,,,-0.41
2019-04-30,10.1,9.81,0.0,2.96,5202,0.03,-0.1,0.72,,,0.72,69.4,0.22,0.81,,,-0.41
2019-05-01,9.81,9.79,-0.2,0.0,259300,1.26,-0.31,0.34,,,0.51,62.1,0.22,0.77,,,-0.61
2019-05-03,9.82,9.81,0.2,0.26,1106,0.01,-0.09,0.62,,,0.72,65.9,0.22,0.73,,,-0.41
2019-05-06,9.78,9.82,0.1,-0.31,58702,0.35,0.1,0.56,,,0.82,67.7,0.22,0.71,,,-0.3
2019-05-07,9.82,9.82,0.0,0.0,10000,0.06,0.1,0.1,,,0.82,67.7,0.2,0.66,,,-0.3
2019-05-08,9.83,9.8,-0.2,0.1,582305,2.97,-0.1,0.2,,,0.61,60.4,0.19,0.63,,,-0.51
2019-05-09,9.75,9.82,0.2,-0.51,31200,0.16,0.31,0.41,,,0.82,64.5,0.2,0.64,,,-0.3
2019-05-10,9.82,9.82,0.0,0.0,500205,2.31,0.1,0.51,,,0.82,64.5,0.2,0.59,,,-0.3
2019-05-13,9.8,9.8,-0.2,-0.2,238,0.0,-0.2,0.31,,,0.61,57.6,0.2,0.56,,,-0.51
2019-05-14,9.8,9.8,0.05,0.0,1146,0.01,-0.15,0.47,,,0.67,58.8,0.2,0.53,,,-0.46
2019-05-15,9.8,9.8,-0.05,-0.05,300367,1.58,0.0,0.2,,,0.61,57.1,0.2,0.5,,,-0.51
2019-05-16,9.8,9.79,-0.1,0.0,5501,0.03,-0.31,0.0,,,0.51,53.7,0.2,0.47,,,-0.61
2019-05-17,9.8,9.8,0.1,0.1,21704,0.12,-0.2,-0.51,,,0.61,56.5,0.14,0.47,,,-0.51
2019-05-20,9.8,9.8,0.0,0.0,9175,0.05,0.0,-0.31,,,0.61,56.5,0.13,0.45,,,-0.51
2019-05-21,9.78,9.8,0.0,-0.2,603,0.0,-0.05,0.0,,,0.61,56.5,0.12,0.43,,,-0.51
2019-05-23,9.71,9.8,0.0,-0.92,2009,0.01,0.0,-0.1,,,0.61,56.5,0.11,0.46,,,-0.51
2019-05-24,9.78,9.79,-0.1,-0.2,10201,0.06,0.0,-0.31,,,0.51,52.2,0.11,0.47,,,-0.61
2019-05-29,9.76,9.76,-0.31,-0.31,2316,0.01,-0.41,-0.61,,,0.2,42.0,0.13,0.47,,,-0.91
2019-05-30,9.78,9.79,0.31,0.2,11508,0.07,-0.1,-0.3,,,0.51,52.1,0.15,0.48,,,-0.61
2019-05-31,9.79,9.79,0.0,0.0,6035,0.07,-0.1,-0.2,,,0.51,52.1,0.15,0.45,,,-0.61
2019-06-06,9.8,9.78,-0.1,0.1,18722,0.2,-0.2,-0.31,,,0.41,48.8,0.15,0.43,,,-0.71
2019-06-07,9.79,9.8,0.2,0.1,675279,6.01,0.1,-0.1,,,0.61,54.9,0.16,0.42,,,-0.51
2019-06-11,9.82,9.8,0.0,0.2,445738,3.31,0.41,0.1,,,0.61,54.9,0.15,0.44,,,-0.51
2019-06-12,9.8,9.79,-0.1,0.0,225,0.0,0.0,-0.2,,,0.51,51.4,0.15,0.41,,,-0.61
2019-06-13,9.8,9.8,0.1,0.1,253301,1.76,0.1,-0.2,,,0.61,54.5,0.15,0.39,,,-0.51
2019-06-14,9.8,9.8,0.0,0.0,37170,0.32,0.2,-0.2,,,0.61,54.5,0.15,0.36,,,-0.51
2019-06-17,9.8,9.8,0.0,0.0,37060,0.32,0.0,0.0,,,0.61,54.5,0.14,0.34,,,-0.51
2019-06-18,9.8,9.8,0.0,0.0,68337,0.72,0.0,-0.2,,,0.61,54.5,0.13,0.31,,,-0.51
2019-06-19,9.85,9.88,0.82,0.51,29101,0.3,0.92,0.61,,,1.44,73.3,0.22,0.35,0.84,,0.0
2019-06-20,9.97,9.8,-0.81,0.91,195805,1.84,0.0,0.0,,,0.61,50.8,0.28,0.47,0.01,,-0.81
2019-06-21,9.9,9.85,0.51,1.02,30140,0.32,0.51,0.46,,,1.13,59.2,0.31,0.51,0.5,,-0.3
2019-06-24,9.8,9.8,-0.51,-0.51,15115,0.16,0.0,0.0,,,0.61,50.0,0.33,0.55,-0.02,,-0.81
2019-06-25,9.85,9.82,0.2,0.51,522450,4.41,0.2,0.31,,,0.82,53.1,0.33,0.54,0.17,,-0.61
2019-06-26,9.89,9.85,0.32,0.71,1164,0.01,-0.29,0.52,,,1.14,57.6,0.33,0.56,0.48,,-0.29
2019-06-27,9.89,9.9,0.5,0.4,10269,0.09,1.02,1.02,,,1.64,63.5,0.35,0.55,0.96,,0.0
2019-06-28,9.89,9.88,-0.2,-0.1,234296,1.8,0.3,0.82,,,1.44,59.8,0.35,0.62,0.73,,-0.2
2019-07-01,9.89,9.9,0.2,0.1,152049,1.11,1.02,1.02,,,1.64,62.2,0.36,0.59,0.91,,0.0
2019-07-02,9.9,10.0,1.01,0.0,342917,2.22,1.83,2.15,,,2.67,71.2,0.41,0.61,1.88,,0.0
2019-07-03,9.96,9.96,-0.45,-0.45,247,0.0,1.06,2.0,,,2.21,63.9,0.42,0.6,1.39,,-0.45
2019-07-08,9.91,9.9,-0.55,-0.45,127922,0.8,0.0,1.12,,,1.64,56.1,0.44,0.61,0.8,,-1.0
2019-07-09,9.94,9.93,0.3,0.4,19739,0.12,0.51,1.43,,,1.95,59.0,0.44,0.6,1.07,,-0.7
2019-07-10,9.96,9.9,-0.3,0.26,74575,0.57,0.0,1.23,,,1.65,55.2,0.45,0.61,0.76,,-1.0
2019-07-11,9.95,9.9,-0.0,0.54,1164,0.01,-1.0,1.02,1.64,,1.64,55.1,0.45,0.6,0.74,,-1.0
2019-07-12,9.91,9.95,0.51,0.11,1216,0.01,-0.05,1.53,1.98,,2.16,60.2,0.46,0.59,1.22,,-0.5
2019-07-15,9.93,9.93,-0.25,-0.25,25137,0.26,0.25,1.38,1.79,,1.9,56.7,0.46,0.57,0.94,,-0.75
2019-07-17,9.99,10.0,0.75,0.65,625,0.01,0.7,2.04,2.4,,2.67,63.5,0.49,0.58,1.67,,-0.0
2019-07-18,9.95,9.95,-0.5,-0.5,316,0.0,0.5,1.53,1.43,,2.16,57.1,0.5,0.58,1.14,,-0.5
2019-07-22,9.9,9.93,-0.18,-0.47,24940,0.28,0.32,1.35,1.55,,1.97,54.9,0.51,0.57,0.93,,-0.68
2019-07-23,9.9,9.89,-0.37,-0.32,137566,1.43,-0.55,0.97,1.18,,1.59,50.7,0.51,0.57,0.54,,-1.05
2019-07-24,9.9,9.87,-0.25,0.05,6741,0.08,-0.55,-0.1,1.02,,1.33,48.0,0.49,0.55,0.27,,-1.3
2019-07-25,9.84,9.89,0.17,-0.3,4526,0.05,-1.13,0.89,1.2,,1.51,50.0,0.45,0.56,0.43,,-1.13
2019-07-29,9.8,9.85,-0.35,-0.88,53366,0.61,-0.98,0.02,0.95,,1.15,46.1,0.45,0.58,0.06,,-1.48
2019-07-30,9.88,9.85,-0.02,0.28,19684,0.32,-0.82,0.51,0.72,,1.13,45.9,0.43,0.57,0.03,,-1.5
2019-08-01,9.81,9.8,-0.51,-0.41,109571,1.63,-0.96,-0.2,0.1,,0.61,40.7,0.44,0.62,-0.47,,-2.0
2019-08-02,9.9,9.9,1.02,1.02,100,0.0,0.3,0.5,0.51,,1.64,52.3,0.49,0.64,0.53,,-1.0
2019-08-05,9.9,9.93,0.3,0.0,122192,2.0,0.43,0.3,1.02,,1.95,55.1,0.48,0.63,0.8,,-0.7
2019-08-06,9.94,9.94,0.1,0.1,77768,1.35,0.89,0.61,1.43,,2.05,56.0,0.48,0.6,0.88,,-0.6
2019-08-07,9.87,9.95,0.1,-0.73,3647,0.09,1.02,0.51,1.43,,2.16,57.0,0.48,0.64,0.96,,-0.5
