date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-05-25,13.37,13.37,,,0,,,,,,0.0,,,0.0,,,
2006-05-26,13.79,14.0,4.69,3.12,19546050,,,,,,4.69,,,0.51,,,
2006-05-30,13.95,13.65,-2.46,-0.31,1486245,,,,,,2.11,95.9,,0.68,,,
2006-05-31,13.83,14.44,5.76,1.3,1183463,,,,,,7.99,96.3,,1.12,,,
2006-06-01,14.38,14.62,1.28,-0.38,1103643,,,,,,9.36,96.4,,1.32,,,
2006-06-02,14.77,14.69,0.48,1.04,862857,,9.89,,,,9.89,96.4,,1.41,,,
2006-06-05,14.7,14.26,-2.92,0.05,737320,,1.9,,,,6.68,91.0,,1.6,,,
2006-06-06,14.27,13.87,-2.73,0.05,1160844,,1.62,,,,3.76,86.2,,1.85,,,
2006-06-07,13.87,12.83,-7.53,0.0,1567265,,-11.15,,,,-4.06,74.9,,2.45,,,
2006-06-08,12.33,12.39,-3.4,-3.91,1958481,,-15.26,,,,-7.32,70.7,,2.86,,,
2006-06-09,12.57,12.66,2.16,1.49,1234449,,-13.84,,,,-5.32,71.7,,2.83,,,
2006-06-12,12.7,12.7,0.34,0.34,734205,,-10.94,,,,-5.0,71.9,,2.86,,,
2006-06-13,12.7,12.12,-4.6,0.0,693637,,-12.65,,,,-9.36,66.0,,3.27,,,
2006-06-14,12.28,11.89,-1.85,1.36,956926,,-7.28,,,,-11.04,63.9,,3.57,,,
2006-06-15,12.12,12.03,1.16,1.88,971159,,-2.9,,,,-10.01,64.6,,3.56,,,
2006-06-16,12.03,12.16,1.07,0.0,425687,,-3.94,,,,-9.05,65.4,,3.47,,,
2006-06-19,12.57,12.87,5.81,3.41,2054461,,1.3,,,,-3.76,69.2,,3.6,,,
2006-06-20,12.9,13.09,1.7,0.26,663717,,7.99,,,,-2.12,70.3,,3.55,,,
2006-06-21,13.07,13.75,5.11,-0.14,1380809,,15.64,,,,2.87,73.4,,3.74,,,
2006-06-22,13.92,13.7,-0.36,1.22,1103880,0.55,13.9,,,,2.5,72.8,,3.78,,,-6.72
2006-06-23,13.77,13.85,1.04,0.49,942562,0.46,13.87,,,,3.57,73.4,,3.66,,,-5.75
2006-06-26,13.95,14.62,5.6,0.77,837603,0.76,13.64,9.36,,,9.36,76.8,3.67,3.64,,,-0.48
2006-06-27,14.87,14.15,-3.24,1.73,748807,0.7,8.12,1.08,,,5.82,70.9,3.62,4.0,,,-3.71
2006-06-28,14.21,14.78,4.46,0.42,3129743,2.69,7.45,8.26,,,10.54,73.8,3.69,3.92,,,0.0
2006-06-29,14.86,15.25,3.18,0.58,3079481,2.44,11.27,5.62,,,14.06,75.7,3.55,4.1,,,0.0
2006-06-30,15.25,14.55,-4.59,0.0,2305539,1.73,5.08,-0.49,,,8.82,67.7,3.7,4.35,,,-4.59
2006-07-03,14.55,14.54,-0.05,0.0,369794,0.28,-0.55,-1.02,,,8.77,67.6,3.7,4.19,,,-4.64
2006-07-05,14.71,14.64,0.68,1.14,1224396,0.93,3.48,2.65,,,9.51,68.1,3.63,4.07,,,-3.99
2006-07-06,14.83,14.61,-0.19,1.3,708113,0.55,-1.13,5.34,,,9.3,67.8,3.57,3.99,,,-4.17
2006-07-07,14.62,14.63,0.12,0.06,609865,0.5,-4.06,14.06,,,9.43,67.9,3.09,3.94,,,-4.06
2006-07-10,14.67,14.51,-0.84,0.29,273816,0.24,-0.29,17.08,,,8.51,66.2,2.97,3.81,,,-4.87
2006-07-11,14.5,14.04,-3.23,-0.05,533993,0.46,-3.46,10.9,,,5.0,59.9,3.08,3.99,,,-7.94
2006-07-12,14.04,14.1,0.47,0.0,630326,0.55,-3.66,11.05,,,5.5,60.4,3.08,4.0,,,-7.5
2006-07-13,14.06,13.87,-1.7,-0.29,583413,0.52,-5.11,14.42,,,3.71,57.2,2.9,3.94,,,-9.07
2006-07-14,13.79,13.34,-3.8,-0.56,605555,0.55,-8.84,12.14,,,-0.24,50.9,3.01,4.11,,,-12.53
2006-07-17,13.33,13.27,-0.52,-0.06,261730,0.24,-8.54,10.28,,,-0.75,50.1,3.02,3.98,,,-12.99
2006-07-18,13.27,13.0,-2.05,0.0,655935,0.64,-7.42,6.88,,,-2.79,47.0,3.06,4.01,,,-14.77
2006-07-19,13.0,13.37,2.87,0.06,882001,0.85,-5.21,3.91,,,0.0,51.4,2.86,3.91,,,-12.33
2006-07-20,13.41,13.19,-1.37,0.31,555649,0.55,-4.9,0.77,,,-1.37,49.3,2.86,3.98,,,-13.53
2006-07-21,13.19,12.68,-3.86,0.0,336167,0.35,-4.95,-7.82,,,-5.17,43.7,2.74,4.17,,,-16.86
2006-07-24,12.74,13.03,2.76,0.5,250836,0.27,-1.82,-4.94,,,-2.56,48.0,2.82,3.96,,,-14.57
2006-07-25,13.03,13.18,1.15,0.0,371354,0.41,1.39,-4.84,,,-1.44,49.8,2.83,3.81,,,-13.59
2006-07-26,13.18,12.86,-2.42,0.0,438012,0.49,-3.83,-12.06,,,-3.83,46.2,2.53,3.9,,,-15.68
2006-07-27,12.87,12.36,-3.87,0.07,426042,0.56,-6.27,-12.63,,,-7.55,41.2,2.57,4.11,,,-18.95
2006-07-28,12.33,13.0,5.15,-0.28,1840362,2.66,2.51,-12.06,,,-2.79,48.8,2.64,4.18,,,-14.77
2006-07-31,12.91,13.24,1.9,-0.69,590597,0.97,1.66,-13.15,,,-0.94,51.5,2.56,4.11,,,-13.15
2006-08-01,13.24,12.81,-3.27,0.0,999409,1.56,-2.78,-11.95,,,-4.18,46.9,2.47,4.19,,,-15.99
2006-08-02,13.79,13.79,7.63,7.63,1676768,2.53,7.23,-5.19,,,3.12,56.3,3.05,4.32,,,-9.59
2006-08-03,13.95,14.11,2.37,1.2,367643,0.57,14.19,-3.6,,,5.57,58.9,3.1,4.2,,,-7.44
2006-08-04,14.37,14.16,0.36,1.84,330661,0.52,8.99,-3.06,,,5.95,59.4,3.1,4.15,4.37,,-7.11
2006-08-07,14.11,14.12,-0.3,-0.36,579942,0.9,6.64,-3.47,,,5.63,58.8,3.1,3.99,3.94,,-7.39
