date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2011-03-15,13.97,14.0,,,431699,,,,,,0.0,,,1.71,,,
2011-03-16,14.0,14.0,0.0,0.0,190764,,,,,,0.0,,,1.69,,,
2011-03-17,14.07,13.92,-0.57,0.5,264027,,,,,,-0.57,0.0,,1.67,,,
2011-03-18,13.98,13.8,-0.86,0.43,64870,,,,,,-1.43,0.0,,1.69,,,
2011-03-21,13.9,13.83,0.22,0.72,166720,,,,,,-1.21,14.3,,1.69,,,
2011-03-22,13.8,13.7,-0.94,-0.22,20756,,-2.14,,,,-2.14,8.6,,1.74,,,
2011-03-23,13.62,13.62,-0.58,-0.58,17841,,-2.71,,,,-2.71,6.8,,1.71,,,
2011-03-24,13.62,13.65,0.22,0.0,183125,,-1.94,,,,-2.5,14.0,,1.67,,,
2011-03-25,13.66,13.5,-1.1,0.07,57007,,-2.17,,,,-3.57,9.9,,1.71,,,
2011-03-28,13.55,13.94,3.26,0.37,26623,,0.8,,,,-0.43,53.4,,1.88,,,
2011-03-29,13.76,13.76,-1.29,-1.29,24381,,0.44,,,,-1.71,44.0,,1.98,,,
2011-03-30,13.64,13.7,-0.44,-0.87,101720,,0.59,,,,-2.14,41.4,,1.98,,,
2011-03-31,13.73,13.75,0.36,0.22,86833,,0.73,,,,-1.79,44.4,,1.92,,,
2011-04-01,13.75,13.81,0.44,0.0,98995,,2.3,,,,-1.36,47.8,,1.97,,,
2011-04-04,13.95,13.93,0.87,1.01,97483,,-0.07,,,,-0.5,53.9,,1.98,,,
2011-04-05,13.95,13.95,0.14,0.14,108899,,1.38,,,,-0.36,54.8,,1.94,,,
2011-04-06,13.95,13.9,-0.36,0.0,37725,,1.46,,,,-0.71,52.0,,1.86,,,
2011-04-07,13.85,13.91,0.07,-0.36,154635,,1.16,,,,-0.64,52.5,,1.86,,,
2011-04-08,13.86,14.77,6.18,-0.36,1674641,,6.95,,,,5.5,76.6,,2.3,,,
2011-04-11,15.06,14.62,-1.02,1.96,556102,2.55,4.95,,,,4.43,69.9,,2.81,,,-1.02
2011-04-12,14.71,14.89,1.85,0.62,227635,1.09,6.74,,,,6.36,74.3,,2.87,,,0.0
2011-04-13,15.1,14.61,-1.88,1.41,183016,0.88,5.11,4.36,,,4.36,64.0,1.77,3.08,,,-1.88
2011-04-14,14.5,14.36,-1.71,-0.75,68896,0.35,3.24,2.57,,,2.57,56.4,1.82,3.07,,,-3.56
2011-04-15,14.34,13.95,-2.86,-0.14,135913,0.67,-5.55,0.22,,,-0.36,46.7,1.93,3.35,,,-6.31
2011-04-18,13.9,13.9,-0.36,-0.36,90767,0.46,-4.92,0.72,,,-0.71,45.7,1.92,3.26,,,-6.65
2011-04-19,13.95,13.97,0.5,0.36,87243,0.43,-6.18,1.01,,,-0.21,47.4,1.92,3.14,,,-6.18
2011-04-20,14.18,14.2,1.65,1.5,162899,0.78,-2.81,3.65,,,1.43,52.8,1.94,3.13,,,-4.63
2011-04-21,14.24,14.11,-0.63,0.28,73768,0.36,-1.74,3.6,,,0.79,50.6,1.94,3.08,,,-5.24
2011-04-25,13.99,14.05,-0.43,-0.85,92660,0.45,0.72,2.93,,,0.36,49.2,1.94,3.08,,,-5.64
2011-04-26,14.05,14.02,-0.21,0.0,87927,0.42,0.86,3.85,,,0.14,48.4,1.92,2.95,,,-5.84
2011-04-27,14.02,13.96,-0.43,0.0,101499,0.48,-0.07,0.14,,,-0.29,46.9,1.79,2.8,,,-6.25
2011-04-28,14.1,13.95,-0.07,1.0,203997,0.94,-1.76,1.38,,,-0.36,46.6,1.77,2.89,,,-6.31
2011-04-29,14.14,13.95,0.0,1.36,29501,0.14,-1.13,1.82,,,-0.36,46.6,1.76,2.79,,,-6.31
2011-05-02,14.14,13.87,-0.57,1.36,26795,0.13,-1.28,0.87,,,-0.93,44.3,1.77,2.82,,,-6.85
2011-05-03,13.88,13.91,0.29,0.07,86497,0.41,-0.78,0.72,,,-0.64,45.7,1.77,2.77,,,-6.58
2011-05-04,14.02,13.73,-1.29,0.79,39194,0.19,-1.65,-1.44,,,-1.93,40.6,1.78,2.78,,,-7.79
2011-05-05,13.65,14.15,3.06,-0.58,125985,0.6,1.43,1.43,,,1.07,53.7,1.91,2.81,,,-4.97
2011-05-06,14.18,14.6,3.18,0.21,149276,0.71,4.66,5.04,,,4.29,63.1,2.02,2.83,,,-1.95
2011-05-09,14.63,14.68,0.55,0.21,76467,0.59,5.84,5.54,,,4.86,64.5,2.02,2.8,,,-1.41
2011-05-10,14.75,15.03,2.38,0.48,319490,2.7,8.05,1.76,,,7.36,69.8,1.59,2.81,,,0.0
2011-05-11,15.02,14.81,-1.46,-0.07,54645,0.5,7.87,1.3,,,5.79,63.4,1.6,2.94,,,-1.46
2011-05-12,14.84,14.73,-0.54,0.2,60345,0.58,4.1,-1.07,,,5.21,61.2,1.56,2.93,,,-2.0
2011-05-13,14.82,14.7,-0.2,0.61,129126,1.21,0.68,0.62,,,5.0,60.3,1.5,3.21,,,-2.2
2011-05-16,14.69,14.48,-1.5,-0.07,56360,0.55,-1.36,0.84,,,3.43,54.4,1.49,3.35,,,-3.66
2011-05-17,14.39,14.29,-1.31,-0.62,16929,0.17,-4.92,2.44,,,2.07,49.8,1.37,3.29,,,-4.92
2011-05-18,14.47,14.65,2.52,1.26,25084,0.26,-1.08,5.4,,,4.64,57.2,1.46,3.22,,,-2.53
2011-05-19,14.7,14.54,-0.75,0.34,56595,0.62,-1.29,4.08,,,3.86,54.5,1.48,3.25,,,-3.26
2011-05-20,14.35,14.28,-1.79,-1.31,26076,0.3,-2.86,0.56,,,2.0,48.8,1.5,3.34,,,-4.99
2011-05-23,14.14,14.11,-1.19,-0.98,15383,0.18,-2.56,0.0,,,0.79,45.5,1.52,3.27,,,-6.12
2011-05-24,14.15,14.28,1.2,0.28,18626,0.23,-0.07,1.64,,,2.0,49.2,1.53,3.15,1.02,,-4.99
2011-05-25,14.21,14.06,-1.54,-0.49,88221,1.1,-4.03,0.29,,,0.43,44.9,1.57,3.24,-0.55,,-6.45
2011-05-26,14.0,13.91,-1.07,-0.43,46002,0.64,-4.33,-0.36,,,-0.64,42.2,1.59,3.17,-1.6,,-7.45
2011-05-27,13.91,13.86,-0.36,0.0,20181,0.28,-2.94,-0.65,,,-1.0,41.3,1.59,3.05,-1.94,,-7.78
2011-05-31,14.34,13.89,0.22,3.46,70982,0.96,-1.56,-0.43,,,-0.79,42.1,1.59,3.18,-1.74,,-7.58
2011-06-01,13.94,13.9,0.07,0.36,62719,0.86,-2.66,0.22,,,-0.71,42.4,1.59,3.2,-1.68,,-7.52
2011-06-02,13.95,14.03,0.94,0.36,12656,0.18,-0.21,0.86,,,0.21,46.0,1.6,3.03,-0.81,,-6.65
2011-06-03,13.94,14.0,-0.21,-0.64,11697,0.18,0.65,1.97,,,0.0,45.3,1.57,2.87,-1.07,,-6.85
2011-06-06,14.01,13.79,-1.5,0.07,42893,0.71,-0.51,-2.54,,,-1.5,40.6,1.45,2.86,-2.58,,-8.25
2011-06-07,13.84,13.51,-2.03,0.36,144433,2.26,-2.74,-7.47,,,-3.5,35.3,1.3,3.09,-4.56,,-10.11
2011-06-08,13.53,12.94,-4.22,0.15,112900,2.11,-6.91,-11.85,,,-7.57,27.4,1.53,3.38,-8.45,,-13.91
2011-06-09,12.94,12.55,-3.01,0.0,98484,1.77,-10.55,-16.5,,,-10.36,23.5,1.45,3.56,-11.06,,-16.5
2011-06-10,12.5,11.85,-5.58,-0.4,121389,2.06,-15.36,-19.99,,,-15.36,18.5,1.78,3.97,-15.8,,-21.16
2011-06-13,11.84,11.36,-4.14,-0.08,68414,1.23,-17.62,-22.88,,,-18.86,15.9,1.9,4.22,-19.01,,-24.42
2011-06-14,11.33,11.85,4.31,-0.26,39796,0.72,-12.29,-19.39,-15.36,,-15.36,26.9,2.24,4.1,-15.28,,-21.16
2011-06-15,11.86,11.72,-1.1,0.08,94587,1.61,-9.43,-19.06,-16.29,,-16.29,25.9,2.24,4.08,-15.94,,-22.02
2011-06-16,11.79,11.52,-1.71,0.6,62765,1.03,-8.21,-19.38,-17.24,,-17.71,24.5,2.25,4.2,-17.09,,-23.35
2011-06-17,11.49,11.62,0.87,-0.26,55372,0.91,-1.94,-20.68,-15.8,,-17.0,26.7,2.14,4.07,-16.09,,-22.69
2011-06-20,11.57,11.52,-0.86,-0.43,23350,0.39,1.41,-20.77,-16.7,,-17.71,25.9,2.14,3.93,-16.53,,-23.35
2011-06-21,11.58,11.74,1.91,0.52,109433,1.68,-0.93,-17.79,-14.31,,-16.14,30.9,2.23,3.79,-14.56,,-21.89
2011-06-22,11.6,11.94,1.7,-1.19,32468,0.49,1.88,-15.38,-12.33,,-14.71,35.2,2.3,3.83,-12.76,,-20.56
2011-06-23,11.97,12.28,2.85,0.25,58084,0.9,6.6,-14.01,-10.04,,-12.29,41.8,2.4,3.8,-9.93,,-18.3
2011-06-24,12.31,11.57,-5.78,0.24,51298,0.79,-0.43,-17.71,-14.3,,-17.36,34.0,2.64,4.3,-14.76,,-23.02
2011-06-27,11.85,11.66,0.78,2.42,45587,0.69,1.22,-16.18,-16.36,,-16.71,35.6,2.66,4.28,-13.75,,-22.42
2011-06-28,11.71,11.65,-0.09,0.43,38693,0.6,-0.77,-15.95,-15.33,,-16.79,35.5,2.67,4.15,-13.53,,-22.49
