date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-03-23,14.0,14.0,,,0,,,,,,0.0,,,0.0,,,
2010-03-24,17.95,18.7,33.57,28.21,6890754,,,,,,33.57,,,2.06,,,
2010-03-25,18.9,18.04,-3.53,1.07,1856696,,,,,,28.86,98.9,,2.56,,,
2010-03-26,18.19,18.62,3.22,0.83,474983,,,,,,33.0,98.9,,2.58,,,
2010-03-29,18.75,18.7,0.43,0.7,371639,,,,,,33.57,98.9,,2.68,,,
2010-03-30,18.7,18.25,-2.41,0.0,164923,,30.36,,,,30.36,98.1,,2.75,,,
2010-03-31,18.0,17.78,-2.58,-1.37,374673,,-4.92,,,,27.0,97.1,,2.85,,,
2010-04-01,17.78,17.69,-0.51,0.0,289396,,-1.94,,,,26.36,96.9,,2.97,,,
2010-04-05,17.54,17.12,-3.22,-0.85,229995,,-8.06,,,,22.29,95.6,,3.4,,,
2010-04-06,17.0,17.15,0.18,-0.7,273446,,-8.29,,,,22.5,95.6,,3.53,,,
2010-04-07,17.0,17.18,0.17,-0.87,139428,,-5.86,,,,22.71,95.6,,3.47,,,
2010-04-08,17.1,17.0,-1.05,-0.47,99513,,-4.39,,,,21.43,95.1,,3.37,,,
2010-04-09,16.95,17.23,1.35,-0.29,173479,,-2.6,,,,23.07,95.1,,3.4,,,
2010-04-12,17.47,17.12,-0.64,1.39,94340,,0.0,,,,22.29,94.7,,3.36,,,
2010-04-13,16.9,16.91,-1.23,-1.29,284517,,-1.4,,,,20.79,94.0,,3.3,,,
2010-04-14,16.88,17.61,4.14,-0.18,202469,,2.5,,,,25.79,94.2,,3.25,,,
2010-04-15,17.69,18.18,3.24,0.45,239705,,6.94,,,,29.86,94.3,,3.22,,,
2010-04-16,18.2,17.99,-1.05,0.11,81655,,4.41,,,,28.5,93.5,,3.3,,,
2010-04-19,17.85,17.55,-2.45,-0.78,81146,,2.51,,,,25.36,91.6,,3.34,,,
2010-04-20,17.47,17.91,2.05,-0.46,155476,0.25,5.91,,,,27.93,91.8,,3.22,,,-4.22
2010-04-21,17.99,17.37,-3.02,0.45,66551,0.11,-1.36,,,,24.07,89.3,,3.36,,,-7.11
2010-04-22,17.2,17.09,-1.61,-0.98,152144,0.52,-6.0,22.07,,,22.07,87.9,7.74,3.37,,,-8.61
2010-04-23,17.05,17.1,0.06,-0.23,112643,0.55,-4.95,-8.56,,,22.14,88.0,2.22,3.37,,,-8.56
2010-04-26,16.99,17.5,2.34,-0.64,83664,0.46,-0.28,-2.99,,,25.0,88.2,2.17,3.35,,,-6.42
2010-04-27,17.41,17.19,-1.77,-0.51,41453,0.25,-4.02,-7.68,,,22.79,86.5,2.06,3.45,,,-8.07
2010-04-28,17.06,17.06,-0.76,-0.76,122900,0.75,-1.78,-8.77,,,21.86,85.7,2.05,3.41,,,-8.77
2010-04-29,17.18,16.98,-0.47,0.7,335879,2.06,-0.64,-6.96,,,21.29,85.2,2.0,3.34,,,-9.2
2010-04-30,17.0,16.9,-0.47,0.12,110911,0.72,-1.17,-4.95,,,20.71,84.7,1.93,3.22,,,-9.63
2010-05-03,17.35,17.33,2.54,2.66,238497,1.54,-0.97,-2.04,,,23.79,85.2,2.02,3.22,,,-7.33
2010-05-04,17.3,17.36,0.17,-0.17,201339,1.33,0.99,1.4,,,24.0,85.3,1.89,3.22,,,-7.17
2010-05-05,17.38,17.17,-1.09,0.12,109510,0.73,0.64,0.12,,,22.64,83.8,1.91,3.34,,,-8.18
2010-05-06,17.31,15.75,-8.27,0.82,399208,2.43,-7.24,-8.32,,,12.5,73.4,2.63,4.3,,,-15.78
2010-05-07,15.75,15.31,-2.79,0.0,113807,0.71,-9.41,-9.94,,,9.36,70.5,2.68,4.36,,,-18.13
2010-05-10,16.28,16.58,8.3,6.34,105260,0.65,-4.33,-3.77,,,18.43,73.7,3.27,4.31,,,-11.34
2010-05-11,16.31,16.32,-1.57,-1.63,56959,0.38,-5.99,-4.67,,,16.57,72.0,3.29,4.23,,,-12.73
2010-05-12,16.36,15.57,-4.6,0.25,238889,1.57,-9.32,-7.92,,,11.21,67.1,3.42,4.56,,,-16.74
2010-05-13,15.53,16.1,3.4,-0.26,133241,0.91,2.22,-8.57,,,15.0,68.7,3.38,4.5,,,-13.9
2010-05-14,15.91,15.73,-2.3,-1.18,62163,0.43,2.74,-13.48,,,12.36,66.2,3.3,4.54,,,-15.88
2010-05-17,15.81,16.53,5.09,0.51,56450,0.39,-0.3,-8.12,,,18.07,68.8,3.52,4.37,,,-11.6
2010-05-18,16.58,16.0,-3.21,0.3,64175,0.46,-1.96,-8.83,,,14.29,65.2,3.55,4.5,,,-14.44
2010-05-19,15.83,16.35,2.19,-1.06,70794,0.5,5.01,-8.71,,,16.79,66.5,3.55,4.38,,,-12.57
2010-05-20,15.96,15.48,-5.32,-2.39,65783,0.48,-3.85,-10.88,,,10.57,60.7,3.67,4.77,,,-17.22
2010-05-21,15.28,15.4,-0.52,-1.29,57924,0.43,-2.1,-9.89,,,10.0,60.2,3.66,4.76,,,-17.65
2010-05-24,15.51,15.41,0.06,0.71,27183,0.21,-6.78,-9.88,,,10.07,60.2,3.66,4.71,,,-17.59
2010-05-25,15.18,14.89,-3.37,-1.49,90091,0.68,-6.94,-14.91,,,6.36,56.6,3.66,4.82,,,-20.37
2010-05-26,14.99,14.96,0.47,0.67,27571,0.21,-8.5,-12.97,,,6.86,56.9,3.66,4.55,,,-20.0
2010-05-27,15.27,15.61,4.34,2.07,114177,0.97,0.84,-8.5,,,11.5,60.4,3.81,4.51,,,-16.52
