date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,10.37,10.5,,,820338,,,,,,0.0,,,2.57,,,
2005-02-28,10.46,10.33,-1.62,-0.38,1407928,,,,,,-1.62,0.0,,2.71,,,
2005-03-01,10.27,10.54,2.03,-0.58,846000,,,,,,0.38,8.7,,2.68,,,
2005-03-02,10.58,10.56,0.19,0.38,938158,,,,,,0.57,9.5,,2.68,,,
2005-03-03,10.68,10.48,-0.76,1.14,998040,,,,,,-0.19,9.1,,2.82,,,
2005-03-04,10.58,10.68,1.91,0.95,1424178,,1.71,,,,1.71,17.3,,2.81,,,
2005-03-07,10.74,10.59,-0.84,0.56,1344944,,2.52,,,,0.86,16.6,,2.88,,,
2005-03-08,10.6,10.26,-3.12,0.09,1145966,,-2.66,,,,-2.29,14.2,,3.02,,,
2005-03-09,10.36,9.98,-2.73,0.97,1329682,,-5.49,,,,-4.95,12.6,,3.19,,,
2005-03-10,10.02,9.83,-1.5,0.4,1213846,,-6.2,,,,-6.38,11.8,,3.33,,,
2005-03-11,9.8,9.69,-1.42,-0.31,761584,,-9.27,,,,-7.71,11.1,,3.46,,,
2005-03-14,9.76,10.04,3.61,0.72,1017576,,-5.19,,,,-4.38,23.2,,3.43,,,
2005-03-15,10.07,9.88,-1.59,0.3,927994,,-3.7,,,,-5.9,21.8,,3.45,,,
2005-03-16,9.83,9.64,-2.43,-0.51,614604,,-3.41,,,,-8.19,19.8,,3.55,,,
2005-03-17,9.56,9.53,-1.14,-0.83,682170,,-3.05,,,,-9.24,18.9,,3.53,,,
2005-03-18,9.54,9.52,-0.1,0.1,1059214,,-1.75,,,,-9.33,18.8,,3.46,,,
2005-03-21,9.48,9.78,2.73,-0.42,1257826,,-2.59,,,,-6.86,27.4,,3.42,,,
2005-03-22,9.79,9.94,1.64,0.1,1255950,,0.61,,,,-5.33,32.2,,3.42,,,
2005-03-23,9.87,10.17,2.31,-0.7,1278606,,5.5,,,,-3.14,38.5,,3.38,,,
2005-03-24,10.24,10.14,-0.29,0.69,1542120,1.41,6.4,,,,-3.43,38.0,,3.37,,,-5.06
2005-03-28,10.11,9.73,-4.04,-0.3,1418278,1.26,2.21,,,,-7.33,32.0,,3.82,,,-8.9
2005-03-29,9.78,9.05,-6.99,0.51,2491000,2.12,-7.46,-13.81,,,-13.81,24.9,2.52,4.44,,,-15.26
2005-03-30,8.99,9.15,1.1,-0.66,1539234,1.27,-7.95,-11.42,,,-12.86,27.4,2.54,4.34,,,-14.33
2005-03-31,9.2,8.77,-4.15,0.55,2818890,2.16,-13.77,-16.79,,,-16.48,24.1,2.59,4.67,,,-17.88
2005-04-01,8.85,8.42,-3.99,0.91,2961842,2.11,-16.96,-20.27,,,-19.81,21.5,2.66,5.05,,,-21.16
2005-04-04,8.38,8.25,-2.02,-0.48,1636072,1.16,-15.21,-21.28,,,-21.43,20.4,2.67,5.09,,,-22.75
2005-04-05,8.23,8.39,1.7,-0.24,1600488,1.12,-7.29,-21.44,,,-20.1,24.0,2.66,4.87,,,-21.44
2005-04-06,8.51,8.58,2.26,1.43,2280388,1.54,-6.23,-18.98,,,-18.29,28.7,2.76,4.83,,,-19.66
2005-04-07,8.61,8.44,-1.63,0.35,1273260,0.86,-3.76,-17.74,,,-19.62,27.3,2.72,4.92,,,-20.97
2005-04-08,8.45,8.41,-0.36,0.12,1020392,0.69,-0.12,-15.73,,,-19.9,27.0,2.69,4.81,,,-21.25
2005-04-11,8.45,8.5,1.07,0.48,1317550,0.88,3.03,-13.53,,,-19.05,29.5,2.71,4.93,,,-20.41
2005-04-12,8.44,8.31,-2.24,-0.71,1611344,1.05,-0.95,-14.24,,,-20.86,27.4,2.73,5.02,,,-22.19
2005-04-13,8.36,8.18,-1.56,0.6,1138844,0.74,-4.66,-18.53,,,-22.1,26.0,2.55,5.07,,,-23.41
2005-04-14,8.15,7.93,-3.06,-0.37,1341010,0.85,-6.04,-19.74,,,-24.48,23.6,2.59,5.13,,,-25.75
2005-04-15,7.94,8.17,3.03,0.13,1479186,0.92,-2.85,-15.25,,,-22.19,30.3,2.71,4.9,,,-23.5
2005-04-18,8.12,8.06,-1.35,-0.61,1536478,0.94,-5.18,-15.42,,,-23.24,29.0,2.71,4.86,,,-24.53
2005-04-19,8.01,8.11,0.62,-0.62,2229870,1.32,-2.41,-14.81,,,-22.76,30.5,2.72,4.66,,,-24.06
2005-04-20,8.11,7.97,-1.73,0.0,1167256,0.69,-2.57,-18.51,,,-24.1,28.7,2.61,4.62,,,-25.37
2005-04-21,8.09,8.2,2.89,1.51,759342,0.46,3.4,-17.51,,,-21.9,35.2,2.69,4.45,,,-23.22
2005-04-22,8.25,8.0,-2.44,0.61,857222,0.53,-2.08,-21.34,,,-23.81,32.5,2.6,4.53,,,-25.09
2005-04-25,8.08,8.26,3.25,1.0,878342,0.55,2.48,-18.54,,,-21.33,39.1,2.77,4.38,,,-22.66
2005-04-26,8.17,8.34,0.97,-1.09,1453176,0.94,2.84,-14.29,,,-20.57,41.1,2.7,4.45,,,-21.91
2005-04-27,8.32,8.11,-2.76,-0.24,1007818,0.66,1.76,-10.39,,,-22.76,37.4,2.34,4.57,,,-24.06
2005-04-28,8.11,7.65,-5.67,0.0,1067890,0.75,-6.71,-16.39,,,-27.14,31.3,2.57,4.98,,,-28.37
2005-04-29,7.65,7.71,0.78,0.0,1168400,0.87,-3.63,-12.09,,,-26.57,32.9,2.47,4.87,,,-27.81
2005-05-02,7.9,7.7,-0.13,2.46,5418222,3.54,-6.78,-8.55,,,-26.67,32.7,2.35,4.94,,,-27.9
2005-05-03,7.64,7.52,-2.34,-0.78,2273534,1.45,-9.83,-8.85,,,-28.38,30.4,2.36,4.95,,,-29.59
2005-05-04,7.51,7.61,1.2,-0.13,2139574,1.37,-6.17,-9.3,,,-27.52,33.0,2.34,4.98,,,-28.75
2005-05-05,7.69,7.96,4.6,1.05,2349616,1.46,4.05,-7.23,,,-24.19,42.0,2.52,4.73,,,-25.47
2005-05-06,7.96,8.41,5.65,0.0,2343500,1.4,9.08,-0.36,,,-19.9,51.1,2.82,4.65,-6.55,,-21.25
2005-05-09,8.46,8.56,1.78,0.59,927468,0.56,11.17,1.78,,,-18.48,53.7,2.84,4.45,-4.47,,-19.85
2005-05-10,8.53,8.74,2.1,-0.35,1306574,0.8,16.22,2.82,,,-16.76,56.7,2.87,4.36,-2.11,,-18.16
2005-05-11,8.72,8.71,-0.34,-0.23,1035730,0.63,14.45,4.81,,,-17.05,56.0,2.82,4.33,-2.05,,-18.45
2005-05-12,8.71,8.66,-0.57,0.0,1031610,0.64,8.79,5.87,,,-17.52,54.9,2.79,4.22,-2.19,,-18.91
