date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2008-08-12,16.0,16.25,,,513500,,,,,,0.0,,,6.15,,,
2008-08-13,16.0,16.6,2.15,-1.54,245000,,,,,,2.15,,,5.85,,,
2008-08-14,16.6,16.45,-0.9,0.0,811145,,,,,,1.23,96.8,,5.68,,,
2008-08-15,16.35,16.35,-0.61,-0.61,533469,,,,,,0.62,94.6,,5.44,,,
2008-08-18,16.35,16.25,-0.61,0.0,191151,,,,,,0.0,92.4,,5.12,,,
2008-08-20,16.0,16.2,-0.31,-1.54,1558077,,-0.31,,,,-0.31,91.3,,5.15,,,
2008-08-21,16.0,16.0,-1.23,-1.23,51281,,-3.61,,,,-1.54,86.6,,4.93,,,
2008-08-22,16.0,16.0,0.0,0.0,12000,,-2.74,,,,-1.54,86.6,,4.58,,,
2008-08-28,15.75,15.75,-1.56,-1.56,296500,,-3.67,,,,-3.08,80.6,,4.43,,,
2008-08-29,15.9,15.9,0.95,0.95,2000,,-2.15,,,,-2.15,81.4,,4.14,,,
2008-09-02,16.1,16.23,2.08,1.26,4200,,0.19,,,,-0.12,83.1,,3.92,,,
2008-09-03,15.0,16.0,-1.42,-7.58,397531,,0.0,,,,-1.54,77.8,,4.24,,,
2008-09-04,16.0,16.0,0.0,0.0,2750,,0.0,,,,-1.54,77.8,,3.94,,,
2008-09-05,16.0,16.0,0.0,0.0,24320,,1.59,,,,-1.54,77.8,,3.88,,,
2008-09-08,16.0,16.0,0.0,0.0,49360,,0.63,,,,-1.54,77.8,,3.6,,,
2008-09-09,16.0,15.72,-1.75,0.0,258144,,-3.14,,,,-3.26,70.3,,5.27,,,
2008-09-10,15.0,14.5,-7.76,-4.58,166499,,-9.38,,,,-10.77,48.6,,6.16,,,
2008-09-11,14.28,14.5,0.0,-1.52,68554,,-9.38,,,,-10.77,48.6,,5.96,,,
2008-09-12,14.5,14.5,0.0,0.0,8000,,-9.38,,,,-10.77,48.6,,5.54,,,
2008-09-15,16.19,14.73,1.59,11.66,6900,0.03,-7.94,,,,-9.35,52.1,,5.98,,,-11.27
2008-09-16,14.78,14.45,-1.9,0.34,117040,0.49,-8.08,,,,-11.08,47.8,,5.89,,,-12.95
2008-09-17,14.39,13.9,-3.81,-0.42,1933,0.01,-4.14,-14.46,,,-14.46,40.7,2.13,5.98,,,-16.27
2008-09-18,13.99,13.9,0.0,0.65,80477,0.42,-4.14,-16.27,,,-14.46,40.7,2.03,5.6,,,-16.27
2008-09-19,14.01,13.62,-2.01,0.79,312179,1.73,-6.07,-17.2,,,-16.18,37.5,2.05,5.57,,,-17.95
2008-09-22,13.99,13.75,0.95,2.72,24917,0.14,-6.65,-15.9,,,-15.38,39.9,2.09,5.4,,,-17.17
2008-09-23,13.48,13.07,-4.95,-1.96,20030,0.21,-9.55,-19.57,,,-19.57,32.8,2.27,5.65,,,-21.27
2008-09-24,13.37,12.79,-2.14,2.3,1702,0.02,-7.99,-21.05,,,-21.29,30.4,2.28,5.76,,,-22.95
2008-09-25,13.0,12.9,0.86,1.64,285500,2.68,-7.19,-19.37,,,-20.62,32.5,2.32,5.58,,,-22.29
2008-09-26,12.8,12.8,-0.78,-0.78,16420,0.18,-6.02,-20.0,,,-21.23,31.5,2.31,5.47,,,-22.89
2008-09-29,12.54,12.55,-1.95,-2.03,19000,0.2,-8.73,-20.32,,,-22.77,29.3,2.31,5.45,,,-24.4
2008-09-30,12.6,12.66,0.88,0.4,19305,0.21,-3.14,-20.38,,,-22.09,31.6,2.31,5.22,,,-23.73
2008-10-01,12.85,12.8,1.11,1.5,6420,0.09,0.08,-21.13,,,-21.23,34.5,2.26,4.93,,,-22.89
2008-10-02,12.8,11.78,-7.97,0.0,11070,0.15,-8.68,-26.38,,,-27.51,25.8,2.71,5.74,,,-29.04
2008-10-03,11.97,11.8,0.17,1.61,17240,0.23,-7.81,-26.25,,,-27.38,26.2,2.71,5.56,,,-28.92
2008-10-06,11.95,11.94,1.19,1.27,880,0.01,-4.86,-25.38,,,-26.52,29.1,2.76,5.19,,,-28.07
2008-10-07,11.6,11.49,-3.77,-2.85,600,0.01,-9.24,-28.19,,,-29.29,25.6,2.79,5.29,,,-30.78
2008-10-08,11.48,11.24,-2.18,-0.09,5712,0.11,-12.19,-28.5,,,-30.83,24.0,2.79,5.19,,,-32.29
2008-10-09,11.25,10.94,-2.67,0.09,4000,0.08,-7.13,-24.55,,,-32.68,22.1,2.42,5.47,,,-34.1
2008-10-10,10.92,10.14,-7.31,-0.18,32565,0.66,-14.07,-30.07,,,-37.6,18.0,2.73,9.67,,,-38.92
2008-10-13,8.82,9.98,-1.58,-13.02,1640,0.03,-16.42,-31.17,,,-38.58,17.4,2.7,10.06,,,-39.88
2008-10-14,10.0,9.7,-2.81,0.2,135730,2.72,-15.58,-34.15,,,-40.31,16.2,2.6,9.99,,,-41.57
2008-10-15,9.91,9.99,2.99,2.16,4650,0.09,-11.12,-30.87,,,-38.52,22.0,2.82,9.22,,,-39.82
2008-10-16,9.99,9.99,0.0,0.0,100,0.0,-8.68,-28.13,,,-38.52,22.0,2.8,8.56,,,-39.82
2008-10-17,9.2,9.92,-0.7,-7.91,500,0.02,-2.17,-28.63,,,-38.95,21.6,2.78,8.58,,,-40.24
2008-10-20,9.22,10.0,0.81,-7.06,500,0.02,0.2,-26.58,,,-38.46,23.4,2.82,8.46,,,-39.76
2008-10-21,10.0,10.87,8.7,0.0,962519,12.61,12.06,-20.95,,,-33.11,39.6,3.56,7.84,,,-34.52
2008-10-22,10.37,10.01,-7.91,-4.6,643970,5.94,0.2,-23.41,,,-38.4,32.3,3.78,8.52,,,-39.7
2008-10-23,10.0,10.0,-0.1,-0.1,9703,0.1,0.1,-21.81,,,-38.46,32.2,3.78,7.95,,,-39.76
2008-10-24,9.91,10.0,0.0,-0.9,300,0.0,0.81,-22.48,,,-38.46,32.2,3.76,7.45,,,-39.76
2008-10-27,9.9,9.82,-1.8,-1.0,10828,0.12,-1.8,-23.28,,,-39.57,30.8,3.76,7.42,-26.14,,-40.84
2008-10-28,9.8,9.6,-2.24,-0.2,8893,0.1,-11.68,-23.51,,,-40.92,29.0,3.76,7.89,-27.06,,-42.17
2008-10-29,9.76,9.2,-4.17,1.67,3030,0.03,-8.09,-27.33,,,-43.38,26.1,3.78,8.61,-29.3,,-44.58
2008-10-30,9.5,9.51,3.37,3.26,215984,2.1,-4.9,-25.7,,,-41.48,31.8,3.89,8.25,-26.13,,-42.71
2008-10-31,9.45,9.46,-0.53,-0.63,77500,0.73,-5.4,-19.69,,,-41.78,31.4,3.58,8.57,-25.73,,-43.01
2008-11-03,9.5,9.44,-0.21,0.42,65182,0.6,-3.87,-20.0,,,-41.91,31.2,3.58,8.54,-25.08,,-43.13
2008-11-04,9.48,9.44,0.0,0.42,72360,0.64,-1.67,-20.94,,,-41.91,31.2,3.55,8.72,-24.27,,-43.13
2008-11-05,9.49,9.0,-4.66,0.53,36250,0.32,-2.17,-21.67,,,-44.62,27.3,3.59,8.9,-26.98,,-45.78
2008-11-06,9.0,9.0,0.0,0.0,6952,0.06,-5.36,-19.93,,,-44.62,27.3,3.59,8.39,-26.14,,-45.78
2008-11-07,8.85,8.38,-6.89,-1.67,30300,0.26,-11.42,-23.4,,,-48.43,22.6,3.8,9.18,-30.39,,-49.52
