date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-11-25,11.83,9.96,,,168211,,,,,,0.0,,,46.68,,,
2022-11-28,9.32,9.06,-9.03,-6.39,56118,,,,,,-9.03,0.0,,48.83,,,
2022-11-29,8.54,8.15,-10.04,-5.74,67059,,,,,,-18.17,0.0,,51.76,,,
2022-11-30,9.0,8.1,-0.61,10.43,36922,,,,,,-18.67,0.0,,49.33,,,
2022-12-01,7.95,8.85,9.26,-1.85,66670,,,,,,-11.14,6.4,,42.82,,,
2022-12-02,7.7,8.5,-3.95,-12.99,3235,,-14.66,,,,-14.66,6.2,,42.42,,,
2022-12-05,8.51,8.5,0.0,0.12,38187,,-6.18,,,,-14.66,6.2,,40.18,,,
2022-12-06,8.2,8.57,0.82,-3.53,45215,,5.15,,,,-13.95,6.9,,37.82,,,
2022-12-07,8.55,8.49,-0.88,-0.23,27110,,4.88,,,,-14.71,6.8,,36.6,,,
2022-12-08,8.5,8.94,5.24,0.03,16657,,1.02,,,,-10.24,11.5,,33.41,,,
2022-12-09,9.64,9.4,5.15,7.83,21141,,10.59,,,,-5.62,16.2,,30.05,,,
2022-12-12,9.12,10.0,6.38,-2.98,38578,,17.65,,,,0.4,22.0,,28.46,,,
2022-12-13,10.0,10.0,0.0,0.0,10571,,16.69,,,,0.4,22.0,,27.31,,,
2022-12-14,9.5,9.41,-5.85,-5.0,3152,,10.83,,,,-5.47,20.4,,27.43,,,
2022-12-15,9.69,12.0,27.46,2.92,141885,,34.23,,,,20.48,40.8,,21.82,,,
2022-12-16,12.06,10.71,-10.71,0.5,26855,,13.99,,,,7.58,35.9,,23.88,,,
2022-12-19,11.11,11.31,5.55,3.69,29638,,13.1,,,,13.56,39.5,,22.25,,,
2022-12-20,11.49,11.17,-1.24,1.59,9783,,11.7,,,,12.15,38.9,,21.37,,,
2022-12-21,11.41,11.45,2.51,2.15,8520,,21.61,,,,14.96,40.7,,20.0,,,
2022-12-22,11.13,11.25,-1.75,-2.8,3264,0.08,-6.25,,,,12.95,39.8,,19.21,,,-6.25
2022-12-23,11.49,11.3,0.44,2.17,2775,0.08,5.46,,,,13.46,40.2,,17.95,,,-5.83
2022-12-27,11.5,11.52,1.95,1.77,7845,0.26,1.86,15.66,,,15.66,41.8,8.09,16.75,,,-4.0
2022-12-28,11.4,10.5,-8.85,-1.04,5377,0.2,-6.0,15.89,,,5.42,36.8,8.08,17.82,,,-12.5
2022-12-29,11.02,10.0,-4.76,4.95,29973,1.12,-12.66,22.7,,,0.4,34.6,7.79,18.43,,,-16.67
2022-12-30,9.89,10.9,9.0,-1.1,16677,0.69,-3.11,34.57,,,9.44,41.4,7.96,16.69,,,-9.17
2023-01-03,10.79,11.2,2.75,-1.01,3489,0.14,-0.88,26.55,,,0.0,43.5,7.78,15.53,,,-6.67
2023-01-04,12.0,11.88,6.07,7.14,29733,1.24,3.12,39.76,,,6.07,48.1,7.74,14.59,,,-1.0
2023-01-05,11.52,11.93,0.45,-3.03,14367,0.64,13.65,40.39,,,6.55,48.4,7.73,14.44,,,-0.56
2023-01-06,11.91,11.84,-0.75,-0.2,42089,1.82,18.44,38.2,,,5.75,47.8,7.75,14.18,,,-1.3
2023-01-09,11.44,11.51,-2.82,-3.41,41492,1.7,5.6,35.49,,,2.77,45.6,7.8,14.57,,,-4.08
2023-01-10,11.85,11.2,-2.69,2.95,37242,1.48,0.0,25.28,,,0.0,43.6,7.81,14.8,,,-6.67
2023-01-11,11.2,11.21,0.09,0.0,31860,1.28,-5.64,19.26,,,0.09,43.7,7.76,14.08,,,-6.58
2023-01-12,11.08,10.7,-4.55,-1.16,36759,1.41,-10.33,7.0,,,-4.46,40.3,7.76,14.32,,,-10.83
2023-01-13,11.46,10.22,-4.49,7.1,47687,1.68,-13.71,2.2,,,-8.75,37.3,7.84,15.23,,,-14.83
2023-01-17,10.04,9.87,-3.42,-1.76,58505,2.42,-14.25,4.83,,,-11.88,35.3,7.76,15.32,,,-17.75
