date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,17.27,17.95,,,183659,,,,,,0.0,,,3.91,,,
2005-02-28,17.79,17.79,-0.86,-0.84,224777,,,,,,-0.86,0.0,,4.01,,,
2005-03-01,17.75,17.96,0.97,-0.26,215218,,,,,,0.1,7.9,,3.81,,,
2005-03-02,17.77,17.76,-1.13,-1.05,232116,,,,,,-1.03,7.2,,3.7,,,
2005-03-03,17.88,17.61,-0.87,0.67,106408,,,,,,-1.89,6.7,,3.61,,,
2005-03-04,17.79,17.79,1.05,1.05,202043,,-0.86,,,,-0.86,14.4,,3.43,,,
2005-03-07,17.69,17.65,-0.79,-0.59,185843,,-0.79,,,,-1.64,13.5,,3.32,,,
2005-03-08,17.71,17.55,-0.56,0.33,179760,,-2.29,,,,-2.19,12.9,,3.3,,,
2005-03-09,17.42,17.41,-0.79,-0.75,161684,,-1.95,,,,-2.96,12.0,,3.19,,,
2005-03-10,17.28,17.33,-0.51,-0.78,226473,,-1.6,,,,-3.46,11.5,,3.13,,,
2005-03-11,17.22,17.44,0.66,-0.61,234617,,-1.97,,,,-2.81,16.5,,3.07,,,
2005-03-14,17.52,17.38,-0.32,0.44,237918,,-1.52,,,,-3.13,16.0,,3.01,,,
2005-03-15,17.57,17.03,-2.04,1.09,223964,,-2.98,,,,-5.11,13.4,,3.11,,,
2005-03-16,16.96,16.91,-0.68,-0.39,414835,,-2.88,,,,-5.76,12.7,,3.02,,,
2005-03-17,17.08,16.84,-0.45,1.01,397700,,-2.82,,,,-6.18,12.2,,2.98,,,
2005-03-18,16.84,16.35,-2.9,0.0,1066811,,-6.26,,,,-8.9,9.7,,3.36,,,
2005-03-21,16.12,16.48,0.83,-1.4,220313,,-5.18,,,,-8.14,14.9,,3.3,,,
2005-03-22,16.62,16.53,0.25,0.81,164616,,-2.95,,,,-7.91,16.5,,3.25,,,
2005-03-23,16.41,16.44,-0.55,-0.69,276055,,-2.82,,,,-8.41,15.8,,3.11,,,
2005-03-24,16.57,16.6,0.98,0.82,261238,0.96,-1.43,,,,-7.52,22.0,,2.98,,,-7.62
2005-03-28,16.7,16.51,-0.54,0.65,396831,1.41,0.97,,,,-8.02,21.1,,2.92,,,-8.11
2005-03-29,16.53,16.34,-1.01,0.14,236409,0.84,-0.87,-8.95,,,-8.95,19.4,0.99,2.95,,,-9.04
2005-03-30,16.45,16.7,2.2,0.69,374083,1.29,1.05,-6.14,,,-6.94,31.9,1.14,2.94,,,-7.04
2005-03-31,16.73,16.38,-1.92,0.18,247430,0.85,-0.35,-8.83,,,-8.74,27.7,1.16,3.03,,,-8.83
2005-04-01,16.42,16.07,-1.9,0.24,215757,0.73,-3.19,-9.53,,,-10.47,24.4,1.19,3.18,,,-10.56
2005-04-04,16.13,16.31,1.48,0.37,125987,0.43,-1.22,-7.39,,,-9.14,31.2,1.26,3.15,,,-9.23
2005-04-05,16.34,16.03,-1.71,0.24,212232,0.72,-1.92,-9.92,,,-10.69,28.0,1.25,3.2,,,-10.79
2005-04-06,15.99,16.1,0.46,-0.26,245350,0.83,-3.58,-8.78,,,-10.28,30.1,1.26,3.12,,,-10.37
2005-04-07,15.5,15.21,-5.55,-3.76,1127746,3.27,-7.15,-13.36,,,-15.26,22.0,1.69,3.56,,,-15.35
2005-04-08,15.12,15.29,0.54,-0.54,696889,1.89,-4.85,-12.2,,,-14.81,24.0,1.71,3.53,,,-14.89
2005-04-11,15.29,15.2,-0.6,0.0,383867,1.02,-6.8,-12.28,,,-15.31,23.3,1.71,3.44,,,-15.4
2005-04-12,15.15,15.45,1.64,-0.33,397307,1.03,-3.62,-11.43,,,-13.93,29.5,1.76,3.44,,,-14.02
2005-04-13,15.39,14.75,-4.51,-0.39,378832,0.97,-8.39,-15.15,,,-17.81,23.7,1.95,3.73,,,-17.89
2005-04-14,14.84,14.34,-2.81,0.63,702489,1.73,-5.73,-15.82,,,-20.12,21.1,1.99,3.87,,,-20.2
2005-04-15,14.33,14.13,-1.4,-0.06,419313,1.03,-7.55,-16.43,,,-21.24,19.9,1.99,3.78,,,-21.32
2005-04-18,14.13,14.19,0.37,0.0,1215991,2.93,-6.65,-15.74,,,-20.95,21.1,2.01,3.69,,,-21.03
2005-04-19,14.19,14.39,1.47,0.0,1037793,2.28,-6.81,-11.95,,,-19.79,26.0,2.0,3.54,,,-19.87
2005-04-20,14.33,14.18,-1.48,-0.47,321911,0.69,-3.85,-13.97,,,-20.97,24.3,1.99,3.53,,,-21.06
2005-04-21,14.23,14.52,2.38,0.37,484819,1.02,1.28,-12.15,,,-19.1,31.7,2.09,3.38,,,-19.18
2005-04-22,14.56,14.0,-3.56,0.31,341947,0.72,-0.93,-14.81,,,-21.98,27.3,2.19,3.62,,,-22.06
2005-04-25,14.14,14.6,4.24,1.0,264016,0.56,2.88,-12.06,,,-18.67,37.9,2.42,3.52,,,-18.76
2005-04-26,14.6,13.92,-4.59,0.03,318199,0.67,-3.27,-15.64,,,-22.41,32.2,2.57,3.77,,,-22.49
2005-04-27,13.85,14.29,2.62,-0.51,407115,0.85,0.76,-12.55,,,-20.37,37.7,2.67,3.7,,,-20.46
2005-04-28,14.14,14.01,-1.96,-1.06,295080,0.62,-3.51,-16.11,,,-21.93,35.3,2.61,3.73,,,-22.01
2005-04-29,13.99,14.34,2.32,-0.11,652397,1.3,2.38,-12.47,,,-20.12,40.0,2.68,3.57,,,-20.2
2005-05-02,14.26,14.43,0.69,-0.51,268398,0.53,-1.1,-10.16,,,-19.57,41.4,2.68,3.45,,,-19.65
2005-05-03,14.43,14.34,-0.63,-0.02,147680,0.29,3.01,-12.03,,,-20.07,40.5,2.64,3.4,,,-20.15
2005-05-04,14.45,14.75,2.86,0.74,243654,0.48,3.26,-7.94,,,-17.78,46.4,2.73,3.34,,,-17.87
2005-05-05,14.68,14.73,-0.19,-0.48,202349,0.44,5.11,-8.54,,,-17.94,46.1,2.72,3.23,,,-18.03
2005-05-06,14.82,14.71,-0.13,0.64,149098,0.35,2.6,-3.29,,,-18.04,45.8,2.45,3.13,-7.5,,-18.13
2005-05-09,14.66,14.97,1.8,-0.32,262136,0.62,3.73,-2.07,,,-16.57,49.8,2.49,3.03,-5.48,,-16.66
2005-05-10,14.79,14.53,-2.94,-1.21,294892,0.7,1.31,-4.37,,,-19.02,44.0,2.56,3.15,-7.88,,-19.1
2005-05-11,14.46,14.63,0.65,-0.48,192024,0.47,-0.87,-5.31,,,-18.49,45.5,2.53,3.12,-6.88,,-18.58
2005-05-12,14.63,14.15,-3.25,0.0,163854,0.43,-3.9,-4.06,,,-21.14,39.9,2.44,3.28,-9.49,,-21.22
2005-05-13,14.1,14.04,-0.79,-0.35,249619,0.66,-4.53,-2.06,,,-21.76,38.7,2.37,3.28,-9.79,,-21.84
2005-05-16,14.05,14.37,2.33,0.09,248124,0.76,-4.03,1.66,,,-19.94,44.0,2.41,3.24,-7.28,,-20.02
2005-05-17,14.24,14.22,-1.0,-0.91,299169,1.03,-2.12,0.27,,,-20.74,42.3,2.42,3.23,-7.8,,-20.82
2005-05-18,14.18,14.87,4.51,-0.3,174402,0.62,1.63,3.27,,,-17.16,51.5,2.59,3.2,-3.3,,-17.25
2005-05-19,14.87,14.87,0.0,0.02,115280,0.44,5.05,4.83,,,-17.16,51.5,2.56,3.1,-2.98,,-17.25
2005-05-20,14.7,14.9,0.22,-1.09,119009,0.47,6.11,2.62,,,-16.98,52.0,2.52,3.06,-2.46,,-17.07
2005-05-23,14.83,15.16,1.75,-0.49,306418,1.2,5.51,8.27,,,-15.52,55.6,2.39,2.99,-0.46,,-15.61
2005-05-24,15.24,14.98,-1.21,0.5,300010,1.18,5.29,2.61,,,-16.55,52.6,2.24,3.02,-1.35,,-16.63
2005-05-25,14.77,14.03,-6.34,-1.39,1224841,4.15,-5.65,0.73,,,-21.84,40.5,2.45,3.61,-7.24,,-21.92
2005-05-26,14.22,13.96,-0.5,1.39,1104635,3.29,-6.12,-2.33,-22.23,,-22.23,39.8,2.38,3.58,-7.34,,-22.31
2005-05-27,14.11,14.01,0.42,1.07,296237,0.93,-5.93,0.04,-21.23,,-21.9,40.7,2.34,3.42,-6.6,,-21.99
2005-05-31,13.99,13.82,-1.41,-0.18,766685,2.24,-8.85,-3.61,-23.08,,-23.0,38.5,2.3,3.39,-7.6,,-23.08
2005-06-01,13.96,13.7,-0.83,1.01,463217,1.29,-8.51,-5.07,-22.85,,-23.65,37.3,2.3,3.37,-8.03,,-23.73
2005-06-02,13.68,13.49,-1.56,-0.16,465249,1.26,-3.83,-5.96,-23.39,,-24.83,34.9,2.32,3.34,-9.09,,-24.91
2005-06-03,13.51,13.33,-1.2,0.16,613325,1.57,-4.51,-9.68,-25.09,,-25.74,33.3,2.21,3.36,-9.81,,-25.81
2005-06-06,13.3,13.56,1.73,-0.18,629816,1.52,-3.26,-7.93,-23.19,,-24.45,37.9,2.26,3.33,-7.86,,-24.53
2005-06-07,13.59,13.67,0.81,0.23,611460,1.42,-1.08,-7.07,-22.13,,-23.84,40.0,2.27,3.25,-6.76,,-23.92
2005-06-08,13.67,13.4,-1.99,0.0,494633,1.12,-2.24,-10.53,-23.07,,-25.35,36.6,2.25,3.32,-8.25,,-25.43
2005-06-09,13.49,13.39,-0.04,0.73,419647,0.93,-0.73,-7.86,-22.71,,-25.38,36.6,2.18,3.18,-7.86,,-25.46
2005-06-10,13.45,13.35,-0.34,0.44,1640344,3.11,0.14,-8.76,-23.48,,-25.64,36.0,2.17,3.05,-7.79,,-25.71
2005-06-13,13.35,13.66,2.34,0.0,757101,1.37,0.73,-3.49,-21.44,,-23.89,42.7,2.14,2.97,-5.32,,-23.97
2005-06-14,13.63,13.77,0.82,-0.2,644966,1.13,0.75,-1.93,-19.14,,-23.27,45.0,2.15,2.82,-4.2,,-23.35
2005-06-15,13.77,13.91,0.99,0.0,600541,1.02,3.81,-3.22,-17.78,,-22.51,47.6,2.09,2.73,-2.97,,-22.59
2005-06-16,13.88,14.03,0.87,-0.19,633920,1.04,4.75,-1.39,-16.69,,-21.84,50.0,2.09,2.63,-1.84,,-21.92
2005-06-17,14.03,14.17,0.99,0.0,719391,1.12,6.15,-4.71,-13.35,,-21.06,52.6,1.84,2.54,-0.73,,-21.15
2005-06-20,14.17,14.32,1.07,0.0,564575,0.85,4.83,-3.69,-13.14,,-20.22,55.3,1.86,2.51,0.47,,-20.3
2005-06-21,14.4,14.48,1.16,0.61,303005,0.46,5.19,-2.78,-12.36,,-19.29,58.2,1.88,2.44,1.75,,-19.37
2005-06-22,14.46,14.61,0.85,-0.17,341456,0.51,5.04,-3.65,-11.13,,-18.6,60.2,1.84,2.4,2.73,,-18.69
2005-06-23,14.57,14.64,0.22,-0.24,541503,0.86,4.37,-2.25,-11.79,,-18.42,60.7,1.83,2.31,2.98,,-18.51
2005-06-24,14.65,14.78,0.98,0.05,1313554,2.05,4.36,5.39,-10.45,,-17.62,63.1,1.15,2.23,3.92,,-17.71
2005-06-27,14.77,14.76,-0.13,-0.07,321837,0.5,3.11,5.78,-9.65,,-17.74,62.5,1.14,2.17,3.69,,-17.82
2005-06-28,14.83,15.13,2.49,0.48,268494,0.43,4.46,7.96,-9.4,,-15.69,68.2,1.24,2.17,6.12,,-15.78
2005-06-29,15.12,15.21,0.54,-0.03,243167,0.4,4.14,10.1,-7.12,,-15.23,69.3,1.17,2.13,6.58,,-15.32
2005-06-30,15.25,15.25,0.27,0.27,641717,1.04,4.2,11.32,-5.06,,-15.0,69.9,1.13,2.12,6.71,,-15.09
2005-07-01,15.28,15.53,1.83,0.2,602584,0.98,5.08,15.16,-4.73,,-13.44,73.5,1.06,2.1,8.51,,-13.53
2005-07-05,15.5,15.28,-1.66,-0.25,783348,1.26,3.47,14.62,-4.69,,-14.88,65.7,1.11,2.23,6.52,,-14.97
2005-07-06,15.27,15.07,-1.36,-0.03,374728,0.61,-0.41,11.14,-6.41,,-16.03,60.1,1.16,2.25,5.01,,-16.12
2005-07-07,14.83,14.88,-1.26,-1.55,412896,0.68,-2.19,8.86,-2.16,,-17.09,55.5,1.22,2.27,3.55,,-17.18
2005-07-08,14.89,15.39,3.44,0.11,526170,0.86,0.9,14.89,0.67,,-14.24,63.6,1.26,2.39,6.95,,-14.33
2005-07-11,15.3,15.37,-0.14,-0.61,489504,0.88,-1.05,14.78,1.14,,-14.35,63.1,1.26,2.32,6.6,,-14.44
2005-07-12,15.34,15.12,-1.65,-0.17,463202,0.86,-1.05,13.27,-2.14,,-15.77,57.2,1.34,2.35,4.73,,-15.86
2005-07-13,15.12,15.05,-0.47,0.03,373220,0.71,-0.15,10.16,2.0,,-16.16,55.6,1.3,2.29,4.15,,-16.25
