date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,6.97,7.09,,,8549337,,,,,,0.0,,,2.31,,,
2005-02-28,7.1,7.06,-0.45,0.12,11436573,,,,,,-0.45,0.0,,2.25,,,
2005-03-01,7.06,7.16,1.43,0.0,13422808,,,,,,0.97,19.5,,2.19,,,
2005-03-02,7.1,7.06,-1.47,-0.89,10550193,,,,,,-0.51,16.0,,2.18,,,
2005-03-03,7.09,7.11,0.75,0.43,11218630,,,,,,0.24,23.5,,2.1,,,
2005-03-04,7.12,7.2,1.31,0.18,12174669,,1.55,,,,1.55,34.5,,2.04,,,
2005-03-07,7.2,7.28,1.05,-0.13,8697621,,3.09,,,,2.62,41.8,,1.98,,,
2005-03-08,7.28,7.26,-0.33,0.0,9941279,,1.3,,,,2.28,40.3,,1.93,,,
2005-03-09,7.22,7.1,-2.12,-0.51,14258662,,0.63,,,,0.12,32.1,,2.0,,,
2005-03-10,7.1,7.15,0.66,0.0,11229872,,0.54,,,,0.78,36.4,,1.96,,,
2005-03-11,7.12,7.11,-0.63,-0.4,9120043,,-1.39,,,,0.15,34.2,,1.91,,,
2005-03-14,7.1,7.25,2.03,-0.03,9918816,,-0.43,,,,2.18,45.6,,1.89,,,
2005-03-15,7.26,7.26,0.19,0.19,15264100,,0.09,,,,2.38,46.5,,1.87,,,
2005-03-16,7.27,7.16,-1.48,0.05,12908828,,0.75,,,,0.87,40.6,,2.01,,,
2005-03-17,7.26,7.21,0.75,1.5,13732303,,0.84,,,,1.63,44.4,,1.99,,,
2005-03-18,7.25,7.19,-0.34,0.49,24503813,,1.13,,,,1.28,43.0,,2.02,,,
2005-03-21,7.19,7.13,-0.77,0.0,9426749,,-1.65,,,,0.5,40.1,,1.97,,,
2005-03-22,7.14,7.01,-1.62,0.2,9509875,,-3.43,,,,-1.13,34.6,,2.06,,,
