date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-07-28,3.5,3.96,,,411418,,,,,,0.0,,,19.44,,,
2022-07-29,4.2,3.93,-0.76,6.06,89524,,,,,,-0.76,0.0,,19.27,,,
2022-08-01,4.15,4.1,4.33,5.6,145417,,,,,,3.54,30.4,,18.07,,,
2022-08-02,4.15,4.25,3.66,1.22,149616,,,,,,7.32,45.9,,16.84,,,
2022-08-03,4.38,4.0,-5.88,3.06,84707,,,,,,1.01,32.8,,17.46,,,
2022-08-04,4.07,3.92,-2.1,1.63,55789,,-1.11,,,,-1.11,29.7,,17.25,,,
2022-08-05,3.95,3.83,-2.2,0.87,55310,,-2.54,,,,-3.28,26.9,,16.83,,,
2022-08-08,4.0,4.05,5.74,4.44,37951,,-1.22,,,,2.27,41.9,,15.25,,,
2022-08-09,4.13,4.04,-0.25,1.98,40047,,-4.94,,,,2.02,41.5,,14.6,,,
2022-08-10,4.24,4.0,-0.99,4.95,21427,,0.0,,,,1.01,39.8,,14.28,,,
2022-08-11,4.05,4.06,1.5,1.25,42579,,3.67,,,,2.53,43.6,,13.56,,,
2022-08-12,4.09,4.15,2.22,0.74,65108,,8.36,,,,4.8,48.7,,12.56,,,
2022-08-15,4.16,4.15,0.0,0.24,62392,,2.47,,,,4.8,48.7,,12.11,,,
2022-08-16,3.95,4.05,-2.41,-4.82,35548,,0.25,,,,2.27,43.6,,11.88,,,
2022-08-17,4.19,4.19,3.46,3.46,48980,,4.75,,,,5.81,51.3,,11.0,,,
2022-08-18,4.1,4.12,-1.67,-2.15,66942,,1.48,,,,4.04,47.8,,10.82,,,
2022-08-19,4.25,4.01,-2.67,3.16,124715,,-3.37,,,,1.26,42.8,,11.29,,,
2022-08-22,4.03,3.66,-8.73,0.5,132156,,-11.81,,,,-7.58,31.5,,12.83,,,
2022-08-23,3.75,4.01,9.56,2.46,104673,,-0.99,,,,1.26,46.7,,11.69,,,
2022-08-24,4.15,3.94,-1.75,3.49,39307,0.43,-5.97,,,,-0.51,44.5,,11.68,,,-7.29
2022-08-25,4.02,3.91,-0.76,2.03,42136,0.58,-5.1,,,,-1.26,43.6,,11.15,,,-8.0
2022-08-26,4.0,3.76,-3.84,2.3,47785,0.68,-6.23,-5.05,,,-5.05,39.3,4.07,11.6,,,-11.53
2022-08-29,3.76,3.82,1.6,0.0,30557,0.47,4.37,-2.8,,,-3.54,41.8,4.08,11.35,,,-10.12
2022-08-30,4.0,3.99,4.45,4.71,36747,0.63,-0.5,-2.68,,,0.76,48.3,4.09,10.42,,,-6.12
2022-08-31,3.99,3.89,-2.51,0.0,11871,0.22,-1.27,-8.47,,,-1.77,45.1,4.03,10.23,,,-8.47
2022-09-01,3.9,3.92,0.77,0.26,24667,0.46,0.26,-2.0,,,-1.01,46.2,3.83,9.94,,,-7.76
2022-09-02,3.75,3.7,-5.61,-4.34,27060,0.52,-1.6,-5.52,,,-6.57,39.7,4.0,10.51,,,-12.94
2022-09-06,3.8,4.25,14.86,2.7,239935,3.86,11.26,10.97,,,7.32,56.3,5.14,9.42,,,0.0
2022-09-07,4.3,4.37,2.82,1.18,114330,1.73,9.52,7.9,,,10.35,59.0,5.03,8.9,,,0.0
