date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2025-10-13,15.4,18.26,,,4608938,,,,,,0.0,,,24.21,,,
2025-10-14,18.35,17.71,-3.01,0.49,5054066,,,,,,-3.01,0.0,,25.33,,,
2025-10-15,19.39,17.21,-2.82,9.51,5602903,,,,,,-5.75,0.0,,26.11,,,
2025-10-16,17.6,12.78,-25.77,2.27,5894831,,,,,,-30.04,0.0,,35.55,,,
2025-10-17,13.21,13.2,3.33,3.41,3649403,,,,,,-27.71,3.8,,33.08,,,
2025-10-20,13.5,12.86,-2.58,2.27,2898577,,-29.57,,,,-29.57,3.7,,32.74,,,
2025-10-21,12.32,8.85,-31.18,-4.2,5883881,,-50.03,,,,-51.53,2.6,,47.47,,,
2025-10-22,9.0,8.29,-6.33,1.69,3534602,,-51.83,,,,-54.6,2.5,,48.64,,,
2025-10-23,8.5,9.49,14.48,2.53,2548475,,-25.71,,,,-48.03,11.0,,40.87,,,
2025-10-24,10.12,8.63,-9.06,6.64,2469047,,-34.62,,,,-52.74,10.3,,43.62,,,
2025-10-27,9.0,9.73,12.75,4.29,1673092,,-24.34,,,,-46.71,17.5,,37.02,,,
2025-10-28,9.55,9.27,-4.73,-1.85,1396026,,4.75,,,,-49.23,16.9,,37.06,,,
2025-10-29,9.0,8.86,-4.42,-2.91,1351799,,6.88,,,,-51.48,16.4,,36.68,,,
2025-10-30,8.6,8.1,-8.58,-2.93,1352628,,-14.65,,,,-55.64,15.4,,38.14,,,
2025-10-31,8.26,8.4,3.7,1.98,729142,,-2.67,,,,-54.0,17.5,,34.69,,,
2025-11-03,8.22,7.6,-9.52,-2.14,987388,,-21.89,,,,-58.38,16.3,,36.43,,,
2025-11-04,7.15,6.56,-13.68,-5.92,2258970,,-29.23,,,,-64.07,14.9,,40.65,,,
2025-11-05,6.84,7.11,8.38,4.27,899718,,-19.75,,,,-61.06,18.9,,35.63,,,
2025-11-06,6.93,6.33,-10.97,-2.53,910991,,-21.85,,,,-65.33,17.6,,38.14,,,
2025-11-07,6.07,6.56,3.63,-4.11,854632,0.31,-21.9,,,,-64.07,19.3,,35.34,,,-64.07
2025-11-10,6.94,6.28,-4.27,5.79,773238,0.3,-17.37,,,,-65.61,18.8,,35.28,,,-65.61
2025-11-11,6.28,5.94,-5.41,0.0,692131,0.3,-9.45,-67.47,,,-67.47,18.2,10.92,35.34,,,-67.47
2025-11-12,5.85,5.7,-4.04,-1.52,1446305,0.69,-19.83,-67.81,,,-68.78,17.7,10.91,35.06,,,-68.78
2025-11-13,5.53,4.76,-16.49,-2.98,1594168,0.84,-24.8,-72.34,,,-73.93,16.1,11.2,40.48,,,-73.93
2025-11-14,4.62,4.6,-3.36,-3.05,1580359,0.88,-29.88,-63.99,,,-74.81,15.8,10.17,39.64,,,-74.81
2025-11-17,4.22,4.08,-11.3,-8.26,1613033,0.93,-35.03,-69.09,,,-77.66,14.9,10.13,43.15,,,-77.66
2025-11-18,4.0,4.72,15.69,-1.96,1000187,0.67,-20.54,-63.3,,,-74.15,20.8,11.08,35.89,,,-74.15
2025-11-19,4.77,4.59,-2.75,1.06,1348800,0.98,-19.47,-48.14,,,-74.86,20.5,9.17,35.44,,,-74.86
2025-11-20,5.15,4.26,-7.19,12.2,2313508,1.7,-10.5,-48.61,,,-76.67,19.7,9.19,37.95,,,-76.67
2025-11-21,4.22,4.46,4.69,-0.94,1121087,0.87,-3.04,-53.0,,,-75.58,21.7,8.5,34.63,,,-75.58
2025-11-24,4.55,4.25,-4.71,2.02,837480,0.67,4.17,-50.75,,,-76.73,21.1,8.4,34.55,,,-76.73
2025-11-25,4.25,4.4,3.53,0.0,725280,0.59,-6.78,-54.78,,,-75.9,22.7,7.75,31.85,,,-75.9
2025-11-26,4.32,4.34,-1.36,-1.82,536128,0.45,-5.45,-53.18,,,-76.23,22.5,7.76,30.69,,,-76.23
2025-11-28,4.4,4.66,7.37,1.38,314645,0.28,9.39,-47.4,,,-74.48,26.3,8.09,27.35,,,-74.48
2025-12-01,4.54,4.24,-9.01,-2.58,403249,0.36,-4.93,-47.65,,,-76.78,24.6,8.11,28.67,,,-76.78
2025-12-02,4.55,4.64,9.43,7.31,892646,0.81,9.18,-44.76,,,-74.59,29.2,8.42,25.31,,,-74.59
2025-12-03,4.78,5.49,18.32,3.02,1074526,1.03,24.77,-27.76,,,-69.93,38.0,9.39,21.22,,,-69.93
2025-12-04,5.42,6.16,12.2,-1.28,1647107,1.52,41.94,-6.1,,,-66.27,43.9,9.36,18.78,,,-66.27
2025-12-05,6.22,5.9,-4.22,0.97,977228,0.9,26.61,-17.02,,,-67.69,42.2,9.2,18.87,,,-67.69
2025-12-08,5.89,5.64,-4.41,-0.17,675550,0.63,33.02,-10.9,,,-69.11,40.5,8.94,19.18,,,-69.11
2025-12-09,5.5,5.68,0.71,-2.48,512859,0.48,22.41,-13.41,,,-68.89,40.9,8.9,18.29,,,-68.89
2025-12-10,5.71,5.28,-7.04,0.53,707429,0.66,-3.83,-15.92,,,-71.08,38.2,8.98,19.31,,,-71.08
2025-12-11,5.2,5.87,11.17,-1.52,887396,0.85,-4.71,-1.18,,,-67.85,44.1,9.25,17.38,,,-67.85
2025-12-12,5.75,5.7,-2.9,-2.04,803493,0.8,-3.39,0.0,,,-68.78,42.8,9.22,17.38,,,-68.78
2025-12-15,5.65,5.15,-9.65,-0.88,690084,0.72,-8.69,8.19,,,-71.8,39.0,8.7,18.88,,,-71.8
2025-12-16,5.03,5.25,1.94,-2.33,535991,0.6,-7.57,14.13,,,-71.25,40.0,8.66,17.84,,,-71.25
2025-12-17,5.24,4.79,-8.76,-0.19,824635,0.93,-9.28,17.4,,,-73.77,36.9,8.49,19.09,,,-73.77
2025-12-18,4.91,4.85,1.25,2.51,538206,0.63,-17.38,2.75,,,-73.44,37.5,7.81,17.88,,,-73.44
2025-12-19,4.99,5.05,4.12,2.89,617324,0.81,-11.4,10.02,,,-72.34,39.9,7.81,16.56,,,-72.34
2025-12-22,5.2,4.88,-3.37,2.97,798273,1.06,-5.24,14.55,,,-73.27,38.6,7.66,16.82,-31.73,,-73.27
2025-12-23,4.88,4.47,-8.4,0.0,754306,1.01,-14.86,0.22,,,-75.52,35.5,7.87,17.85,-34.96,,-75.52
2025-12-24,4.54,4.5,0.67,1.57,497362,0.68,-6.05,5.88,,,-75.36,35.9,7.79,16.9,-31.9,,-75.36
2025-12-26,4.44,4.45,-1.11,-1.33,605760,0.82,-8.25,1.14,,,-75.63,35.5,7.76,16.59,-29.95,,-75.63
2025-12-29,4.39,4.12,-7.42,-1.35,830288,1.09,-18.42,-5.07,,,-77.44,32.9,7.94,17.58,-33.33,,-77.44
2025-12-30,4.5,4.7,14.08,9.22,1667589,2.02,-3.69,0.86,,,-74.26,41.1,8.37,15.4,-21.79,,-74.26
2025-12-31,4.7,4.62,-1.7,0.0,854607,1.04,3.36,8.96,,,-74.7,40.3,8.11,15.04,-20.96,,-74.7
2026-01-02,4.74,5.24,13.42,2.6,758372,0.94,16.44,12.93,,,0.0,48.0,8.37,13.24,-9.23,,-71.3
2026-01-05,5.36,5.6,6.87,2.29,1456107,1.82,25.84,2.0,,,6.87,51.9,7.5,12.58,-2.08,,-69.33
2026-01-06,5.68,5.66,1.07,1.43,1544664,1.87,37.38,-8.12,,,8.02,52.6,7.0,12.88,0.31,,-69.0
2026-01-07,5.66,5.44,-3.89,0.0,628024,0.76,15.74,-7.8,,,3.82,50.0,6.99,13.07,-2.48,,-70.21
2026-01-08,5.42,5.65,3.86,-0.37,564697,0.68,22.29,0.18,,,7.82,52.4,6.97,12.29,2.78,,-69.06
2026-01-09,6.1,6.03,6.73,7.96,1065175,1.26,15.08,6.16,,,15.08,56.5,7.12,11.46,11.0,,-66.98
2026-01-12,5.99,6.1,1.16,-0.66,1339666,1.54,8.93,15.53,,,16.41,57.2,6.9,11.42,13.45,,-66.59
2026-01-13,6.23,5.72,-6.23,2.13,807609,0.93,1.06,-2.56,-68.67,,9.16,52.1,6.65,12.08,7.33,,-68.67
2026-01-14,5.81,6.47,13.11,1.57,850464,0.97,18.93,13.51,-63.47,,23.47,59.8,7.19,11.0,22.29,,-64.57
2026-01-15,6.5,6.66,2.94,0.46,1435009,1.56,17.88,29.32,-61.3,,27.1,61.5,6.78,11.09,26.33,,-63.53
2026-01-16,6.7,6.65,-0.15,0.6,566395,0.62,10.28,26.67,-47.95,,26.91,61.3,6.79,10.74,26.1,,-63.58
2026-01-20,6.37,5.92,-10.98,-4.21,807312,0.88,-2.95,23.59,-55.15,,12.98,51.7,6.97,12.28,12.76,,-67.58
2026-01-21,6.18,5.91,-0.17,4.39,942325,1.0,3.32,21.86,-54.04,,12.79,51.6,6.97,12.64,12.75,,-67.63
2026-01-22,6.05,6.35,7.45,2.37,797378,0.85,-1.85,25.74,-28.25,,21.18,56.3,7.08,11.93,21.24,,-65.22
2026-01-23,6.4,6.07,-4.41,0.79,420074,0.46,-8.86,24.39,-26.78,,15.84,52.8,7.12,12.16,15.99,,-66.76
2026-01-26,6.2,5.61,-7.58,2.14,703058,0.75,-15.64,25.5,-40.89,,7.06,47.5,7.07,13.18,7.34,,-69.28
2026-01-27,5.62,5.59,-0.36,0.18,553806,0.6,-5.57,24.22,-35.23,,6.68,47.2,7.07,12.79,7.0,,-69.39
2026-01-28,5.64,5.6,0.18,0.89,598730,0.65,-5.25,25.84,-42.45,,6.87,47.4,7.06,12.29,6.85,,-69.33
2026-01-29,5.62,5.1,-8.93,0.36,613140,0.71,-19.69,23.79,-44.98,,-2.67,41.7,7.16,13.67,-2.88,,-72.07
2026-01-30,4.99,4.98,-2.35,-2.16,525404,0.62,-17.96,5.96,-43.79,,-4.96,40.5,6.56,13.75,-5.49,,-72.73
2026-02-02,4.85,4.59,-7.83,-2.61,572156,0.68,-18.18,-0.65,-43.33,,-12.4,36.6,6.79,14.56,-12.85,,-74.86
2026-02-03,4.55,4.73,3.05,-0.87,551655,0.69,-15.38,-9.73,-43.69,,-9.73,38.9,6.13,13.81,-10.24,,-74.1
2026-02-04,4.7,4.26,-9.94,-0.63,738798,0.98,-23.93,-23.93,-43.95,,-18.7,34.4,6.24,15.41,-19.16,,-76.67
2026-02-05,4.21,3.91,-8.22,-1.17,594029,0.79,-23.33,-30.92,-40.4,,-25.38,31.6,6.41,16.27,-25.64,,-78.59
2026-02-06,4.05,4.45,13.81,3.71,648124,0.86,-10.64,-18.2,-37.41,,-15.08,39.9,7.2,14.22,-15.44,,-75.63
2026-02-09,4.49,4.6,3.37,0.9,469593,0.65,0.22,-18.58,-27.33,,-12.21,42.0,7.18,13.44,-12.65,,-74.81
