date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,262.65,268.5,,,65717,,,,,,0.0,,,4.69,,,
2005-02-28,267.0,260.1,-3.13,-0.56,47199,,,,,,-3.13,0.0,,4.9,,,
2005-03-01,258.9,265.5,2.08,-0.46,97634,,,,,,-1.12,4.7,,4.72,,,
2005-03-02,280.95,263.4,-0.79,5.82,561914,,,,,,-1.9,4.6,,5.15,,,
2005-03-03,262.65,241.2,-8.43,-0.28,421696,,,,,,-10.17,3.8,,6.52,,,
2005-03-04,243.6,228.75,-5.16,1.0,103847,,-14.8,,,,-14.8,3.4,,6.94,,,
2005-03-07,226.95,223.65,-2.23,-0.79,77209,,-14.01,,,,-16.7,3.3,,7.02,,,
2005-03-08,224.85,217.05,-2.95,0.54,97275,,-18.25,,,,-19.16,3.1,,7.1,,,
2005-03-09,217.35,218.25,0.55,0.14,62479,,-17.14,,,,-18.72,4.1,,6.8,,,
2005-03-10,218.85,217.5,-0.34,0.27,81430,,-9.83,,,,-18.99,4.1,,6.68,,,
2005-03-11,219.75,213.45,-1.86,1.03,46576,,-6.69,,,,-20.5,3.9,,6.64,,,
2005-03-14,213.45,226.35,6.04,0.0,81650,,1.21,,,,-15.7,15.4,,6.29,,,
2005-03-15,224.7,222.6,-1.66,-0.73,95592,,2.56,,,,-17.09,14.9,,6.38,,,
2005-03-16,219.75,207.15,-6.94,-1.28,104732,,-5.09,,,,-22.85,12.8,,6.99,,,
2005-03-17,206.85,201.45,-2.75,-0.14,99954,,-7.38,,,,-24.97,12.1,,6.92,,,
2005-03-18,200.25,201.9,0.22,-0.6,40655,,-5.41,,,,-24.8,12.5,,6.55,,,
2005-03-21,201.9,202.8,0.45,0.0,53680,,-10.4,,,,-24.47,13.4,,6.23,,,
2005-03-22,201.45,201.15,-0.81,-0.67,64299,,-9.64,,,,-25.08,13.1,,5.98,,,
2005-03-23,199.8,212.85,5.82,-0.67,127217,,2.75,,,,-20.73,23.7,,5.83,,,
2005-03-24,214.2,222.15,4.37,0.63,115089,0.94,10.28,,,,-17.26,30.9,,5.6,,,-17.26
2005-03-28,225.15,218.4,-1.69,1.35,85147,0.69,8.17,,,,-18.66,29.7,,5.54,,,-18.66
2005-03-29,217.65,207.15,-5.15,-0.34,82501,0.66,2.14,-22.85,,,-22.85,26.3,3.74,5.82,,,-22.85
2005-03-30,209.85,211.65,2.17,1.3,67392,0.55,5.22,-18.63,,,-21.17,29.8,3.78,5.57,,,-21.17
2005-03-31,211.65,209.1,-1.2,0.0,77091,0.78,-1.76,-21.24,,,-22.12,28.9,3.72,5.47,,,-22.12
2005-04-01,210.0,205.8,-1.58,0.43,75608,0.92,-7.36,-21.87,,,-23.35,27.9,3.72,5.48,,,-23.35
2005-04-04,204.3,208.5,1.31,-0.73,81467,1.01,-4.53,-13.56,,,-22.35,30.2,3.35,5.39,,,-22.35
2005-04-05,213.3,211.65,1.51,2.3,106606,1.29,2.17,-7.48,,,-21.17,32.8,3.21,5.34,,,-21.17
