date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,18.11,17.64,-2.15,0.48,429138,0.37,1.46,-5.15,-11.59,-20.94,0.0,50.7,2.52,3.34,-1.16,-15.43,-29.24
2000-01-04,17.89,17.86,1.28,1.41,846979,0.73,3.37,-7.96,-12.36,-21.16,1.28,53.3,2.32,3.34,0.14,-14.29,-28.34
2000-01-05,17.86,17.84,-0.12,0.0,782090,0.73,1.78,-6.63,-8.07,-27.09,1.16,53.1,2.31,3.3,0.06,-14.33,-28.42
2000-01-06,17.67,17.51,-1.87,-0.95,833720,0.86,-2.52,-1.87,-10.36,-27.47,-0.74,48.6,1.84,3.33,-1.78,-15.88,-29.76
2000-01-07,17.59,17.93,2.4,0.49,1204169,1.35,-0.54,4.11,-9.94,-24.26,1.65,53.8,1.74,3.29,0.6,-13.81,-28.08
2000-01-10,18.01,17.72,-1.19,0.46,842465,0.96,0.44,5.23,-12.73,-26.69,0.44,51.0,1.68,3.26,-0.54,-14.79,-28.93
2000-01-11,17.67,18.03,1.75,-0.24,657950,0.8,0.91,4.67,-12.67,-24.43,2.2,54.7,1.65,3.29,1.23,-13.26,-27.69
2000-01-12,18.11,17.84,-1.02,0.48,389638,0.5,0.0,5.67,-8.64,-25.71,1.16,52.2,1.6,3.22,0.24,-14.1,-28.42
2000-01-13,17.89,17.84,0.0,0.24,354085,0.49,1.91,5.18,-3.86,-26.96,1.16,52.2,1.6,3.11,0.27,-14.07,-28.42
2000-01-14,17.84,17.76,-0.49,0.0,472021,0.69,-0.96,5.06,-4.99,-28.77,0.67,50.9,1.61,3.01,-0.17,-14.45,-28.77
2000-01-18,17.3,17.38,-2.1,-2.55,555244,0.85,-1.88,1.97,-5.73,-28.67,-1.44,45.7,1.68,3.17,-2.17,-16.19,-30.26
2000-01-19,17.25,16.83,-3.15,-0.75,904535,1.37,-6.6,0.47,-9.52,-29.9,-4.55,39.3,1.78,3.31,-5.11,-18.78,-32.46
2000-01-20,16.93,16.93,0.55,0.55,944882,1.46,-5.13,3.6,-6.09,-31.25,-4.03,40.8,1.69,3.38,-4.47,-18.29,-32.09
2000-01-21,17.09,17.4,2.82,0.96,755566,1.16,-2.46,5.2,-4.2,-29.37,-1.32,48.0,1.77,3.31,-1.74,-15.96,-30.18
2000-01-24,17.4,16.25,-6.6,0.0,863065,1.3,-8.45,-2.26,-10.74,-33.98,-7.84,36.5,2.31,3.9,-8.06,-21.46,-34.79
2000-01-25,16.38,15.92,-2.03,0.77,824411,1.22,-8.39,-7.05,-12.04,-33.87,-9.71,34.0,2.24,4.11,-9.7,-23.0,-36.11
2000-01-26,16.05,15.96,0.25,0.78,1325208,1.83,-5.17,-8.16,-10.6,-33.93,-9.48,34.6,2.2,4.26,-9.33,-22.73,-35.95
2000-01-27,16.01,16.67,4.44,0.27,1713152,2.16,-1.49,-3.5,-8.01,-30.04,-5.46,44.1,2.44,4.14,-5.19,-19.24,-33.1
2000-01-28,16.72,16.7,0.12,0.24,837104,1.05,-4.07,-4.76,-7.99,-29.88,-5.34,44.3,2.42,4.05,-4.95,-19.07,-33.02
2000-01-31,16.72,16.76,0.37,0.12,671206,0.83,3.09,-6.7,-8.69,-29.46,-4.99,45.1,2.34,3.96,-4.43,-18.7,-32.78
2000-02-01,16.93,16.76,0.0,1.02,1247618,1.47,5.23,-7.04,-7.77,-28.15,-4.99,45.1,2.34,3.91,-4.19,-18.6,-32.78
2000-02-02,16.83,16.67,-0.49,0.47,992282,1.16,4.44,-5.46,-8.11,-28.93,-5.46,44.2,2.3,3.83,-4.39,-18.9,-33.1
2000-02-03,16.89,16.65,-0.14,1.26,850935,0.99,-0.14,-6.79,-8.14,-27.78,-5.59,43.9,2.28,3.77,-4.3,-18.92,-33.2
2000-02-04,16.72,17.25,3.62,0.39,866167,1.0,3.34,-3.3,-5.26,-24.56,-2.18,52.6,2.43,3.62,-0.7,-15.91,-30.78
