date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,26.13,26.28,,,36181,,,,,,0.0,,,5.94,,,
2005-02-28,26.01,25.65,-2.4,-1.03,52974,,,,,,-2.4,0.0,,5.9,,,
2005-03-01,25.5,24.69,-3.74,-0.58,180651,,,,,,-6.05,0.0,,6.29,,,
2005-03-02,24.9,24.6,-0.36,0.85,154686,,,,,,-6.39,0.0,,6.1,,,
2005-03-03,24.36,25.05,1.83,-0.98,309290,,,,,,-4.68,5.3,,5.82,,,
2005-03-04,25.65,25.71,2.63,2.4,108635,,-2.17,,,,-2.17,12.7,,5.48,,,
2005-03-07,25.47,25.65,-0.23,-0.93,37160,,0.0,,,,-2.4,12.6,,5.25,,,
2005-03-08,25.5,25.38,-1.05,-0.58,55024,,2.79,,,,-3.42,12.2,,5.13,,,
2005-03-09,25.32,25.05,-1.3,-0.24,37915,,1.83,,,,-4.68,11.6,,5.06,,,
2005-03-10,24.99,25.5,1.8,-0.24,54207,,1.8,,,,-2.97,17.0,,4.83,,,
2005-03-11,25.14,26.55,4.12,-1.41,53841,,3.27,,,,1.03,28.1,,4.74,,,
2005-03-14,26.67,27.15,2.26,0.45,59492,,5.85,,,,3.31,33.6,,4.55,,,
2005-03-15,26.79,27.27,0.44,-1.33,45081,,7.45,,,,3.77,34.6,,4.41,,,
2005-03-16,26.94,27.03,-0.88,-1.21,53130,,7.9,,,,2.85,33.5,,4.24,,,
2005-03-17,26.91,27.12,0.33,-0.44,23642,,6.35,,,,3.2,34.4,,4.04,,,
2005-03-18,27.33,27.3,0.66,0.77,40408,,2.82,,,,3.88,36.2,,3.98,,,
2005-03-21,27.48,27.3,0.0,0.66,38119,,0.55,,,,3.88,36.2,,3.84,,,
2005-03-22,27.03,27.33,0.11,-0.99,40125,,0.22,,,,4.0,36.5,,3.7,,,
2005-03-23,27.21,27.03,-1.1,-0.44,52930,,0.0,,,,2.85,34.5,,3.65,,,
2005-03-24,27.0,27.12,0.33,-0.11,43395,0.59,0.0,,,,3.2,35.7,,3.45,,,-0.77
2005-03-28,27.03,26.88,-0.88,-0.33,29038,0.4,-1.54,,,,2.28,34.0,,3.37,,,-1.65
2005-03-29,26.88,27.0,0.45,0.0,26629,0.37,-1.1,2.74,,,2.74,35.6,1.76,3.18,,,-1.21
2005-03-30,27.06,27.0,0.0,0.22,22994,0.36,-1.21,5.26,,,2.74,35.6,1.66,3.07,,,-1.21
2005-03-31,26.94,27.12,0.44,-0.22,12434,0.22,0.33,9.84,,,3.2,37.4,1.38,3.07,,,-0.77
2005-04-01,26.88,26.91,-0.77,-0.88,17182,0.4,-0.77,9.39,,,2.4,35.6,1.4,2.98,,,-1.54
2005-04-04,26.88,26.28,-2.34,-0.11,14414,0.38,-2.23,4.91,,,0.0,30.6,1.48,3.12,,,-3.84
2005-04-05,26.61,26.1,-0.68,1.26,47718,1.24,-3.33,1.52,,,-0.68,29.3,1.39,3.18,,,-4.5
2005-04-06,26.1,26.4,1.15,0.0,37392,1.0,-2.22,2.92,,,0.46,34.2,1.41,3.15,,,-3.4
2005-04-07,26.34,26.1,-1.14,-0.23,7831,0.22,-3.76,2.84,,,-0.68,31.8,1.41,3.12,,,-4.5
