date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,15.47,15.66,,,1311902,,,,,,0.0,,,1.64,,,
2005-02-28,15.72,15.59,-0.49,0.35,3505988,,,,,,-0.49,0.0,,1.68,,,
2005-03-01,15.65,15.66,0.49,0.44,1588015,,,,,,0.0,7.1,,1.66,,,
2005-03-02,15.65,15.57,-0.58,-0.11,912803,,,,,,-0.58,6.5,,1.63,,,
2005-03-03,15.47,15.44,-0.83,-0.67,1040733,,,,,,-1.41,5.8,,1.63,,,
2005-03-04,15.47,15.63,1.21,0.15,916015,,-0.21,,,,-0.21,19.9,,1.65,,,
2005-03-07,15.6,15.6,-0.17,-0.17,1730766,,0.11,,,,-0.38,19.5,,1.61,,,
2005-03-08,15.62,15.53,-0.45,0.11,596678,,-0.83,,,,-0.83,18.3,,1.58,,,
2005-03-09,15.48,15.46,-0.47,-0.34,960218,,-0.72,,,,-1.3,17.2,,1.62,,,
2005-03-10,15.44,15.17,-1.88,-0.11,2587257,,-1.77,,,,-3.15,13.5,,1.89,,,
2005-03-11,15.13,15.13,-0.27,-0.27,1011836,,-3.2,,,,-3.41,13.1,,1.83,,,
2005-03-14,15.17,15.33,1.34,0.27,1090375,,-1.74,,,,-2.11,25.5,,1.85,,,
2005-03-15,15.33,15.26,-0.49,0.0,1002701,,-1.78,,,,-2.6,24.1,,1.87,,,
2005-03-16,15.23,14.93,-2.16,-0.15,1116059,,-3.45,,,,-4.7,19.2,,1.97,,,
2005-03-17,14.99,15.23,2.01,0.4,1336603,,0.38,,,,-2.79,32.6,,2.0,,,
2005-03-18,15.29,15.18,-0.27,0.41,1303509,,0.37,,,,-3.05,31.9,,1.96,,,
2005-03-21,15.23,15.14,-0.28,0.27,781168,,-1.23,,,,-3.32,31.0,,1.89,,,
2005-03-22,14.84,14.58,-3.69,-2.02,8353018,,-4.4,,,,-6.88,22.7,,2.18,,,
2005-03-23,14.58,14.14,-3.06,0.0,5605232,,-5.28,,,,-9.73,18.4,,2.46,,,
2005-03-24,14.19,14.15,0.11,0.36,2188152,1.12,-7.04,,,,-9.63,19.0,,2.47,,,-9.63
2005-03-28,14.21,13.99,-1.18,0.42,1611231,0.82,-7.89,,,,-10.7,17.6,,2.49,,,-10.7
2005-03-29,14.03,13.82,-1.18,0.29,4466699,2.22,-8.72,-11.75,,,-11.75,16.3,1.35,2.57,,,-11.75
2005-03-30,13.36,13.4,-3.02,-3.31,9391034,3.91,-8.09,-13.99,,,-14.42,13.6,1.45,2.75,,,-14.42
2005-03-31,13.44,13.82,3.11,0.23,5183653,1.98,-2.24,-11.75,,,-11.75,26.8,1.66,2.77,,,-11.75
2005-04-01,13.9,14.06,1.71,0.56,3777902,1.37,-0.67,-9.71,,,-10.24,33.0,1.73,2.69,,,-10.24
2005-04-04,14.08,14.21,1.05,0.12,2567007,0.91,1.57,-8.01,,,-9.3,36.6,1.76,2.64,,,-9.3
2005-04-05,14.17,14.17,-0.25,-0.25,1448231,0.51,2.53,-9.33,,,-9.53,36.1,1.72,2.54,,,-9.53
2005-04-06,14.19,14.09,-0.6,0.13,1243988,0.44,5.08,-9.73,,,-10.07,34.9,1.72,2.47,,,-10.07
2005-04-07,14.12,14.19,0.74,0.22,1269428,0.44,2.66,-8.65,,,-9.41,37.7,1.74,2.34,,,-9.41
2005-04-08,14.21,14.06,-0.92,0.12,684850,0.25,0.0,-9.06,,,-10.24,35.6,1.74,2.3,,,-10.24
2005-04-11,14.02,14.17,0.8,-0.28,1256090,0.45,-0.25,-6.58,,,-9.53,38.8,1.73,2.23,,,-9.53
2005-04-12,14.13,14.01,-1.12,-0.29,1569741,0.56,-1.12,-7.38,,,-10.54,36.1,1.74,2.27,,,-10.54
2005-04-13,14.02,13.77,-1.74,0.05,823647,0.29,-2.25,-10.19,,,-12.09,32.4,1.72,2.33,,,-12.09
2005-04-14,13.77,13.57,-1.48,0.0,1045176,0.37,-4.4,-11.08,,,-13.39,29.6,1.73,2.34,,,-13.39
2005-04-15,13.57,13.07,-3.66,0.0,3481290,1.2,-7.04,-12.45,,,-16.56,24.2,1.83,2.58,,,-16.56
2005-04-18,13.08,12.97,-0.74,0.06,4406932,1.44,-8.45,-14.8,,,-17.18,23.4,1.73,2.65,,,-17.18
2005-04-19,13.27,13.39,3.2,2.26,3670716,1.15,-4.45,-11.83,,,-14.52,34.5,1.93,2.75,,,-14.52
2005-04-20,13.42,13.14,-1.84,0.25,2181488,0.75,-4.56,-13.22,,,-16.1,31.6,1.95,2.88,,,-16.1
2005-04-21,13.21,13.36,1.69,0.5,1588015,0.59,-1.49,-8.37,,,-14.68,36.8,1.88,2.76,,,-14.68
2005-04-22,13.4,13.6,1.8,0.31,2477106,0.92,4.1,-3.77,,,-13.14,41.9,1.84,2.67,,,-13.14
2005-04-25,13.58,13.67,0.48,-0.17,1851037,0.68,5.38,-3.42,,,-12.72,43.3,1.84,2.63,,,-12.72
2005-04-26,13.67,13.52,-1.07,0.0,790551,0.31,1.01,-3.31,,,-13.66,41.0,1.84,2.59,,,-13.66
2005-04-27,13.46,13.35,-1.31,-0.49,2544037,1.16,1.56,-3.43,,,-14.78,38.3,1.84,2.63,,,-14.78
