date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,35.67,33.73,2.35,8.22,6836116,1.17,3.5,25.46,141.21,192.92,0.0,65.0,4.38,7.64,38.67,129.71,-0.46
2000-01-04,32.7,29.46,-12.66,-3.08,5683828,0.98,-11.81,8.56,95.15,147.92,-12.66,49.6,5.33,9.18,19.47,99.35,-13.06
2000-01-05,32.05,31.11,5.58,8.78,8357798,1.4,-4.49,3.46,100.15,162.93,-7.79,54.1,4.93,9.4,24.41,109.03,-8.21
2000-01-06,30.56,27.8,-10.62,-1.76,7042227,1.16,-17.47,-4.6,80.63,133.96,-17.58,45.3,5.44,10.61,9.91,85.7,-17.96
2000-01-07,27.39,33.73,21.33,-1.5,10722082,1.71,2.35,12.77,122.07,168.3,0.0,58.4,7.16,9.57,31.23,123.56,-0.46
2000-01-10,35.15,35.17,4.26,4.19,7998480,1.23,4.26,17.79,132.87,187.95,4.26,60.8,7.19,9.07,34.47,131.18,0.0
2000-01-11,36.12,32.74,-6.91,2.68,5960247,0.92,11.13,7.22,119.98,169.41,-2.95,54.9,7.39,10.08,23.36,113.62,-6.91
2000-01-12,32.55,34.57,5.6,-0.6,5489048,0.85,11.15,8.47,140.12,186.43,2.49,58.2,7.43,9.69,28.35,123.83,-1.7
2000-01-13,34.92,34.02,-1.61,1.0,6480822,1.01,22.36,4.53,136.54,176.48,0.85,56.9,7.44,9.71,24.5,118.56,-3.28
2000-01-14,34.92,37.18,9.3,2.65,7568860,1.17,10.22,22.52,164.66,198.96,10.22,62.2,7.48,8.98,33.98,136.82,0.0
2000-01-18,38.84,46.88,26.07,4.47,9545607,1.52,33.28,54.46,239.22,287.74,38.96,73.2,9.23,8.2,65.36,195.2,0.0
2000-01-19,45.09,43.06,-8.14,-3.81,7442871,1.19,31.51,49.99,213.58,286.65,27.64,65.2,9.36,9.09,49.16,168.51,-8.14
2000-01-20,45.49,45.64,6.0,5.64,5337612,0.85,32.0,57.01,251.01,295.97,35.3,67.8,9.39,8.38,55.13,181.61,-2.64
2000-01-21,45.94,46.48,1.84,0.66,6190297,1.01,36.63,49.91,241.04,317.7,37.78,68.6,9.34,8.34,55.08,183.68,-0.85
2000-01-24,47.58,40.48,-12.9,2.36,8069284,1.29,8.87,19.46,217.6,263.8,20.0,57.4,9.76,10.25,33.22,144.9,-13.64
2000-01-25,41.18,42.53,5.07,1.72,7485703,1.17,-9.26,26.83,204.13,309.41,26.09,59.8,9.78,9.86,37.86,154.92,-9.26
2000-01-26,42.96,43.01,1.12,1.0,7436574,1.14,-0.11,31.97,225.71,300.61,27.5,60.4,9.73,9.61,37.26,155.39,-8.25
2000-01-27,43.9,40.83,-5.07,2.07,7823101,1.16,-10.54,22.22,208.81,282.44,21.04,56.5,9.84,10.26,28.45,140.43,-12.9
2000-01-28,40.21,39.36,-3.59,-1.51,4617458,0.67,-15.31,20.87,209.97,256.31,16.69,54.0,9.87,10.53,22.18,129.97,-16.03
2000-01-31,40.03,39.84,1.2,1.71,7301766,1.02,-1.6,18.25,196.11,268.47,18.09,54.7,9.85,10.69,22.49,130.83,-15.02
2000-02-01,41.32,42.79,7.41,3.73,4695575,0.66,0.6,29.83,191.34,273.15,26.84,58.9,9.91,9.79,30.03,145.69,-8.72
2000-02-02,43.31,44.89,4.92,1.21,6273704,0.88,4.38,33.08,205.66,301.67,33.08,61.6,9.94,9.25,34.63,155.19,-4.23
2000-02-03,45.64,45.49,1.33,1.66,5981912,0.86,11.41,54.4,187.4,333.22,34.85,62.4,9.37,9.03,34.64,155.99,-2.96
2000-02-04,46.08,50.77,11.62,1.31,10010256,1.41,28.99,63.23,196.69,370.67,50.52,68.4,9.56,8.59,47.9,182.57,0.0
2000-02-07,52.14,49.76,-2.0,2.69,6469235,0.94,24.91,78.96,191.59,390.57,47.5,66.2,9.13,8.76,42.82,173.95,-2.0
2000-02-08,50.82,52.39,5.29,2.14,7520733,1.09,22.43,55.3,191.89,389.65,55.3,69.0,8.16,8.23,48.12,185.18,0.0
2000-02-09,53.03,51.07,-2.52,1.23,4681970,0.69,13.76,45.2,169.65,397.17,51.39,66.0,8.21,8.3,42.41,175.03,-2.52
2000-02-10,51.62,55.26,8.21,1.08,4897660,0.72,21.48,68.78,179.82,427.9,63.81,70.3,8.04,7.84,51.4,194.1,0.0
2000-02-11,57.57,61.49,11.28,4.18,7236503,1.06,21.11,77.85,219.09,474.75,82.29,75.3,8.24,7.46,65.16,222.89,0.0
2000-02-14,63.45,58.86,-4.28,3.18,8972619,1.3,18.3,73.02,212.23,430.57,74.49,70.0,8.33,8.06,55.42,205.18,-4.28
2000-02-15,59.43,60.14,2.18,0.97,6162325,0.92,14.81,61.76,229.85,435.02,78.29,71.1,8.21,7.87,56.09,207.83,-2.19
2000-02-16,64.1,69.62,15.76,6.57,13077305,1.86,36.34,48.53,290.41,522.94,106.39,77.5,6.94,7.32,77.06,250.96,0.0
2000-02-17,70.84,69.2,-0.61,1.75,9323623,1.29,25.23,60.72,181.25,532.72,105.14,76.7,6.57,7.4,72.47,243.64,-0.61
2000-02-18,68.26,66.37,-4.09,-1.36,4782509,0.67,7.93,45.42,181.66,479.15,96.75,71.3,6.67,7.48,62.46,224.95,-4.67
2000-02-22,67.44,66.92,0.83,1.61,4926134,0.71,13.69,43.98,191.27,477.84,98.38,71.7,6.67,7.24,60.89,223.07,-3.88
2000-02-23,66.03,70.97,6.05,-1.33,7441105,1.07,17.99,75.31,203.09,493.65,110.38,74.6,5.79,7.26,67.36,237.58,0.0
2000-02-24,72.07,79.37,11.84,1.56,7512162,1.08,14.0,86.61,237.33,537.28,135.29,79.4,6.1,6.95,83.08,271.41,0.0
2000-02-25,80.37,76.57,-3.53,1.26,5456041,0.79,10.65,78.03,213.68,499.48,126.98,74.4,6.26,7.33,73.1,252.83,-3.53
2000-02-28,76.59,73.02,-4.63,0.03,7535093,1.07,10.02,78.84,181.84,472.89,116.47,68.4,6.23,7.71,61.96,231.72,-8.0
2000-02-29,73.37,74.91,2.59,0.48,5692646,0.82,11.94,90.31,183.41,485.78,122.07,69.8,6.05,7.37,62.93,235.39,-5.62
2000-03-01,75.1,75.43,0.69,0.25,5263025,0.76,6.29,89.35,222.98,476.63,123.6,70.2,6.06,7.2,60.78,232.77,-4.97
2000-03-02,76.4,75.1,-0.43,1.28,3835833,0.56,-5.38,75.52,202.81,476.27,122.64,69.6,6.03,7.05,57.01,226.63,-5.38
2000-03-03,77.09,79.35,5.65,2.64,5241102,0.77,3.63,76.75,195.1,519.37,135.22,72.9,6.04,6.81,62.6,240.01,-0.03
2000-03-06,81.55,84.16,6.06,2.77,6070104,0.92,15.25,85.01,210.11,555.8,149.48,76.0,6.07,6.7,68.97,254.98,0.0
2000-03-07,88.41,84.38,0.27,5.05,7305294,1.1,12.64,66.19,180.66,520.97,150.15,76.1,5.77,6.81,66.03,250.4,0.0
2000-03-08,87.28,86.64,2.68,3.43,5224723,0.8,14.87,74.13,197.31,533.97,156.85,77.5,5.68,6.52,66.93,254.1,0.0
2000-03-09,87.31,95.41,10.12,0.77,6646378,1.0,27.04,82.13,218.94,611.66,182.84,82.0,5.88,6.18,79.53,283.16,0.0
2000-03-10,98.03,94.02,-1.46,2.74,5731699,0.86,18.49,84.11,214.88,621.84,178.71,79.3,5.83,6.4,72.92,271.23,-1.46
2000-03-13,89.63,90.54,-3.7,-4.67,4454937,0.68,7.58,63.84,196.49,573.38,168.39,72.9,5.89,6.67,63.1,251.81,-5.11
2000-03-14,92.07,78.2,-13.62,1.7,10755603,1.62,-7.32,27.18,145.35,487.57,131.82,55.7,6.51,8.58,38.62,199.86,-18.04
2000-03-15,77.79,68.68,-12.18,-0.53,20733855,2.82,-20.73,16.68,111.03,395.81,103.59,46.6,7.06,10.72,20.25,160.39,-28.02
2000-03-16,71.93,72.45,5.49,4.73,16141842,2.15,-24.06,20.46,138.74,404.91,114.78,50.1,7.13,10.71,24.97,171.43,-24.06
2000-03-17,73.89,79.68,9.97,1.98,10673457,1.41,-15.25,14.44,162.55,457.71,136.19,56.0,6.63,9.73,35.17,194.64,-16.49
2000-03-20,82.36,72.65,-8.82,3.37,10427782,1.33,-19.76,4.98,153.07,388.72,115.36,49.8,6.95,11.17,21.4,165.57,-23.86
2000-03-21,72.65,73.38,1.0,0.0,9692517,1.2,-6.17,10.56,152.44,379.55,117.52,50.4,6.87,11.32,21.02,165.15,-23.09
2000-03-22,75.85,81.8,11.48,3.37,7867452,0.97,19.11,22.24,163.84,448.76,142.49,57.0,7.26,10.19,32.87,191.81,-14.26
2000-03-23,81.66,83.65,2.26,-0.18,5987581,0.75,15.45,17.87,146.83,456.98,147.96,58.3,7.18,10.06,33.65,194.51,-12.33
2000-03-24,86.5,79.37,-5.11,3.41,7067801,0.87,-0.38,0.0,136.68,453.71,135.29,54.2,6.85,10.93,25.03,176.07,-16.81
2000-03-27,82.51,77.19,-2.75,3.96,5244382,0.66,6.25,0.81,136.85,436.73,128.83,52.2,6.84,11.04,19.97,165.37,-19.1
2000-03-28,76.94,75.85,-1.74,-0.32,3565713,0.45,3.37,3.87,127.03,439.32,124.85,50.9,6.76,10.92,16.48,157.79,-20.5
2000-03-29,75.4,72.87,-3.93,-0.59,6769083,0.85,-10.92,-2.73,123.76,404.69,116.02,48.2,6.8,11.34,11.02,144.99,-23.62
2000-03-30,66.72,62.8,-13.82,-8.44,12047356,1.44,-24.92,-16.74,86.42,338.11,86.17,40.2,7.45,14.15,-4.9,109.2,-34.18
2000-03-31,66.74,65.68,4.59,6.27,13368467,1.52,-17.25,-12.54,99.29,361.95,94.71,43.1,7.53,14.29,-1.13,116.74,-31.16
2000-04-03,62.0,53.88,-17.97,-5.6,8437797,0.95,-30.21,-32.1,59.71,285.24,59.71,35.5,8.31,17.9,-19.08,76.47,-43.53
2000-04-04,55.71,53.18,-1.29,3.41,16855314,1.8,-29.89,-36.81,80.51,252.27,57.65,35.1,8.13,19.91,-20.43,72.95,-44.26
2000-04-05,48.02,55.21,3.82,-9.7,9970825,1.04,-24.23,-34.57,77.5,255.27,63.67,37.3,8.22,19.46,-17.7,78.22,-42.13
2000-04-06,59.13,57.94,4.94,7.1,7403060,0.77,-7.74,-33.13,108.4,276.43,71.76,40.2,8.29,17.99,-14.02,85.56,-39.27
2000-04-07,61.21,63.45,9.5,5.65,5531882,0.57,-3.4,-33.5,88.08,317.68,88.08,45.7,8.25,15.9,-6.48,101.46,-33.5
2000-04-10,64.29,53.67,-15.41,1.33,9545607,0.96,-0.38,-42.91,52.61,255.37,59.11,38.9,8.78,19.25,-21.22,69.25,-43.75
2000-04-11,50.31,50.5,-5.92,-6.27,9668067,0.98,-5.05,-44.23,54.23,239.28,49.69,37.0,8.81,19.9,-26.11,58.23,-47.08
2000-04-12,48.91,45.0,-10.89,-3.14,7839606,0.85,-18.5,-42.46,30.15,212.52,33.39,33.8,8.66,21.87,-34.2,40.24,-52.84
2000-04-13,47.03,45.19,0.43,4.51,9671097,1.09,-22.0,-34.2,32.85,214.24,33.97,34.1,8.36,21.49,-33.92,40.12,-52.63
2000-04-14,40.97,39.99,-11.52,-9.34,10700039,1.2,-36.98,-44.81,7.55,184.63,18.54,31.2,8.46,24.32,-41.44,23.43,-58.09
2000-04-17,32.74,41.23,3.1,-18.12,13131232,1.46,-23.19,-48.26,-12.05,198.35,22.21,32.6,8.08,23.68,-39.45,26.67,-56.79
2000-04-18,43.16,47.82,15.99,4.7,7945059,0.89,-5.3,-34.18,11.06,248.26,41.76,39.9,8.92,19.97,-29.73,46.11,-49.88
2000-04-19,51.69,48.07,0.52,8.09,7740582,0.87,6.82,-34.49,5.32,269.69,42.49,40.2,8.92,19.1,-29.27,46.06,-49.62
