date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-07-02,22.1,22.74,,,13667900,,,,,,0.0,,,12.36,,,
2015-07-06,22.0,22.0,-3.25,-3.25,776000,,,,,,-3.25,0.0,,12.38,,,
2015-07-07,21.79,22.0,0.0,-0.95,583000,,,,,,-3.25,0.0,,11.79,,,
2015-07-08,22.65,21.47,-2.41,2.95,295300,,,,,,-5.58,0.0,,11.77,,,
2015-07-09,21.58,21.25,-1.02,0.51,255000,,,,,,-6.55,0.0,,11.39,,,
2015-07-10,21.78,21.75,2.35,2.49,193600,,-4.35,,,,-4.35,5.6,,10.58,,,
2015-07-13,21.94,21.09,-3.03,0.87,413100,,-4.14,,,,-7.26,5.2,,10.43,,,
2015-07-14,20.95,20.68,-1.94,-0.66,605864,,-6.0,,,,-9.06,5.0,,10.27,,,
2015-07-15,20.5,20.53,-0.73,-0.87,348893,,-4.38,,,,-9.72,4.9,,9.83,,,
2015-07-16,20.53,21.88,6.58,0.0,713400,,2.96,,,,-3.78,19.2,,9.21,,,
2015-07-17,22.1,20.88,-4.57,1.01,280900,,-4.0,,,,-8.18,17.2,,9.49,,,
2015-07-20,21.08,21.43,2.63,0.96,338900,,1.61,,,,-5.76,22.1,,9.1,,,
2015-07-21,21.2,20.6,-3.87,-1.07,254100,,-0.39,,,,-9.41,20.1,,9.18,,,
2015-07-22,20.18,20.77,0.83,-2.04,187500,,1.17,,,,-8.66,21.7,,8.74,,,
2015-07-23,20.74,20.42,-1.69,-0.14,98200,,-6.67,,,,-10.2,20.8,,8.58,,,
2015-07-24,20.66,19.22,-5.88,1.18,514200,,-7.95,,,,-15.48,18.1,,9.11,,,
2015-07-27,18.77,18.0,-6.35,-2.34,933000,,-16.01,,,,-20.84,15.8,,9.67,,,
2015-07-28,18.0,18.04,0.22,0.0,430500,,-12.43,,,,-20.67,16.2,,9.1,,,
2015-07-29,18.0,18.21,0.94,-0.22,567700,,-12.33,,,,-19.92,17.8,,8.62,,,
2015-07-30,18.0,18.13,-0.44,-1.15,247700,0.23,-11.21,,,,-20.27,17.7,,8.35,,,-20.27
2015-07-31,18.08,18.09,-0.22,-0.28,250800,0.61,-5.88,,,,-20.45,17.6,,7.96,,,-20.45
2015-08-03,17.91,16.86,-6.8,-1.0,491128,1.23,-6.33,-25.86,,,-25.86,14.9,3.23,8.89,,,-25.86
2015-08-04,17.06,17.2,2.02,1.19,154900,0.41,-4.66,-21.82,,,-24.36,18.6,3.28,8.5,,,-24.36
2015-08-05,17.25,17.49,1.69,0.29,119300,0.32,-3.95,-20.5,,,-23.09,21.6,3.33,8.24,,,-23.09
2015-08-06,17.5,17.83,1.94,0.06,258615,0.7,-1.65,-16.95,,,-21.59,25.2,3.38,7.93,,,-21.59
2015-08-07,17.94,17.06,-4.32,0.62,112200,0.31,-5.69,-19.72,,,-24.98,22.7,3.46,8.27,,,-24.98
2015-08-10,17.18,17.16,0.59,0.7,134100,0.38,1.78,-21.1,,,-24.54,23.7,3.4,8.08,,,-24.54
2015-08-11,17.03,16.67,-2.86,-0.76,58796,0.18,-3.08,-20.96,,,-26.69,22.1,3.39,8.03,,,-26.69
2015-08-12,16.52,16.35,-1.92,-0.9,171800,0.54,-6.52,-20.94,,,-28.1,21.1,3.39,7.98,,,-28.1
2015-08-13,15.99,15.56,-4.83,-2.2,912600,2.8,-12.73,-24.21,,,-31.57,18.9,3.49,8.79,,,-31.57
2015-08-14,16.06,15.76,1.29,3.21,678500,1.96,-7.62,-27.97,,,-30.69,21.2,3.06,9.06,,,-30.69
2015-08-17,15.58,15.23,-3.36,-1.14,156500,0.46,-11.25,-27.06,,,-33.03,19.6,3.01,9.85,,,-33.03
2015-08-18,15.19,15.58,2.3,-0.26,150400,0.45,-6.54,-27.3,,,-31.49,23.7,2.99,9.49,,,-31.49
2015-08-19,15.45,14.72,-5.52,-0.83,123700,0.38,-9.97,-28.54,,,-35.27,20.9,3.08,9.92,,,-35.27
2015-08-20,14.63,14.34,-2.58,-0.61,220900,0.66,-7.84,-30.96,,,-36.94,19.7,3.04,9.83,,,-36.94
2015-08-21,14.02,14.22,-0.84,-2.23,383900,1.17,-9.77,-30.36,,,-37.47,19.4,3.04,9.7,,,-37.47
2015-08-24,13.48,14.27,0.35,-5.18,173943,0.6,-6.3,-25.75,,,-37.25,20.0,2.91,9.64,,,-37.25
2015-08-25,14.68,14.35,0.56,2.87,106100,0.39,-7.89,-20.28,,,-36.9,21.1,2.7,9.33,,,-36.9
2015-08-26,14.8,15.16,5.64,3.14,151700,0.6,2.99,-15.96,,,-33.33,31.2,3.06,8.59,,,-33.33
2015-08-27,15.33,15.34,1.19,1.12,223300,0.89,6.97,-15.76,,,-32.54,33.3,3.07,8.44,,,-32.54
2015-08-28,15.33,15.99,4.24,-0.07,166300,0.67,12.45,-11.8,,,-29.68,40.2,3.26,7.93,,,-29.68
2015-08-31,15.98,15.82,-1.06,-0.06,74500,0.33,10.86,-12.55,,,-30.43,39.1,3.26,7.79,,,-30.43
2015-09-01,15.59,15.76,-0.38,-1.45,148400,0.66,9.83,-6.52,,,-30.69,38.6,2.93,7.5,,,-30.69
2015-09-02,15.85,15.31,-2.86,0.57,214900,0.93,0.99,-10.99,,,-32.67,35.6,2.94,7.7,,,-32.67
