date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,45.0,45.0,,,7011,,,,,,0.0,,,4.89,,,
2005-02-28,45.0,44.6,-0.89,0.0,6665,,,,,,-0.89,0.0,,4.9,,,
2005-03-01,45.0,44.8,0.45,0.9,3753,,,,,,-0.44,3.7,,4.75,,,
2005-03-02,46.0,45.6,1.79,2.68,5477,,,,,,1.33,17.0,,4.65,,,
2005-03-03,44.8,46.0,0.88,-1.75,15322,,,,,,2.22,22.7,,4.71,,,
2005-03-04,48.0,46.0,0.0,4.35,11989,,2.22,,,,2.22,22.7,,4.88,,,
2005-03-07,45.6,46.0,0.0,-0.87,13732,,3.14,,,,2.22,22.7,,4.74,,,
2005-03-08,47.6,46.2,0.43,3.48,7012,,3.13,,,,2.67,25.9,,4.7,,,
2005-03-09,46.0,47.0,1.73,-0.43,7512,,3.07,,,,4.44,37.1,,4.74,,,
2005-03-10,46.8,46.0,-2.13,-0.43,5052,,0.0,,,,2.22,30.8,,4.87,,,
2005-03-11,46.0,45.6,-0.87,0.0,5423,,-0.87,,,,1.33,28.7,,4.94,,,
2005-03-14,46.0,41.8,-8.33,0.88,20278,,-9.13,,,,-7.11,17.0,,6.13,,,
2005-03-15,34.4,32.8,-21.53,-17.7,73708,,-29.0,,,,-27.11,8.3,,10.48,,,
2005-03-16,32.0,32.6,-0.61,-2.44,22989,,-30.64,,,,-27.56,8.2,,10.45,,,
2005-03-17,32.0,33.6,3.07,-1.84,19715,,-26.96,,,,-25.33,13.8,,10.52,,,
2005-03-18,37.0,35.6,5.95,10.12,14161,,-21.93,,,,-20.89,23.8,,9.98,,,
2005-03-21,36.8,35.0,-1.69,3.37,8876,,-16.27,,,,-22.22,23.0,,10.08,,,
2005-03-22,35.0,35.0,0.0,0.0,8275,,6.71,,,,-22.22,23.0,,9.85,,,
2005-03-23,35.2,36.2,3.43,0.57,8865,,11.04,,,,-19.56,28.9,,9.12,,,
2005-03-24,35.8,34.2,-5.52,-1.1,12851,0.92,1.79,,,,-24.0,25.4,,9.59,,,-27.23
2005-03-28,33.4,32.4,-5.26,-2.34,8901,0.63,-8.99,,,,-28.0,22.7,,10.24,,,-31.06
2005-03-29,32.2,30.2,-6.79,-0.62,19022,1.3,-13.71,-32.89,,,-32.89,19.9,5.7,10.77,,,-35.74
2005-03-30,31.2,30.8,1.99,3.31,7754,0.52,-12.0,-30.94,,,-31.56,22.7,5.75,10.31,,,-34.47
2005-03-31,30.0,28.2,-8.44,-2.6,9274,0.62,-22.1,-37.05,,,-37.33,19.5,5.92,11.32,,,-40.0
2005-04-01,28.4,26.0,-7.8,0.71,13548,0.91,-23.98,-42.98,,,-42.22,17.3,5.98,12.55,,,-44.68
2005-04-04,26.8,26.8,3.08,3.08,11408,0.76,-17.28,-41.74,,,-40.44,20.8,6.06,12.38,,,-42.98
2005-04-05,26.4,28.0,4.48,-1.49,4350,0.3,-7.28,-39.13,,,-37.78,25.9,6.23,12.17,,,-40.43
2005-04-06,28.6,30.4,8.57,2.14,6151,0.43,-1.3,-33.91,,,-32.44,34.9,6.64,11.26,,,-35.32
2005-04-07,31.2,29.2,-3.95,2.63,3560,0.25,3.55,-36.8,,,-35.11,32.7,6.64,11.57,,,-37.87
