date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,0.09,0.09,-0.24,0.77,82535971,1.39,4.82,19.62,145.27,140.71,0.0,69.8,3.49,5.43,33.9,95.1,-0.24
2000-01-04,0.09,0.09,-2.56,-1.79,82352798,1.35,2.43,19.5,133.11,133.11,-2.56,64.9,3.5,5.74,28.66,89.15,-2.8
2000-01-05,0.08,0.08,-3.41,-2.89,51526148,0.84,-4.17,12.24,106.2,130.83,-5.88,59.1,3.59,5.87,22.71,81.8,-6.12
2000-01-06,0.08,0.08,-6.54,0.0,32920079,0.55,-11.35,8.56,71.51,110.43,-12.04,50.1,3.83,6.62,13.39,69.14,-12.25
2000-01-07,0.08,0.08,1.74,-0.29,20018913,0.34,-10.73,5.75,87.64,97.16,-10.51,52.1,3.73,6.37,14.14,71.27,-10.73
2000-01-10,0.08,0.08,3.16,0.29,66102030,1.1,-7.68,12.51,83.68,94.63,-7.68,55.5,3.69,6.35,16.36,75.82,-7.91
2000-01-11,0.08,0.08,-3.89,-0.56,41006340,0.69,-8.95,9.5,81.14,87.05,-11.28,50.5,3.81,6.48,10.58,68.27,-11.5
2000-01-12,0.08,0.08,-2.59,0.0,34228620,0.59,-8.18,6.98,79.27,89.35,-13.58,47.6,3.86,6.48,6.67,63.28,-13.79
2000-01-13,0.08,0.08,4.15,0.0,36426715,0.64,2.32,13.23,91.79,96.11,-9.99,52.3,3.92,6.22,10.01,69.29,-10.21
2000-01-14,0.08,0.08,4.27,1.44,165490686,2.63,4.87,21.99,104.48,99.97,-6.15,56.7,3.89,6.13,13.58,75.71,-6.38
2000-01-18,0.09,0.09,4.38,1.37,71702195,1.14,6.11,28.19,114.62,114.62,-2.04,60.9,3.93,5.99,17.44,82.48,-2.28
2000-01-19,0.09,0.09,-1.05,0.26,45114763,0.75,9.25,20.39,123.7,115.99,-3.07,59.4,3.85,5.78,15.25,79.66,-3.31
2000-01-20,0.09,0.09,-0.27,0.79,49249605,0.87,11.86,10.86,132.7,121.8,-3.33,59.0,3.46,5.91,13.96,78.27,-3.56
2000-01-21,0.09,0.09,-1.06,-0.28,148651220,2.44,6.27,5.36,122.07,130.22,-4.35,57.3,3.38,5.81,11.86,75.55,-4.59
2000-01-24,0.09,0.08,-4.54,3.21,70433064,1.16,-2.71,-1.91,103.45,119.77,-8.7,50.7,3.5,6.28,6.04,66.88,-8.92
2000-01-25,0.08,0.08,-0.86,0.55,64937564,1.06,-7.59,-8.78,96.12,116.55,-9.48,49.6,3.15,6.28,4.4,64.76,-9.7
