date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-01-26,11.3,10.63,,,270742,,,,,,0.0,,,6.68,,,
2021-01-27,10.68,10.32,-2.92,0.47,127349,,,,,,-2.92,0.0,,6.75,,,
2021-01-28,10.49,10.76,4.26,1.65,89229,,,,,,1.22,9.8,,6.72,,,
2021-01-29,11.0,10.65,-1.02,2.23,227170,,,,,,0.19,9.6,,6.71,,,
2021-02-01,10.88,10.8,1.41,2.16,86092,,,,,,1.6,12.9,,6.39,,,
2021-02-02,10.95,10.95,1.39,1.39,282358,,3.01,,,,3.01,16.2,,6.06,,,
2021-02-03,10.91,10.95,0.0,-0.37,176446,,6.1,,,,3.01,16.2,,5.79,,,
2021-02-04,10.98,10.99,0.37,0.27,181189,,2.14,,,,3.39,17.2,,5.57,,,
2021-02-05,11.2,11.66,6.1,1.91,297801,,9.48,,,,9.69,31.5,,5.46,,,
2021-02-08,11.87,11.93,2.32,1.8,290431,,10.46,,,,12.23,36.2,,5.24,,,
2021-02-09,11.88,11.58,-2.93,-0.42,127665,,5.75,,,,8.94,33.0,,5.44,,,
2021-02-10,11.88,11.65,0.6,2.59,212619,,6.39,,,,9.6,34.3,,5.23,,,
2021-02-11,11.75,11.73,0.69,0.86,150146,,6.73,,,,10.35,35.8,,5.01,,,
2021-02-12,11.62,11.4,-2.81,-0.94,23309,,-2.23,,,,7.24,32.5,,5.0,,,
2021-02-16,11.99,11.35,-0.44,5.18,139225,,-4.86,,,,6.77,32.0,,5.09,,,
2021-02-17,11.35,11.44,0.79,0.0,125517,,-1.21,,,,7.62,33.9,,4.86,,,
2021-02-18,11.62,11.16,-2.45,1.57,115637,,-4.21,,,,4.99,31.0,,5.01,,,
2021-02-19,11.2,11.27,0.99,0.36,94056,,-3.92,,,,6.02,33.4,,4.72,,,
2021-02-22,11.25,11.1,-1.51,-0.18,299098,,-2.63,,,,4.42,31.6,,4.65,,,
2021-02-23,10.85,11.07,-0.27,-2.25,277212,1.54,-2.47,,,,4.14,31.3,,4.79,,,-7.21
2021-02-24,11.08,11.0,-0.63,0.09,100310,0.59,-3.85,,,,3.48,30.5,,4.91,,,-7.8
2021-02-25,10.89,10.7,-2.73,-1.0,228601,1.3,-4.12,0.66,,,0.66,27.3,2.34,5.07,,,-10.31
2021-02-26,10.65,10.47,-2.15,-0.47,219397,1.2,-7.1,1.45,,,-1.51,25.2,2.3,5.08,,,-12.24
2021-03-01,10.51,10.68,2.01,0.38,275521,1.49,-3.78,-0.74,,,0.47,30.6,2.14,4.82,,,-10.48
2021-03-02,10.59,10.18,-4.68,-0.84,370510,1.86,-8.04,-4.41,,,-4.23,25.8,2.36,5.08,,,-14.67
2021-03-03,10.2,10.29,1.08,0.2,518789,2.46,-6.45,-4.72,,,-3.2,28.4,2.35,4.82,,,-13.75
2021-03-04,10.17,10.02,-2.62,-1.17,364623,1.65,-6.36,-8.49,,,-5.74,26.0,2.38,4.88,,,-16.01
2021-03-05,10.2,10.14,1.2,1.8,656945,2.69,-3.15,-7.4,,,-4.61,28.9,2.4,4.82,,,-15.0
2021-03-08,10.13,10.08,-0.59,-0.1,506014,1.99,-5.62,-8.28,,,-5.17,28.3,2.4,4.66,,,-15.51
2021-03-09,10.09,10.08,0.0,0.1,170537,0.69,-0.98,-13.55,,,-5.17,28.3,1.89,4.4,,,-15.51
2021-03-10,10.05,10.1,0.2,-0.3,140753,0.56,-1.85,-15.34,,,-4.99,28.9,1.78,4.14,,,-15.34
2021-03-11,10.07,10.27,1.68,-0.3,51663,0.21,2.5,-11.31,,,-3.39,33.7,1.78,3.95,,,-13.91
2021-03-12,10.22,10.13,-1.36,-0.49,55449,0.23,-0.1,-13.05,,,-4.7,31.8,1.77,3.85,,,-15.09
