date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-05-01,156640.0,155200.0,,,1,,,,,,0.0,,,0.93,,,
2020-05-05,156800.0,156160.0,0.62,1.03,0,,,,,,0.62,,,0.93,,,
2020-05-06,156160.0,156160.0,0.0,0.0,0,,,,,,0.62,,,0.86,,,
2020-05-07,158560.0,158560.0,1.54,1.54,1,,,,,,2.16,,,0.9,,,
2020-05-08,157600.0,157120.0,-0.91,-0.61,0,,,,,,1.24,90.0,,0.94,,,
2020-05-13,156960.0,157120.0,0.0,-0.1,6,,1.24,,,,1.24,90.0,,0.88,,,
2020-05-14,157280.0,157440.0,0.2,0.1,0,,0.82,,,,1.44,90.3,,0.83,,,
2020-05-15,157600.0,157259.0,-0.11,0.1,0,,0.7,,,,1.33,88.9,,0.78,,,
2020-05-19,158400.0,157120.0,-0.09,0.73,0,,-0.91,,,,1.24,87.8,,0.79,,,
2020-05-20,158400.0,156960.0,-0.1,0.81,0,,-0.1,,,,1.13,86.5,,0.8,,,
2020-05-22,156960.0,156960.0,0.0,0.0,5,,-0.1,,,,1.13,86.5,,0.75,,,
2020-05-27,156960.0,157120.0,0.1,0.0,1,,-0.2,,,,1.24,86.7,,0.71,,,
2020-06-02,156960.0,156960.0,-0.1,-0.1,0,,-0.19,,,,1.13,85.2,,0.66,,,
2020-06-03,157120.0,157120.0,0.1,0.1,0,,0.0,,,,1.24,85.4,,0.62,,,
2020-06-05,158400.0,156800.0,-0.2,0.81,0,,-0.1,,,,1.03,82.1,,0.65,,,
2020-06-08,156800.0,156800.0,0.0,0.0,0,,-0.1,,,,1.03,82.1,,0.61,,,
2020-06-09,156960.0,156960.0,0.1,0.1,0,,-0.1,,,,1.13,82.5,,0.57,,,
2020-06-10,156960.0,157280.0,0.2,0.0,1,,0.2,,,,1.34,83.3,,0.54,,,
2020-06-11,156960.0,157280.0,0.0,-0.2,2,,0.1,,,,1.34,83.3,,0.52,,,
2020-06-12,156870.0,157120.0,-0.1,-0.26,0,0.06,0.2,,,,1.24,81.1,,0.5,,,-0.91
2020-06-15,156800.0,157120.0,0.0,-0.2,0,0.07,0.2,,,,1.24,81.1,,0.49,,,-0.91
2020-06-16,157760.0,156800.0,-0.2,0.41,0,0.05,-0.1,1.03,,,1.03,76.5,0.43,0.5,,,-1.11
2020-06-17,156960.0,157280.0,0.31,0.1,0,0.37,0.0,0.72,,,1.34,78.5,0.42,0.48,,,-0.81
2020-06-18,157280.0,157600.0,0.2,0.0,0,0.72,0.2,0.92,,,1.55,79.7,0.42,0.48,,,-0.61
2020-06-19,157440.0,157920.0,0.2,-0.1,1,0.9,0.51,-0.4,,,1.75,80.9,0.25,0.48,,,-0.4
2020-06-22,157920.0,157920.0,0.0,0.0,0,0.11,0.51,0.51,,,1.75,80.9,0.14,0.44,,,-0.4
2020-06-25,158240.0,158400.0,0.3,0.2,0,0.4,1.02,0.81,,,2.06,82.6,0.16,0.43,,,-0.1
2020-06-29,157920.0,158400.0,0.0,-0.3,0,0.18,0.71,0.61,,,2.06,82.6,0.15,0.42,,,-0.1
2020-06-30,158240.0,158720.0,0.2,-0.1,0,0.25,0.71,0.93,,,2.27,83.8,0.15,0.41,,,0.0
2020-07-01,158720.0,158720.0,0.0,0.0,0,0.01,0.51,1.02,,,2.27,83.8,0.15,0.38,,,0.0
2020-07-02,158720.0,158400.0,-0.2,0.0,0,0.81,0.3,0.92,,,2.06,77.8,0.16,0.37,,,-0.2
2020-07-06,158720.0,158560.0,0.1,0.2,0,0.48,0.1,1.02,,,2.16,78.6,0.16,0.36,,,-0.1
2020-07-07,158880.0,158875.0,0.2,0.2,0,0.23,0.3,1.12,,,2.37,80.2,0.16,0.35,,,0.0
2020-07-08,158400.0,157600.0,-0.8,-0.3,1,3.18,-0.71,0.41,,,1.55,60.9,0.24,0.38,,,-0.8
2020-07-09,158400.0,158566.0,0.61,0.51,0,1.43,-0.1,0.92,,,2.17,67.3,0.28,0.4,,,-0.19
2020-07-10,158720.0,158400.0,-0.1,0.1,0,0.19,0.0,1.02,,,2.06,65.3,0.27,0.39,,,-0.3
2020-07-13,158720.0,158720.0,0.2,0.2,0,0.09,0.1,1.22,,,2.27,67.3,0.27,0.38,,,-0.1
2020-07-14,159040.0,159040.0,0.2,0.2,0,0.29,0.1,1.33,,,2.47,69.2,0.28,0.36,,,0.0
2020-07-16,159040.0,159680.0,0.4,0.0,0,0.09,1.32,1.53,,,2.89,72.7,0.28,0.36,,,0.0
2020-07-20,160320.0,159360.0,-0.2,0.4,0,0.22,0.5,1.32,,,2.68,68.6,0.29,0.38,,,-0.2
2020-07-21,159360.0,159520.0,0.1,0.0,0,0.91,0.71,1.53,,,2.78,69.5,0.29,0.37,,,-0.1
2020-07-23,159680.0,159680.0,0.1,0.1,0,0.07,0.6,1.63,,,2.89,70.4,0.29,0.35,,,0.0
2020-07-24,159360.0,159360.0,-0.2,-0.2,0,0.65,0.2,1.63,,,2.68,66.0,0.29,0.34,,,-0.2
2020-07-29,159040.0,159040.0,-0.2,-0.2,0,0.08,-0.4,1.12,,,2.47,61.9,0.29,0.33,,,-0.4
2020-07-30,159040.0,159040.0,0.0,0.0,0,2.32,-0.2,0.91,,,2.47,61.9,0.29,0.32,,,-0.4
2020-07-31,159040.0,159040.0,0.0,0.0,0,2.34,-0.3,0.71,,,2.47,61.9,0.28,0.3,,,-0.4
2020-08-03,159200.0,159200.0,0.1,0.1,2,5.46,-0.3,0.81,,,2.58,63.3,0.28,0.29,,,-0.3
2020-08-05,159040.0,159040.0,-0.1,-0.1,0,0.02,-0.2,0.4,,,2.47,60.8,0.28,0.27,,,-0.4
2020-08-07,158400.0,158760.0,-0.18,-0.4,0,1.93,-0.18,0.23,,,2.29,56.7,0.28,0.28,,,-0.58
2020-08-12,158400.0,158400.0,-0.23,-0.23,1,3.09,-0.4,-0.2,,,2.06,51.7,0.28,0.31,0.3,,-0.8
2020-08-13,158400.0,158400.0,0.0,0.0,0,0.08,-0.4,-0.2,,,2.06,51.7,0.28,0.29,0.25,,-0.8
2020-08-14,158400.0,158400.0,0.0,0.0,0,0.05,-0.5,0.0,,,2.06,51.7,0.28,0.27,0.23,,-0.8
2020-08-17,158400.0,158560.0,0.1,0.0,0,0.37,-0.3,0.0,,,2.16,53.9,0.28,0.27,0.3,,-0.7
2020-08-20,158400.0,159120.0,0.35,-0.1,0,0.42,0.23,0.15,,,2.53,60.8,0.29,0.28,0.64,,-0.35
2020-08-21,158400.0,158400.0,-0.45,-0.45,1,2.49,0.0,0.51,,,2.06,50.4,0.25,0.31,0.17,,-0.8
2020-08-24,158160.0,157920.0,-0.3,-0.15,2,4.61,-0.3,-0.41,,,1.75,44.9,0.21,0.33,-0.14,,-1.1
2020-08-25,158080.0,158720.0,0.51,0.1,0,0.47,0.2,0.2,,,2.27,53.9,0.24,0.34,0.35,,-0.6
2020-08-26,158720.0,158720.0,0.0,0.0,0,0.03,0.1,0.0,,,2.27,53.9,0.24,0.32,0.33,,-0.6
2020-08-28,158400.0,158560.0,-0.1,-0.2,0,0.21,-0.35,-0.3,,,2.16,52.0,0.23,0.31,0.21,,-0.7
2020-08-31,158400.0,158400.0,-0.1,-0.1,1,1.97,0.0,-0.8,,,2.06,50.0,0.21,0.3,0.09,,-0.8
2020-09-01,158880.0,158400.0,0.0,0.3,0,0.12,0.3,-0.6,,,2.06,50.0,0.21,0.3,0.07,,-0.8
2020-09-02,158720.0,158400.0,0.0,0.2,0,0.45,-0.2,-0.7,,,2.06,50.0,0.21,0.3,0.06,,-0.8
2020-09-03,158880.0,158880.0,0.3,0.3,0,1.34,0.1,-0.5,,,2.37,56.2,0.22,0.3,0.34,,-0.5
2020-09-04,159680.0,159200.0,0.2,0.5,0,0.25,0.4,-0.1,2.58,,2.58,59.8,0.22,0.32,0.51,,-0.3
2020-09-08,158400.0,158400.0,-0.5,-0.5,0,0.04,0.0,-0.4,1.43,,2.06,49.0,0.24,0.33,-0.01,,-0.8
2020-09-10,158720.0,158560.0,0.1,0.2,0,0.53,0.1,-0.3,1.54,,2.16,50.9,0.25,0.32,0.07,,-0.7
