date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-08-05,13.16,13.16,,,0,,,,,,0.0,,,0.0,,,
2010-08-06,12.22,13.16,0.0,-7.15,11359907,,,,,,0.0,,,0.56,,,
2010-08-09,13.16,13.16,0.0,0.0,1935644,,,,,,0.0,,,0.67,,,
2010-08-10,12.94,12.78,-2.86,-1.64,1680056,,,,,,-2.86,0.0,,0.86,,,
2010-08-11,12.46,11.98,-6.25,-2.55,2753370,,,,,,-8.93,0.0,,1.5,,,
2010-08-12,11.52,11.65,-2.82,-3.85,1893947,,-11.5,,,,-11.5,0.0,,1.81,,,
2010-08-13,11.52,11.28,-3.15,-1.13,1018673,,-14.29,,,,-14.29,0.0,,2.13,,,
2010-08-16,11.08,11.07,-1.83,-1.75,586821,,-15.86,,,,-15.86,0.0,,2.35,,,
2010-08-17,11.15,11.49,3.73,0.67,1155995,,-10.15,,,,-12.71,20.2,,2.42,,,
2010-08-18,11.36,11.28,-1.8,-1.14,1075094,,-5.88,,,,-14.29,18.2,,2.65,,,
2010-08-19,11.23,10.86,-3.74,-0.43,793579,,-6.76,,,,-17.49,15.0,,3.04,,,
2010-08-20,10.76,10.48,-3.48,-0.9,479402,,-7.09,,,,-20.36,12.8,,3.26,,,
2010-08-23,10.6,10.32,-1.52,1.16,810426,,-6.8,,,,-21.57,12.0,,3.75,,,
2010-08-24,10.11,10.04,-2.72,-2.01,794384,,-12.59,,,,-23.7,10.7,,4.12,,,
2010-08-25,9.87,10.1,0.64,-1.71,1183146,,-10.42,,,,-23.22,13.0,,4.4,,,
2010-08-26,10.28,10.34,2.33,1.76,618467,,-4.78,,,,-21.43,20.9,,4.25,,,
2010-08-27,10.48,10.44,0.99,1.36,393705,,-0.37,,,,-20.65,24.1,,4.23,,,
2010-08-30,10.35,10.43,-0.08,-0.89,241334,,1.09,,,,-20.72,24.1,,4.1,,,
2010-08-31,10.35,10.41,-0.27,-0.8,251076,,3.63,,,,-20.94,23.7,,4.05,,,
2010-09-01,10.42,11.03,5.97,0.1,439110,0.3,9.12,,,,-16.22,41.5,,4.27,,,-16.22
2010-09-02,10.42,11.16,1.18,-5.55,104788,0.07,7.9,,,,-15.23,44.5,,4.42,,,-15.23
2010-09-03,11.19,11.18,0.18,0.26,242015,0.26,7.03,-15.08,,,-15.08,44.9,2.77,4.54,,,-15.08
2010-09-07,11.28,11.31,1.18,0.93,498290,0.59,8.38,-14.08,,,-14.08,48.0,2.8,4.51,,,-14.08
2010-09-08,10.8,11.43,1.07,-4.48,1578414,1.87,9.84,-13.16,,,-13.16,50.6,2.83,4.59,,,-13.16
