date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-07-08,10.0,9.98,,,15054506,,,,,,0.0,,,0.7,,,
2021-07-09,9.98,10.05,0.7,0.0,1529356,,,,,,0.7,,,0.7,,,
2021-07-12,10.0,10.05,0.0,-0.5,1030741,,,,,,0.7,,,0.68,,,
2021-07-13,10.02,10.01,-0.4,-0.3,137732,,,,,,0.3,95.5,,0.66,,,
2021-07-14,10.0,9.97,-0.4,-0.1,129348,,,,,,-0.1,91.0,,0.65,,,
2021-07-15,9.95,9.99,0.2,-0.23,51822,,0.1,,,,0.1,91.3,,0.65,,,
2021-07-16,9.97,9.97,-0.2,-0.2,158617,,-0.8,,,,-0.1,88.9,,0.67,,,
2021-07-19,9.9,9.86,-1.1,-0.7,1049551,,-1.89,,,,-1.2,77.2,,0.71,,,
2021-07-20,9.86,9.85,-0.1,0.0,1085276,,-1.6,,,,-1.3,76.2,,0.7,,,
2021-07-21,9.9,9.88,0.3,0.51,17201,,-0.91,,,,-1.01,77.2,,0.69,,,
2021-07-22,9.9,9.87,-0.09,0.21,3707,,-1.2,,,,-1.1,76.2,,0.66,,,
2021-07-23,9.89,9.88,0.09,0.2,8365,,-0.91,,,,-1.01,76.5,,0.63,,,
2021-07-26,9.86,9.85,-0.29,-0.19,9518,,-0.1,,,,-1.3,73.1,,0.61,,,
2021-07-27,9.8,9.85,0.0,-0.51,23168,,0.0,,,,-1.3,73.1,,0.62,,,
2021-07-28,9.86,9.85,0.0,0.1,13920,,-0.3,,,,-1.3,73.1,,0.61,,,
2021-07-29,9.86,9.85,0.0,0.12,3715,,-0.2,,,,-1.3,73.1,,0.59,,,
2021-07-30,9.86,9.85,0.0,0.1,8034,,-0.29,,,,-1.3,73.1,,0.59,,,
2021-08-02,9.9,9.89,0.41,0.51,7405,,0.41,,,,-0.9,75.3,,0.58,,,
2021-08-03,9.91,9.88,-0.1,0.2,12136,,0.3,,,,-1.0,73.7,,0.58,,,
2021-08-04,9.85,9.88,0.0,-0.3,32791,0.03,0.3,,,,-1.0,73.7,,0.56,,,-1.69
2021-08-05,9.85,9.95,0.71,-0.3,646508,2.17,1.02,,,,-0.3,77.6,,0.6,,,-1.0
2021-08-06,9.88,9.91,-0.4,-0.69,31798,0.14,0.61,-0.7,,,-0.7,71.1,0.4,0.61,,,-1.39
2021-08-09,9.9,9.89,-0.2,-0.1,1157,0.01,0.0,-1.59,,,-0.9,68.0,0.36,0.59,,,-1.59
2021-08-10,9.91,9.95,0.61,0.19,4462,0.03,0.71,-1.0,,,-0.3,71.9,0.39,0.58,,,-1.0
2021-08-11,9.95,9.95,0.0,0.0,12674,0.08,0.71,-0.6,,,-0.3,71.9,0.38,0.57,,,-1.0
2021-08-12,9.88,9.85,-1.01,-0.7,1760060,7.2,-1.01,-1.2,,,-1.3,58.2,0.43,0.64,,,-1.99
2021-08-13,9.8,9.87,0.2,-0.51,1886,0.01,-0.4,-1.2,,,-1.1,59.8,0.43,0.65,,,-1.79
2021-08-16,9.79,9.84,-0.3,-0.81,22096,0.12,-0.51,-1.3,,,-1.4,56.2,0.43,0.66,,,-2.09
2021-08-17,9.83,9.84,0.0,-0.1,1305,0.01,-1.11,-0.2,,,-1.4,56.2,0.36,0.63,,,-2.09
2021-08-18,9.83,9.84,0.0,-0.1,14601,0.11,-1.11,-0.1,,,-1.4,56.2,0.36,0.62,,,-2.09
2021-08-19,9.86,9.86,0.2,0.2,106,0.0,0.1,-0.19,,,-1.2,58.3,0.36,0.59,,,-1.89
2021-08-20,9.83,9.83,-0.3,-0.3,4093,0.03,-0.41,-0.41,,,-1.5,54.2,0.36,0.59,,,-2.19
2021-08-23,9.82,9.83,0.0,-0.09,3147,0.02,-0.1,-0.49,,,-1.5,54.2,0.36,0.55,,,-2.19
2021-08-24,9.74,9.75,-0.81,-0.92,8161,0.06,-0.91,-1.02,,,-2.3,44.4,0.4,0.76,,,-2.99
2021-08-25,9.66,9.78,0.31,-0.92,9065,0.07,-0.61,-0.71,,,-2.0,48.1,0.4,0.81,,,-2.69
