date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-09-15,780.0,910.2,,,355327,,,,,,0.0,,,19.76,,,
2020-09-16,821.25,900.45,-1.07,-9.77,47491,,,,,,-1.07,0.0,,19.45,,,
2020-09-17,855.0,870.3,-3.35,-5.05,54550,,,,,,-4.38,0.0,,20.29,,,
2020-09-18,897.9,900.15,3.43,3.17,28131,,,,,,-1.1,17.0,,18.84,,,
2020-09-21,883.5,825.0,-8.35,-1.85,75812,,,,,,-9.36,11.6,,20.1,,,
2020-09-22,829.65,804.45,-2.49,0.56,19860,,-11.62,,,,-11.62,10.6,,19.74,,,
2020-09-23,816.45,815.25,1.34,1.49,13160,,-9.46,,,,-10.43,14.8,,18.68,,,
2020-09-24,799.05,779.7,-4.36,-1.99,10195,,-10.41,,,,-14.34,12.7,,18.66,,,
2020-09-25,794.1,777.0,-0.35,1.85,17712,,-13.68,,,,-14.63,12.5,,17.69,,,
2020-09-28,776.1,775.95,-0.14,-0.12,11920,,-5.95,,,,-14.75,12.5,,16.72,,,
2020-09-29,776.1,746.25,-3.83,0.02,23230,,-7.23,,,,-18.01,10.9,,16.78,,,
2020-09-30,738.9,750.0,0.5,-0.98,15964,,-8.0,,,,-17.6,12.4,,15.76,,,
2020-10-01,741.75,689.85,-8.02,-1.1,18350,,-11.52,,,,-24.21,9.6,,16.53,,,
2020-10-02,673.2,687.0,-0.41,-2.41,19876,,-11.58,,,,-24.52,9.5,,15.76,,,
2020-10-05,676.35,669.75,-2.51,-1.55,23338,,-13.69,,,,-26.42,8.9,,15.34,,,
2020-10-06,677.55,648.9,-3.11,1.16,28897,,-13.05,,,,-28.71,8.1,,15.22,,,
2020-10-07,660.0,639.0,-1.53,1.71,13748,,-14.8,,,,-29.8,7.8,,14.75,,,
2020-10-08,652.5,667.5,4.46,2.11,17029,,-3.24,,,,-26.66,18.1,,13.62,,,
2020-10-09,686.25,637.65,-4.47,2.81,20192,,-7.18,,,,-29.94,16.0,,13.79,,,
2020-10-12,656.4,657.45,3.11,2.94,41927,0.98,-1.84,,,,-27.77,22.2,,13.26,,,-27.77
2020-10-13,660.0,678.9,3.26,0.39,16823,0.65,4.62,,,,-25.41,28.4,,12.55,,,-25.41
2020-10-14,701.85,690.9,1.77,3.38,15930,0.65,8.12,-24.09,,,-24.09,31.7,3.53,11.8,,,-24.09
2020-10-15,683.25,750.3,8.6,-1.11,44484,1.87,12.4,-16.67,,,-17.57,45.0,4.13,11.34,,,-17.57
2020-10-16,776.62,720.75,-3.94,3.51,9713,0.42,13.03,-17.18,,,-20.81,40.7,4.15,11.6,,,-20.81
2020-10-19,723.75,718.2,-0.35,0.42,11909,0.6,9.24,-20.21,,,-21.09,40.4,4.04,11.09,,,-21.09
2020-10-20,717.45,694.65,-3.28,-0.1,10156,0.53,2.32,-15.8,,,-23.68,37.2,3.72,11.01,,,-23.68
2020-10-21,693.0,678.75,-2.29,-0.24,8839,0.46,-1.76,-15.63,,,-25.43,35.1,3.71,10.75,,,-25.43
2020-10-22,680.7,733.95,8.13,0.29,7781,0.41,-2.18,-9.97,,,-19.36,46.2,4.17,9.79,,,-19.36
2020-10-23,730.35,745.95,1.63,-0.49,8149,0.44,3.5,-4.33,,,-18.05,48.2,4.09,9.33,,,-18.05
2020-10-26,735.3,718.65,-3.66,-1.43,10878,0.59,0.06,-7.51,,,-21.04,44.1,4.17,9.58,,,-21.04
2020-10-27,715.65,735.9,2.4,-0.42,7162,0.41,5.94,-5.16,,,-19.15,47.2,4.21,9.17,,,-19.15
2020-10-28,719.4,721.95,-1.9,-2.24,12596,0.72,6.36,-3.26,,,-20.68,45.0,4.14,9.05,,,-20.68
2020-10-29,718.65,733.95,1.66,-0.46,11022,0.65,0.0,-2.14,,,-19.36,47.3,4.16,8.7,,,-19.36
2020-10-30,724.95,697.05,-5.03,-1.23,13251,0.79,-6.56,1.04,,,-23.42,41.6,3.92,8.92,,,-23.42
2020-11-02,705.9,673.05,-3.44,1.27,17775,1.08,-6.35,-2.03,,,-26.05,38.4,3.99,9.3,,,-26.05
2020-11-03,678.0,660.3,-1.89,0.74,8451,0.55,-10.27,-1.41,,,-27.46,36.8,3.97,9.13,,,-27.46
2020-11-04,667.95,670.95,1.61,1.16,10686,0.7,-7.06,3.4,,,-26.29,39.1,3.92,8.71,,,-26.29
2020-11-05,683.7,734.85,9.52,1.9,20722,1.34,0.12,15.0,,,-19.26,50.7,4.39,8.2,,,-19.26
2020-11-06,734.85,730.05,-0.65,0.0,7023,0.48,4.73,9.37,,,-19.79,50.0,4.31,8.01,,,-19.79
2020-11-09,754.5,735.6,0.76,3.35,9553,0.73,9.29,15.36,,,-19.18,50.9,4.16,7.65,,,-19.18
2020-11-10,722.4,699.45,-4.91,-1.79,9601,0.75,5.93,6.39,,,-23.15,45.0,4.3,8.0,,,-23.15
2020-11-11,728.7,738.9,5.64,4.18,11752,0.93,10.13,8.84,,,-18.82,51.6,4.41,7.52,,,-18.82
