date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,4.7,4.65,,,2351715,,,,,,0.0,,,4.73,,,
2005-02-28,4.62,4.54,-2.37,-0.65,1295367,,,,,,-2.37,0.0,,4.88,,,
2005-03-01,4.75,4.73,4.19,4.63,2104081,,,,,,1.72,11.7,,4.74,,,
2005-03-02,4.71,4.7,-0.63,-0.42,1441031,,,,,,1.08,11.5,,4.79,,,
2005-03-03,4.69,4.52,-3.83,-0.21,2862403,,,,,,-2.8,10.2,,5.13,,,
2005-03-04,4.54,4.51,-0.22,0.44,1279417,,-3.01,,,,-3.01,10.1,,4.94,,,
2005-03-07,4.49,4.62,2.44,-0.44,1010020,,1.76,,,,-0.65,16.7,,4.83,,,
2005-03-08,4.67,4.52,-2.16,1.08,1075984,,-4.44,,,,-2.8,15.6,,5.07,,,
2005-03-09,4.52,4.51,-0.22,0.0,1571674,,-4.04,,,,-3.01,15.5,,5.04,,,
2005-03-10,4.49,4.63,2.66,-0.44,1231710,,2.43,,,,-0.43,22.6,,4.88,,,
2005-03-11,4.66,4.5,-2.81,0.65,1863009,,-0.22,,,,-3.23,20.6,,5.05,,,
2005-03-14,4.49,4.6,2.22,-0.22,855753,,-0.43,,,,-1.08,26.1,,4.8,,,
2005-03-15,4.61,4.39,-4.57,0.22,971249,,-2.88,,,,-5.59,22.6,,5.11,,,
2005-03-16,4.33,4.14,-5.69,-1.37,2107471,,-8.2,,,,-10.97,19.2,,5.55,,,
2005-03-17,4.12,4.21,1.69,-0.48,1790089,,-9.07,,,,-9.46,22.7,,5.44,,,
2005-03-18,4.24,3.99,-5.23,0.71,3520587,,-11.33,,,,-14.19,19.8,,5.96,,,
2005-03-21,3.99,3.9,-2.26,0.0,1634166,,-15.22,,,,-16.13,18.8,,6.08,,,
2005-03-22,3.88,3.97,1.79,-0.51,1239059,,-9.57,,,,-14.62,22.2,,5.87,,,
2005-03-23,3.95,3.98,0.25,-0.5,703465,,-3.86,,,,-14.41,22.7,,5.58,,,
2005-03-24,3.97,3.99,0.25,-0.25,771503,0.49,-5.23,,,,-14.19,23.2,,5.29,,,-15.64
2005-03-28,4.01,3.96,-0.75,0.5,742926,0.49,-0.75,,,,-14.84,22.7,,5.19,,,-16.28
2005-03-29,3.95,3.86,-2.53,-0.25,1102825,0.74,-1.03,-16.99,,,-16.99,21.1,2.76,5.2,,,-18.39
2005-03-30,3.86,3.97,2.85,0.0,1237749,0.85,0.0,-12.56,,,-14.62,27.3,2.85,4.97,,,-16.07
2005-03-31,3.98,3.95,-0.5,0.25,1267578,0.88,-0.75,-16.49,,,-15.05,26.9,2.63,4.96,,,-16.49
2005-04-01,3.98,3.92,-0.76,0.76,838704,0.63,-1.75,-16.6,,,-15.7,26.3,2.63,4.91,,,-17.12
2005-04-04,4.04,3.87,-1.28,3.06,629663,0.48,-2.27,-14.38,,,-16.77,25.2,2.55,5.03,,,-18.18
2005-04-05,3.93,3.65,-5.68,1.55,2296713,1.67,-5.44,-19.07,,,-21.51,21.0,2.76,5.66,,,-22.83
2005-04-06,3.66,3.71,1.64,0.27,1130838,0.82,-6.55,-19.7,,,-20.22,24.7,2.72,5.51,,,-21.56
2005-04-07,3.72,3.69,-0.54,0.27,1172987,0.87,-6.58,-18.36,,,-20.65,24.3,2.71,5.53,,,-21.99
2005-04-08,3.7,3.72,0.81,0.27,1379350,1.01,-5.1,-17.52,,,-20.0,26.2,2.73,5.52,,,-21.35
2005-04-11,3.75,3.6,-3.23,0.81,1297613,0.97,-6.98,-22.25,,,-22.58,23.6,2.65,5.75,,,-23.89
2005-04-12,3.56,3.6,0.0,-1.11,1253552,0.93,-1.37,-20.0,,,-22.58,23.6,2.63,5.66,,,-23.89
2005-04-13,3.62,3.55,-1.39,0.56,1463615,1.06,-4.31,-22.83,,,-23.66,22.5,2.53,5.59,,,-24.95
2005-04-14,3.54,3.3,-7.04,-0.28,2315508,1.67,-10.57,-24.83,,,-29.03,18.1,2.74,6.3,,,-30.23
2005-04-15,3.27,3.08,-6.67,-0.91,1920303,1.38,-17.2,-25.6,,,-33.76,15.2,2.83,7.08,,,-34.88
2005-04-18,3.09,2.88,-6.49,0.32,1835374,1.4,-20.0,-31.59,,,-38.06,13.2,2.95,7.57,,,-39.11
2005-04-19,2.93,3.0,4.17,1.74,4207699,2.92,-16.67,-24.81,,,-35.48,20.1,3.1,7.49,,,-36.58
