date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,16.97,17.25,,,155636,,,,,,0.0,,,2.55,,,
2005-02-28,17.25,16.98,-1.57,0.0,212726,,,,,,-1.57,0.0,,2.56,,,
2005-03-01,16.95,16.98,0.0,-0.18,310670,,,,,,-1.57,0.0,,2.43,,,
2005-03-02,16.95,16.9,-0.47,-0.18,324884,,,,,,-2.03,0.0,,2.36,,,
2005-03-03,16.85,17.04,0.83,-0.3,116463,,,,,,-1.22,4.3,,2.3,,,
2005-03-04,17.26,16.93,-0.65,1.29,78184,,-1.86,,,,-1.86,4.2,,2.36,,,
2005-03-07,16.85,17.04,0.65,-0.47,156007,,0.35,,,,-1.22,7.7,,2.33,,,
2005-03-08,16.96,16.94,-0.59,-0.47,83933,,-0.24,,,,-1.8,7.4,,2.3,,,
2005-03-09,16.86,17.02,0.47,-0.47,130916,,0.71,,,,-1.33,10.1,,2.28,,,
2005-03-10,17.02,17.19,1.0,0.0,196625,,0.88,,,,-0.35,15.7,,2.23,,,
2005-03-11,17.13,17.02,-0.99,-0.35,104606,,0.53,,,,-1.33,14.7,,2.21,,,
2005-03-14,16.9,17.14,0.71,-0.71,256228,,0.59,,,,-0.64,18.6,,2.17,,,
2005-03-15,17.15,17.1,-0.23,0.06,103652,,0.94,,,,-0.87,18.3,,2.12,,,
2005-03-16,17.0,17.15,0.29,-0.58,87031,,0.76,,,,-0.58,20.0,,2.03,,,
2005-03-17,17.25,17.16,0.06,0.58,77607,,-0.17,,,,-0.52,20.4,,1.95,,,
2005-03-18,17.17,17.12,-0.23,0.06,260249,,0.59,,,,-0.75,20.0,,1.88,,,
2005-03-21,17.12,17.57,2.63,0.0,314017,,2.51,,,,1.86,35.1,,1.91,,,
2005-03-22,17.6,17.57,0.0,0.17,247492,,2.75,,,,1.86,35.1,,1.96,,,
2005-03-23,17.6,17.46,-0.63,0.17,165276,,1.81,,,,1.22,33.3,,1.94,,,
2005-03-24,17.59,17.93,2.69,0.74,254142,1.4,4.49,,,,3.94,45.9,,2.0,,,0.0
2005-03-28,18.19,18.12,1.06,1.45,196828,1.07,5.84,,,,5.04,50.0,,2.02,,,0.0
2005-03-29,18.03,17.73,-2.15,-0.5,112468,0.63,0.91,2.78,,,2.78,42.8,1.17,2.19,,,-2.15
2005-03-30,17.63,17.55,-1.02,-0.56,117008,0.69,-0.11,3.36,,,1.74,40.0,1.13,2.27,,,-3.15
2005-03-31,17.49,17.51,-0.23,-0.34,139532,0.87,0.29,3.12,,,1.51,39.3,1.14,2.22,,,-3.37
2005-04-01,17.42,17.54,0.17,-0.51,74624,0.47,-2.18,3.79,,,1.68,40.1,1.13,2.15,,,-3.2
2005-04-04,17.55,17.64,0.57,0.06,149456,0.93,-2.65,3.52,,,2.26,42.7,1.12,2.09,,,-2.65
2005-04-05,17.5,17.5,-0.79,-0.79,69713,0.44,-1.3,3.37,,,1.45,40.1,1.13,2.05,,,-3.42
2005-04-06,17.5,17.68,1.03,0.0,66067,0.42,0.74,3.76,,,2.49,44.7,1.14,2.01,,,-2.43
2005-04-07,17.76,17.5,-1.02,0.45,219236,1.37,-0.06,3.31,,,1.45,41.3,1.16,2.07,,,-3.42
2005-04-08,17.38,17.44,-0.34,-0.69,197826,1.23,-0.57,2.47,,,1.1,40.2,1.16,1.98,,,-3.75
2005-04-11,17.33,17.1,-1.95,-0.63,315102,1.84,-3.06,-0.52,,,-0.87,34.5,1.23,2.02,,,-5.63
2005-04-12,17.04,17.26,0.94,-0.35,70684,0.44,-1.37,1.41,,,0.06,38.9,1.22,1.97,,,-4.75
2005-04-13,17.2,16.81,-2.61,-0.35,106858,0.66,-4.92,-1.93,,,-2.55,32.3,1.34,2.08,,,-7.23
2005-04-14,16.78,16.28,-3.15,-0.18,149924,0.91,-6.97,-4.8,,,-5.62,26.6,1.5,2.29,,,-10.15
2005-04-15,16.25,15.75,-3.26,-0.18,172538,1.02,-9.69,-8.16,,,-8.7,22.4,1.63,2.54,,,-13.08
