date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,31.96,32.35,,,411937,,,,,,0.0,,,1.7,,,
2005-02-28,32.37,32.71,1.14,0.08,377244,,,,,,1.14,,,1.67,,,
2005-03-01,32.65,32.88,0.5,-0.19,527872,,,,,,1.65,,,1.66,,,
2005-03-02,32.86,32.98,0.3,-0.05,632852,,,,,,1.95,,,1.73,,,
2005-03-03,33.07,33.69,2.17,0.27,699036,,,,,,4.17,,,1.72,,,
2005-03-04,33.92,34.31,1.82,0.66,873166,,6.07,,,,6.07,,,1.71,,,
2005-03-07,34.51,34.84,1.54,0.59,736689,,6.48,,,,7.7,,,1.74,,,
2005-03-08,34.73,34.44,-1.13,-0.3,207455,,4.76,,,,6.48,92.8,,1.77,,,
2005-03-09,34.44,34.19,-0.74,0.0,178011,,3.67,,,,5.7,88.4,,1.75,,,
2005-03-10,34.36,34.19,0.0,0.51,280253,,1.47,,,,5.7,88.4,,1.73,,,
2005-03-11,34.22,34.57,1.12,0.1,345068,,0.77,,,,6.88,89.3,,1.72,,,
2005-03-14,34.4,35.06,1.42,-0.51,383406,,0.65,,,,8.4,90.3,,1.72,,,
2005-03-15,35.14,34.95,-0.32,0.23,288016,,1.47,,,,8.05,88.2,,1.71,,,
2005-03-16,34.95,34.78,-0.48,0.0,371996,,1.73,,,,7.53,85.1,,1.7,,,
2005-03-17,34.71,35.04,0.76,-0.19,413077,,2.5,,,,8.35,85.9,,1.71,,,
2005-03-18,35.23,35.62,1.65,0.53,541566,,3.04,,,,10.13,87.6,,1.68,,,
2005-03-21,35.6,35.75,0.35,-0.07,614826,,1.95,,,,10.52,87.9,,1.63,,,
2005-03-22,35.71,36.19,1.25,-0.09,617334,,3.57,,,,11.9,89.1,,1.65,,,
2005-03-23,36.19,36.12,-0.2,0.0,976778,,3.85,,,,11.67,87.6,,1.65,,,
2005-03-24,36.15,36.1,-0.07,0.08,354655,0.72,3.0,,,,11.59,87.1,,1.61,,,-0.27
2005-03-28,35.98,36.04,-0.16,-0.31,374965,0.77,1.16,,,,11.41,85.8,,1.58,,,-0.43
2005-03-29,36.04,35.86,-0.49,0.0,661151,1.31,0.32,10.87,,,10.87,81.9,0.94,1.59,,,-0.92
2005-03-30,35.86,35.29,-1.6,0.0,1092716,2.05,-2.51,7.86,,,9.09,70.5,1.03,1.76,,,-2.51
2005-03-31,35.49,35.92,1.81,0.59,1146573,2.06,-0.54,9.26,,,11.06,74.7,1.08,1.75,,,-0.74
2005-04-01,35.95,35.71,-0.61,0.07,561650,1.02,-1.08,8.27,,,10.39,71.0,1.1,1.76,,,-1.35
2005-04-04,35.71,35.64,-0.18,0.0,517147,0.97,-1.1,5.78,,,10.19,69.9,1.03,1.83,,,-1.52
2005-04-05,35.75,36.35,1.99,0.31,387744,0.75,1.37,5.95,,,12.38,74.6,1.04,1.86,,,0.0
2005-04-06,36.24,36.24,-0.31,-0.31,320418,0.61,2.69,4.02,,,12.03,72.6,1.01,1.84,,,-0.31
2005-04-07,36.17,36.28,0.13,-0.19,344839,0.65,1.0,5.34,,,12.17,72.9,0.96,1.77,,,-0.19
2005-04-08,36.17,35.89,-1.09,-0.32,351003,0.66,0.51,4.96,,,10.95,66.0,0.98,1.77,,,-1.28
2005-04-11,35.89,35.62,-0.73,0.0,275235,0.52,-0.05,4.2,,,10.13,61.9,1.0,1.77,,,-2.0
2005-04-12,35.6,36.09,1.3,-0.07,431792,0.81,-0.73,4.38,,,11.57,66.0,1.01,1.82,,,-0.73
2005-04-13,35.98,35.38,-1.95,-0.3,500483,0.92,-2.35,0.92,,,9.4,56.1,1.07,1.91,,,-2.66
2005-04-14,35.12,33.83,-4.4,-0.73,966735,1.69,-6.77,-3.21,,,4.58,41.4,1.45,2.23,,,-6.94
2005-04-15,33.82,33.31,-1.52,-0.02,836880,1.41,-7.17,-4.22,,,2.99,37.8,1.48,2.28,,,-8.35
2005-04-18,33.35,33.6,0.87,0.1,324755,0.56,-5.68,-4.12,,,3.88,40.9,1.48,2.21,,,-7.56
2005-04-19,33.5,33.96,1.07,-0.3,410110,0.72,-5.89,-4.67,,,4.99,44.5,1.45,2.17,,,-6.58
2005-04-20,34.07,33.01,-2.78,0.33,463512,0.82,-6.7,-7.64,,,2.07,37.9,1.55,2.34,,,-9.18
2005-04-21,33.41,33.82,2.44,1.19,580133,1.06,-0.02,-6.56,,,4.55,45.4,1.63,2.31,,,-6.96
2005-04-22,33.81,33.59,-0.67,-0.03,291894,0.54,0.84,-6.99,,,3.86,43.8,1.63,2.27,,,-7.58
2005-04-25,33.56,33.74,0.43,-0.11,300563,0.56,0.41,-6.53,,,4.3,45.1,1.64,2.2,,,-7.19
2005-04-26,33.67,33.11,-1.86,-0.2,252180,0.49,-2.51,-8.13,,,2.36,40.6,1.67,2.22,,,-8.92
2005-04-27,33.07,32.9,-0.62,-0.13,536541,1.09,-0.34,-8.25,,,1.72,39.2,1.67,2.23,,,-9.48
2005-04-28,32.91,32.95,0.14,0.03,393906,0.87,-2.57,-6.62,,,1.87,39.7,1.65,2.16,,,-9.36
2005-04-29,33.07,32.93,-0.05,0.36,416498,0.94,-1.97,-8.33,,,1.81,39.6,1.58,2.18,,,-9.4
2005-05-02,32.93,33.64,2.14,0.0,449592,1.02,-0.3,-5.79,,,3.99,47.2,1.68,2.2,,,-7.46
2005-05-03,34.4,31.56,-6.18,2.26,4156103,6.6,-4.68,-11.46,,,-2.44,33.7,2.11,2.95,,,-13.18
2005-05-04,32.09,32.25,2.2,1.69,1767559,2.52,-1.98,-11.28,,,-0.29,39.9,2.13,2.84,,,-11.28
2005-05-05,32.41,32.88,1.95,0.49,958064,1.31,-0.21,-9.27,,,1.65,44.9,2.19,2.84,,,-9.55
2005-05-06,33.01,33.1,0.68,0.41,562101,0.76,0.51,-8.77,,,2.34,46.6,2.21,2.72,-3.85,,-8.94
2005-05-09,33.21,33.57,1.41,0.33,550466,0.73,-0.21,-6.46,,,3.78,50.0,2.23,2.61,-2.56,,-7.66
2005-05-10,33.57,33.6,0.1,0.0,574432,0.75,6.48,-5.68,,,3.88,50.3,2.23,2.51,-2.51,,-7.56
2005-05-11,33.65,33.6,0.0,0.16,710218,0.92,4.19,-6.89,,,3.88,50.3,2.21,2.45,-2.55,,-7.56
2005-05-12,33.69,33.25,-1.05,0.28,848288,1.1,1.13,-6.03,,,2.79,47.4,2.18,2.47,-3.59,,-8.53
2005-05-13,33.32,33.13,-0.35,0.22,417413,0.56,0.1,-2.05,,,2.44,46.5,1.97,2.42,-3.89,,-8.85
2005-05-16,33.08,33.93,2.39,-0.15,401435,0.53,1.07,1.84,,,4.89,53.3,2.01,2.39,-1.57,,-6.67
2005-05-17,33.93,34.13,0.61,0.0,417641,0.56,1.59,1.59,,,5.53,54.9,2.0,2.29,-0.93,,-6.09
2005-05-18,34.16,34.63,1.46,0.08,1248360,1.58,3.07,1.98,,,7.07,58.7,2.02,2.35,0.51,,-4.72
2005-05-19,34.66,34.85,0.64,0.08,426314,0.54,4.83,5.58,,,7.76,60.2,1.9,2.23,1.11,,-4.11
2005-05-20,34.91,35.01,0.45,0.17,505959,0.64,5.67,3.53,,,8.24,61.4,1.84,2.16,1.52,,-3.68
2005-05-23,34.95,35.2,0.54,-0.18,390939,0.49,3.76,4.78,,,8.83,62.7,1.83,2.13,2.03,,-3.16
2005-05-24,35.31,35.04,-0.44,0.31,187594,0.24,2.67,3.87,,,8.35,60.8,1.84,2.06,1.58,,-3.59
2005-05-25,34.95,34.51,-1.53,-0.28,505277,0.64,-0.36,4.23,,,6.69,54.7,1.82,2.19,0.05,,-5.06
2005-05-26,34.51,35.05,1.57,0.0,412617,0.52,0.57,6.53,8.37,,8.37,59.2,1.83,2.13,1.61,,-3.57
2005-05-27,35.14,35.07,0.05,0.26,285498,0.36,0.16,6.44,7.2,,8.42,59.3,1.83,2.02,1.66,,-3.52
2005-05-31,35.07,34.94,-0.37,0.0,477893,0.6,-0.74,6.1,6.27,,8.02,57.7,1.84,1.99,1.32,,-3.88
2005-06-01,35.01,35.0,0.18,0.21,330003,0.55,-0.12,4.07,6.15,,8.22,58.3,1.79,1.92,1.55,,-3.7
2005-06-02,34.96,34.77,-0.66,-0.13,386375,0.73,0.76,10.19,3.2,,7.51,55.3,1.06,1.87,0.97,,-4.34
2005-06-03,34.79,34.41,-1.03,0.05,308096,0.62,-1.82,6.71,0.31,,6.4,50.9,1.03,1.85,0.02,,-5.33
2005-06-06,34.32,33.93,-1.39,-0.26,620526,1.24,-3.24,3.21,-2.59,,4.91,45.7,1.02,1.87,-1.25,,-6.65
2005-06-07,33.96,33.65,-0.82,0.08,754721,1.48,-3.68,1.67,-2.29,,4.05,42.9,1.04,1.85,-1.93,,-7.42
2005-06-08,33.69,33.47,-0.54,0.12,483142,0.95,-4.37,-0.28,-2.09,,3.49,41.2,1.0,1.85,-2.32,,-7.91
2005-06-09,33.57,33.85,1.13,0.28,373144,0.76,-2.65,0.75,-0.98,,4.66,46.1,1.03,1.87,-1.13,,-6.87
2005-06-10,33.79,34.56,2.1,-0.18,449592,0.96,0.44,2.86,-0.02,,6.86,53.9,1.12,1.94,1.03,,-4.91
2005-06-13,34.45,34.72,0.46,-0.33,458037,0.97,2.32,4.43,-0.97,,7.35,55.4,1.09,1.88,1.55,,-4.48
2005-06-14,34.72,34.67,-0.15,0.0,262680,0.57,3.01,4.63,-0.8,,7.18,54.8,1.09,1.79,1.45,,-4.63
2005-06-15,34.78,34.7,0.09,0.32,198553,0.44,3.66,2.28,-0.24,,7.27,55.1,0.97,1.77,1.64,,-4.54
2005-06-16,34.52,34.2,-1.42,-0.52,294628,0.73,1.04,0.21,-2.4,,5.75,48.8,1.01,1.77,0.31,,-5.9
2005-06-17,34.31,34.44,0.7,0.3,365149,0.91,-0.35,-0.55,-3.31,,6.48,51.7,0.97,1.76,1.12,,-5.25
2005-06-20,34.35,34.72,0.81,-0.26,391852,0.99,0.0,-0.38,-2.87,,7.35,54.9,0.98,1.73,2.01,,-4.48
2005-06-21,34.72,34.72,0.0,0.0,463056,1.16,0.15,-0.83,-4.07,,7.35,54.9,0.97,1.65,2.06,,-4.48
2005-06-22,34.84,34.84,0.33,0.33,588805,1.4,0.4,-1.04,-3.56,,7.7,56.2,0.97,1.59,2.47,,-4.17
2005-06-23,34.63,33.95,-2.54,-0.58,358074,0.87,-0.74,-3.12,-5.94,,4.96,44.9,1.11,1.71,-0.05,,-6.6
2005-06-24,33.93,33.59,-1.05,-0.05,368576,0.9,-2.46,-2.65,-6.78,,3.86,41.3,1.08,1.73,-1.09,,-7.58
2005-06-27,33.57,33.35,-0.73,-0.08,228215,0.56,-3.96,-4.87,-7.01,,3.1,39.0,1.02,1.67,-1.81,,-8.26
2005-06-28,33.39,33.58,0.69,0.13,483370,1.18,-3.3,-4.26,-4.85,,3.8,42.2,1.04,1.61,-1.14,,-7.63
2005-06-29,33.64,34.47,2.66,0.18,506423,1.21,-1.05,-1.35,-4.05,,6.56,52.8,1.21,1.67,1.46,,-5.18
2005-06-30,34.53,34.3,-0.49,0.17,244878,0.6,1.03,-2.01,-3.93,,6.04,50.9,1.21,1.64,0.89,,-5.64
2005-07-01,34.26,34.11,-0.57,-0.12,229815,0.57,1.53,-1.92,-4.31,,5.44,48.7,1.21,1.63,0.3,,-6.17
2005-07-05,33.89,34.6,1.44,-0.63,473780,1.19,3.75,0.54,-4.82,,6.97,54.1,1.23,1.69,1.69,,-4.82
2005-07-06,34.56,35.04,1.26,-0.1,422888,1.11,4.35,3.25,-3.31,,8.32,58.3,1.21,1.65,2.89,,-3.62
2005-07-07,34.82,35.25,0.61,-0.63,390709,1.03,2.27,4.74,-2.85,,8.98,60.2,1.2,1.69,3.39,,-3.03
2005-07-08,35.18,35.54,0.82,-0.19,381811,1.01,3.6,6.16,-0.97,,9.87,62.6,1.19,1.71,4.07,,-2.24
2005-07-11,35.62,35.89,0.98,0.24,402806,1.07,5.22,6.0,0.74,,10.95,65.4,1.19,1.67,4.92,,-1.28
2005-07-12,35.84,35.6,-0.8,-0.13,214522,0.59,2.89,2.99,-1.35,,10.05,61.3,1.13,1.64,3.91,,-2.07
2005-07-13,35.51,35.84,0.68,-0.25,212017,0.59,2.3,3.22,1.29,,10.81,63.4,1.14,1.62,4.49,,-1.4
2005-07-14,35.92,36.28,1.23,0.21,440008,1.18,2.93,4.65,7.26,,12.17,66.9,1.16,1.66,5.48,,-0.19
2005-07-15,36.1,36.22,-0.17,-0.49,346666,0.92,1.93,4.39,8.73,,11.98,66.0,1.16,1.61,5.06,,-0.36
2005-07-18,36.22,36.18,-0.1,0.0,230500,0.62,0.83,5.79,7.69,,11.87,65.4,1.1,1.61,4.76,,-0.45
2005-07-19,36.12,36.36,0.48,-0.18,220917,0.61,2.14,5.57,7.07,,12.41,66.9,1.1,1.58,5.07,,0.0
