date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-10-19,96.68,96.68,,,10,,,,,,0.0,,,0.0,,,
2020-10-20,96.5,96.9,0.23,-0.18,36681,,,,,,0.23,,,0.07,,,
2020-10-23,97.0,96.5,-0.41,0.1,40141,,,,,,-0.18,87.9,,0.14,,,
2020-10-26,96.72,96.29,-0.22,0.23,636,,,,,,-0.4,82.4,,0.17,,,
2020-10-27,96.5,96.3,0.01,0.22,1756,,,,,,-0.39,82.4,,0.17,,,
2020-10-28,96.1,96.0,-0.31,-0.21,20298,,-0.7,,,,-0.7,74.5,,0.18,,,
2020-10-29,96.21,96.5,0.52,0.22,34,,-0.41,,,,-0.18,78.3,,0.2,,,
2020-10-30,96.35,96.0,-0.52,-0.16,20321,,-0.52,,,,-0.7,67.6,,0.27,,,
2020-11-02,99.5,96.0,0.0,3.65,1145,,-0.3,,,,-0.7,67.6,,0.53,,,
2020-11-03,95.9,96.2,0.21,-0.1,140,,-0.1,,,,-0.49,69.5,,0.53,,,
2020-11-04,96.2,96.7,0.52,0.0,5010,,0.73,,,,0.02,73.7,,0.55,,,
2020-11-05,95.85,96.7,0.0,-0.88,430,,0.21,,,,0.02,73.7,,0.57,,,
2020-11-06,96.65,96.2,-0.52,-0.05,374,,0.21,,,,-0.49,63.6,,0.58,,,
2020-11-09,96.3,96.1,-0.1,0.1,3897,,0.1,,,,-0.6,61.7,,0.55,,,
2020-11-10,96.89,96.5,0.42,0.82,280,,0.31,,,,-0.18,66.0,,0.58,,,
2020-11-11,96.72,96.5,0.0,0.23,261,,-0.21,,,,-0.18,66.0,,0.57,,,
2020-11-13,97.9,96.5,0.0,1.45,93,,-0.21,,,,-0.18,66.0,,0.63,,,
2020-11-16,96.85,100.0,3.63,0.36,36427,,3.95,,,,3.44,84.6,,0.82,,,
2020-11-17,97.0,97.2,-2.8,-3.0,58527,,1.14,,,,0.54,57.5,,1.01,,,
2020-11-18,97.0,96.9,-0.31,-0.21,343,0.03,0.41,,,,0.23,55.4,,0.98,,,-3.1
2020-11-19,98.0,97.4,0.52,1.14,106455,6.39,0.93,,,,0.75,58.1,,1.01,,,-2.6
2020-11-20,97.0,98.3,0.92,-0.41,110,0.01,1.87,1.68,,,1.68,62.5,1.09,1.03,,,-1.7
2020-11-24,97.0,97.19,-1.13,-1.32,109,0.01,-2.81,0.3,,,0.53,54.9,1.12,1.1,,,-2.81
2020-11-25,97.5,97.3,0.11,0.32,599,0.05,0.1,0.83,,,0.65,55.5,1.12,1.07,,,-2.7
2020-11-27,96.9,97.5,0.21,-0.41,233,0.02,0.62,1.25,,,0.85,56.5,1.11,1.03,,,-2.5
2020-11-30,97.5,98.5,1.03,0.0,6789,0.56,1.13,2.28,,,1.89,61.6,1.13,1.04,,,-1.5
2020-12-01,97.7,98.0,-0.51,-0.81,1826,0.15,-0.31,2.08,,,1.37,58.0,1.14,1.04,,,-2.0
2020-12-02,98.5,97.6,-0.41,0.51,2422,0.21,0.42,1.14,,,0.96,55.2,1.14,1.04,,,-2.4
2020-12-03,97.2,97.8,0.2,-0.41,692,0.06,0.51,1.88,,,1.16,56.3,1.13,1.04,,,-2.2
2020-12-04,97.7,98.0,0.2,-0.1,3351,0.29,0.51,2.08,,,1.37,57.5,1.13,1.01,,,-2.0
2020-12-07,97.7,97.7,-0.31,-0.31,2852,0.25,-0.81,1.56,,,1.06,55.1,1.14,1.01,,,-2.3
2020-12-08,98.4,98.5,0.82,0.72,14983,1.25,0.51,1.86,,,1.89,59.9,1.14,1.09,,,-1.5
2020-12-09,98.5,99.5,1.02,0.0,11208,0.89,1.95,2.9,,,2.92,64.9,1.16,1.12,,,-0.5
2020-12-10,99.9,99.9,0.4,0.4,4522,0.36,2.15,3.85,,,3.33,66.7,1.15,1.07,,,-0.1
2020-12-11,100.0,99.95,0.05,0.1,7720,0.59,1.99,4.01,,,3.39,66.9,1.15,1.04,,,-0.05
2020-12-14,100.5,101.2,1.25,0.55,23876,1.69,3.58,4.87,,,4.68,72.0,1.17,1.09,,,0.0
2020-12-15,101.7,100.7,-0.49,0.5,11789,0.8,2.23,4.35,,,4.16,67.5,1.18,1.17,,,-0.49
2020-12-16,100.7,100.8,0.1,0.0,9606,0.72,1.31,4.46,,,4.27,67.9,1.18,1.13,,,-0.4
2020-12-17,102.0,100.7,-0.1,1.19,407,0.04,0.8,0.7,,,4.16,67.0,0.89,1.14,,,-0.49
2020-12-18,100.1,100.5,-0.2,-0.6,904,0.09,0.55,3.4,,,3.96,65.0,0.61,1.11,,,-0.69
