date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,3.34,3.32,-1.79,-1.15,7566160,0.68,-3.53,8.81,-8.81,-17.99,0.0,49.9,1.81,3.75,2.27,-10.0,-26.49
2000-01-04,3.31,3.17,-4.57,-0.39,3924366,0.36,-9.31,1.67,-15.78,-20.11,-4.57,40.9,2.07,4.13,-2.33,-14.11,-29.85
2000-01-05,3.16,3.3,4.1,-0.27,4856110,0.45,-6.51,5.25,1.33,-18.44,-0.65,49.3,2.24,4.17,1.71,-10.62,-26.97
2000-01-06,3.29,3.26,-1.31,-0.25,8142957,0.76,-6.59,3.73,-7.17,-19.68,-1.95,47.0,2.27,4.25,0.42,-11.82,-27.92
2000-01-07,3.25,3.38,3.86,-0.14,6175530,0.57,0.0,4.56,-3.83,-15.86,1.83,53.9,2.33,4.25,4.22,-8.46,-25.14
2000-01-10,3.39,3.52,3.98,0.39,4114679,0.38,5.88,10.2,-1.22,-13.07,5.88,60.0,2.44,4.11,8.25,-4.88,-22.16
2000-01-11,3.48,3.26,-7.4,-0.99,4565379,0.42,2.74,0.67,-8.75,-20.44,-1.95,47.1,2.97,4.83,0.35,-11.95,-27.92
2000-01-12,3.3,3.22,-1.2,1.47,4815254,0.45,-2.5,1.5,-9.29,-22.71,-3.14,45.5,2.95,4.85,-0.71,-13.03,-28.79
2000-01-13,3.21,3.33,3.51,-0.26,3090680,0.3,2.26,3.64,-2.79,-22.74,0.26,50.7,3.03,4.71,2.83,-10.03,-26.3
2000-01-14,3.38,3.34,0.39,1.56,3212113,0.31,-1.15,2.66,-3.62,-19.93,0.65,51.2,3.02,4.73,3.31,-9.72,-26.01
2000-01-18,3.32,3.39,1.43,-0.65,3393099,0.91,-3.58,3.17,1.04,-21.16,2.1,53.4,3.03,4.61,4.69,-8.47,-24.95
2000-01-19,3.44,3.36,-0.78,1.53,4648282,1.22,3.32,0.65,-0.13,-19.34,1.3,52.0,3.01,4.68,3.79,-9.22,-25.53
2000-01-20,3.39,3.28,-2.44,0.91,2895687,0.76,2.03,-1.81,0.4,-22.52,-1.17,47.9,3.06,4.87,1.24,-11.48,-27.35
2000-01-21,3.42,3.28,0.0,4.09,4452119,1.15,-1.43,-2.95,-2.83,-21.14,-1.17,47.9,3.05,4.97,1.22,-11.51,-27.35
2000-01-24,3.3,3.16,-3.82,0.39,6037745,1.48,-5.57,-7.02,-4.09,-24.16,-4.95,42.1,3.15,5.22,-2.6,-14.91,-30.13
2000-01-25,3.15,3.19,0.96,-0.28,6308634,1.47,-6.01,-9.7,-4.79,-23.99,-4.04,43.8,3.02,5.1,-1.66,-14.11,-29.46
2000-01-26,3.23,3.13,-1.77,1.49,2725220,0.64,-6.96,-9.07,-5.99,-28.02,-5.75,41.3,3.0,5.14,-3.42,-15.64,-30.71
2000-01-27,3.13,3.2,2.08,-0.13,4484813,1.01,-2.65,-8.57,-2.13,-23.55,-3.79,45.2,3.02,4.99,-1.49,-13.9,-29.27
2000-01-28,3.09,3.07,-4.06,-3.26,4976378,1.08,-6.6,-13.14,-8.3,-24.06,-7.7,39.5,3.1,5.21,-5.47,-17.37,-32.15
2000-01-31,3.1,3.16,3.24,1.27,5430574,1.13,0.26,-9.21,-8.07,-24.36,-4.71,45.2,3.21,4.97,-2.44,-14.64,-29.95
2000-02-01,3.26,3.23,2.2,3.16,5345346,1.14,1.49,-4.36,-6.28,-22.05,-2.61,48.9,3.2,4.81,-0.33,-12.74,-28.41
2000-02-02,3.25,3.18,-1.75,0.4,3941871,0.84,1.52,-4.31,-7.33,-22.36,-4.31,46.2,3.2,4.81,-2.11,-14.22,-29.66
2000-02-03,3.21,3.25,2.19,1.09,4763879,1.02,1.63,2.46,-6.26,-18.85,-2.22,49.8,3.07,4.6,-0.06,-12.3,-28.12
2000-02-04,3.27,3.21,-1.2,0.81,4401913,0.98,4.67,-2.76,-0.4,-17.96,-3.39,47.9,2.95,4.54,-1.36,-13.32,-28.98
