date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,9.22,8.98,-2.12,0.57,8435494,3.23,-1.79,0.44,-11.55,-14.13,0.0,46.6,1.28,1.79,-3.9,-10.4,-16.67
2000-01-04,8.99,9.04,0.75,0.19,3282328,1.23,-2.08,0.48,-12.12,-13.33,0.75,49.4,1.28,1.77,-3.04,-9.7,-16.05
2000-01-05,9.04,9.27,2.53,0.0,2353211,0.89,1.11,3.23,-8.45,-10.33,3.29,57.5,1.39,1.79,-0.49,-7.4,-13.92
2000-01-06,9.27,9.31,0.35,0.0,1590558,0.62,1.24,3.03,-8.45,-9.59,3.65,58.5,1.39,1.76,-0.03,-7.06,-13.63
2000-01-07,9.31,9.24,-0.74,0.0,1689558,0.69,0.71,2.32,-7.66,-10.52,2.89,55.5,1.4,1.71,-0.64,-7.72,-14.26
2000-01-10,9.27,9.22,-0.14,0.39,2125264,0.9,2.75,2.18,-8.24,-10.64,2.75,55.0,1.4,1.68,-0.59,-7.81,-14.38
2000-01-11,9.22,9.34,1.23,0.0,2558140,1.07,3.24,6.98,-5.57,-10.13,4.01,59.0,1.18,1.66,0.82,-6.66,-13.33
2000-01-12,9.34,9.36,0.21,0.0,1738423,0.73,0.9,9.66,-5.21,-10.23,4.23,59.6,1.02,1.64,1.23,-6.44,-13.15
2000-01-13,9.34,9.31,-0.55,-0.21,6931315,2.65,0.0,8.67,-6.57,-11.11,3.65,57.0,1.05,1.65,0.86,-6.94,-13.63
2000-01-14,9.24,9.16,-1.55,-0.74,2007985,0.76,-0.82,5.95,-8.56,-11.25,2.04,50.3,1.12,1.68,-0.47,-8.36,-14.97
2000-01-18,9.09,9.01,-1.68,-0.75,1353161,0.53,-2.36,4.29,-8.15,-12.49,0.33,44.3,1.2,1.72,-1.88,-9.87,-16.4
2000-01-19,9.07,9.17,1.83,0.73,1790442,0.69,-1.78,6.71,-8.31,-13.32,2.16,51.0,1.24,1.79,0.12,-8.19,-14.87
