date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-05-24,6.0,6.72,,,2830660,,,,,,0.0,,,18.59,,,
2017-05-25,6.92,6.75,0.37,2.97,475772,,,,,,0.37,,,17.71,,,
2017-05-26,6.68,6.65,-1.48,-1.04,104604,,,,,,-1.12,76.5,,17.32,,,
2017-05-30,6.6,6.49,-2.41,-0.75,142338,,,,,,-3.49,54.4,,17.04,,,
2017-05-31,6.51,6.55,0.92,0.31,111008,,,,,,-2.6,59.2,,15.99,,,
2017-06-01,6.54,6.72,2.67,-0.15,256190,,0.0,,,,0.0,69.2,,14.95,,,
2017-06-02,6.76,7.04,4.76,0.52,71826,,4.37,,,,4.76,79.3,,13.69,,,
2017-06-05,7.03,8.0,13.56,-0.21,317082,,20.3,,,,18.96,89.9,,12.62,,,
2017-06-06,7.96,7.85,-1.88,-0.44,90830,,20.96,,,,16.73,82.7,,12.89,,,
2017-06-07,7.9,7.91,0.7,0.64,103164,,20.69,,,,17.55,83.3,,12.27,,,
2017-06-08,8.17,7.99,1.08,3.41,30482,,18.81,,,,18.81,84.1,,11.64,,,
2017-06-09,7.91,7.87,-1.5,-1.06,43092,,11.71,,,,17.03,78.3,,11.46,,,
2017-06-12,7.9,7.03,-10.74,0.38,67742,,-12.19,,,,4.46,51.5,,12.88,,,
2017-06-13,7.1,7.26,3.35,1.07,91194,,-7.52,,,,7.96,56.0,,12.05,,,
2017-06-14,7.29,7.52,3.58,0.48,114822,,-4.87,,,,11.82,60.4,,11.46,,,
2017-06-15,7.61,7.58,0.73,1.2,22552,,-5.19,,,,12.64,61.3,,11.23,,,
2017-06-16,7.5,7.65,0.99,-0.92,36992,,-2.8,,,,13.75,62.5,,10.6,,,
2017-06-19,7.97,7.65,0.0,4.25,354774,,8.9,,,,13.75,62.5,,10.38,,,
2017-06-20,7.7,7.64,-0.13,0.65,124474,,5.23,,,,13.61,62.2,,10.0,,,
2017-06-21,7.7,7.88,3.08,0.79,183820,0.66,4.72,,,,17.1,66.4,,9.35,,,-1.56
2017-06-22,7.91,8.1,2.86,0.38,739968,4.25,6.93,,,,20.45,69.8,,9.15,,,0.0
2017-06-23,8.65,8.61,6.23,6.79,1167362,5.59,12.48,27.96,,,27.96,75.7,4.43,8.62,,,0.0
2017-06-26,8.68,8.41,-2.27,0.87,234284,1.09,9.93,24.59,,,25.06,70.0,4.5,8.68,,,-2.27
2017-06-27,8.34,8.22,-2.26,-0.83,321528,1.43,7.59,23.61,,,22.23,64.8,4.52,8.75,,,-4.47
2017-06-28,8.23,8.22,0.06,0.12,171594,0.76,4.44,26.73,,,22.3,64.9,4.46,8.54,,,-4.42
2017-06-29,8.21,8.14,-0.97,-0.24,165840,0.74,0.56,24.35,,,21.12,62.7,4.48,8.36,,,-5.35
2017-06-30,8.14,8.1,-0.61,0.0,122132,0.54,-5.93,20.37,,,20.37,61.2,4.49,8.32,,,-5.93
2017-07-03,8.09,7.86,-2.96,-0.06,171444,0.79,-6.6,11.5,,,16.8,54.8,4.48,8.5,,,-8.72
2017-07-05,7.99,8.04,2.42,1.72,345672,1.5,-2.13,0.56,,,19.63,58.5,3.4,8.06,,,-6.51
2017-07-06,8.0,8.01,-0.44,-0.62,289916,1.21,-2.61,2.04,,,19.11,57.6,3.37,7.86,,,-6.91
2017-07-07,8.0,8.0,-0.19,-0.19,235972,0.94,-1.84,1.14,,,18.88,57.2,3.37,7.67,,,-7.09
2017-07-10,7.92,7.88,-1.44,-0.88,88268,0.35,-2.66,-1.38,,,17.17,53.9,3.38,7.39,,,-8.43
2017-07-11,7.82,7.68,-2.54,-0.76,199324,0.77,-2.23,-2.41,,,14.2,48.7,3.41,7.32,,,-10.75
2017-07-12,7.67,7.71,0.33,-0.2,175812,0.67,-4.23,9.68,,,14.57,49.3,2.37,7.12,,,-10.46
2017-07-13,7.61,7.75,0.58,-1.3,137946,0.52,-3.25,6.75,,,15.24,50.5,2.28,6.87,,,-9.94
2017-07-14,7.64,7.82,0.84,-1.35,218042,0.8,-2.25,3.92,,,16.21,52.4,2.16,6.59,,,-9.18
2017-07-17,7.81,8.39,7.42,-0.06,469964,1.59,6.54,10.83,,,24.83,64.7,2.67,6.42,,,-2.44
2017-07-18,8.43,8.56,1.97,0.36,177620,0.62,11.46,11.9,,,27.29,67.3,2.69,6.29,,,-0.52
2017-07-19,8.49,8.41,-1.75,-0.82,230598,0.79,9.15,9.93,,,25.06,62.8,2.74,6.22,,,-2.27
2017-07-20,8.38,8.13,-3.33,-0.42,113954,0.39,4.9,6.41,,,20.89,55.3,2.86,6.33,,,-5.52
2017-07-21,8.07,8.06,-0.86,-0.68,72076,0.28,3.13,2.35,,,19.85,53.6,2.8,6.24,,,-6.33
2017-07-24,8.06,7.93,-1.61,0.0,73856,0.37,-5.54,-2.1,,,17.92,50.5,2.75,6.12,,,-7.84
2017-07-25,7.86,8.12,2.33,-0.95,503822,2.35,-5.2,-5.69,,,20.67,54.5,2.42,6.25,,,-5.69
2017-07-26,8.23,9.5,17.07,1.42,493668,2.21,12.96,12.96,,,41.26,72.7,4.44,6.1,,,0.0
2017-07-27,9.38,9.0,-5.26,-1.32,373186,1.6,10.7,9.49,,,33.83,62.9,4.59,6.51,,,-5.26
2017-07-28,8.89,9.2,2.22,-1.17,140894,0.61,14.14,11.85,,,36.8,64.9,4.6,6.38,,,-3.16
2017-07-31,9.2,9.04,-1.68,0.0,463862,1.86,14.06,11.05,,,34.5,62.1,4.62,6.46,,,-4.79
2017-08-01,9.06,9.2,1.71,0.22,426898,1.63,13.37,13.65,,,36.8,63.8,4.61,6.11,,,-3.16
2017-08-02,9.29,9.13,-0.71,0.93,230846,0.9,-3.84,16.3,,,35.84,62.5,4.55,6.02,,,-3.84
2017-08-03,9.13,9.39,2.85,0.0,576454,2.13,4.39,16.78,,,39.7,65.5,4.56,6.1,18.22,,-1.11
2017-08-04,9.39,9.38,-0.21,-0.04,325572,1.19,1.9,17.04,,,39.41,65.1,4.55,6.29,17.19,,-1.32
2017-08-07,9.29,9.12,-2.67,-0.96,228986,0.81,0.88,14.13,,,35.69,59.8,4.61,6.47,13.39,,-3.95
2017-08-08,9.21,9.05,-0.82,0.99,153450,0.55,-1.63,14.85,,,34.57,58.3,4.6,6.32,11.79,,-4.74
2017-08-09,9.05,9.23,2.04,0.06,94102,0.34,1.09,20.25,,,37.32,61.0,4.55,6.05,13.31,,-2.79
2017-08-10,8.98,9.05,-2.0,-2.76,516404,1.76,-3.67,17.46,,,34.57,57.1,4.59,6.68,10.36,,-4.74
2017-08-11,9.05,9.16,1.27,0.0,64634,0.23,-2.24,18.26,,,36.28,58.8,4.59,6.38,11.1,,-3.53
2017-08-14,9.25,9.3,1.53,0.93,185046,0.68,1.97,19.07,,,38.36,60.9,4.59,6.22,12.18,,-2.05
2017-08-15,9.19,9.6,3.17,-1.29,128880,0.48,6.08,14.35,,,42.75,65.0,4.38,5.99,15.29,,0.0
2017-08-16,9.62,9.7,0.99,0.26,345644,1.25,4.98,13.26,,,44.16,66.2,4.37,6.08,15.92,,0.0
2017-08-17,9.55,9.0,-7.17,-1.5,336796,1.17,-0.55,7.02,,,33.83,52.0,4.67,6.98,7.33,,-7.17
2017-08-18,9.02,9.21,2.31,0.17,80206,0.28,0.46,13.25,,,36.91,55.1,4.61,6.69,9.49,,-5.03
2017-08-21,9.22,9.12,-1.0,0.19,131392,0.45,-2.04,13.09,,,35.54,53.4,4.61,6.65,8.07,,-5.98
2017-08-22,9.11,9.2,0.93,-0.05,56984,0.21,-4.17,16.02,,,36.8,54.8,4.58,6.31,8.52,,-5.11
2017-08-23,9.09,9.29,0.98,-1.25,115798,0.47,-4.18,14.48,38.14,,38.14,56.2,4.57,6.18,9.05,,-4.18
2017-08-24,9.23,9.24,-0.54,-0.59,120848,0.51,2.67,-2.74,36.89,,37.4,55.2,2.62,6.06,8.03,,-4.69
2017-08-25,9.42,9.2,-0.43,1.95,113728,0.48,-0.08,2.22,38.35,,36.8,54.3,2.34,5.92,7.16,,-5.11
2017-08-28,9.2,9.19,-0.11,0.0,49642,0.23,0.82,-0.11,41.6,,36.65,54.1,2.3,5.68,6.66,,-5.21
2017-08-29,9.09,9.23,0.49,-1.09,145978,0.73,0.38,2.1,40.99,,37.32,55.0,2.26,5.39,6.79,,-4.74
2017-08-30,9.3,9.23,-0.05,0.7,228868,1.14,-0.65,0.33,37.25,,37.25,54.9,2.23,5.25,6.34,,-4.8
