date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2013-08-08,21.1,24.73,,,10632852,,,,,,0.0,,,17.35,,,
2013-08-09,25.1,29.09,17.63,1.5,2304677,,,,,,17.63,,,15.34,,,
2013-08-12,29.0,29.7,2.1,-0.31,651145,,,,,,20.1,,,14.28,,,
2013-08-13,29.99,28.69,-3.4,0.98,518977,,,,,,16.01,98.1,,14.56,,,
2013-08-14,28.26,27.23,-5.09,-1.5,398847,,,,,,10.11,95.4,,14.82,,,
2013-08-15,26.65,25.8,-5.25,-2.13,519979,,4.33,,,,4.33,92.6,,15.11,,,
2013-08-16,25.8,25.63,-0.66,0.0,350820,,-11.89,,,,3.64,92.3,,14.44,,,
2013-08-19,26.09,25.94,1.21,1.79,305788,,-12.66,,,,4.89,92.3,,13.51,,,
2013-08-20,25.71,24.1,-7.09,-0.89,445412,,-16.0,,,,-2.55,88.3,,14.17,,,
2013-08-21,24.08,23.73,-1.54,-0.08,637212,,-12.85,,,,-4.04,87.4,,14.16,,,
2013-08-22,23.99,22.92,-3.41,1.1,460017,,-11.16,,,,-7.32,85.5,,13.96,,,
2013-08-23,22.88,23.42,2.18,-0.17,221986,,-8.62,,,,-5.3,85.8,,12.95,,,
2013-08-26,23.41,22.6,-3.5,-0.04,249503,,-12.88,,,,-8.61,83.7,,12.88,,,
2013-08-27,22.5,21.64,-4.25,-0.44,638444,,-10.21,,,,-12.49,81.1,,13.13,,,
2013-08-28,21.45,21.36,-1.29,-0.88,364119,,-9.99,,,,-13.63,80.4,,12.71,,,
2013-08-29,21.9,22.18,3.84,2.53,394097,,-3.23,,,,-10.31,80.9,,11.84,,,
2013-08-30,22.29,21.73,-2.03,0.5,181227,,-7.22,,,,-12.13,79.6,,11.53,,,
2013-09-03,22.28,22.31,2.67,2.53,534198,,-1.28,,,,-9.79,80.1,,10.95,,,
2013-09-04,22.5,22.39,0.36,0.85,708730,,3.47,,,,-9.46,80.1,,10.54,,,
2013-09-05,23.0,24.29,8.49,2.72,568457,0.54,13.72,,,,-1.78,81.7,,9.77,,,-18.22
2013-09-06,24.79,25.54,5.15,2.06,388769,0.72,15.15,,,,3.28,82.7,,9.25,,,-14.01
2013-09-09,25.85,25.98,1.72,1.21,591452,1.3,19.56,5.05,,,5.05,83.0,5.51,9.12,,,-12.53
2013-09-10,26.76,26.76,3.0,3.0,272265,0.62,19.95,-8.01,,,8.21,83.6,3.92,8.51,,,-9.9
2013-09-11,26.98,25.42,-5.01,0.82,467019,1.07,13.53,-14.41,,,2.79,78.4,4.0,9.11,,,-14.41
2013-09-12,25.95,24.64,-3.07,2.08,222884,0.52,1.44,-14.12,,,-0.36,75.4,3.99,9.2,,,-17.04
2013-09-13,24.62,23.9,-3.0,-0.08,198955,0.49,-6.42,-12.23,,,-3.36,72.6,3.9,9.19,,,-19.53
2013-09-16,24.01,22.57,-5.56,0.46,473645,1.14,-13.13,-12.52,,,-8.73,67.7,3.92,9.64,,,-24.01
2013-09-17,22.5,23.95,6.11,-0.31,428407,1.01,-10.5,-6.55,,,-3.15,70.0,4.18,8.98,,,-19.36
2013-09-18,24.15,24.3,1.46,0.84,326831,0.78,-4.41,-6.32,,,-1.74,70.6,4.19,8.74,,,-18.18
2013-09-19,24.5,23.7,-2.47,0.82,166040,0.42,-3.81,-1.66,,,-4.16,68.2,3.92,8.7,,,-20.2
2013-09-20,23.41,22.12,-6.67,-1.22,604730,1.51,-7.45,-6.78,,,-10.55,62.3,4.17,9.43,,,-25.52
2013-09-23,22.13,22.12,0.0,0.05,411545,1.0,-1.99,-3.49,,,-10.55,62.3,4.11,9.28,,,-25.52
2013-09-24,21.74,21.41,-3.21,-1.72,543423,1.28,-10.61,-8.58,,,-13.42,59.6,4.13,9.26,,,-27.91
2013-09-25,21.53,22.12,3.32,0.56,1012970,2.29,-8.97,-2.12,,,-10.55,61.4,4.14,8.66,,,-25.52
2013-09-26,22.5,22.62,2.26,1.72,443643,0.99,-4.56,4.53,,,-8.53,62.7,4.05,8.07,,,-23.84
2013-09-27,22.4,23.01,1.72,-0.97,467027,1.04,4.02,7.72,,,-6.96,63.7,4.04,7.74,,,-22.53
2013-09-30,22.37,23.69,2.96,-2.78,1052173,2.13,7.1,6.81,,,-4.21,65.4,4.01,7.63,,,-20.24
2013-10-01,23.69,24.24,2.32,0.0,468288,0.95,13.22,11.55,,,-1.98,66.8,3.99,7.18,,,-18.38
2013-10-02,23.99,25.5,5.2,-1.03,575304,1.19,15.28,14.3,,,3.11,69.7,4.09,6.91,,,-14.14
2013-10-03,25.55,25.1,-1.57,0.2,420154,0.88,10.96,12.1,,,1.5,67.7,4.12,6.99,,,-15.49
2013-10-04,25.01,23.59,-6.02,-0.36,280082,0.59,2.52,-2.88,,,-4.61,60.4,3.95,7.44,,,-20.57
