date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,26.15,24.87,-4.88,0.0,735598,1.01,4.69,3.83,11.61,7.45,0.0,54.8,2.67,3.62,5.07,8.51,-4.88
2000-01-04,24.87,23.89,-3.95,0.0,269801,0.38,-3.2,-0.66,7.36,3.64,-3.95,47.7,2.82,3.87,0.85,4.12,-8.64
2000-01-05,24.01,23.89,0.0,0.52,521759,0.75,-6.59,-1.07,7.67,3.21,-3.95,47.7,2.82,3.76,0.81,4.0,-8.64
2000-01-06,23.95,24.33,1.85,0.28,1491841,2.1,-4.74,-0.53,7.68,1.51,-2.17,51.0,2.83,3.67,2.54,5.79,-6.95
2000-01-07,26.5,26.57,9.19,8.91,3260362,3.86,1.61,4.28,9.0,14.94,6.82,63.5,3.36,3.98,11.61,15.3,0.0
2000-01-10,26.57,26.24,-1.22,0.0,960593,1.11,5.51,5.79,7.11,16.59,5.51,61.1,3.32,4.11,9.91,13.69,-1.22
2000-01-11,26.11,25.57,-2.55,-0.49,648945,0.76,7.05,4.55,4.92,13.13,2.82,56.3,3.36,4.18,6.87,10.59,-3.74
2000-01-12,25.7,25.92,1.36,0.5,1337503,1.62,8.51,7.07,7.32,14.19,4.22,58.1,3.35,3.97,8.09,11.91,-2.43
2000-01-13,25.95,25.6,-1.22,0.13,683720,0.84,5.24,5.77,7.11,12.64,2.95,55.8,3.37,3.89,6.49,10.35,-3.62
2000-01-14,25.67,25.29,-1.23,0.25,918750,1.11,-4.81,3.94,8.3,12.2,1.69,53.6,3.39,3.91,4.96,8.81,-4.81
2000-01-18,24.97,23.79,-5.93,-1.27,1627389,1.93,-9.35,-3.25,1.73,6.27,-4.35,44.3,3.64,4.48,-1.39,2.21,-10.45
2000-01-19,23.43,24.4,2.55,-1.49,1114739,1.32,-4.6,6.38,3.03,9.3,-1.91,48.2,3.34,4.37,0.9,4.67,-8.17
2000-01-20,24.97,24.24,-0.63,2.35,1069556,1.23,-6.47,4.86,0.64,7.56,-2.53,47.3,3.34,4.34,0.16,3.86,-8.75
2000-01-21,24.24,23.82,-1.74,0.0,936229,1.04,-6.97,1.64,0.6,5.83,-4.23,44.8,3.36,4.41,-1.65,1.92,-10.34
2000-01-24,23.85,22.58,-5.21,0.14,971747,1.05,-10.72,-2.2,-2.41,1.3,-9.21,38.4,3.55,4.75,-6.78,-3.47,-15.01
2000-01-25,22.61,21.98,-2.67,0.14,689303,0.73,-7.62,-5.48,-5.89,-2.65,-11.64,35.8,3.59,4.82,-9.19,-6.11,-17.28
2000-01-26,22.07,22.45,2.16,0.43,1360745,1.38,-7.97,-5.49,-1.65,-1.9,-9.73,39.3,3.59,4.84,-7.16,-4.16,-15.49
2000-01-27,22.42,22.35,-0.43,-0.14,548538,0.55,-7.79,-9.41,-1.92,-2.88,-10.12,38.9,3.46,4.76,-7.53,-4.62,-15.86
2000-01-28,22.22,21.5,-3.83,-0.58,703057,0.7,-9.75,-15.93,-4.85,-9.45,-13.56,34.8,3.41,4.91,-10.89,-8.28,-19.08
2000-01-31,21.46,22.04,2.51,-0.15,480855,0.47,-2.4,-13.72,-4.08,-7.67,-11.39,39.1,3.48,4.77,-8.48,-5.96,-17.05
2000-02-01,21.98,22.48,2.02,-0.28,874499,0.85,2.31,-14.01,-3.37,-5.42,-9.6,42.5,3.47,4.55,-6.45,-4.04,-15.37
2000-02-02,22.48,21.94,-2.41,0.0,379514,0.37,-2.26,-11.77,-2.33,-6.07,-11.77,39.6,3.36,4.66,-8.55,-6.31,-17.4
2000-02-03,22.01,21.69,-1.14,0.29,397179,0.39,-2.96,-9.19,-4.54,-8.0,-12.78,38.3,3.27,4.66,-9.5,-7.36,-18.35
2000-02-04,21.81,21.37,-1.49,0.55,501308,0.52,-0.6,-10.54,-3.82,-8.06,-14.08,36.7,3.28,4.66,-10.73,-8.73,-19.56
2000-02-07,21.4,20.86,-2.39,0.16,809792,0.95,-5.35,-14.27,-4.2,-9.76,-16.13,34.2,3.26,4.81,-12.69,-10.86,-21.48
2000-02-08,20.86,20.86,0.0,0.0,728528,0.87,-7.23,-21.48,-9.21,-9.38,-16.13,34.2,2.36,4.7,-12.53,-10.82,-21.48
2000-02-09,20.96,19.72,-5.48,0.48,1304219,1.5,-10.15,-24.87,-14.19,-13.35,-20.72,29.0,2.54,5.17,-17.06,-15.65,-25.78
2000-02-10,19.97,19.27,-2.26,1.26,1027161,1.2,-11.16,-24.64,-14.6,-15.31,-22.51,27.3,2.53,5.22,-18.61,-17.46,-27.46
2000-02-11,19.27,18.09,-6.12,0.0,1045386,1.2,-15.33,-30.2,-21.37,-22.15,-27.25,23.4,2.66,5.65,-23.19,-22.41,-31.9
2000-02-14,18.22,19.46,7.55,0.7,946649,1.08,-6.72,-24.0,-16.68,-15.57,-21.76,35.1,3.34,5.5,-17.08,-16.47,-26.76
2000-02-15,19.59,21.24,9.16,0.67,1834717,2.07,1.83,-16.01,-6.39,-8.23,-14.6,46.6,4.04,5.32,-9.27,-8.78,-20.05
2000-02-16,21.14,21.37,0.6,-0.46,1488864,1.65,8.38,-10.17,-10.82,-8.78,-14.08,47.3,3.87,5.23,-8.5,-8.15,-19.56
2000-02-17,21.5,20.63,-3.43,0.6,599856,0.68,7.08,-15.41,-15.1,-8.96,-17.03,43.7,3.85,5.41,-11.35,-11.22,-22.33
2000-02-18,21.01,20.98,1.69,1.83,987928,1.12,15.98,-13.44,-15.36,-5.45,-15.63,45.8,3.89,5.28,-9.51,-9.64,-21.02
2000-02-22,20.72,21.14,0.77,-1.24,962635,1.09,8.66,-11.23,-11.61,-5.62,-14.98,46.8,3.89,5.06,-8.53,-8.87,-20.41
2000-02-23,21.14,21.11,-0.14,0.0,748616,0.84,-0.6,-6.49,-7.94,-7.36,-15.11,46.6,3.74,4.84,-8.39,-8.92,-20.53
2000-02-24,20.59,19.16,-9.26,-2.46,956872,1.1,-10.34,-12.82,-16.91,-15.46,-22.97,37.0,4.2,5.76,-16.51,-17.25,-27.89
2000-02-25,19.29,17.56,-8.33,0.67,1685779,1.83,-14.89,-21.77,-24.04,-23.56,-29.39,31.3,4.48,6.69,-23.02,-24.03,-33.89
2000-02-28,17.78,17.88,1.78,1.22,2757012,2.69,-14.81,-20.03,-22.68,-20.78,-28.13,33.5,4.52,6.39,-21.2,-22.56,-32.71
2000-02-29,17.88,18.55,3.77,0.0,1540551,1.43,-12.27,-13.72,-20.85,-16.95,-25.42,38.0,4.58,6.16,-17.79,-19.54,-30.18
2000-03-01,18.35,18.96,2.24,-1.07,973980,0.9,-10.18,-13.95,-20.93,-13.89,-23.75,40.7,4.57,5.89,-15.66,-17.65,-28.62
2000-03-02,19.03,18.26,-3.72,0.34,942183,0.85,-4.7,-18.79,-24.38,-17.82,-26.59,37.7,4.58,6.22,-18.44,-20.63,-31.27
2000-03-03,18.26,18.38,0.69,0.0,996293,0.87,4.68,-16.22,-23.25,-17.61,-26.08,38.6,4.58,6.21,-17.51,-20.01,-30.8
2000-03-06,18.87,18.13,-1.36,2.64,660848,0.57,1.45,-16.4,-24.58,-18.81,-27.09,37.5,4.58,6.23,-18.27,-21.02,-31.74
2000-03-07,18.04,17.43,-3.87,-0.52,780787,0.68,-6.02,-18.42,-27.8,-23.29,-29.91,34.5,4.62,6.3,-21.01,-23.98,-34.38
2000-03-08,17.56,18.04,3.48,0.74,612131,0.54,-4.87,-13.51,-26.24,-19.7,-27.46,39.0,4.7,5.9,-17.84,-21.26,-32.09
2000-03-09,18.16,18.42,2.1,0.69,878405,0.78,0.88,-11.7,-27.7,-17.54,-25.94,41.7,4.74,5.56,-15.63,-19.53,-30.67
2000-03-10,18.35,18.16,-1.38,-0.37,546306,0.5,-1.2,-7.87,-26.77,-19.5,-26.96,40.4,4.61,5.4,-16.23,-20.56,-31.63
2000-03-13,17.72,17.91,-1.41,-2.47,600974,0.56,-1.24,-7.07,-26.78,-21.3,-27.99,39.1,4.59,5.28,-16.82,-21.6,-32.59
2000-03-14,18.04,17.37,-3.02,0.73,362592,0.35,-0.37,-4.0,-28.25,-24.31,-30.16,36.4,4.44,5.33,-18.67,-23.9,-34.62
2000-03-15,17.4,18.68,7.53,0.2,1915608,1.82,3.53,-4.01,-22.85,-18.83,-24.9,46.1,4.44,5.27,-12.03,-18.11,-29.7
2000-03-16,18.71,20.59,10.26,0.18,996107,0.97,11.81,-3.04,-15.36,-10.75,-17.2,56.6,4.56,5.17,-2.7,-9.67,-22.48
2000-03-17,19.7,19.44,-5.6,-4.34,1404257,1.32,7.03,-9.02,-20.93,-17.44,-21.83,50.3,4.71,5.69,-7.76,-14.66,-26.82
2000-03-20,19.44,20.08,3.28,0.0,594838,0.57,12.12,-2.7,-12.45,-14.73,-19.27,53.4,4.72,5.39,-4.35,-11.8,-24.42
2000-03-21,20.01,19.73,-1.73,-0.32,517485,0.51,13.61,-5.96,-14.65,-17.11,-20.66,51.5,4.72,5.34,-5.38,-13.25,-25.73
2000-03-22,19.73,19.13,-3.06,0.0,694318,0.68,2.41,-9.54,-18.38,-19.98,-23.09,48.3,4.75,5.41,-7.65,-15.81,-28.0
2000-03-23,19.06,19.73,3.16,-0.34,686507,0.68,-4.18,-6.54,-14.54,-16.09,-20.66,51.5,4.82,5.19,-4.19,-13.08,-25.73
2000-03-24,19.83,20.01,1.43,0.49,616781,0.65,2.95,4.47,-13.92,-14.19,-19.53,53.0,4.35,4.91,-2.26,-11.76,-24.66
2000-03-27,20.01,19.44,-2.86,0.0,271294,0.33,-3.18,10.7,-18.16,-15.62,-21.83,49.7,3.96,5.03,-4.49,-14.19,-26.82
2000-03-28,21.23,20.72,6.6,9.21,1008195,1.26,5.03,15.93,-16.02,-9.07,-16.67,56.3,4.17,5.0,2.27,-8.46,-21.99
2000-03-29,20.72,21.11,1.88,0.0,1090569,1.35,10.38,13.83,-17.43,-6.7,-15.11,58.1,4.12,4.75,4.47,-6.68,-20.53
2000-03-30,21.3,21.26,0.72,0.87,513022,0.65,7.77,12.13,-16.74,-7.96,-14.5,58.8,4.1,4.67,5.55,-5.94,-19.95
2000-03-31,21.23,21.14,-0.57,-0.15,452401,0.6,5.65,15.8,-19.13,-7.08,-14.98,57.9,3.99,4.51,5.27,-6.42,-20.41
2000-04-03,21.01,21.39,1.19,-0.62,788963,1.03,10.05,16.38,-13.97,-3.98,-13.97,59.3,3.99,4.48,6.78,-5.25,-19.46
2000-04-04,21.3,22.0,2.82,-0.46,1000011,1.29,6.15,21.31,-7.91,-1.13,-11.55,62.3,3.98,4.32,9.86,-2.53,-17.19
2000-04-05,22.13,21.8,-0.88,0.6,878220,1.11,3.27,25.08,-8.72,-1.72,-12.33,60.7,3.85,4.17,8.91,-3.35,-17.92
2000-04-06,22.0,22.35,2.52,0.89,765348,0.97,5.12,23.91,-8.12,-1.06,-10.12,63.5,3.83,4.0,11.66,-0.88,-15.86
2000-04-07,22.29,22.48,0.58,-0.29,614548,0.78,6.34,22.07,-15.37,-7.75,-9.6,64.2,3.82,3.93,12.29,-0.27,-15.37
2000-04-10,22.42,22.84,1.59,-0.29,760702,0.95,6.76,25.74,-12.96,-6.77,-8.16,66.0,3.79,3.83,13.92,1.33,-14.02
2000-04-11,22.61,23.41,2.5,-1.01,611570,0.76,6.42,30.72,-8.45,-3.94,-5.87,68.7,3.75,3.81,16.61,3.87,-11.88
2000-04-12,23.44,24.08,2.86,0.15,905740,1.19,10.44,38.65,-7.1,-0.29,-3.17,71.5,3.62,3.79,19.76,6.81,-9.36
2000-04-13,24.08,22.9,-4.9,0.0,584795,0.79,2.45,22.61,-10.56,-4.2,-7.92,61.0,3.63,4.08,13.78,1.57,-13.8
2000-04-14,22.81,21.05,-8.1,-0.4,857763,1.21,-6.39,2.2,-16.78,-9.87,-15.38,48.8,3.5,4.77,4.63,-6.61,-20.78
2000-04-17,20.98,21.56,2.42,-0.3,1059883,1.44,-5.62,10.88,-9.39,-7.82,-13.33,51.7,3.27,4.65,7.15,-4.31,-18.86
2000-04-18,22.03,21.72,0.75,2.2,726302,0.98,-7.24,8.16,-10.98,-8.29,-12.68,52.6,3.21,4.77,7.85,-3.57,-18.25
2000-04-19,21.65,21.9,0.85,-0.3,709939,0.95,-9.05,11.0,-9.65,-9.08,-11.94,53.6,3.18,4.74,8.66,-2.72,-17.56
2000-04-20,21.97,22.64,3.39,0.3,640214,0.86,-1.12,18.39,-4.93,-4.37,-8.95,57.7,3.12,4.58,12.02,0.59,-14.76
2000-04-24,22.26,22.71,0.28,-1.71,555422,0.75,7.89,15.08,0.57,-1.85,-8.7,58.1,3.08,4.47,11.95,0.89,-14.52
2000-04-25,22.64,24.08,6.05,-0.28,1234491,1.57,11.71,20.32,9.58,3.12,-3.17,64.7,3.29,4.46,18.02,6.97,-9.36
2000-04-26,23.66,23.59,-2.03,-1.74,927678,1.18,8.63,21.35,5.09,3.36,-5.14,61.0,3.25,4.46,15.16,4.78,-11.2
2000-04-27,23.06,23.73,0.57,-2.27,716818,0.94,8.33,14.49,6.14,4.11,-4.6,61.7,2.98,4.43,15.54,5.35,-10.69
