date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-12-06,14.3,14.55,,,1230491,,,,,,0.0,,,1.94,,,
2005-12-07,14.44,14.32,-1.55,-0.77,627050,,,,,,-1.55,0.0,,1.95,,,
2005-12-08,14.3,14.29,-0.19,-0.12,640126,,,,,,-1.74,0.0,,1.91,,,
2005-12-09,14.41,14.5,1.45,0.79,2526808,,,,,,-0.31,7.0,,1.95,,,
2005-12-12,14.63,14.57,0.44,0.9,1019319,,,,,,0.13,9.1,,1.87,,,
2005-12-13,14.69,14.74,1.18,0.86,1102999,,1.31,,,,1.31,14.8,,1.8,,,
2005-12-14,14.7,14.81,0.52,-0.25,817600,,3.44,,,,1.84,17.2,,1.74,,,
2005-12-15,14.81,14.65,-1.1,0.0,605041,,2.5,,,,0.72,16.1,,1.75,,,
2005-12-16,14.91,14.65,0.0,1.75,568991,,1.03,,,,0.72,16.1,,1.75,,,
2005-12-19,14.66,14.33,-2.19,0.07,433094,,-1.61,,,,-1.48,14.2,,1.83,,,
2005-12-20,14.42,14.36,0.2,0.6,233506,,-2.57,,,,-1.29,15.1,,1.79,,,
2005-12-21,14.41,14.37,0.07,0.33,324956,,-3.01,,,,-1.22,15.5,,1.72,,,
2005-12-22,14.59,14.46,0.6,1.51,244246,,-1.34,,,,-0.63,18.8,,1.7,,,
2005-12-23,14.5,14.58,0.84,0.33,255413,,-0.52,,,,0.2,23.4,,1.65,,,
2005-12-27,14.64,14.43,-1.02,0.45,300503,,0.67,,,,-0.82,21.8,,1.69,,,
2005-12-28,14.47,14.51,0.57,0.32,275509,,1.05,,,,-0.25,24.9,,1.63,,,
2005-12-29,14.47,14.37,-0.97,-0.25,183105,,0.0,,,,-1.22,23.2,,1.62,,,
2005-12-30,14.39,14.29,-0.52,0.13,228936,,-1.11,,,,-1.74,22.3,,1.59,,,
2006-01-03,14.4,14.49,1.38,0.72,513486,,-0.57,,,,0.0,29.8,,1.65,,,
2006-01-04,14.5,14.77,1.9,0.07,803989,1.24,2.36,,,,1.9,38.6,,1.67,,,-0.32
2006-01-05,14.7,14.73,-0.26,-0.45,540493,0.88,1.51,,,,1.63,37.9,,1.62,,,-0.58
2006-01-06,14.77,14.85,0.83,0.26,598977,0.98,3.36,2.09,,,2.48,41.7,1.05,1.58,,,0.0
2006-01-09,14.89,15.01,1.07,0.26,670434,1.09,5.01,4.81,,,3.58,46.2,1.0,1.55,,,0.0
2006-01-10,15.0,15.12,0.74,-0.06,486584,0.95,4.34,5.78,,,4.34,49.1,1.0,1.52,,,0.0
2006-01-11,15.19,15.23,0.75,0.44,485625,1.0,3.16,5.05,,,5.12,52.0,0.97,1.47,,,0.0
2006-01-12,15.23,15.24,0.06,0.0,1097576,2.27,3.5,4.65,,,5.19,52.3,0.97,1.45,,,0.0
2006-01-13,15.27,15.34,0.62,0.18,662459,1.39,3.27,4.07,,,5.83,54.7,0.95,1.41,,,0.0
2006-01-17,15.42,15.2,-0.92,0.55,633430,1.33,1.24,2.58,,,4.86,50.5,0.98,1.49,,,-0.92
2006-01-18,15.2,15.23,0.19,0.0,492961,1.04,0.69,3.92,,,5.06,51.3,0.94,1.43,,,-0.73
2006-01-19,15.27,15.51,1.86,0.3,956790,1.92,1.8,5.85,,,7.02,58.7,1.0,1.44,,,0.0
2006-01-20,15.52,15.21,-1.95,0.06,504340,0.98,-0.24,6.11,,,4.93,50.0,0.98,1.58,,,-1.95
2006-01-23,15.25,15.24,0.24,0.31,434161,0.84,-0.61,6.16,,,5.19,51.0,0.98,1.53,,,-1.71
2006-01-24,15.33,15.48,1.55,0.55,622371,1.16,1.87,7.73,,,6.82,56.7,1.01,1.51,,,-0.19
2006-01-25,15.52,15.5,0.12,0.25,671601,1.2,1.8,7.22,,,6.95,57.1,1.01,1.47,,,-0.06
2006-01-26,15.61,15.67,1.13,0.72,917344,1.56,1.06,7.53,,,8.16,60.9,1.02,1.43,,,0.0
2006-01-27,15.68,15.94,1.69,0.06,1125221,1.78,4.82,10.48,,,9.99,65.9,1.01,1.43,,,0.0
2006-01-30,16.41,16.16,1.36,2.98,1461238,2.1,5.99,11.34,,,11.48,69.4,1.03,1.55,,,0.0
2006-01-31,15.99,16.02,-0.83,-1.06,1232299,1.65,3.5,11.51,,,10.56,65.0,1.02,1.61,,,-0.83
2006-02-01,15.99,15.98,-0.29,-0.23,679686,0.9,3.08,11.77,,,10.24,63.5,1.01,1.58,,,-1.11
2006-02-02,15.94,15.84,-0.86,-0.23,630239,0.85,1.05,9.29,,,9.29,59.2,1.03,1.6,,,-1.96
2006-02-03,15.82,15.75,-0.55,-0.13,589406,0.79,-1.18,6.67,,,8.69,56.5,0.99,1.64,,,-2.5
2006-02-06,15.73,15.73,-0.13,-0.13,455534,0.62,-2.63,6.81,,,8.56,55.9,0.99,1.59,,,-2.63
