date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-07-21,18.0,17.97,,,4480194,,,,,,0.0,,,11.57,,,
2016-07-22,19.56,19.56,8.85,8.85,724094,,,,,,8.85,,,10.58,,,
2016-07-25,20.13,19.73,0.87,2.91,371943,,,,,,9.79,,,10.4,,,
2016-07-26,19.82,18.61,-5.68,0.46,227694,,,,,,3.56,94.5,,10.86,,,
2016-07-27,19.0,18.1,-2.74,2.1,146033,,,,,,0.72,92.1,,10.82,,,
2016-07-28,18.0,18.49,2.15,-0.55,99808,,2.89,,,,2.89,92.2,,10.12,,,
2016-07-29,18.6,18.41,-0.43,0.59,254117,,-5.88,,,,2.45,91.8,,9.86,,,
2016-08-01,18.95,19.72,7.12,2.93,394947,,-0.05,,,,9.74,92.4,,9.49,,,
2016-08-02,19.87,19.4,-1.62,0.76,150341,,4.25,,,,7.96,90.6,,9.47,,,
2016-08-03,19.32,18.83,-2.94,-0.41,247021,,4.03,,,,4.79,87.4,,9.53,,,
2016-08-04,19.0,19.33,2.66,0.9,85789,,4.54,,,,7.57,87.8,,8.95,,,
2016-08-05,19.91,19.22,-0.57,3.0,36055,,4.4,,,,6.96,87.1,,8.73,,,
2016-08-08,19.0,19.81,3.07,-1.14,129408,,0.46,,,,10.24,87.6,,8.28,,,
2016-08-09,19.89,19.76,-0.25,0.4,71606,,1.86,,,,9.96,87.3,,8.01,,,
2016-08-10,20.0,20.0,1.21,1.21,62605,,6.21,,,,11.3,87.6,,7.46,,,
2016-08-11,20.32,19.99,-0.05,1.6,81458,,3.41,,,,11.24,87.5,,7.18,,,
2016-08-12,19.87,19.97,-0.1,-0.6,81835,,3.9,,,,11.13,87.3,,6.82,,,
2016-08-15,20.45,21.7,8.66,2.4,529270,,9.54,,,,20.76,89.2,,6.49,,,
2016-08-16,22.0,20.95,-3.46,1.38,330400,,6.02,,,,16.58,83.4,,7.03,,,
2016-08-17,21.22,23.47,12.03,1.29,442618,0.99,17.35,,,,30.61,86.6,,6.72,,,0.0
2016-08-18,23.83,22.56,-3.88,1.53,374499,1.55,12.86,,,,25.54,80.5,,7.31,,,-3.88
2016-08-19,22.4,21.97,-2.62,-0.71,160763,0.75,10.02,22.26,,,22.26,76.8,4.66,7.54,,,-6.39
2016-08-22,21.7,21.29,-3.1,-1.23,185660,0.91,-1.89,8.84,,,18.48,72.7,4.38,7.74,,,-9.29
2016-08-23,21.63,21.81,2.44,1.6,226449,1.11,4.11,10.54,,,21.37,73.8,4.4,7.5,,,-7.07
2016-08-24,21.29,21.16,-2.98,-2.38,141720,0.69,-9.84,13.7,,,17.75,69.8,4.24,7.55,,,-9.84
2016-08-25,20.97,20.85,-1.47,-0.9,113951,0.56,-7.58,15.19,,,16.03,67.9,4.2,7.46,,,-11.16
2016-08-26,20.77,20.0,-4.08,-0.38,298883,1.44,-8.97,8.17,,,11.3,62.9,4.32,7.89,,,-14.78
2016-08-29,20.13,22.79,13.95,0.65,603056,2.77,7.05,23.79,,,26.82,70.6,5.22,7.47,,,-2.9
2016-08-30,22.92,22.62,-0.75,0.57,252909,1.14,3.71,14.71,,,25.88,69.6,5.05,7.53,,,-3.62
2016-08-31,22.83,22.82,0.88,0.93,799625,3.19,7.84,17.63,,,26.99,70.1,5.02,7.55,,,-2.77
2016-09-01,26.52,27.66,21.21,16.21,2027598,5.83,32.66,46.89,,,53.92,79.2,6.61,7.1,,,0.0
2016-09-02,27.87,32.67,18.11,0.76,3323525,6.49,63.35,69.01,,,81.8,84.5,7.48,6.88,,,0.0
2016-09-06,33.2,33.7,3.15,1.62,1459818,2.52,47.87,75.34,,,87.53,85.3,7.44,6.73,,,0.0
2016-09-07,33.7,34.6,2.67,0.0,953003,1.53,52.96,74.66,,,92.54,86.0,7.44,6.63,,,0.0
2016-09-08,34.64,35.25,1.88,0.12,818103,1.24,54.47,78.39,,,96.16,86.5,7.41,6.38,,,0.0
2016-09-09,34.89,32.62,-7.46,-1.02,730568,1.05,17.93,63.1,,,81.52,74.9,7.75,7.27,,,-7.46
2016-09-12,31.34,34.01,4.26,-3.92,337282,0.48,4.1,70.14,,,89.26,76.7,7.74,7.14,,,-3.52
2016-09-13,34.01,35.6,4.68,0.0,1112973,1.51,5.64,78.27,,,98.11,78.5,7.72,7.02,,,0.0
2016-09-14,36.13,36.65,2.95,1.49,867395,1.14,5.92,68.89,,,103.95,79.7,7.61,6.78,,,0.0
2016-09-15,37.12,37.06,1.12,1.28,532586,0.7,5.13,76.9,,,106.23,80.2,7.49,6.54,,,0.0
2016-09-16,36.8,36.97,-0.24,-0.7,663944,0.85,13.34,57.52,,,105.73,79.7,7.22,6.3,,,-0.24
2016-09-19,37.49,36.33,-1.73,1.41,407322,0.51,6.82,61.04,,,102.17,76.7,7.14,6.2,,,-1.97
2016-09-20,36.42,33.33,-8.26,0.25,943362,1.14,-6.38,51.71,,,85.48,64.2,7.44,7.07,,,-10.06
2016-09-21,33.24,34.32,2.97,-0.27,620051,0.73,-6.36,61.2,,,90.98,66.1,7.34,6.86,,,-7.39
2016-09-22,34.36,33.85,-1.37,0.12,467082,0.54,-8.66,55.2,,,88.37,64.3,7.39,6.83,,,-8.66
2016-09-23,34.02,34.24,1.15,0.5,281259,0.32,-7.38,61.81,,,90.54,65.2,7.3,6.48,,,-7.61
2016-09-26,34.38,32.05,-6.4,0.41,467825,0.53,-11.78,53.72,,,78.35,57.0,7.51,6.98,,,-13.52
2016-09-27,32.14,35.68,11.33,0.28,621487,0.7,7.05,78.4,,,98.55,64.9,7.61,6.65,,,-3.72
2016-09-28,35.78,35.91,0.64,0.28,367246,0.41,4.63,57.57,,,99.83,65.3,7.2,6.55,,,-3.1
2016-09-29,36.15,36.55,1.78,0.67,881935,0.99,7.98,61.58,,,103.39,66.5,7.16,6.55,40.58,,-1.38
2016-09-30,36.75,37.43,2.41,0.55,494788,0.61,9.32,64.02,,,108.29,68.2,7.15,6.23,41.84,,0.0
2016-10-03,37.77,36.0,-3.82,0.91,497332,0.74,12.32,30.15,,,100.33,62.7,5.87,6.41,34.75,,-3.82
2016-10-04,35.86,33.32,-7.44,-0.39,519976,0.83,-6.61,1.99,,,85.42,53.9,4.78,7.11,23.46,,-10.98
2016-10-05,33.64,32.51,-2.43,0.96,715570,1.16,-9.47,-3.53,,,80.91,51.6,4.76,7.39,19.23,,-13.14
2016-10-06,33.16,34.25,5.35,2.0,538206,0.89,-6.29,-1.01,,,90.6,56.0,4.88,7.06,24.14,,-8.5
2016-10-07,34.04,33.44,-2.36,-0.61,154021,0.27,-10.66,-5.13,,,86.09,53.5,4.88,6.95,19.91,,-10.66
2016-10-10,33.24,32.51,-2.78,-0.6,281526,0.49,-9.69,-0.34,,,80.91,50.8,4.63,7.08,15.4,,-13.14
2016-10-11,32.51,28.21,-13.23,0.0,1485072,2.52,-15.34,-17.05,,,56.98,40.4,5.36,8.96,-0.46,,-24.63
2016-10-12,28.75,28.24,0.11,1.91,954320,1.6,-13.13,-20.67,,,57.15,40.5,5.22,8.84,-0.97,,-24.55
2016-10-13,27.51,28.24,0.0,-2.58,482104,0.81,-17.55,-22.95,,,57.15,40.5,5.15,8.69,-1.62,,-24.55
2016-10-14,28.42,27.51,-2.58,0.64,324366,0.56,-17.73,-25.77,,,53.09,38.8,5.13,8.79,-4.71,,-26.5
2016-10-17,27.26,27.59,0.29,-0.91,228534,0.4,-15.13,-25.37,,,53.53,39.1,5.14,8.37,-4.98,,-26.29
2016-10-18,27.93,27.96,1.34,1.23,295433,0.55,-0.89,-23.04,,,55.59,40.6,5.17,7.93,-4.24,,-25.3
2016-10-19,27.79,28.1,0.5,-0.61,277617,0.54,-0.5,-15.69,56.37,,56.37,41.1,4.91,7.73,-4.31,,-24.93
2016-10-20,28.12,27.46,-2.28,0.07,148150,0.3,-2.76,-19.99,40.39,,52.81,39.3,4.85,7.68,-6.96,,-26.64
2016-10-21,27.17,26.8,-2.4,-1.06,231001,0.46,-2.58,-20.83,35.83,,49.14,37.4,4.86,7.5,-9.62,,-28.4
2016-10-24,26.6,27.93,4.22,-0.75,364320,0.74,1.23,-18.43,50.08,,55.43,42.5,4.97,7.11,-6.31,,-25.38
2016-10-25,27.78,27.02,-3.26,-0.54,203927,0.43,-3.36,-15.69,49.28,,50.36,39.7,4.84,7.08,-9.68,,-27.81
2016-10-26,26.65,26.7,-1.18,-1.37,132669,0.29,-4.98,-25.17,44.4,,48.58,38.7,3.98,6.85,-11.1,,-28.67
2016-10-27,26.85,25.75,-3.56,0.56,341236,0.79,-6.23,-28.29,39.87,,43.29,36.0,3.98,7.04,-14.39,,-31.2
2016-10-28,25.75,25.15,-2.33,0.0,159451,0.38,-6.16,-31.19,27.54,,39.96,34.3,3.91,6.95,-16.53,,-32.81
2016-10-31,25.26,24.69,-1.83,0.44,276141,0.68,-11.6,-34.04,27.27,,37.4,33.0,3.8,6.95,-18.2,,-34.04
2016-11-01,24.57,24.42,-1.09,-0.49,300286,0.76,-9.62,-32.17,29.69,,35.89,32.3,3.78,6.71,-19.26,,-34.76
2016-11-02,24.44,25.09,2.74,0.08,446242,1.17,-6.03,-24.7,29.8,,39.62,36.2,3.66,6.53,-17.23,,-32.97
2016-11-03,25.19,25.3,0.84,0.4,572744,1.5,-1.75,-22.18,31.63,,40.79,37.4,3.68,6.46,-16.76,,-32.41
2016-11-04,27.7,27.52,8.77,9.49,1683469,3.66,9.42,-19.65,38.92,,53.14,48.5,4.04,6.39,-9.85,,-26.48
2016-11-07,28.4,26.47,-3.82,3.2,737775,1.53,7.21,-20.84,33.96,,47.3,44.5,4.08,6.84,-13.66,,-29.28
2016-11-08,26.35,27.81,5.06,-0.45,519440,1.2,13.88,-14.46,39.05,,54.76,50.2,4.26,6.66,-9.59,,-25.7
2016-11-09,26.76,30.95,11.29,-3.78,628423,1.5,23.36,9.71,54.83,,72.23,60.4,4.0,6.6,0.08,,-17.31
2016-11-10,31.26,30.55,-1.29,1.0,441519,1.06,20.75,8.18,52.98,,70.01,58.8,4.02,6.71,-1.7,,-18.38
2016-11-11,30.4,30.77,0.72,-0.49,239776,0.58,11.81,8.96,41.8,,71.23,59.4,4.01,6.49,-1.19,,-17.79
2016-11-14,30.85,32.05,4.16,0.26,304636,0.73,21.08,16.5,52.98,,78.35,63.1,4.03,6.12,2.96,,-14.37
2016-11-15,32.3,33.32,3.96,0.78,280182,0.68,19.81,20.77,41.97,,85.42,66.4,4.08,5.91,7.06,,-10.98
