date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,6.78,6.8,,,135209,,,,,,0.0,,,1.91,,,
2005-02-28,6.8,6.8,0.0,0.0,144658,,,,,,0.0,,,1.91,,,
2005-03-01,6.82,6.92,1.83,0.36,140680,,,,,,1.83,,,1.9,,,
2005-03-02,6.92,6.92,-0.06,0.0,132971,,,,,,1.77,96.6,,1.94,,,
2005-03-03,6.94,6.91,-0.18,0.36,149370,,,,,,1.58,86.9,,1.94,,,
2005-03-04,6.95,7.02,1.57,0.67,111596,,3.18,,,,3.18,93.3,,1.93,,,
2005-03-07,7.02,7.11,1.32,0.0,205553,,4.55,,,,4.55,95.4,,1.97,,,
2005-03-08,7.11,6.95,-2.18,0.0,393440,,0.43,,,,2.26,61.2,,2.03,,,
2005-03-09,6.94,6.9,-0.83,-0.25,402150,,-0.35,,,,1.42,53.6,,2.03,,,
2005-03-10,6.88,6.83,-0.92,-0.17,226675,,-1.08,,,,0.49,46.7,,2.07,,,
2005-03-11,6.86,6.84,0.05,0.4,117317,,-2.57,,,,0.54,47.0,,2.12,,,
2005-03-14,6.82,6.88,0.65,-0.29,137697,,-3.21,,,,1.19,52.1,,2.04,,,
2005-03-15,6.84,6.88,0.0,-0.53,226175,,-1.05,,,,1.19,52.1,,2.07,,,
2005-03-16,6.85,6.86,-0.24,-0.41,138939,,-0.46,,,,0.95,50.0,,2.13,,,
2005-03-17,6.88,6.87,0.12,0.3,170996,,0.58,,,,1.07,51.1,,2.06,,,
2005-03-18,6.88,6.93,0.82,0.06,247798,,1.36,,,,1.9,57.5,,2.02,,,
2005-03-21,6.92,6.85,-1.1,-0.07,89220,,-0.41,,,,0.78,48.3,,2.0,,,
2005-03-22,6.87,6.87,0.29,0.23,229416,,-0.12,,,,1.07,50.5,,2.03,,,
2005-03-23,6.85,6.83,-0.64,-0.29,190136,,-0.52,,,,0.43,45.8,,2.0,,,
2005-03-24,6.87,6.91,1.15,0.58,119055,0.64,0.51,,,,1.58,54.1,,2.01,,,-2.83
2005-03-28,6.96,6.91,0.0,0.73,105881,0.58,-0.31,,,,1.58,54.1,,1.96,,,-2.83
2005-03-29,6.91,6.84,-1.03,0.05,156838,0.85,-0.24,0.54,,,0.54,46.6,0.98,2.01,,,-3.84
2005-03-30,6.86,7.0,2.46,0.35,108118,0.59,1.92,3.01,,,3.01,60.5,1.11,2.0,,,-1.47
2005-03-31,6.99,6.92,-1.15,-0.22,124517,0.68,1.4,0.0,,,1.83,53.3,1.08,2.0,,,-2.6
2005-04-01,6.97,6.86,-0.86,0.71,114333,0.63,-0.63,-0.81,,,0.95,48.7,1.09,2.04,,,-3.44
2005-04-04,6.85,6.98,1.7,-0.17,80279,0.45,1.06,1.06,,,2.67,56.6,1.16,2.01,,,-1.8
2005-04-05,7.0,7.01,0.4,0.23,122541,0.7,2.53,-0.1,,,3.07,58.3,1.11,1.97,,,-1.41
2005-04-06,7.04,7.04,0.4,0.47,139182,0.86,0.46,-1.02,,,3.49,59.9,1.07,1.9,,,-1.02
2005-04-07,7.07,7.0,-0.46,0.53,129750,0.87,1.16,0.73,,,3.01,57.1,0.96,1.86,,,-1.47
2005-04-08,7.01,7.01,0.12,0.12,111596,0.78,2.16,1.69,,,3.13,57.6,0.94,1.81,,,-1.35
2005-04-11,7.02,6.88,-1.88,0.11,69594,0.49,-1.44,0.7,,,1.19,47.3,1.01,1.95,,,-3.21
