date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2011-06-21,2.35,2.41,,,728721,,,,,,0.0,,,7.05,,,
2011-06-22,2.44,2.29,-4.98,1.24,335187,,,,,,-4.98,0.0,,7.42,,,
2011-06-23,2.29,2.25,-1.75,0.0,147522,,,,,,-6.64,0.0,,7.52,,,
2011-06-24,2.27,2.3,2.22,0.89,182308,,,,,,-4.56,3.3,,7.3,,,
2011-06-27,2.34,2.27,-1.3,1.74,222460,,,,,,-5.81,3.2,,7.25,,,
2011-06-28,2.4,2.28,0.44,5.73,519777,,-5.39,,,,-5.39,3.9,,7.23,,,
2011-06-29,2.34,2.27,-0.44,2.63,302706,,-0.87,,,,-5.81,3.9,,7.12,,,
2011-06-30,2.34,2.22,-2.2,3.08,186359,,-1.33,,,,-7.88,3.7,,7.18,,,
2011-07-01,2.3,2.33,4.95,3.6,457330,,1.3,,,,-3.32,12.1,,6.75,,,
2011-07-05,2.31,2.28,-2.15,-0.86,186972,,0.44,,,,-5.39,11.6,,6.63,,,
2011-07-06,2.26,2.26,-0.88,-0.88,222441,,-0.88,,,,-6.22,11.4,,6.55,,,
2011-07-07,2.29,2.24,-0.88,1.33,107133,,-1.32,,,,-7.05,11.2,,6.33,,,
2011-07-08,2.22,2.21,-1.34,-0.89,147717,,-0.45,,,,-8.3,10.9,,6.22,,,
2011-07-11,2.14,2.07,-6.33,-3.17,309163,,-11.16,,,,-14.11,9.5,,6.68,,,
2011-07-12,2.02,2.08,0.48,-2.42,279917,,-8.77,,,,-13.69,10.4,,6.59,,,
2011-07-13,2.12,2.22,6.73,1.92,258896,,-1.77,,,,-7.88,21.8,,6.31,,,
2011-07-14,2.22,2.28,2.7,0.0,526958,,1.79,,,,-5.39,26.1,,6.14,,,
2011-07-15,2.3,2.3,0.88,0.88,447784,,4.07,,,,-4.56,27.6,,5.93,,,
2011-07-18,2.29,2.27,-1.3,-0.43,325745,,9.66,,,,-5.81,26.7,,6.02,,,
2011-07-19,2.3,2.28,0.44,1.32,402879,1.28,9.62,,,,-5.39,27.5,,5.88,,,-5.39
2011-07-20,2.35,2.44,7.02,3.07,3445287,7.64,9.91,,,,1.24,38.9,,6.13,,,0.0
2011-07-21,2.44,2.34,-4.1,0.0,885703,1.85,2.63,-2.9,,,-2.9,35.2,3.42,6.54,,,-4.1
2011-07-22,2.33,2.37,1.28,-0.43,306648,0.63,3.04,3.49,,,-1.66,37.1,3.24,6.3,,,-2.87
2011-07-25,2.34,2.26,-4.64,-1.27,379581,0.77,-0.44,0.44,,,-6.22,33.2,3.38,6.64,,,-7.38
