date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,21.9,22.24,,,688789,,,,,,0.0,,,1.97,,,
2005-02-28,22.28,22.33,0.39,0.16,792165,,,,,,0.39,,,1.96,,,
2005-03-01,22.34,22.15,-0.78,0.08,775653,,,,,,-0.39,86.6,,1.95,,,
2005-03-02,22.16,22.32,0.76,0.03,743171,,,,,,0.37,88.2,,1.95,,,
2005-03-03,22.45,22.42,0.45,0.56,954012,,,,,,0.82,89.1,,1.9,,,
2005-03-04,22.49,22.73,1.39,0.32,962924,,2.22,,,,2.22,91.2,,1.87,,,
2005-03-07,22.72,22.84,0.48,-0.05,749848,,2.32,,,,2.71,91.9,,1.86,,,
2005-03-08,22.84,22.49,-1.56,0.0,727204,,1.51,,,,1.11,74.0,,1.92,,,
2005-03-09,22.44,22.25,-1.06,-0.2,523781,,-0.32,,,,0.04,64.8,,1.89,,,
2005-03-10,22.25,22.21,-0.2,0.0,869749,,-0.96,,,,-0.16,63.3,,1.92,,,
2005-03-11,22.21,22.13,-0.36,0.0,944739,,-2.67,,,,-0.52,60.5,,2.02,,,
2005-03-14,22.26,22.09,-0.16,0.6,963483,,-3.3,,,,-0.68,59.2,,2.0,,,
2005-03-15,22.09,21.98,-0.5,0.0,472735,,-2.26,,,,-1.18,55.3,,1.95,,,
2005-03-16,21.98,21.63,-1.58,0.0,580020,,-2.78,,,,-2.74,45.2,,1.97,,,
2005-03-17,21.67,21.53,-0.45,0.17,1479658,,-3.02,,,,-3.18,42.9,,1.92,,,
2005-03-18,21.45,21.19,-1.6,-0.39,1481327,,-4.23,,,,-4.73,35.8,,1.97,,,
2005-03-21,21.12,21.12,-0.32,-0.32,1870544,,-4.39,,,,-5.03,34.6,,2.03,,,
2005-03-22,21.2,21.05,-0.34,0.38,1155770,,-4.23,,,,-5.35,33.3,,2.04,,,
2005-03-23,21.01,21.02,-0.15,-0.17,1127933,,-2.83,,,,-5.49,32.7,,2.0,,,
2005-03-24,21.06,20.95,-0.34,0.22,681178,0.73,-2.73,,,,-5.82,31.4,,2.01,,,-8.3
2005-03-28,21.03,21.06,0.56,0.4,684149,0.74,-0.59,,,,-5.29,36.0,,1.94,,,-7.79
2005-03-29,21.06,20.68,-1.81,0.0,954762,1.02,-2.07,-7.0,,,-7.0,29.2,0.85,2.05,,,-9.46
2005-03-30,20.66,20.92,1.13,-0.11,689335,0.74,-0.63,-6.31,,,-5.95,37.1,0.9,2.01,,,-8.43
2005-03-31,20.87,21.01,0.46,-0.22,887013,0.95,-0.02,-5.14,,,-5.51,40.0,0.9,1.96,,,-8.01
2005-04-01,21.18,21.09,0.35,0.81,961444,1.02,0.68,-5.52,,,-5.18,42.3,0.89,2.0,,,-7.68
2005-04-04,21.16,20.89,-0.95,0.36,1179349,1.24,-0.84,-6.84,,,-6.08,38.1,0.88,2.07,,,-8.56
2005-04-05,21.01,21.07,0.88,0.61,1281244,1.31,1.87,-7.31,,,-5.26,43.6,0.84,2.01,,,-7.76
2005-04-06,21.04,21.09,0.11,-0.12,673011,0.69,0.84,-7.66,,,-5.16,44.2,0.82,1.94,,,-7.66
2005-04-07,21.09,21.57,2.26,-0.02,1256737,1.24,2.64,-4.08,,,-3.02,55.8,0.96,1.99,,,-5.58
2005-04-08,21.56,21.46,-0.51,-0.02,1235952,1.2,1.76,-3.55,,,-3.51,53.1,0.94,1.93,,,-6.06
2005-04-11,21.55,21.42,-0.2,0.43,847665,0.83,2.53,-3.56,,,-3.71,52.0,0.94,1.87,,,-6.25
2005-04-12,21.45,21.68,1.25,0.14,1013600,0.99,2.91,-2.0,,,-2.5,57.8,0.99,1.93,,,-5.08
2005-04-13,21.68,21.28,-1.85,0.0,748361,0.72,0.9,-3.65,,,-4.3,48.4,1.06,2.05,,,-6.83
2005-04-14,21.28,20.75,-2.51,0.0,546986,0.53,-3.81,-5.6,,,-6.71,39.3,1.18,2.15,,,-9.17
2005-04-15,20.69,20.33,-2.01,-0.26,964964,0.95,-5.25,-6.0,,,-8.58,33.9,1.2,2.22,,,-10.99
2005-04-18,20.38,20.18,-0.76,0.23,1401886,1.39,-5.78,-6.3,,,-9.27,32.2,1.21,2.24,,,-11.67
2005-04-19,20.26,20.54,1.78,0.39,545501,0.58,-5.28,-3.08,,,-7.66,39.9,1.25,2.21,,,-10.09
2005-04-20,20.54,20.26,-1.37,0.0,411861,0.46,-4.82,-4.09,,,-8.92,36.4,1.28,2.23,,,-11.32
2005-04-21,20.36,20.48,1.11,0.48,1329687,1.45,-1.28,-2.69,,,-7.9,40.9,1.31,2.15,,,-10.33
2005-04-22,20.37,20.53,0.24,-0.57,935831,1.01,0.98,-2.32,,,-7.68,41.9,1.31,2.16,,,-10.12
2005-04-25,20.62,21.18,3.16,0.44,1322999,1.38,4.96,1.11,,,-4.77,52.8,1.49,2.21,,,-7.28
2005-04-26,22.06,21.79,2.86,4.17,3007942,2.83,6.08,3.42,,,-2.04,60.4,1.61,2.38,,,-4.63
2005-04-27,21.66,21.63,-0.71,-0.59,1323373,1.21,6.78,4.58,,,-2.74,57.8,1.56,2.32,,,-5.31
2005-04-28,21.64,21.55,-0.39,0.02,1611245,1.43,5.19,3.01,,,-3.12,56.4,1.55,2.31,,,-5.68
2005-04-29,21.55,21.43,-0.52,0.03,1326898,1.16,4.39,2.0,,,-3.63,54.5,1.55,2.37,,,-6.17
2005-05-02,21.43,21.76,1.51,-0.02,970164,0.85,2.73,3.17,,,-2.17,58.8,1.58,2.31,,,-4.76
2005-05-03,21.85,21.92,0.75,0.42,1083755,0.96,0.61,4.94,,,-1.44,60.8,1.57,2.3,,,-4.04
2005-05-04,21.94,22.43,2.32,0.08,1039953,0.91,3.68,6.44,,,0.84,66.3,1.63,2.28,,,-1.82
