date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-03-15,8.84,8.13,,,85542,,,,,,0.0,,,13.53,,,
2022-03-16,8.06,8.09,-0.49,-0.86,33657,,,,,,-0.49,0.0,,13.26,,,
2022-03-17,8.1,8.1,0.12,0.12,27094,,,,,,-0.37,1.9,,12.56,,,
2022-03-18,8.1,8.0,-1.23,0.0,51945,,,,,,-1.6,1.6,,12.09,,,
2022-03-21,8.0,7.48,-6.5,0.0,27225,,,,,,-8.0,0.8,,12.51,,,
2022-03-22,7.4,7.58,1.34,-1.07,24918,,-6.77,,,,-6.77,9.9,,12.0,,,
2022-03-23,7.6,7.5,-1.06,0.26,30525,,-7.29,,,,-7.75,9.2,,11.69,,,
2022-03-24,7.74,7.28,-2.93,3.2,97238,,-10.12,,,,-10.46,7.5,,11.71,,,
2022-03-25,7.58,7.51,3.16,4.12,38054,,-6.13,,,,-7.63,23.0,,10.93,,,
2022-03-28,7.23,7.01,-6.66,-3.73,44151,,-6.28,,,,-13.78,16.5,,11.5,,,
2022-03-29,6.9,7.2,2.71,-1.57,47726,,-5.01,,,,-11.44,25.1,,10.88,,,
2022-03-30,7.2,7.13,-0.9,0.0,72487,,-4.87,,,,-12.24,24.2,,10.54,,,
2022-03-31,7.2,7.26,1.75,0.91,269955,,-0.27,,,,-10.7,29.5,,10.31,,,
2022-04-01,7.2,6.9,-4.96,-0.83,32512,,-8.12,,,,-15.13,24.2,,10.48,,,
2022-04-04,6.82,6.91,0.14,-1.16,31160,,-1.43,,,,-15.01,24.6,,10.08,,,
2022-04-05,6.92,6.87,-0.58,0.15,8716,,-4.58,,,,-15.5,24.1,,9.56,,,
2022-04-06,6.89,6.98,1.6,0.29,11330,,-2.17,,,,-14.15,28.8,,8.93,,,
2022-04-07,6.77,6.89,-1.29,-3.01,21474,,-5.1,,,,-15.25,27.3,,8.81,,,
2022-04-08,6.91,6.79,-1.45,0.29,6584,,-1.59,,,,-16.48,25.7,,8.58,,,
2022-04-11,6.78,6.66,-1.91,-0.15,8380,0.17,-3.62,,,,-18.08,23.8,,8.31,,,-18.08
2022-04-12,6.7,6.35,-4.65,0.6,45513,0.98,-7.57,,,,-21.89,19.9,,8.79,,,-21.89
2022-04-13,6.4,6.3,-0.79,0.79,16713,0.37,-9.74,-22.51,,,-22.51,19.3,2.73,8.53,,,-22.51
2022-04-14,6.25,6.03,-4.29,-0.79,32402,0.71,-12.48,-25.46,,,-25.83,16.7,2.81,8.82,,,-25.83
2022-04-18,6.12,5.99,-0.66,1.49,27801,0.62,-11.78,-26.05,,,-26.32,16.3,2.8,8.84,,,-26.32
2022-04-19,6.14,6.12,2.17,2.55,21761,0.49,-8.11,-23.5,,,-24.72,22.2,2.9,8.34,,,-24.72
2022-04-20,6.07,6.36,3.92,-0.85,15097,0.34,0.16,-14.97,,,-21.77,31.7,2.85,7.88,,,-21.77
2022-04-21,6.33,6.14,-3.46,-0.5,18899,0.44,-2.54,-19.0,,,-24.48,28.3,2.86,7.83,,,-24.48
2022-04-22,6.14,6.33,3.09,0.0,7706,0.2,4.98,-15.6,,,-22.14,34.8,3.0,7.36,,,-22.14
2022-04-25,6.45,7.16,13.11,1.9,106424,2.51,19.53,-1.65,,,-11.93,54.4,4.21,7.15,,,-11.93
2022-04-26,7.2,7.08,-1.12,0.56,36206,0.86,15.69,-5.73,,,-12.92,52.7,4.16,7.24,,,-12.92
2022-04-27,7.01,6.46,-8.76,-0.99,36663,0.89,1.57,-7.85,,,-20.54,42.1,4.34,8.21,,,-20.54
2022-04-28,6.6,6.53,1.08,2.15,10109,0.26,6.35,-9.31,,,-19.68,43.5,4.3,8.07,,,-19.68
2022-04-29,6.44,6.56,0.46,-1.38,15164,0.59,3.63,-8.06,,,-19.31,44.1,4.3,7.79,,,-19.31
2022-05-02,6.5,6.33,-3.51,-0.91,19174,0.77,-11.59,-12.81,,,-22.14,40.5,4.33,7.81,,,-22.14
2022-05-03,6.28,6.42,1.42,-0.79,9845,0.41,-9.32,-6.96,,,-21.03,42.5,4.23,7.41,,,-21.03
2022-05-04,6.4,6.56,2.18,-0.31,22577,0.92,1.55,-5.07,,,-19.31,45.5,4.26,6.96,,,-19.31
2022-05-05,6.61,6.6,0.61,0.76,11980,0.49,1.07,-3.93,,,-18.82,46.4,4.26,6.59,,,-18.82
2022-05-06,6.5,6.32,-4.24,-1.52,7246,0.3,-3.66,-9.46,,,-22.26,41.4,4.33,6.7,,,-22.26
2022-05-09,6.3,6.04,-4.43,-0.32,19178,0.78,-4.58,-12.34,,,-25.71,37.1,4.42,6.98,,,-25.71
2022-05-10,6.38,6.09,0.83,5.63,12677,0.51,-5.14,-10.31,,,-25.09,38.3,4.42,6.93,,,-25.09
2022-05-11,5.96,5.82,-4.43,-2.13,30542,1.28,-11.28,-12.61,,,-28.41,34.4,4.5,7.19,,,-28.41
2022-05-12,5.82,5.48,-5.84,0.0,27325,1.12,-16.97,-13.7,,,-32.6,30.1,4.56,7.53,,,-32.6
2022-05-13,5.4,5.97,8.94,-1.46,17428,0.74,-5.54,-5.24,,,-26.57,41.3,5.01,7.17,,,-26.57
2022-05-16,6.25,6.0,0.5,4.69,6441,0.28,-0.66,-0.5,,,-26.2,41.9,4.92,7.08,,,-26.2
2022-05-17,6.0,6.19,3.17,0.0,8626,0.39,1.64,3.34,,,-23.86,45.8,4.97,6.75,,,-23.86
2022-05-18,5.99,5.98,-3.39,-3.23,5967,0.28,2.75,-2.29,,,-26.45,42.4,5.01,6.75,,,-26.45
2022-05-19,5.85,6.13,2.51,-2.17,15759,0.74,11.86,-3.62,,,-24.6,45.5,4.96,6.48,,,-24.6
2022-05-20,5.96,6.03,-1.63,-2.77,8883,0.41,1.01,-1.79,,,-25.83,43.8,4.91,6.39,,,-25.83
2022-05-23,6.1,6.05,0.33,1.16,4106,0.25,0.83,-4.42,,,-25.58,44.3,4.86,6.14,,,-25.58
2022-05-24,6.04,5.67,-6.28,-0.21,8327,0.56,-8.4,-20.81,,,-30.26,38.1,3.99,6.6,-14.96,,-30.26
2022-05-25,5.96,5.72,0.88,5.11,31070,2.12,-4.35,-19.21,,,-29.64,39.3,4.01,6.44,-13.58,,-29.64
2022-05-26,5.77,5.67,-0.87,0.87,12259,0.83,-7.5,-12.23,,,-30.26,38.5,3.59,6.27,-13.71,,-30.26
2022-05-27,5.7,5.64,-0.44,0.55,13624,0.93,-6.38,-13.55,,,-30.57,38.1,3.57,6.07,-13.44,,-30.57
2022-05-31,5.55,5.69,0.8,-1.68,9714,0.69,-5.95,-13.26,,,-30.01,39.4,3.58,5.78,-12.13,,-30.01
2022-06-01,5.63,5.42,-4.75,-1.06,15289,1.06,-4.41,-14.38,,,-33.33,34.7,3.64,6.11,-15.76,,-33.33
2022-06-02,5.91,5.5,1.57,9.04,14856,1.06,-3.76,-14.25,,,-32.29,37.2,3.64,6.35,-13.89,,-32.29
2022-06-03,5.51,5.4,-1.97,0.09,7105,0.51,-4.83,-17.74,,,-33.62,35.4,3.59,6.28,-15.03,,-33.62
2022-06-06,5.41,5.28,-2.16,0.25,11749,0.84,-6.47,-20.0,,,-35.06,33.4,3.59,6.26,-16.33,,-35.06
2022-06-07,5.35,5.35,1.33,1.33,12245,0.89,-5.98,-15.35,,,-34.19,35.7,3.54,5.86,-14.64,,-34.19
2022-06-08,5.4,5.36,0.19,1.01,19150,1.37,-1.11,-11.26,,,-34.07,36.1,3.44,5.59,-14.03,,-34.07
2022-06-09,5.35,5.63,5.04,-0.19,12501,0.95,2.27,-7.55,,,-30.75,44.5,3.64,5.47,-9.24,,-30.75
2022-06-10,5.63,5.52,-1.95,0.0,13080,1.05,2.29,-5.15,,,-32.1,42.1,3.54,5.58,-10.55,,-32.1
2022-06-13,5.66,5.12,-7.25,2.54,43785,3.19,-3.03,-6.57,,,-37.02,34.6,3.66,6.78,-16.45,,-37.02
2022-06-14,5.12,4.97,-2.93,0.0,26783,1.82,-7.1,-16.75,-38.87,,-38.87,32.3,3.03,7.16,-18.38,,-38.87
2022-06-15,5.05,5.1,2.62,1.6,45785,2.76,-4.85,-15.0,-36.96,,-37.27,36.3,3.11,7.17,-15.75,,-37.27
2022-06-16,5.1,5.15,0.98,0.0,33175,1.85,-8.53,-16.8,-36.42,,-36.65,37.8,3.01,6.87,-14.43,,-36.65
2022-06-17,5.14,5.19,0.78,-0.22,13730,0.77,-5.98,-13.21,-35.12,,-36.16,39.0,2.97,6.51,-13.25,,-36.16
2022-06-21,5.3,5.14,-0.96,2.12,7792,0.44,0.39,-16.15,-31.28,,-36.78,38.0,2.88,6.38,-13.58,,-36.78
2022-06-22,5.13,5.07,-1.36,-0.19,2785,0.16,2.01,-15.92,-33.11,,-37.64,36.6,2.88,6.2,-14.26,,-37.64
2022-06-23,5.05,5.0,-1.38,-0.39,8991,0.51,-1.96,-17.36,-33.33,,-38.5,35.1,2.87,6.0,-14.97,,-38.5
2022-06-24,5.0,5.26,5.15,0.0,9018,0.54,2.09,-7.28,-27.78,,-35.33,43.9,2.88,5.82,-10.26,,-35.33
2022-06-27,5.26,5.28,0.43,0.05,7850,0.48,1.73,-7.69,-29.69,,-35.06,44.6,2.87,5.55,-9.56,,-35.06
2022-06-28,5.24,5.09,-3.67,-0.76,4179,0.26,-1.05,-10.3,-27.44,,-37.44,39.9,2.96,5.75,-12.6,,-37.44
2022-06-29,5.25,5.2,2.24,3.22,6088,0.39,2.56,-7.88,-27.78,,-36.04,43.6,3.02,5.61,-10.4,,-36.04
2022-06-30,5.22,5.22,0.38,0.38,2755,0.18,4.4,-8.26,-26.84,,-35.79,44.3,3.01,5.45,-9.77,,-35.79
2022-07-01,5.39,5.22,0.07,3.2,3168,0.22,-0.64,-3.62,-28.05,,-35.75,44.4,2.84,5.29,-9.35,,-35.75
2022-07-05,5.23,5.18,-0.82,0.12,6257,0.43,-1.87,-5.88,-24.91,,-36.27,43.2,2.81,5.12,-9.79,,-36.27
2022-07-06,5.38,5.22,0.75,3.84,26645,1.74,2.63,-3.27,-24.46,,-35.79,44.7,2.79,5.08,-8.76,,-35.79
2022-07-07,5.21,5.27,0.96,-0.21,6074,0.41,1.35,-0.19,-23.29,,-35.18,46.6,2.76,4.89,-7.28,,-35.18
2022-07-08,5.32,5.16,-2.09,0.95,8578,0.59,-1.15,-3.55,-26.07,,-36.53,43.0,2.78,4.89,-8.59,,-36.53
2022-07-11,5.12,5.0,-3.1,-0.78,47961,2.96,-4.28,-6.72,-27.43,,-38.5,38.4,2.86,5.26,-10.97,,-38.5
2022-07-12,4.85,4.9,-2.0,-3.0,12266,0.76,-5.43,-12.97,-27.84,,-39.73,35.8,2.6,5.23,-12.24,,-39.73
2022-07-13,5.03,4.92,0.41,2.65,11606,0.8,-5.75,-10.87,-26.13,,-39.48,36.7,2.59,5.05,-11.36,,-39.48
2022-07-14,4.9,4.7,-4.47,-0.41,16848,1.2,-10.82,-8.2,-25.98,,-42.19,31.4,2.28,5.36,-14.82,,-42.19
2022-07-15,4.76,4.7,0.0,1.28,22176,1.72,-8.92,-5.43,-25.4,,-42.19,31.4,2.21,5.28,-14.29,,-42.19
2022-07-18,4.8,4.77,1.49,2.13,76430,5.08,-4.6,-6.47,-20.9,,-41.33,34.9,2.15,5.67,-12.44,,-41.33
2022-07-19,4.9,5.0,4.82,2.73,31375,1.97,2.04,-2.91,-16.53,,-38.5,44.8,2.41,5.65,-7.68,,-38.5
2022-07-20,5.07,4.87,-2.6,1.4,30095,1.76,-1.02,-6.17,-20.42,,-40.1,41.0,2.46,6.02,-9.59,,-40.1
2022-07-21,4.92,4.84,-0.62,0.92,19845,1.11,2.98,-5.84,-23.9,,-40.47,40.2,2.46,5.82,-9.75,,-40.47
2022-07-22,4.99,4.75,-1.86,3.1,32956,1.72,1.06,-6.31,-22.64,,-41.57,37.6,2.47,5.92,-10.98,,-41.57
2022-07-25,4.85,4.73,-0.42,2.11,10055,0.52,-0.84,-5.4,-25.28,,-41.82,37.1,2.46,5.82,-10.99,,-41.82
