date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2025-10-28,20.05,20.27,,,42184,,,,,,0.0,,,1.52,,,
2025-10-29,20.23,20.5,1.14,-0.18,21477,,,,,,1.14,,,1.56,,,
2025-10-30,20.6,20.22,-1.33,0.5,25976,,,,,,-0.21,91.7,,1.62,,,
2025-10-31,20.33,20.34,0.55,0.51,33333,,,,,,0.34,92.0,,1.71,,,
2025-11-03,20.39,20.81,2.33,0.28,29575,,,,,,2.68,93.1,,1.74,,,
2025-11-04,20.52,20.36,-2.17,-1.39,25316,,0.45,,,,0.45,81.4,,2.07,,,
2025-11-05,20.63,20.57,1.04,1.34,14524,,0.36,,,,1.5,82.5,,2.09,,,
2025-11-06,20.48,20.35,-1.08,-0.42,12851,,0.61,,,,0.4,77.3,,2.07,,,
2025-11-07,19.81,20.14,-1.02,-2.64,6395,,-0.96,,,,-0.62,72.7,,2.15,,,
2025-11-10,20.86,20.45,1.55,3.57,20067,,-1.72,,,,0.92,75.1,,2.22,,,
2025-11-11,20.35,20.41,-0.21,-0.48,7369,,0.25,,,,0.7,74.1,,2.15,,,
2025-11-12,20.49,20.37,-0.21,0.4,13276,,-1.0,,,,0.49,73.1,,2.08,,,
2025-11-13,20.41,19.94,-2.09,0.22,18285,,-2.0,,,,-1.61,63.8,,2.27,,,
2025-11-14,19.62,19.95,0.05,-1.6,8399,,-0.94,,,,-1.56,63.9,,2.35,,,
2025-11-17,19.94,19.72,-1.13,-0.05,21746,,-3.56,,,,-2.68,59.3,,2.38,,,
2025-11-18,19.45,19.65,-0.38,-1.38,9930,,-3.72,,,,-3.04,57.8,,2.34,,,
2025-11-19,19.8,19.64,-0.07,0.76,3662,,-3.58,,,,-3.11,57.5,,2.29,,,
2025-11-20,19.8,19.26,-1.94,0.83,3466,,-3.43,,,,-4.99,50.1,,2.47,,,
2025-11-21,19.11,19.11,-0.75,-0.76,13945,,-4.21,,,,-5.7,47.6,,2.51,,,
2025-11-24,19.15,19.32,1.1,0.2,4178,0.25,-2.04,,,,-4.66,51.4,,2.43,,,-7.15
2025-11-25,19.31,19.46,0.71,-0.06,2288,0.15,-0.98,,,,-3.99,53.8,,2.31,,,-6.5
2025-11-26,19.67,19.86,2.06,1.08,4320,0.31,1.14,-2.01,,,-2.01,59.9,1.33,2.25,,,-4.57
2025-11-28,19.88,19.98,0.62,0.08,1799,0.14,3.78,-2.5,,,-1.4,61.6,1.31,2.12,,,-3.97
2025-12-01,19.96,19.61,-1.89,-0.12,11427,0.98,2.59,-3.06,,,-3.26,54.1,1.34,2.43,,,-5.79
2025-12-02,19.79,19.86,1.3,0.94,5759,0.55,2.79,-2.34,,,-2.01,57.8,1.37,2.65,,,-4.57
2025-12-03,19.73,19.79,-0.37,-0.65,3554,0.38,1.68,-4.92,,,-2.37,56.4,1.25,2.55,,,-4.92
2025-12-04,19.79,20.17,1.94,0.02,10827,1.18,1.55,-0.93,,,-0.48,61.7,1.25,2.52,,,-3.08
2025-12-05,20.14,20.14,-0.14,-0.14,5614,0.64,0.79,-2.08,,,-0.62,61.1,1.23,2.39,,,-3.21
2025-12-08,20.21,20.23,0.45,0.35,5361,0.61,3.2,-0.57,,,-0.17,62.4,1.21,2.27,,,-2.78
2025-12-09,20.23,20.06,-0.87,0.01,20327,2.32,0.99,-0.41,,,-1.03,58.5,1.21,2.23,,,-3.62
2025-12-10,20.24,20.41,1.76,0.91,2242,0.26,3.15,-0.21,,,0.7,63.4,1.22,2.18,,,-1.93
2025-12-11,20.27,20.48,0.33,-0.68,2096,0.26,1.53,0.33,,,1.04,64.3,1.22,2.13,,,-1.6
2025-12-12,20.5,19.87,-2.95,0.12,13083,1.7,-1.34,-2.42,,,-1.95,52.2,1.38,2.65,,,-4.51
2025-12-15,20.18,20.14,1.33,1.53,17614,2.16,-0.47,0.99,,,-0.64,56.1,1.34,2.65,,,-3.23
2025-12-16,19.87,19.74,-1.98,-1.32,11286,1.48,-1.59,-1.06,,,-2.61,49.6,1.41,2.7,,,-5.15
2025-12-17,19.68,19.28,-2.34,-0.29,1787,0.25,-5.55,-2.27,,,-4.89,43.3,1.48,2.75,,,-7.37
2025-12-18,19.53,19.49,1.12,1.32,3600,0.5,-4.81,-0.81,,,-3.82,46.7,1.5,2.65,,,-6.34
2025-12-19,19.71,19.67,0.9,1.12,2232,0.31,-1.03,0.16,,,-2.96,49.3,1.52,2.52,,,-5.49
2025-12-22,19.67,19.82,0.78,0.01,1800,0.27,-1.57,2.93,,,-2.2,51.6,1.46,2.42,,,-4.75
2025-12-23,19.75,19.87,0.24,-0.36,7144,1.06,0.66,3.96,,,-1.97,52.3,1.44,2.35,,,-4.53
2025-12-24,19.86,19.89,0.13,-0.02,1980,0.3,3.2,2.96,,,-1.84,52.7,1.43,2.21,,,-4.41
2025-12-26,19.87,19.87,-0.1,-0.12,2842,0.43,1.96,2.14,,,-1.94,52.4,1.42,2.15,,,-4.5
