date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,4.45,4.37,,,16339,,,,,,0.0,,,2.26,,,
2005-02-28,4.36,4.36,-0.3,-0.26,44572,,,,,,-0.3,0.0,,2.21,,,
2005-03-01,4.45,4.43,1.75,2.1,102594,,,,,,1.45,31.3,,2.27,,,
2005-03-02,4.4,4.38,-1.13,-0.83,42423,,,,,,0.31,25.6,,2.33,,,
2005-03-03,4.44,4.36,-0.47,1.26,41380,,,,,,-0.16,23.7,,2.31,,,
2005-03-04,4.41,4.39,0.63,1.15,46200,,0.47,,,,0.47,31.1,,2.26,,,
2005-03-07,4.36,4.38,-0.34,-0.8,35689,,0.42,,,,0.12,29.4,,2.25,,,
2005-03-08,4.32,4.36,-0.38,-1.19,41564,,-1.69,,,,-0.26,27.6,,2.23,,,
2005-03-09,4.17,4.33,-0.67,-4.32,297916,,-1.23,,,,-0.93,24.8,,2.43,,,
2005-03-10,4.36,4.35,0.34,0.64,269024,,-0.43,,,,-0.59,28.7,,2.35,,,
2005-03-11,4.36,4.36,0.3,0.38,401607,,-0.76,,,,-0.3,32.1,,2.3,,,
2005-03-14,4.36,4.36,-0.04,-0.04,196651,,-0.46,,,,-0.34,31.9,,2.31,,,
2005-03-15,4.41,4.36,0.13,1.33,229663,,0.05,,,,-0.21,33.5,,2.34,,,
2005-03-16,4.36,4.35,-0.26,-0.13,64657,,0.47,,,,-0.47,31.9,,2.22,,,
2005-03-17,4.38,4.38,0.72,0.78,53357,,0.85,,,,0.25,40.4,,2.23,,,
2005-03-18,4.43,4.36,-0.59,1.03,208478,,-0.04,,,,-0.34,36.4,,2.28,,,
2005-03-21,4.42,4.36,0.0,1.42,91942,,0.0,,,,-0.34,36.4,,2.3,,,
2005-03-22,4.42,4.55,4.36,1.42,180766,,4.22,,,,4.01,65.6,,2.56,,,
2005-03-23,4.59,4.56,0.31,1.02,63735,,4.82,,,,4.33,66.8,,2.45,,,
2005-03-24,4.54,4.57,0.28,-0.53,82042,0.65,4.36,,,,4.62,67.9,,2.36,,,0.0
2005-03-28,4.6,4.48,-2.08,0.53,33043,0.26,2.79,,,,2.45,53.6,,2.43,,,-2.08
2005-03-29,4.51,4.48,-0.05,0.82,4966,0.04,2.74,2.4,,,2.4,53.3,1.23,2.32,,,-2.13
2005-03-30,4.48,4.44,-0.69,0.05,29918,0.25,-2.23,1.99,,,1.69,49.4,1.24,2.37,,,-2.8
