date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-10-26,13.07,13.03,,,76523,,,,,,0.0,,,1.05,,,
2005-10-27,12.86,12.69,-2.62,-1.35,26733,,,,,,-2.62,0.0,,1.2,,,
2005-10-28,12.72,12.86,1.31,0.19,7576,,,,,,-1.35,3.6,,1.19,,,
2005-10-31,12.9,12.98,0.96,0.34,10093,,,,,,-0.4,6.3,,1.18,,,
2005-11-01,13.04,13.0,0.18,0.47,12506,,,,,,-0.22,6.8,,1.14,,,
2005-11-02,13.07,13.11,0.83,0.49,14226,,0.61,,,,0.61,9.4,,1.12,,,
2005-11-03,13.2,13.14,0.2,0.65,13882,,3.52,,,,0.81,10.0,,1.08,,,
2005-11-04,13.16,13.12,-0.13,0.17,2633,,2.05,,,,0.68,10.0,,1.04,,,
2005-11-07,13.21,13.15,0.23,0.66,7686,,1.32,,,,0.91,10.9,,1.01,,,
2005-11-08,13.09,13.07,-0.64,-0.44,7576,,0.49,,,,0.27,10.6,,1.0,,,
2005-11-09,13.08,13.04,-0.2,0.08,13650,,-0.54,,,,0.07,10.5,,0.96,,,
2005-11-10,13.05,12.96,-0.61,0.07,30976,,-1.34,,,,-0.54,10.2,,1.2,,,
2005-11-11,13.15,13.12,1.23,1.42,11931,,0.0,,,,0.68,15.4,,1.2,,,
2005-11-14,13.13,13.15,0.19,0.06,2294,,-0.05,,,,0.87,16.3,,1.13,,,
2005-11-15,13.17,13.16,0.11,0.18,4246,,0.71,,,,0.98,16.8,,1.07,,,
2005-11-16,13.27,13.22,0.49,0.8,5622,,1.41,,,,1.48,19.1,,1.05,,,
2005-11-17,13.29,13.31,0.64,0.51,21109,,2.68,,,,2.13,22.3,,1.01,,,
2005-11-18,13.32,13.32,0.07,0.07,18354,,1.51,,,,2.19,22.6,,0.95,,,
2005-11-21,13.31,13.37,0.39,-0.07,2294,,1.71,,,,2.6,24.7,,0.93,,,
2005-11-22,13.34,13.4,0.25,-0.26,11125,0.74,1.86,,,,2.86,26.1,,0.91,,,0.0
2005-11-23,13.42,13.4,0.0,0.13,2409,0.21,1.36,,,,2.86,26.1,,0.87,,,0.0
2005-11-25,13.41,13.39,-0.13,0.07,1258,0.12,0.58,2.72,,,2.72,25.8,0.81,0.82,,,-0.13
2005-11-28,13.41,13.27,-0.85,0.2,11240,1.1,-0.34,4.59,,,1.85,24.0,0.57,0.85,,,-0.98
2005-11-29,13.39,13.33,0.4,0.85,19963,1.86,-0.33,3.66,,,2.26,26.6,0.51,0.85,,,-0.58
2005-11-30,13.4,13.33,0.0,0.58,46003,3.7,-0.58,2.68,,,2.26,26.6,0.48,0.83,,,-0.58
2005-12-01,13.46,13.49,1.25,0.99,7000,0.58,0.67,3.77,,,3.54,34.8,0.54,0.86,,,0.0
2005-12-02,13.48,13.43,-0.46,-0.07,11358,0.95,0.33,2.44,,,3.06,33.3,0.54,0.86,,,-0.46
2005-12-05,13.4,13.36,-0.51,-0.2,16290,1.29,0.67,1.72,,,2.54,31.7,0.55,0.85,,,-0.97
2005-12-06,13.4,13.42,0.45,0.31,26272,1.94,0.71,2.3,,,2.99,34.6,0.56,0.85,,,-0.53
2005-12-07,13.42,13.34,-0.64,0.0,3673,0.28,0.07,1.4,,,2.33,32.4,0.58,0.84,,,-1.17
2005-12-08,13.4,13.36,0.2,0.51,2526,0.2,-0.97,2.27,,,2.54,33.8,0.56,0.83,,,-0.97
2005-12-09,13.4,13.42,0.45,0.31,2633,0.23,-0.07,2.92,,,2.99,37.0,0.56,0.8,,,-0.53
2005-12-12,13.52,13.42,0.0,0.73,6195,0.56,0.45,3.55,,,2.99,37.0,0.53,0.81,,,-0.53
2005-12-13,13.41,13.42,0.0,-0.07,4474,0.4,0.0,2.3,,,2.99,37.0,0.47,0.79,,,-0.53
2005-12-14,13.54,13.61,1.39,0.86,13767,1.18,2.05,3.53,,,4.43,46.8,0.55,0.83,,,0.0
2005-12-15,13.64,13.6,-0.07,0.25,8260,0.7,1.78,3.34,,,4.36,46.4,0.55,0.82,,,-0.07
2005-12-16,13.61,13.58,-0.13,0.07,13423,1.17,1.19,2.7,,,4.22,45.6,0.55,0.81,,,-0.2
2005-12-19,13.55,13.4,-1.31,-0.26,42559,3.37,-0.13,0.72,,,2.86,38.6,0.62,0.86,,,-1.5
2005-12-20,13.45,13.47,0.47,0.34,7456,0.58,0.33,1.12,,,3.34,42.0,0.63,0.86,,,-1.04
2005-12-21,13.57,13.51,0.33,0.78,7231,0.57,-0.71,1.05,,,3.68,44.4,0.62,0.88,,,-0.71
2005-12-22,13.6,13.69,1.29,0.65,3327,0.26,0.64,2.1,,,5.02,52.5,0.68,0.9,,,0.0
2005-12-23,13.77,13.74,0.42,0.62,10213,0.77,1.19,2.53,,,5.46,54.8,0.68,0.88,,,0.0
2005-12-27,13.81,13.66,-0.61,0.45,5392,0.42,1.91,2.05,,,4.82,50.9,0.7,0.9,,,-0.61
2005-12-28,13.7,13.66,0.0,0.29,5506,0.45,1.44,2.92,,,4.82,50.9,0.67,0.89,,,-0.61
2005-12-29,13.67,13.64,-0.13,0.07,2065,0.21,0.97,2.37,,,4.69,50.0,0.67,0.85,,,-0.74
2005-12-30,13.55,13.53,-0.82,-0.65,1719,0.18,-1.14,1.53,,,3.82,44.7,0.7,0.85,,,-1.55
2006-01-03,13.62,13.62,0.7,0.64,6655,0.7,-0.87,0.97,,,0.0,49.6,0.66,0.88,,,-0.87
2006-01-04,13.66,13.72,0.68,0.26,16521,1.74,0.42,2.14,,,0.68,53.8,0.66,0.86,,,-0.19
2006-01-05,13.77,13.7,-0.13,0.39,9067,1.05,0.29,2.53,,,0.55,52.9,0.65,0.85,,,-0.32
2006-01-06,13.73,13.85,1.09,0.2,12848,1.41,1.51,3.18,,,1.65,59.2,0.68,0.87,3.73,,0.0
2006-01-09,13.92,13.93,0.57,0.5,9868,1.04,2.94,4.44,,,2.22,62.1,0.66,0.84,4.17,,0.0
2006-01-10,13.89,13.88,-0.32,-0.26,14340,1.43,1.89,3.89,,,1.89,59.5,0.67,0.84,3.65,,-0.32
2006-01-11,13.91,13.85,-0.24,0.19,29711,2.65,0.96,3.18,,,1.65,57.6,0.67,0.86,3.25,,-0.56
2006-01-12,13.78,13.77,-0.56,-0.49,11703,1.01,0.52,2.6,,,1.08,53.3,0.69,0.85,2.55,,-1.12
2006-01-13,13.86,13.76,-0.07,0.61,6539,0.58,-0.62,2.54,,,1.01,52.8,0.69,0.85,2.37,,-1.18
2006-01-17,13.81,13.65,-0.82,0.37,29943,2.43,-1.99,0.31,,,0.19,47.0,0.66,0.89,1.45,,-1.99
2006-01-18,13.61,13.62,-0.25,-0.31,20645,1.63,-1.92,0.12,,,-0.06,45.3,0.66,0.88,1.13,,-2.23
2006-01-19,13.62,13.67,0.39,0.0,22944,1.96,-1.3,0.64,,,0.33,48.3,0.66,0.86,1.44,,-1.85
2006-01-20,13.7,13.48,-1.42,0.23,10093,0.85,-2.15,0.53,,,-1.09,39.7,0.67,0.92,-0.05,,-3.24
2006-01-23,13.53,13.46,-0.13,0.4,23979,1.89,-2.21,-0.06,,,-1.22,39.1,0.67,0.9,-0.23,,-3.36
2006-01-24,13.55,13.55,0.71,0.71,22027,1.62,-0.71,0.32,,,-0.52,44.6,0.68,0.91,0.4,,-2.68
2006-01-25,13.69,13.53,-0.18,0.97,21796,1.54,-0.64,-1.14,,,-0.69,43.5,0.61,0.94,0.14,,-2.85
2006-01-26,13.64,13.74,1.53,0.83,11817,0.82,0.49,-0.05,,,0.82,53.8,0.7,0.98,1.57,,-1.37
2006-01-27,13.77,13.76,0.19,0.25,104286,5.37,2.13,0.75,5.61,,1.01,55.0,0.69,0.96,1.67,,-1.18
2006-01-30,13.79,13.74,-0.14,0.2,63324,2.82,2.12,0.61,8.3,,0.87,53.9,0.69,0.94,1.45,,-1.32
2006-01-31,13.74,13.76,0.14,-0.05,20882,0.89,1.54,0.88,7.05,,1.01,54.8,0.69,0.92,1.5,,-1.18
2006-02-01,13.81,13.93,1.2,0.37,32236,1.3,2.94,2.94,7.31,,2.22,61.9,0.7,0.93,2.63,,0.0
2006-02-02,13.99,13.84,-0.63,0.44,29256,1.15,0.75,1.58,6.44,,1.58,56.8,0.71,0.96,1.9,,-0.63
2006-02-03,13.87,13.82,-0.13,0.24,31779,1.2,0.43,0.76,5.42,,1.45,55.8,0.69,0.94,1.7,,-0.76
2006-02-06,13.88,13.9,0.58,0.44,79505,2.66,1.15,1.47,5.82,,2.03,59.3,0.7,0.93,2.21,,-0.18
2006-02-07,13.9,13.83,-0.5,0.0,50936,1.6,0.5,-0.12,5.43,,1.52,55.2,0.67,0.91,1.64,,-0.68
2006-02-08,13.91,13.94,0.75,0.56,41301,1.24,0.06,0.06,5.97,,2.29,59.7,0.68,0.94,2.32,,0.0
2006-02-09,14.0,14.02,0.62,0.43,136179,3.53,1.32,1.01,7.32,,2.92,62.9,0.69,0.93,2.84,,0.0
2006-02-10,14.02,14.14,0.81,0.0,23175,0.59,2.27,2.07,8.4,,3.75,66.8,0.71,0.94,3.55,,0.0
2006-02-13,14.16,14.14,0.0,0.2,194801,4.01,1.69,2.65,9.06,,3.75,66.8,0.69,0.93,3.43,,0.0
2006-02-14,14.16,14.26,0.86,0.2,195953,3.45,3.08,3.6,8.67,,4.65,70.6,0.71,0.95,4.2,,0.0
2006-02-15,14.28,14.3,0.26,0.13,49676,0.85,2.57,4.72,8.75,,4.92,71.6,0.67,0.94,4.34,,0.0
2006-02-16,14.34,14.38,0.61,0.3,167957,2.56,2.56,5.62,9.29,,5.56,74.0,0.67,0.92,4.82,,0.0
2006-02-17,14.38,14.38,0.0,0.0,97858,1.4,1.74,5.22,8.75,,5.56,74.0,0.67,0.88,4.68,,0.0
2006-02-21,14.43,14.34,-0.31,0.35,320657,3.78,1.43,6.4,7.73,,5.23,70.5,0.57,0.89,4.2,,-0.31
2006-02-22,14.4,14.47,0.93,0.42,132507,1.47,1.49,7.52,8.66,,6.21,74.4,0.57,0.9,5.0,,0.0
2006-02-23,14.5,14.42,-0.33,0.23,305624,2.93,0.9,6.41,7.87,,5.86,70.8,0.59,0.88,4.5,,-0.33
2006-02-24,14.46,14.48,0.37,0.26,108303,0.99,0.65,6.99,7.99,,6.25,72.4,0.58,0.88,4.72,,0.0
2006-02-27,14.55,14.59,0.79,0.5,157170,1.4,1.44,6.21,8.84,,7.08,75.5,0.52,0.88,5.37,,0.0
2006-02-28,14.6,14.4,-1.32,0.07,118970,1.04,0.42,4.61,7.55,,5.67,62.6,0.63,0.96,3.86,,-1.32
2006-03-01,14.42,14.46,0.44,0.18,33384,0.29,-0.07,5.22,8.95,,6.14,64.8,0.62,0.95,4.19,,-0.88
2006-03-02,14.45,14.5,0.3,-0.06,116559,0.97,0.56,5.38,8.83,,6.45,66.2,0.62,0.95,4.36,,-0.59
2006-03-03,14.5,14.55,0.31,0.0,122412,0.99,0.5,4.46,9.16,,6.78,67.6,0.58,0.96,4.51,,-0.29
2006-03-06,14.58,14.41,-0.93,0.23,68142,0.54,-1.21,4.14,6.81,,5.79,59.4,0.61,1.0,3.4,,-1.21
2006-03-07,14.45,14.38,-0.21,0.27,59541,0.48,-0.1,4.05,7.08,,5.56,57.6,0.61,0.99,3.05,,-1.42
2006-03-08,14.42,14.32,-0.43,0.28,172541,1.32,-0.97,3.01,7.17,,5.11,54.2,0.62,1.03,2.51,,-1.84
2006-03-09,14.38,14.38,0.43,0.43,35796,0.27,-0.83,3.98,7.15,,5.56,57.0,0.6,1.01,2.86,,-1.42
2006-03-10,14.4,14.5,0.84,0.15,32698,0.26,-0.31,4.07,8.76,,6.45,61.8,0.61,1.0,3.6,,-0.59
2006-03-13,14.54,14.49,-0.12,0.25,25584,0.2,0.5,3.3,8.4,,6.32,60.7,0.6,0.98,3.35,,-0.71
2006-03-14,14.56,14.62,0.92,0.49,44055,0.37,1.64,3.41,8.91,,7.29,65.6,0.61,0.98,4.16,,0.0
2006-03-15,14.7,14.7,0.57,0.52,115415,1.01,2.66,4.0,9.54,,7.91,68.2,0.61,0.97,4.58,,0.0
2006-03-16,14.76,14.76,0.38,0.38,80079,0.69,2.61,3.5,9.95,,8.32,69.9,0.6,0.94,4.8,,0.0
2006-03-17,14.86,14.88,0.81,0.71,130902,1.15,2.58,4.08,9.32,,9.2,73.1,0.61,0.93,5.48,,0.0
2006-03-20,14.96,14.97,0.6,0.55,96483,0.85,3.32,4.07,10.05,,9.85,75.3,0.61,0.9,5.92,,0.0
2006-03-21,15.04,14.91,-0.35,0.46,116102,1.12,2.02,3.7,9.81,,9.47,71.7,0.62,0.93,5.39,,-0.35
2006-03-22,15.04,14.99,0.53,0.82,94187,0.93,1.98,4.57,11.85,,10.04,73.7,0.62,0.92,5.79,,0.0
2006-03-23,14.98,14.93,-0.4,-0.06,63557,0.71,1.19,3.2,10.89,,9.61,69.6,0.61,0.93,5.21,,-0.4
2006-03-24,15.0,15.01,0.52,0.46,131357,1.45,0.89,4.08,11.1,,10.17,71.8,0.6,0.91,5.59,,0.0
2006-03-27,14.98,15.01,0.0,-0.18,90518,1.04,0.29,3.7,9.68,,10.17,71.8,0.6,0.87,5.4,,0.0
