date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2013-09-20,6.94,7.12,,,30108,,,,,,0.0,,,5.21,,,
2013-09-23,7.31,7.31,2.74,2.74,6011,,,,,,2.74,,,5.04,,,
2013-09-24,7.31,7.31,0.0,0.0,9742,,,,,,2.74,,,4.85,,,
2013-09-25,7.41,7.8,6.67,1.33,12613,,,,,,9.59,,,5.54,,,
2013-09-26,7.94,7.99,2.38,1.75,7439,,,,,,12.19,,,5.24,,,
2013-09-27,7.85,8.09,1.34,-1.71,6768,,13.7,,,,13.7,,,5.02,,,
2013-10-01,7.95,7.89,-2.53,-1.81,3179,,7.87,,,,10.82,92.5,,4.97,,,
2013-10-02,7.93,7.89,0.0,0.49,3999,,7.87,,,,10.82,92.5,,4.65,,,
2013-10-03,7.87,7.93,0.49,-0.25,11588,,1.63,,,,11.37,92.6,,4.41,,,
2013-10-04,7.85,7.89,-0.49,-0.98,1436,,-1.22,,,,10.82,91.1,,4.19,,,
2013-10-07,7.85,7.85,-0.49,-0.49,2769,,-3.01,,,,10.27,89.4,,3.94,,,
2013-10-08,7.9,7.8,-0.62,0.62,4922,,-1.11,,,,9.59,87.3,,3.77,,,
2013-10-09,7.36,7.42,-4.87,-5.62,5230,,-5.93,,,,4.25,72.7,,4.11,,,
2013-10-10,7.85,7.85,5.78,5.78,1743,,-0.98,,,,10.27,77.3,,3.99,,,
2013-10-11,7.9,7.9,0.62,0.62,8511,,0.12,,,,10.96,77.8,,3.73,,,
2013-10-14,7.62,7.62,-3.58,-3.58,205,,-2.98,,,,6.99,69.0,,3.86,,,
2013-10-16,7.9,8.29,8.83,3.71,2461,,6.25,,,,16.44,75.9,,3.92,,,
2013-10-17,8.04,8.04,-2.94,-2.94,2112,,8.41,,,,13.01,69.9,,3.97,,,
2013-10-18,8.04,8.04,0.0,0.0,1948,,2.48,,,,13.01,69.9,,3.69,,,
2013-10-21,7.9,7.8,-3.03,-1.82,11998,1.78,-1.24,,,,9.59,63.9,,3.75,,,-5.88
2013-10-23,7.8,7.6,-2.62,0.0,205,0.04,-0.26,,,,6.71,59.4,,3.77,,,-8.35
2013-10-24,7.8,7.61,0.13,2.69,15177,2.66,-8.24,6.85,,,6.85,59.5,3.44,3.73,,,-8.24
2013-11-01,8.36,8.36,9.87,9.87,1641,0.31,3.88,14.27,,,17.4,68.9,4.0,3.8,,,0.0
