date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,46240.0,46480.0,,,12,,,,,,0.0,,,1.55,,,
2005-02-28,46800.0,45760.0,-1.55,0.69,10,,,,,,-1.55,0.0,,1.84,,,
2005-03-01,45760.0,46400.0,1.4,0.0,7,,,,,,-0.17,6.4,,1.84,,,
2005-03-02,46640.0,46400.0,0.0,0.52,9,,,,,,-0.17,6.4,,1.88,,,
2005-03-03,46400.0,46000.0,-0.86,0.0,8,,,,,,-1.03,6.1,,1.91,,,
2005-03-04,46720.0,46800.0,1.74,1.57,6,,0.69,,,,0.69,14.3,,1.99,,,
2005-03-07,47120.0,47280.0,1.03,0.68,8,,3.32,,,,1.72,18.9,,2.01,,,
2005-03-08,47200.0,46240.0,-2.2,-0.17,5,,-0.34,,,,-0.52,16.8,,2.07,,,
2005-03-09,45360.0,45600.0,-1.38,-1.9,5,,-1.72,,,,-1.89,15.6,,2.09,,,
2005-03-10,45200.0,44560.0,-2.28,-0.88,11,,-3.13,,,,-4.13,14.0,,2.28,,,
2005-03-11,44000.0,45200.0,1.44,-1.26,31,,-3.42,,,,-2.75,19.7,,2.27,,,
2005-03-14,45200.0,46000.0,1.77,0.0,15,,-2.71,,,,-1.03,26.2,,2.5,,,
2005-03-15,46000.0,46240.0,0.52,0.0,7,,0.0,,,,-0.52,28.1,,2.49,,,
2005-03-16,46400.0,44560.0,-3.63,0.35,7,,-2.28,,,,-4.13,23.5,,2.7,,,
2005-03-17,45120.0,44560.0,0.0,1.26,8,,0.0,,,,-4.13,23.5,,2.66,,,
2005-03-18,44880.0,43840.0,-1.62,0.72,20,,-3.01,,,,-5.68,21.8,,2.7,,,
2005-03-21,43760.0,44800.0,2.19,-0.18,10,,-2.61,,,,-3.61,29.4,,2.65,,,
2005-03-22,45280.0,44560.0,-0.54,1.07,2,,-3.63,,,,-4.13,28.6,,2.66,,,
2005-03-23,43920.0,44160.0,-0.9,-1.44,4,,-0.9,,,,-4.99,27.4,,2.61,,,
2005-03-24,44320.0,46800.0,5.98,0.36,31,2.8,5.03,,,,0.69,44.6,,2.73,,,-1.02
2005-03-28,46640.0,47360.0,1.2,-0.34,30,2.46,8.03,,,,1.89,47.4,,2.77,,,0.0
2005-03-29,47600.0,45840.0,-3.21,0.51,4,0.34,2.32,-1.38,,,-1.38,41.2,2.19,2.97,,,-3.21
2005-03-30,46000.0,46160.0,0.7,0.35,7,0.61,3.59,0.87,,,-0.69,42.9,2.17,2.89,,,-2.53
2005-03-31,46720.0,46800.0,1.39,1.21,11,0.93,5.98,0.86,,,0.69,46.2,2.16,2.85,,,-1.18
2005-04-01,47040.0,45680.0,-2.39,0.51,8,0.74,-2.39,-1.55,,,-1.72,41.7,2.23,2.97,,,-3.55
2005-04-04,45360.0,45600.0,-0.18,-0.7,14,1.2,-3.72,-0.87,,,-1.89,41.3,2.22,2.94,,,-3.72
2005-04-05,45200.0,45440.0,-0.35,-0.88,34,2.5,-0.87,-2.91,,,-2.24,40.7,2.19,2.96,,,-4.05
2005-04-06,45680.0,46480.0,2.29,0.53,10,0.74,0.69,-1.69,,,0.0,46.7,2.24,2.93,,,-1.86
2005-04-07,46800.0,45600.0,-1.89,0.69,177,7.89,-2.56,-1.38,,,-1.89,42.7,2.22,3.4,,,-3.72
2005-04-08,45040.0,44640.0,-2.11,-1.23,8,0.38,-2.28,-2.11,,,-3.96,38.9,2.25,3.42,,,-5.74
2005-04-11,44320.0,44080.0,-1.25,-0.72,5,0.28,-3.33,-1.08,,,-5.16,36.8,2.21,3.32,,,-6.93
2005-04-12,44000.0,45760.0,3.81,-0.18,11,0.53,0.7,1.24,,,-1.55,46.1,2.35,3.29,,,-3.38
2005-04-13,45440.0,44080.0,-3.67,-0.7,20,0.93,-5.16,-4.17,,,-5.16,39.8,2.45,3.46,,,-6.93
2005-04-14,44640.0,45600.0,3.45,1.27,13,0.61,0.0,-1.38,,,-1.89,46.9,2.57,3.35,,,-3.72
2005-04-15,45600.0,43280.0,-5.09,0.0,25,1.11,-3.05,-2.87,,,-6.88,39.3,2.69,3.68,,,-8.61
2005-04-18,43040.0,44240.0,2.22,-0.55,7,0.36,0.36,-0.72,,,-4.82,43.4,2.74,3.53,,,-6.59
2005-04-19,43920.0,45600.0,3.07,-0.72,21,0.95,-0.35,4.01,,,-1.89,48.7,2.79,3.47,,,-3.72
2005-04-20,45360.0,45600.0,0.0,-0.53,27,1.16,3.45,1.79,,,-1.89,48.7,2.75,3.34,,,-3.72
2005-04-21,46080.0,47920.0,5.09,1.05,40,1.59,5.09,7.54,,,3.1,56.6,2.95,3.33,,,0.0
2005-04-22,47920.0,48640.0,1.5,0.0,29,1.17,12.38,10.14,,,4.65,58.8,2.95,3.32,,,0.0
2005-04-25,48880.0,48240.0,-0.82,0.49,27,1.08,9.04,3.08,,,3.79,57.1,2.68,3.37,,,-0.82
2005-04-26,47760.0,47280.0,-1.99,-1.0,10,0.42,3.68,-0.17,,,1.72,53.2,2.7,3.39,,,-2.8
2005-04-27,46720.0,47280.0,0.0,-1.18,3,0.15,3.68,3.14,,,1.72,53.2,2.6,3.37,,,-2.8
2005-04-28,46560.0,45440.0,-3.89,-1.52,9,0.37,-5.18,-1.56,,,-2.24,46.1,2.74,3.6,,,-6.58
2005-04-29,46400.0,47280.0,4.05,2.11,9,0.37,-2.8,1.03,,,1.72,52.8,2.87,3.69,,,-2.8
2005-05-02,46800.0,46080.0,-2.54,-1.02,6,0.24,-4.48,0.88,,,-0.86,48.6,2.88,3.86,,,-5.26
2005-05-03,46240.0,47280.0,2.6,0.35,22,0.91,0.0,3.68,,,1.72,52.7,2.93,3.86,,,-2.8
2005-05-04,47200.0,47600.0,0.68,-0.17,9,0.39,0.68,4.75,,,2.41,53.8,2.93,3.66,,,-2.14
2005-05-05,47280.0,47280.0,-0.67,-0.67,17,1.08,4.05,1.72,,,1.72,52.5,2.9,3.65,,,-2.8
2005-05-06,47280.0,46480.0,-1.69,0.0,16,0.97,-1.69,1.93,,,0.0,49.3,2.89,3.57,1.18,,-4.44
2005-05-09,46240.0,47840.0,2.93,-0.52,14,0.84,3.82,7.17,,,2.93,54.3,2.9,3.51,4.08,,-1.64
2005-05-10,47040.0,47760.0,-0.17,-1.67,8,0.49,1.02,8.35,,,2.75,54.0,2.88,3.43,3.82,,-1.81
2005-05-11,47600.0,46880.0,-1.84,-0.34,21,1.28,-1.51,2.45,,,0.86,50.3,2.81,3.41,1.88,,-3.62
2005-05-12,47200.0,46720.0,-0.34,0.68,15,0.91,-1.18,5.99,,,0.52,49.6,2.68,3.44,1.52,,-3.95
2005-05-13,46960.0,46240.0,-1.03,0.51,11,0.68,-0.52,1.4,,,-0.52,47.6,2.59,3.37,0.47,,-4.93
2005-05-16,46000.0,45840.0,-0.87,-0.52,23,1.36,-4.18,5.91,,,-1.38,45.9,2.32,3.41,-0.36,,-5.76
2005-05-17,45680.0,45840.0,0.0,-0.35,15,0.93,-4.02,3.62,,,-1.38,45.9,2.28,3.32,-0.3,,-5.76
2005-05-18,46000.0,46000.0,0.35,0.35,58,3.13,-1.88,0.88,,,-1.03,46.8,2.18,3.17,0.06,,-5.43
