date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-06-20,23.7,28.49,,,6269566,,,,,,0.0,,,21.06,,,
2019-06-21,27.23,30.25,6.18,-4.42,991998,,,,,,6.18,,,19.45,,,
2019-06-24,30.5,29.36,-2.94,0.83,832186,,,,,,3.05,96.3,,19.39,,,
2019-06-25,29.0,27.8,-5.31,-1.23,404305,,,,,,-2.42,89.9,,19.64,,,
2019-06-26,27.92,27.0,-2.88,0.43,316072,,,,,,-5.23,86.7,,19.17,,,
2019-06-27,27.14,27.93,3.44,0.52,439063,,-1.97,,,,-1.97,87.3,,17.69,,,
2019-06-28,28.05,27.15,-2.79,0.43,247771,,-10.25,,,,-4.7,84.1,,17.33,,,
2019-07-01,27.36,24.8,-8.66,0.77,775326,,-15.53,,,,-12.95,75.1,,18.51,,,
2019-07-02,24.9,23.11,-6.81,0.4,694778,,-16.87,,,,-18.88,69.4,,19.41,,,
2019-07-03,23.14,23.0,-0.48,0.13,246188,,-14.81,,,,-19.27,69.1,,18.43,,,
2019-07-05,22.62,22.3,-3.04,-1.65,693443,,-20.16,,,,-21.73,66.6,,18.16,,,
2019-07-08,22.55,22.95,2.91,1.12,964629,,-15.47,,,,-19.45,67.8,,16.97,,,
2019-07-09,22.95,22.84,-0.48,0.0,273190,,-7.9,,,,-19.83,67.3,,16.08,,,
2019-07-10,22.97,23.77,4.07,0.57,526125,,2.86,,,,-16.57,69.1,,14.92,,,
2019-07-11,24.17,25.01,5.22,1.68,508464,,8.74,,,,-12.21,71.3,,13.65,,,
2019-07-12,24.71,25.34,1.32,-1.2,411690,,13.63,,,,-11.06,71.8,,12.99,,,
2019-07-15,24.32,23.31,-8.01,-4.03,703795,,1.57,,,,-18.18,63.5,,13.89,,,
2019-07-16,23.27,22.57,-3.17,-0.17,446513,,-1.18,,,,-20.78,60.7,,13.86,,,
2019-07-17,22.44,20.31,-10.01,-0.58,823379,,-14.56,,,,-28.71,53.1,,15.2,,,
2019-07-18,20.52,21.4,5.37,1.03,480887,0.56,-14.43,,,,-24.89,56.0,,13.99,,,-29.26
2019-07-19,21.5,22.42,4.77,0.47,510532,0.9,-11.52,,,,-21.31,58.5,,12.83,,,-25.88
2019-07-22,22.58,22.59,0.76,0.71,643668,1.18,-3.09,-20.71,,,-20.71,59.0,4.97,12.4,,,-25.32
2019-07-23,22.3,22.04,-2.43,-1.28,141563,0.28,-2.35,-27.14,,,-22.64,56.9,4.7,12.09,,,-27.14
2019-07-24,21.96,21.37,-3.04,-0.36,88365,0.18,5.22,-27.21,,,-24.99,54.4,4.7,12.02,,,-29.36
2019-07-25,21.28,20.83,-2.53,-0.42,201355,0.41,-2.66,-25.07,,,-26.89,52.4,4.63,11.87,,,-31.14
2019-07-26,20.77,19.33,-7.2,-0.29,328643,0.68,-13.78,-28.41,,,-32.15,47.3,4.79,12.51,,,-36.1
2019-07-29,19.4,17.78,-8.02,0.36,509201,1.02,-21.29,-36.34,,,-37.59,42.6,4.86,13.51,,,-41.22
2019-07-30,17.81,18.25,2.64,0.17,276523,0.58,-17.2,-32.78,,,-35.94,44.4,4.96,12.63,,,-39.67
2019-07-31,18.55,17.91,-1.86,1.64,293188,0.65,-16.19,-27.78,,,-37.14,43.4,4.7,12.46,,,-40.79
2019-08-01,17.86,15.89,-11.28,-0.28,757489,1.58,-23.72,-31.24,,,-44.23,37.7,5.05,14.43,,,-47.47
2019-08-02,15.5,15.79,-0.63,-2.45,285724,0.62,-18.31,-31.35,,,-44.58,37.4,5.04,14.17,,,-47.8
2019-08-05,15.72,14.64,-7.28,-0.44,263055,0.62,-17.66,-34.35,,,-48.61,34.4,5.18,14.94,,,-51.6
2019-08-06,14.8,15.23,4.03,1.09,386900,0.9,-16.55,-33.64,,,-46.54,37.2,5.24,14.0,,,-49.65
2019-08-07,16.0,16.9,10.97,5.06,483558,1.13,-5.64,-26.01,,,-40.68,44.3,5.93,12.72,,,-44.13
2019-08-08,17.03,18.27,8.11,0.77,400944,0.95,14.98,-23.14,,,-35.87,49.4,6.18,11.49,,,-39.6
2019-08-09,18.42,18.43,0.88,0.82,342624,0.82,16.72,-26.31,,,-35.31,50.0,6.03,11.1,,,-39.07
2019-08-12,18.29,19.25,4.45,-0.76,233574,0.59,31.49,-24.03,,,-32.43,52.9,6.13,10.37,,,-36.36
2019-08-13,19.3,19.71,2.39,0.26,419868,1.07,29.42,-15.44,,,-30.82,54.5,5.96,9.72,,,-34.84
2019-08-14,17.33,16.25,-17.55,-12.08,679733,1.76,-3.85,-28.0,,,-42.96,42.7,7.01,12.51,,,-46.28
