date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2013-06-20,15.8,16.49,,,3371419,,,,,,0.0,,,10.73,,,
2013-06-21,16.75,17.5,6.12,1.58,181646,,,,,,6.12,,,9.89,,,
2013-06-24,17.25,17.35,-0.86,-1.43,146261,,,,,,5.22,98.9,,9.88,,,
2013-06-25,17.41,17.54,1.1,0.35,116312,,,,,,6.37,98.9,,9.3,,,
2013-06-26,16.82,16.05,-8.52,-4.1,1056150,,,,,,-2.7,87.6,,10.26,,,
2013-06-27,16.1,13.63,-15.05,0.34,580511,,-17.34,,,,-17.34,73.1,,12.87,,,
2013-06-28,13.48,15.0,10.05,-1.1,166105,,-14.29,,,,-9.04,75.6,,11.67,,,
2013-07-01,14.85,15.0,0.0,-1.0,59048,,-13.54,,,,-9.04,75.6,,11.15,,,
2013-07-02,15.51,16.13,7.53,3.4,90767,,-8.04,,,,-2.18,77.6,,10.68,,,
2013-07-03,16.24,15.16,-6.01,0.68,12956,,-5.52,,,,-8.07,72.2,,11.07,,,
2013-07-05,15.85,15.2,0.26,4.55,12601,,11.52,,,,-7.82,72.3,,10.81,,,
2013-07-08,15.2,15.92,4.74,0.0,72807,,6.13,,,,-3.46,73.8,,9.92,,,
2013-07-09,15.97,15.52,-2.54,0.31,13834,,3.43,,,,-5.91,71.4,,9.76,,,
2013-07-10,15.5,15.8,1.84,-0.1,45303,,-2.05,,,,-4.18,72.1,,9.17,,,
2013-07-11,16.03,16.34,3.42,1.46,87186,,7.78,,,,-0.91,73.4,,8.54,,,
2013-07-12,16.94,16.94,3.67,3.67,82140,,11.45,,,,2.73,74.8,,7.92,,,
2013-07-15,17.37,17.17,1.36,2.54,188750,,7.85,,,,4.12,75.4,,7.87,,,
2013-07-16,18.5,16.57,-3.49,7.75,249747,,6.8,,,,0.49,71.1,,8.43,,,
2013-07-17,16.78,17.82,7.54,1.27,210827,,12.78,,,,8.07,74.4,,7.78,,,
2013-07-18,18.0,18.4,3.25,1.01,149319,0.43,12.61,,,,11.58,75.7,,7.25,,,0.0
2013-07-19,17.78,17.75,-3.53,-3.37,251302,1.33,4.78,,,,7.64,71.1,,7.51,,,-3.53
2013-07-22,17.7,16.98,-4.34,-0.28,172049,0.91,-1.11,2.97,,,2.97,66.0,5.92,7.71,,,-7.72
2013-07-23,17.02,16.77,-1.24,0.24,148788,0.79,1.21,-4.17,,,1.7,64.6,5.77,7.6,,,-8.86
2013-07-24,16.74,16.1,-4.0,-0.18,93703,0.5,-9.65,-7.2,,,-2.37,60.3,5.84,7.73,,,-12.5
2013-07-25,16.11,16.14,0.25,0.06,84283,0.61,-12.28,-7.98,,,-2.12,60.5,5.83,7.48,,,-12.28
2013-07-26,16.18,16.57,2.66,0.25,61367,0.54,-6.65,3.27,,,0.49,62.3,5.54,7.28,,,-9.95
2013-07-29,16.67,16.55,-0.12,0.6,15361,0.15,-2.53,21.42,,,0.36,62.2,4.29,6.99,,,-10.05
2013-07-30,16.77,15.58,-5.86,1.33,239279,2.1,-7.1,3.87,,,-5.52,55.4,4.01,7.5,,,-15.33
2013-07-31,15.49,15.66,0.51,-0.58,87846,0.77,-2.73,4.4,,,-5.03,55.8,4.01,7.67,,,-14.89
2013-08-01,15.64,14.62,-6.64,-0.13,183135,1.5,-9.42,-9.36,,,-11.34,49.2,3.92,8.53,,,-20.54
2013-08-02,14.73,14.06,-3.83,0.75,186805,1.42,-15.15,-7.26,,,-14.74,46.0,3.79,8.66,,,-23.59
2013-08-05,14.06,14.92,6.12,0.0,47002,0.36,-9.85,-1.84,,,-9.52,51.2,4.04,8.14,,,-18.91
2013-08-06,15.0,14.53,-2.61,0.54,194996,1.4,-6.74,-8.73,,,-11.89,48.9,3.92,8.2,,,-21.03
2013-08-07,14.49,14.86,2.27,-0.28,156067,1.08,-5.11,-4.22,,,-9.88,50.9,3.93,8.12,,,-19.24
2013-08-08,15.08,14.95,0.61,1.48,206692,1.37,2.26,-5.38,,,-9.34,51.5,3.91,7.97,,,-18.75
2013-08-09,15.2,15.42,3.14,1.67,18669,0.13,9.67,-5.63,,,-6.49,54.4,3.89,7.66,,,-16.2
2013-08-12,15.35,15.46,0.26,-0.45,52589,0.37,3.62,-8.74,,,-6.25,54.7,3.79,7.49,,,-15.98
2013-08-13,15.58,15.0,-2.98,0.78,103003,0.77,3.23,-12.64,,,-9.04,51.2,3.81,7.65,,,-18.48
2013-08-14,15.18,15.64,4.27,1.2,179336,1.36,5.25,-5.61,,,-5.15,55.4,3.89,7.45,,,-15.0
2013-08-15,15.02,15.55,-0.58,-3.96,17271,0.14,4.01,-12.74,,,-5.7,54.7,3.46,7.25,,,-15.49
2013-08-16,15.58,15.66,0.71,0.19,19874,0.18,1.56,-14.89,,,-5.03,55.5,3.36,6.98,,,-14.89
2013-08-19,15.5,15.86,1.28,-1.02,15665,0.15,2.59,-10.65,,,-3.82,56.9,3.33,6.63,,,-13.8
2013-08-20,15.7,15.63,-1.45,-1.01,43888,0.44,4.2,-7.95,,,-5.22,54.7,3.22,6.51,,,-15.05
2013-08-21,15.56,15.59,-0.26,-0.45,6203,0.06,-0.32,-7.04,,,-5.46,54.3,3.21,6.25,,,-15.27
2013-08-22,15.73,16.15,3.59,0.9,27054,0.29,3.86,0.31,,,-2.06,58.7,3.2,6.12,,,-12.23
2013-08-23,15.94,15.82,-2.04,-1.3,6822,0.08,1.02,-1.98,,,-4.06,55.4,3.23,6.47,,,-14.02
2013-08-26,16.86,16.2,2.4,6.57,23999,0.26,2.14,-2.23,,,-1.76,58.3,3.22,6.49,,,-11.96
2013-08-27,16.36,16.57,2.28,0.99,15503,0.19,6.01,0.12,,,0.49,61.1,3.26,6.2,,,-9.95
2013-08-28,16.54,16.62,0.3,-0.18,43392,0.56,6.61,6.68,,,0.79,61.4,2.97,6.16,,,-9.67
2013-08-29,16.96,17.49,5.23,2.05,25257,0.36,8.3,11.69,,,6.06,67.2,3.15,5.8,9.28,,-4.95
2013-08-30,17.64,17.94,2.57,0.86,91164,1.41,13.4,22.71,,,8.79,69.8,2.71,5.56,11.89,,-2.5
2013-09-03,19.09,18.15,1.17,6.41,84312,1.27,12.04,29.09,,,10.07,70.9,2.47,5.62,13.11,,-1.36
2013-09-04,18.3,18.74,3.25,0.83,237778,3.46,13.1,25.6,,,13.64,73.8,2.26,5.44,16.58,,0.0
2013-09-05,18.95,19.1,1.92,1.12,32614,0.52,14.92,31.45,,,15.83,75.5,2.09,5.2,18.59,,0.0
2013-09-06,19.45,19.07,-0.16,1.83,11630,0.22,9.03,28.33,,,15.65,75.1,2.11,5.13,17.96,,-0.16
2013-09-09,19.11,20.88,9.49,0.21,142610,2.42,16.39,39.67,,,26.62,81.7,2.77,5.33,28.01,,0.0
2013-09-10,21.01,21.86,4.69,0.62,151405,2.37,20.44,41.76,,,32.57,84.2,2.83,5.23,32.9,,0.0
2013-09-11,21.99,20.4,-6.68,0.59,65233,1.05,8.86,31.95,,,23.71,69.2,3.36,6.05,23.22,,-6.68
2013-09-12,20.49,20.42,0.1,0.44,70285,1.24,6.91,36.13,,,23.83,69.3,3.23,5.91,22.7,,-6.59
2013-09-13,21.2,21.34,4.51,3.82,69392,1.17,11.9,36.45,,,29.41,72.8,3.24,5.79,27.29,,-2.38
2013-09-16,21.43,20.78,-2.62,0.42,82553,1.32,-0.48,33.63,,,26.02,67.7,3.33,5.91,23.13,,-4.94
2013-09-17,20.35,19.76,-4.91,-2.07,58878,0.91,-9.61,26.18,,,19.83,59.6,3.61,6.31,16.55,,-9.61
2013-09-18,19.66,19.73,-0.15,-0.51,69890,1.06,-3.28,24.4,,,19.65,59.4,3.62,6.38,15.8,,-9.74
2013-09-19,19.77,19.52,-1.06,0.2,47420,0.7,-4.41,24.89,18.37,,18.37,57.7,3.61,6.4,14.07,,-10.7
2013-09-20,18.77,17.88,-8.4,-3.84,125048,1.72,-16.21,14.69,2.17,,8.43,46.8,4.16,7.31,4.3,,-18.21
2013-09-23,17.9,22.48,25.73,0.11,552492,5.52,8.18,39.2,29.57,,36.33,66.2,6.85,7.46,30.29,,0.0
2013-09-24,22.37,21.39,-4.85,-0.49,212200,1.94,8.25,35.21,21.95,,29.71,60.5,6.96,8.2,23.37,,-4.85
2013-09-25,21.4,21.84,2.1,0.05,126400,1.1,10.69,34.81,36.12,,32.44,62.0,6.96,7.91,25.2,,-2.85
2013-09-26,21.99,21.45,-1.79,0.69,124393,1.04,9.89,29.45,57.37,,30.08,59.9,6.99,8.14,22.46,,-4.58
2013-09-27,21.23,21.37,-0.37,-1.03,168000,1.33,19.52,28.58,42.47,,29.59,59.5,7.0,8.12,21.59,,-4.94
