date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-01-02,220.0,220.0,,,12,,,,,,0.0,,,0.0,,,
2015-01-09,220.0,220.0,0.0,0.0,6,,,,,,0.0,,,0.0,,,
2015-01-12,220.0,220.0,0.0,0.0,12,,,,,,0.0,,,0.0,,,
2015-01-21,220.8,220.8,0.36,0.36,18,,,,,,0.36,,,0.03,,,
2015-01-29,224.0,224.0,1.45,1.45,18,,,,,,1.82,,,0.13,,,
2015-02-11,224.0,228.0,1.79,0.0,112,,3.64,,,,3.64,,,0.24,,,
2015-02-17,228.0,228.0,0.0,0.0,25,,3.64,,,,3.64,,,0.22,,,
2015-02-18,240.0,240.0,5.26,5.26,62,,9.09,,,,9.09,,,0.55,,,
2015-02-19,256.0,256.0,6.67,6.67,1,,15.94,,,,16.36,,,0.93,,,
2015-02-26,260.0,260.0,1.56,1.56,3,,16.07,,,,18.18,,,0.96,,,
2015-03-05,252.8,252.8,-2.77,-2.77,18,,10.88,,,,14.91,81.8,,1.12,,,
2015-03-09,252.16,260.0,2.85,-0.25,41,,14.04,,,,18.18,84.8,,1.23,,,
2015-03-10,256.0,256.0,-1.54,-1.54,1,,6.67,,,,16.36,77.2,,1.27,,,
2015-03-11,240.0,240.0,-6.25,-6.25,12,,-6.25,,,,9.09,55.8,,1.73,,,
2015-03-17,256.0,256.0,6.67,6.67,6,,-1.54,,,,16.36,66.0,,1.95,,,
2015-03-23,256.0,256.0,0.0,0.0,12,,1.27,,,,16.36,66.0,,1.81,,,
2015-03-30,256.0,256.0,0.0,0.0,6,,-1.54,,,,16.36,66.0,,1.68,,,
2015-04-01,256.0,256.0,0.0,0.0,25,,0.0,,,,16.36,66.0,,1.56,,,
2015-04-09,256.0,256.0,0.0,0.0,38,,6.67,,,,16.36,66.0,,1.45,,,
2015-04-10,260.0,276.0,7.81,1.56,109,4.01,7.81,,,,25.45,76.0,,1.85,,,0.0
2015-04-13,276.0,292.0,5.8,0.0,1332,14.28,14.06,,,,32.73,80.8,,2.06,,,0.0
2015-04-14,298.4,280.0,-4.11,2.19,7,0.08,9.38,27.27,,,27.27,69.5,3.62,2.46,,,-4.11
2015-04-15,288.0,300.0,7.14,2.86,30,0.33,17.19,36.36,,,36.36,75.6,3.83,2.61,,,0.0
2015-04-16,304.0,298.8,-0.4,1.33,128,1.29,16.72,35.82,,,35.82,74.7,3.84,2.56,,,-0.4
2015-04-17,300.0,300.0,0.4,0.4,12,0.13,8.7,35.87,,,36.36,75.0,3.84,2.39,,,0.0
2015-04-20,300.0,280.0,-6.67,0.0,26,0.28,-4.11,25.0,,,27.27,60.3,4.24,2.89,,,-6.67
2015-04-21,260.0,272.0,-2.86,-7.14,49,0.51,-2.86,19.3,,,23.64,55.6,4.32,3.79,,,-9.33
2015-04-22,260.8,239.2,-12.06,-4.12,240,2.29,-20.27,4.91,,,8.73,41.3,5.17,6.13,,,-20.27
2015-04-24,239.2,239.2,0.0,0.0,3,0.03,-19.95,-0.33,,,8.73,41.3,5.05,5.69,,,-20.27
2015-04-27,239.2,236.0,-1.34,0.0,90,0.83,-21.33,-7.81,,,7.27,40.1,4.82,7.78,,,-21.33
2015-04-28,224.0,236.8,0.34,-5.08,4,0.04,-15.43,-8.92,,,7.64,40.6,4.81,7.59,,,-21.07
2015-04-29,256.0,256.0,8.11,8.11,1,0.01,-5.88,1.27,,,16.36,50.3,5.11,7.05,,,-14.67
2015-04-30,240.0,240.0,-6.25,-6.25,7,0.07,0.33,-7.69,,,9.09,43.9,5.25,7.46,,,-20.0
2015-05-01,224.0,231.2,-3.67,-6.67,7,0.07,-3.34,-9.69,,,5.09,40.8,5.3,7.68,,,-22.93
2015-05-04,224.0,224.0,-3.11,-3.11,6,0.06,-5.08,-6.67,,,1.82,38.4,5.17,7.59,,,-25.33
2015-05-05,220.0,219.6,-1.96,-1.79,282,2.34,-7.26,-14.22,,,-0.18,37.0,4.93,7.43,,,-26.8
2015-05-06,216.0,224.0,2.0,-1.64,63,0.52,-12.5,-12.5,,,1.82,39.4,4.97,7.02,,,-25.33
2015-05-07,205.6,212.0,-5.36,-8.21,75,0.6,-11.67,-17.19,,,-3.64,35.4,5.07,8.07,,,-29.33
2015-05-12,240.0,224.0,5.66,13.21,202,1.51,-3.11,-12.5,,,1.82,41.8,5.26,11.17,,,-25.33
2015-05-13,240.0,240.8,7.5,7.14,123,0.92,7.5,-5.94,,,9.45,49.3,5.55,11.31,,,-19.73
2015-05-14,233.6,233.6,-2.99,-2.99,95,1.31,6.38,-15.36,,,6.18,46.5,5.27,12.17,,,-22.13
2015-05-15,238.64,239.2,2.4,2.16,6,0.09,6.79,-18.08,,,8.73,48.9,5.11,11.21,,,-20.27
2015-05-18,238.4,240.0,0.33,-0.33,27,0.38,13.21,-14.29,,,9.09,49.2,5.06,10.42,,,-20.0
2015-05-19,260.0,248.0,3.33,8.33,22,0.34,10.71,-17.33,,,12.73,52.7,4.83,9.94,,,-17.33
2015-05-20,250.08,256.0,3.23,0.84,49,0.72,6.31,-14.32,,,16.36,56.0,4.91,9.28,,,-14.67
