date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,338.76,349.2,,,14084,,,,,,0.0,,,5.36,,,
2005-02-28,349.2,342.72,-1.86,0.0,14611,,,,,,-1.86,0.0,,5.45,,,
2005-03-01,346.32,346.68,1.16,1.05,9577,,,,,,-0.72,4.5,,5.18,,,
2005-03-02,344.88,342.72,-1.14,-0.52,10918,,,,,,-1.86,4.3,,5.06,,,
2005-03-03,345.6,340.2,-0.74,0.84,12244,,,,,,-2.58,4.2,,4.93,,,
2005-03-04,344.52,341.28,0.32,1.27,9225,,-2.27,,,,-2.27,5.5,,4.79,,,
2005-03-07,338.76,339.12,-0.63,-0.74,9870,,-1.05,,,,-2.89,5.3,,4.69,,,
2005-03-08,338.4,333.36,-1.7,-0.21,11662,,-3.84,,,,-4.54,4.9,,4.66,,,
2005-03-09,331.2,325.08,-2.48,-0.65,25390,,-5.15,,,,-6.91,4.4,,4.75,,,
2005-03-10,322.56,321.48,-1.11,-0.78,19880,,-5.5,,,,-7.94,4.2,,4.67,,,
2005-03-11,320.4,324.72,1.01,-0.34,12590,,-4.85,,,,-7.01,8.4,,4.48,,,
2005-03-14,326.16,325.08,0.11,0.44,9641,,-4.14,,,,-6.91,8.9,,4.36,,,
2005-03-15,325.08,308.52,-5.09,0.0,16964,,-7.45,,,,-11.65,7.1,,4.71,,,
2005-03-16,307.08,303.12,-1.75,-0.47,14838,,-6.76,,,,-13.2,6.6,,4.72,,,
2005-03-17,302.04,294.48,-2.85,-0.36,16932,,-8.4,,,,-15.67,5.9,,4.84,,,
2005-03-18,293.76,288.72,-1.96,-0.24,35279,,-11.09,,,,-17.32,5.5,,4.96,,,
2005-03-21,290.16,296.28,2.62,0.5,18175,,-8.86,,,,-15.15,14.0,,4.81,,,
2005-03-22,297.36,290.76,-1.86,0.36,20137,,-5.76,,,,-16.74,13.0,,4.85,,,
2005-03-23,293.04,289.08,-0.58,0.78,13296,,-4.63,,,,-17.22,12.8,,4.8,,,
2005-03-24,288.72,289.08,0.0,-0.12,10470,0.68,-1.83,,,,-17.22,12.8,,4.73,,,-17.22
2005-03-28,291.6,288.0,-0.37,0.87,14609,0.95,-0.25,,,,-17.53,12.6,,4.63,,,-17.53
2005-03-29,288.0,274.92,-4.54,0.0,19399,1.25,-7.21,-21.27,,,-21.27,10.5,1.8,4.98,,,-21.27
2005-03-30,277.92,291.24,5.94,1.09,18251,1.14,0.17,-15.02,,,-16.6,27.0,2.36,4.83,,,-16.6
2005-03-31,295.2,293.4,0.74,1.36,10142,0.64,1.49,-15.37,,,-15.98,28.8,2.34,4.67,,,-15.98
2005-04-01,297.0,289.08,-1.47,1.23,14189,0.88,0.0,-15.65,,,-17.22,27.3,2.34,4.74,,,-17.22
2005-04-04,286.92,288.0,-0.37,-0.75,8456,0.53,0.0,-15.34,,,-17.53,26.9,2.35,4.58,,,-17.53
2005-04-05,290.88,284.4,-1.25,1.0,13101,0.81,3.45,-16.67,,,-18.56,25.7,2.33,4.58,,,-18.56
2005-04-06,288.0,289.08,1.65,1.27,19763,1.19,-0.74,-14.76,,,-17.22,30.3,2.4,4.41,,,-17.22
2005-04-07,288.0,293.16,1.41,-0.37,10747,0.68,-0.08,-12.06,,,-16.05,34.2,2.43,4.27,,,-16.05
2005-04-08,295.2,288.36,-1.64,0.7,17818,1.13,-0.25,-11.3,,,-17.42,31.9,2.4,4.39,,,-17.42
2005-04-11,287.28,285.84,-0.87,-0.37,13841,0.88,-0.75,-11.09,,,-18.14,30.8,2.4,4.31,,,-18.14
2005-04-12,287.28,290.88,1.76,0.5,13623,0.85,2.28,-10.42,,,-16.7,35.7,2.43,4.12,,,-16.7
2005-04-13,288.72,284.76,-2.1,-0.74,16538,1.03,-1.49,-12.4,,,-18.45,32.7,2.45,4.09,,,-18.45
2005-04-14,285.48,279.36,-1.9,0.25,11255,0.71,-4.71,-9.45,,,-20.0,30.2,2.25,4.12,,,-20.0
2005-04-15,280.08,270.0,-3.35,0.26,21223,1.33,-6.37,-10.93,,,-22.68,26.5,2.32,4.24,,,-22.68
2005-04-18,270.0,275.76,2.13,0.0,15018,1.0,-3.53,-6.36,,,-21.03,32.0,2.33,4.09,,,-21.03
2005-04-19,277.92,288.36,4.57,0.78,19878,1.32,-0.87,-0.12,,,-17.42,42.3,2.52,4.07,,,-17.42
2005-04-20,291.6,279.0,-3.25,1.12,14912,1.01,-2.02,-5.83,,,-20.1,37.7,2.54,4.31,,,-20.1
2005-04-21,282.24,289.08,3.61,1.16,14842,1.0,3.48,-0.58,,,-17.22,44.6,2.65,4.19,,,-17.22
2005-04-22,288.36,281.52,-2.62,-0.25,10716,0.72,4.27,-2.62,,,-19.38,41.0,2.71,4.33,,,-19.38
2005-04-25,282.96,284.4,1.02,0.51,5569,0.39,3.13,-1.62,,,-18.56,42.9,2.72,4.11,,,-18.56
2005-04-26,282.24,275.04,-3.29,-0.76,13100,0.93,-4.62,-4.5,,,-21.24,38.5,2.81,4.32,,,-21.24
2005-04-27,273.6,281.88,2.49,-0.52,18060,1.28,1.03,2.53,,,-19.28,43.1,2.68,4.28,,,-19.28
2005-04-28,280.08,276.48,-1.92,-0.64,16141,1.12,-4.36,-5.07,,,-20.82,40.5,2.36,4.49,,,-20.82
2005-04-29,294.12,277.2,0.26,6.38,57113,3.44,-1.53,-5.52,,,-20.62,41.0,2.35,4.83,,,-20.62
2005-05-02,277.2,260.16,-6.15,0.0,38688,2.14,-8.52,-10.0,,,-25.5,33.7,2.67,5.6,,,-25.5
2005-05-03,256.32,261.72,0.6,-1.48,20159,1.09,-4.84,-9.12,,,-25.05,34.9,2.68,5.56,,,-25.05
2005-05-04,262.8,263.16,0.55,0.41,16415,0.9,-6.64,-7.47,,,-24.64,36.0,2.69,5.41,,,-24.64
2005-05-05,261.36,267.12,1.5,-0.68,17473,0.94,-3.39,-7.6,,,-23.51,39.0,2.68,5.34,,,-23.51
2005-05-06,268.2,274.32,2.7,0.4,8295,0.46,-1.04,-6.43,,,-21.44,44.2,2.74,5.09,-7.43,,-21.44
2005-05-09,274.68,271.08,-1.18,0.13,21289,1.15,4.2,-5.99,,,-22.37,42.4,2.73,5.07,-8.04,,-22.37
2005-05-10,271.8,268.2,-1.06,0.27,7171,0.39,2.48,-6.17,,,-23.2,40.9,2.73,4.93,-8.56,,-23.2
2005-05-11,270.0,260.64,-2.82,0.67,10568,0.59,-0.96,-10.4,,,-25.36,37.1,2.74,5.08,-10.61,,-25.36
2005-05-12,259.92,261.0,0.14,-0.28,9900,0.56,-2.29,-8.34,,,-25.26,37.4,2.72,4.97,-9.98,,-25.26
2005-05-13,262.8,269.28,3.17,0.69,14677,0.84,-1.84,-3.61,,,-22.89,44.0,2.8,4.9,-6.67,,-22.89
2005-05-16,271.8,277.56,3.07,0.94,14018,0.8,2.39,2.8,,,-20.52,49.7,2.78,4.66,-3.37,,-20.52
2005-05-17,274.32,279.0,0.52,-1.17,10579,0.62,4.03,1.17,,,-20.1,50.7,2.75,4.49,-2.46,,-20.1
2005-05-18,280.8,290.52,4.13,0.65,17122,1.0,11.46,0.75,,,-16.8,57.6,2.72,4.29,1.87,,-16.8
2005-05-19,291.6,291.24,0.25,0.37,26841,1.52,11.59,4.39,,,-16.6,57.9,2.61,4.62,2.37,,-16.6
2005-05-20,293.4,293.4,0.74,0.74,5068,0.29,8.96,1.49,,,-15.98,59.2,2.49,4.41,3.33,,-15.98
2005-05-23,293.4,302.4,3.07,0.0,20206,1.11,8.95,7.42,,,-13.4,63.9,2.49,4.49,6.67,,-13.4
2005-05-24,303.12,303.48,0.36,0.24,6841,0.38,8.77,6.71,,,-13.09,64.4,2.49,4.26,7.21,,-13.09
2005-05-25,300.6,307.44,1.3,-0.95,11939,0.68,5.82,11.78,,,-11.96,66.4,2.35,4.12,8.62,,-11.96
