date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-02-04,134.6,132.0,,,15064,,,,,,0.0,,,3.48,,,
2020-02-05,133.2,131.6,-0.3,0.91,4373,,,,,,-0.3,0.0,,3.46,,,
2020-02-06,130.0,130.9,-0.53,-1.22,5389,,,,,,-0.83,0.0,,3.42,,,
2020-02-07,129.8,130.4,-0.38,-0.84,6883,,,,,,-1.21,0.0,,3.41,,,
2020-02-10,130.0,130.6,0.15,-0.31,7518,,,,,,-1.06,3.5,,3.45,,,
2020-02-11,130.8,128.6,-1.53,0.15,13358,,-2.58,,,,-2.58,2.5,,3.6,,,
2020-02-12,129.0,124.8,-2.95,0.31,12239,,-5.17,,,,-5.45,1.6,,3.83,,,
2020-02-13,123.8,119.8,-4.01,-0.8,7692,,-8.48,,,,-9.24,1.1,,4.05,,,
2020-02-14,119.0,116.8,-2.5,-0.67,6651,,-10.43,,,,-11.52,0.9,,4.2,,,
2020-02-18,116.0,111.4,-4.62,-0.68,11500,,-14.7,,,,-15.61,0.7,,4.45,,,
2020-02-19,111.0,106.4,-4.49,-0.36,13024,,-17.26,,,,-19.39,0.5,,4.71,,,
2020-02-20,105.6,114.4,7.52,-0.75,9850,,-8.33,,,,-13.33,26.4,,4.82,,,
2020-02-21,113.8,111.2,-2.8,-0.52,11203,,-7.18,,,,-15.76,23.7,,4.86,,,
2020-02-24,111.2,105.8,-4.86,0.0,7217,,-9.42,,,,-19.85,20.1,,5.23,,,
2020-02-25,105.4,102.0,-3.59,-0.38,6301,,-8.44,,,,-22.73,18.0,,5.47,,,
2020-02-26,101.2,100.2,-1.76,-0.78,20008,,-5.83,,,,-24.09,17.0,,5.88,,,
2020-02-27,99.8,106.4,6.19,-0.4,12215,,-6.99,,,,-19.39,30.2,,6.01,,,
2020-02-28,104.8,104.2,-2.07,-1.5,8913,,-6.29,,,,-21.06,28.5,,6.28,,,
2020-03-02,102.2,105.0,0.77,-1.92,11456,,-0.76,,,,-20.45,30.0,,6.34,,,
2020-03-03,105.9,106.0,0.95,0.86,5029,0.51,3.92,,,,-19.7,32.1,,6.16,,,-19.7
2020-03-04,110.0,106.2,0.19,3.77,5578,0.6,5.99,,,,-19.55,32.5,,6.24,,,-19.55
2020-03-05,103.4,97.2,-8.47,-2.64,6544,0.69,-8.65,-26.36,,,-26.36,25.0,3.57,7.16,,,-26.36
2020-03-06,97.8,95.6,-1.65,0.62,6904,0.73,-8.25,-27.36,,,-27.58,24.0,3.56,7.67,,,-27.58
2020-03-09,85.4,80.6,-15.69,-10.67,28449,2.69,-23.24,-38.43,,,-38.94,16.8,4.72,10.09,,,-38.94
2020-03-10,82.6,75.0,-6.95,2.48,42916,3.47,-29.25,-42.48,,,-43.18,15.0,4.81,11.46,,,-43.18
