date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,51.8,50.26,,,6730,,,,,,0.0,,,9.19,,,
2005-02-28,50.26,51.38,2.23,0.0,8042,,,,,,2.23,,,8.78,,,
2005-03-01,52.22,50.96,-0.82,1.63,6707,,,,,,1.39,97.2,,8.63,,,
2005-03-02,50.26,56.42,10.71,-1.37,37669,,,,,,12.26,98.0,,8.32,,,
2005-03-03,56.14,57.12,1.24,-0.5,11871,,,,,,13.65,98.1,,7.79,,,
2005-03-04,55.58,57.12,0.0,-2.7,28103,,13.65,,,,13.65,98.1,,7.67,,,
2005-03-07,58.38,58.38,2.21,2.21,10910,,13.62,,,,16.16,98.2,,7.14,,,
2005-03-08,58.52,58.66,0.48,0.24,8265,,15.11,,,,16.71,98.2,,6.82,,,
2005-03-09,58.1,55.58,-5.25,-0.95,11013,,-1.49,,,,10.58,81.7,,7.31,,,
2005-03-10,55.3,53.9,-3.02,-0.5,5140,,-5.64,,,,7.24,74.4,,7.32,,,
2005-03-11,52.78,52.22,-3.12,-2.08,8466,,-8.58,,,,3.9,67.8,,7.47,,,
2005-03-14,52.22,53.34,2.14,0.0,3925,,-8.63,,,,6.13,69.7,,7.19,,,
2005-03-15,54.74,51.1,-4.2,2.62,4526,,-12.89,,,,1.67,61.8,,7.48,,,
2005-03-16,50.68,51.1,0.0,-0.82,3611,,-8.06,,,,1.67,61.8,,7.08,,,
2005-03-17,50.54,47.04,-7.95,-1.1,12057,,-12.73,,,,-6.41,49.9,,7.93,,,
2005-03-18,47.6,48.44,2.98,1.19,6998,,-7.24,,,,-3.62,53.2,,7.73,,,
2005-03-21,48.86,45.92,-5.2,0.87,829,,-13.91,,,,-8.64,47.1,,8.02,,,
2005-03-22,45.64,45.92,0.0,-0.61,3734,,-10.14,,,,-8.64,47.1,,7.8,,,
2005-03-23,44.1,47.18,2.74,-3.96,2570,,-7.67,,,,-6.13,50.4,,7.58,,,
2005-03-24,46.62,46.2,-2.08,-1.19,6774,0.72,-1.79,,,,-8.08,47.9,,7.58,,,-21.24
2005-03-28,44.8,45.92,-0.61,-3.03,2586,0.28,-5.2,,,,-8.64,47.2,,7.36,,,-21.72
2005-03-29,47.18,45.5,-0.91,2.74,3680,0.41,-0.91,-9.47,,,-9.47,46.1,3.9,7.56,,,-22.43
2005-03-30,45.64,45.5,0.0,0.31,3765,0.43,-0.91,-11.44,,,-9.47,46.1,3.86,7.39,,,-22.43
2005-03-31,44.94,47.88,5.23,-1.23,1028,0.15,1.48,-6.04,,,-4.74,53.3,4.05,7.02,,,-18.38
2005-04-01,49.0,49.14,2.63,2.34,2372,0.36,6.36,-12.9,,,-2.23,56.7,3.27,6.56,,,-16.23
2005-04-04,49.28,48.16,-1.99,0.28,2172,0.42,4.88,-15.69,,,-4.18,53.5,3.26,6.61,,,-17.9
2005-04-05,47.74,46.2,-4.07,-0.87,7371,1.46,1.54,-19.12,,,-8.08,47.7,3.33,6.79,,,-21.24
2005-04-06,46.9,45.22,-2.12,1.52,2849,0.6,-0.62,-22.54,,,-10.03,45.1,3.26,6.9,,,-22.91
2005-04-07,45.36,47.18,4.33,0.31,16444,3.26,-1.46,-19.57,,,-6.13,50.9,3.46,6.61,,,-19.57
2005-04-08,47.74,46.06,-2.37,1.19,4050,0.81,-6.27,-17.13,,,-8.36,47.8,3.33,6.63,,,-21.48
2005-04-11,45.08,45.78,-0.61,-2.13,504,0.11,-4.94,-15.06,,,-8.91,47.0,3.3,6.35,,,-21.96
2005-04-12,46.2,48.3,5.5,0.92,2236,0.5,4.55,-7.51,,,-3.9,54.2,3.51,6.02,,,-17.66
2005-04-13,49.0,45.08,-6.67,1.45,1971,0.45,-0.31,-15.49,,,-10.31,45.7,3.72,6.61,,,-23.15
2005-04-14,46.2,46.48,3.11,2.48,2389,0.55,-1.48,-9.04,,,-7.52,49.4,3.73,6.52,,,-20.76
2005-04-15,45.08,44.1,-5.12,-3.01,5988,1.49,-4.26,-13.7,,,-12.26,43.9,3.86,7.22,,,-24.82
2005-04-18,44.66,45.5,3.17,1.27,4532,1.16,-0.61,-3.27,,,-9.47,47.6,3.56,6.76,,,-22.43
