date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2014-02-05,17.0,14.61,,,4689665,,,,,,0.0,,,21.49,,,
2014-02-06,14.77,13.41,-8.21,1.1,515346,,,,,,-8.21,0.0,,22.65,,,
2014-02-07,13.16,14.79,10.29,-1.86,194327,,,,,,1.23,8.1,,19.99,,,
2014-02-10,14.98,15.57,5.27,1.28,314762,,,,,,6.57,12.5,,18.04,,,
2014-02-11,15.74,15.86,1.86,1.09,286643,,,,,,8.56,14.1,,16.64,,,
2014-02-12,15.96,16.02,1.01,0.63,208589,,9.65,,,,9.65,15.0,,15.58,,,
2014-02-13,16.02,16.14,0.75,0.0,20620,,20.36,,,,10.47,15.8,,14.52,,,
2014-02-14,16.1,15.95,-1.18,-0.25,71849,,7.84,,,,9.17,15.5,,13.86,,,
2014-02-18,15.8,16.37,2.63,-0.94,44305,,5.14,,,,12.05,18.4,,12.89,,,
2014-02-19,16.4,16.25,-0.73,0.18,21192,,2.46,,,,11.23,18.2,,12.22,,,
2014-02-20,16.38,16.5,1.54,0.8,11147,,3.0,,,,12.94,20.0,,11.28,,,
2014-02-21,16.5,17.09,3.58,0.0,67414,,5.89,,,,16.97,24.3,,10.36,,,
2014-02-24,17.02,18.02,5.41,-0.41,131567,,12.95,,,,23.31,30.7,,9.66,,,
2014-02-25,18.39,17.89,-0.72,2.08,53864,,9.25,,,,22.42,30.3,,9.33,,,
2014-02-26,18.06,18.05,0.92,0.98,139076,,11.08,,,,23.55,31.5,,9.06,,,
2014-02-27,18.03,18.0,-0.28,-0.11,110239,,9.09,,,,23.2,31.3,,8.7,,,
2014-02-28,17.9,16.5,-8.33,-0.56,81769,,-3.45,,,,12.94,26.6,,9.58,,,
2014-03-03,16.62,15.88,-3.76,0.73,109686,,-11.85,,,,8.69,24.9,,9.97,,,
2014-03-04,16.13,15.69,-1.2,1.57,48472,,-12.27,,,,7.39,24.4,,9.73,,,
2014-03-05,15.81,15.38,-1.98,0.76,75179,0.21,-14.79,,,,5.27,23.6,,9.65,,,-14.79
2014-03-06,15.64,15.14,-1.56,1.69,39692,0.31,-15.89,,,,3.63,22.9,,9.49,,,-16.12
2014-03-07,15.36,15.72,3.83,1.45,50054,0.48,-4.73,7.6,,,7.6,28.1,4.26,8.9,,,-12.91
2014-03-10,15.77,15.24,-3.05,0.32,136057,1.35,-4.03,13.65,,,4.31,26.5,3.87,8.89,,,-15.57
2014-03-11,15.36,15.2,-0.26,0.79,101383,1.12,-3.12,2.77,,,4.04,26.4,3.18,8.66,,,-15.79
2014-03-12,15.04,14.91,-1.91,-1.05,138382,1.67,-3.06,-4.24,,,2.05,25.4,2.99,8.61,,,-17.4
2014-03-13,15.2,15.39,3.22,1.95,63969,0.84,1.65,-2.96,,,5.34,30.1,3.05,8.14,,,-14.74
2014-03-14,15.02,14.83,-3.64,-2.4,98241,1.23,-5.66,-7.43,,,1.51,27.9,3.13,8.18,,,-17.84
2014-03-17,14.76,15.07,1.62,-0.47,127650,1.55,-1.12,-6.63,,,3.15,30.3,3.15,7.81,,,-16.51
2014-03-18,14.7,15.76,4.58,-2.46,107952,1.26,3.68,-1.19,,,7.87,36.8,3.31,7.47,,,-12.69
2014-03-19,15.69,15.99,1.46,-0.44,153064,1.66,7.24,-2.32,,,9.45,38.8,3.28,7.14,,,-11.41
2014-03-20,15.92,16.79,5.03,-0.44,115062,1.18,9.12,3.35,,,14.95,45.4,3.45,6.82,,,-6.96
2014-03-21,16.91,16.88,0.51,0.69,99223,1.0,13.82,2.3,,,15.54,46.1,3.44,6.77,,,-6.48
2014-03-24,16.85,16.18,-4.15,-0.18,126812,1.28,7.37,-5.32,,,10.75,41.6,3.47,6.94,,,-10.36
2014-03-25,16.44,16.27,0.56,1.61,208150,1.95,3.24,-9.69,,,11.36,42.4,3.23,6.62,,,-9.86
2014-03-26,16.44,15.93,-2.09,1.04,91500,0.88,-0.38,-10.93,,,9.03,40.2,3.25,6.54,,,-11.75
2014-03-27,15.93,15.61,-2.01,0.0,19656,0.2,-7.05,-13.52,,,6.84,38.2,3.25,6.64,,,-13.52
2014-03-28,15.72,15.6,-0.06,0.7,40769,0.42,-7.58,-13.33,,,6.78,38.1,3.25,6.78,,,-13.57
2014-03-31,15.59,15.58,-0.13,-0.06,54944,0.58,-3.71,-5.58,,,6.64,38.0,2.73,6.5,,,-13.68
