date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,17.82,17.7,,,1277236,,,,,,0.0,,,2.6,,,
2005-02-28,17.5,17.57,-0.73,-1.13,1344918,,,,,,-0.73,0.0,,2.66,,,
2005-03-01,17.64,17.16,-2.33,0.4,2499706,,,,,,-3.05,0.0,,2.85,,,
2005-03-02,15.07,15.45,-9.97,-12.18,7434368,,,,,,-12.71,0.0,,4.05,,,
2005-03-03,15.68,15.19,-1.68,1.49,2240255,,,,,,-14.18,0.0,,4.12,,,
2005-03-04,15.34,15.16,-0.2,0.99,1368575,,-14.35,,,,-14.35,0.0,,4.0,,,
2005-03-07,15.09,15.18,0.13,-0.46,1874219,,-13.6,,,,-14.24,0.6,,3.86,,,
2005-03-08,15.12,14.72,-3.03,-0.4,1908562,,-14.22,,,,-16.84,0.5,,3.99,,,
2005-03-09,14.68,14.55,-1.15,-0.27,1803125,,-5.83,,,,-17.8,0.5,,3.95,,,
2005-03-10,14.54,14.3,-1.72,-0.07,1742543,,-5.86,,,,-19.21,0.5,,3.99,,,
2005-03-11,14.33,14.0,-2.1,0.21,1572760,,-7.65,,,,-20.9,0.4,,4.01,,,
2005-03-14,14.11,14.01,0.07,0.79,1132690,,-7.71,,,,-20.85,0.7,,3.83,,,
2005-03-15,14.17,13.75,-1.86,1.14,1617065,,-6.59,,,,-22.32,0.7,,3.95,,,
2005-03-16,13.57,13.51,-1.75,-1.31,1385553,,-7.15,,,,-23.67,0.6,,3.95,,,
2005-03-17,13.4,13.57,0.44,-0.81,954610,,-5.1,,,,-23.33,2.6,,3.85,,,
2005-03-18,13.63,13.12,-3.32,0.44,1551155,,-6.29,,,,-25.88,2.2,,4.07,,,
2005-03-21,15.0,17.03,29.8,14.33,18064171,,21.56,,,,-3.79,57.1,,5.37,,,
2005-03-22,16.95,15.65,-8.1,-0.47,6110093,,13.82,,,,-11.58,47.0,,6.13,,,
2005-03-23,15.53,15.85,1.28,-0.77,2631082,,17.32,,,,-10.45,48.5,,6.04,,,
2005-03-24,16.0,15.61,-1.51,0.95,1502114,0.5,15.03,,,,-11.81,46.8,,6.0,,,-11.81
