date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,13.27,13.54,3.11,1.02,531327,1.16,1.78,-2.33,-5.19,-19.01,0.0,54.4,2.07,3.47,2.51,-7.63,-21.93
2000-01-04,13.56,13.05,-3.64,0.11,539887,1.17,-3.53,-7.38,-8.9,-21.35,-3.64,46.0,2.17,3.81,-1.19,-11.02,-24.77
2000-01-05,13.43,13.12,0.53,2.88,315964,0.71,-1.53,-6.81,-7.09,-21.63,-3.14,47.2,2.18,3.79,-0.59,-10.58,-24.38
2000-01-06,12.89,12.86,-1.95,-1.72,507200,1.17,-2.72,-6.32,-12.61,-23.08,-5.03,43.3,2.15,3.82,-2.46,-12.36,-25.85
2000-01-07,13.17,13.25,3.03,2.36,365240,0.87,0.9,-2.15,-9.42,-23.6,-2.15,50.1,2.26,3.75,0.49,-9.75,-23.6
2000-01-10,13.41,13.25,0.0,1.18,391536,0.96,-2.15,2.0,-10.15,-21.92,-2.15,50.1,2.06,3.69,0.46,-9.8,-23.6
2000-01-11,13.05,12.99,-1.96,-1.53,386433,0.95,-0.44,0.53,-10.88,-21.58,-4.07,45.8,2.11,3.73,-1.53,-11.62,-25.1
2000-01-12,12.95,13.1,0.81,-0.35,359749,0.93,-0.16,4.06,-6.79,-20.86,-3.29,47.8,2.02,3.62,-0.72,-10.95,-24.49
2000-01-13,12.92,13.43,2.5,-1.33,634989,1.62,4.37,7.72,-3.28,-16.23,-0.87,53.3,2.06,3.66,1.69,-8.8,-22.61
2000-01-14,13.36,13.22,-1.51,-0.51,415793,1.06,-0.23,2.55,-8.0,-15.81,-2.37,49.8,1.98,3.69,0.06,-10.23,-23.78
2000-01-18,13.72,13.92,5.25,3.74,1015164,2.54,5.01,6.52,0.06,-13.0,2.76,59.7,2.26,3.62,5.06,-5.59,-19.77
2000-01-19,14.26,14.25,2.39,2.49,1843948,4.01,9.68,5.34,4.3,-9.55,5.22,63.4,2.19,3.73,7.32,-3.41,-17.85
2000-01-20,14.41,13.44,-5.68,1.11,750650,1.56,2.62,1.78,1.42,-15.98,-0.76,51.1,2.49,4.26,1.1,-8.94,-22.52
2000-01-21,13.98,13.61,1.26,3.97,763162,1.51,1.38,3.25,1.03,-15.68,0.49,53.1,2.5,4.19,2.26,-7.83,-21.54
2000-01-24,13.48,12.86,-5.5,-0.96,843458,1.57,-2.72,-1.95,-3.17,-20.51,-5.03,44.3,2.79,4.56,-3.39,-12.91,-25.85
2000-01-25,13.17,13.17,2.36,2.36,1318999,2.24,-5.4,-1.3,-3.5,-17.32,-2.79,48.1,2.81,4.51,-1.18,-10.88,-24.1
2000-01-26,13.27,13.24,0.53,0.78,823801,1.33,-7.12,-0.53,-0.71,-18.45,-2.27,48.9,2.82,4.32,-0.72,-10.43,-23.7
2000-01-27,13.24,13.37,1.02,0.0,724996,1.13,-0.52,-1.16,1.31,-18.96,-1.27,50.6,2.8,4.19,0.18,-9.56,-22.92
2000-01-28,13.44,13.31,-0.49,0.52,898610,1.33,-2.24,-0.13,2.02,-16.9,-1.75,49.8,2.78,4.12,-0.43,-10.02,-23.3
2000-01-31,13.31,13.56,1.9,0.0,729333,1.03,5.41,2.54,5.3,-15.16,0.11,53.1,2.8,4.06,1.36,-8.33,-21.84
2000-02-01,13.56,13.56,0.0,0.0,432133,0.61,2.98,3.23,2.6,-15.33,0.11,53.1,2.8,4.0,1.41,-8.34,-21.84
2000-02-02,13.53,13.31,-1.86,-0.23,495071,0.71,0.53,-1.75,2.55,-15.81,-1.75,49.3,2.75,4.01,-0.41,-10.02,-23.3
2000-02-03,13.44,13.31,0.0,1.01,690523,0.96,-0.49,1.96,5.71,-16.26,-1.75,49.3,2.62,3.86,-0.35,-9.99,-23.3
2000-02-04,13.36,13.08,-1.68,0.38,944442,1.27,-1.68,-0.28,6.58,-18.44,-3.41,45.9,2.65,3.87,-1.97,-11.47,-24.59
2000-02-07,13.08,12.7,-2.9,0.0,521370,0.7,-6.31,-1.24,-0.13,-20.51,-6.21,40.8,2.69,3.97,-4.69,-14.0,-26.77
2000-02-08,12.89,12.62,-0.65,1.5,639966,0.84,-6.92,-4.77,0.26,-20.4,-6.82,39.8,2.6,3.98,-5.15,-14.52,-27.25
2000-02-09,12.61,12.09,-4.23,-0.13,758950,0.97,-9.17,-8.8,-5.97,-23.28,-10.76,33.8,2.75,4.24,-8.94,-18.09,-30.33
2000-02-10,12.24,12.47,3.16,1.29,741839,0.93,-6.29,-4.03,-1.73,-21.28,-7.94,40.7,2.83,4.04,-5.9,-15.46,-28.12
2000-02-11,12.47,12.24,-1.82,0.0,496220,0.63,-6.43,-6.54,-3.39,-21.54,-9.61,38.2,2.84,4.06,-7.4,-16.96,-29.43
2000-02-14,12.14,12.07,-1.41,-0.84,344810,0.44,-4.99,-10.1,-5.65,-25.81,-10.88,36.3,2.78,4.02,-8.46,-18.08,-30.43
2000-02-15,12.04,12.64,4.74,-0.26,561074,0.73,0.17,-4.39,0.17,-23.17,-6.66,45.7,2.99,3.97,-3.91,-14.15,-27.12
2000-02-16,12.57,12.85,1.61,-0.54,442473,0.64,6.29,-7.7,2.91,-22.15,-5.15,48.6,2.75,3.82,-2.17,-12.72,-25.95
2000-02-17,12.71,12.99,1.08,-1.05,472730,0.69,4.14,-8.88,0.29,-21.5,-4.12,50.6,2.7,3.73,-1.0,-11.74,-25.15
2000-02-18,13.35,13.4,3.2,2.8,771969,1.13,9.47,-0.3,-3.51,-19.56,-1.06,55.9,2.52,3.63,2.19,-8.86,-22.75
2000-02-22,13.3,14.11,5.27,-0.76,871547,1.27,16.88,3.64,2.84,-15.47,4.15,63.2,2.76,3.63,7.39,-4.03,-18.68
2000-02-23,14.04,13.59,-3.67,-0.51,1262445,1.85,7.49,5.65,-0.82,-19.67,0.33,55.9,2.6,3.8,3.35,-7.48,-21.67
2000-02-24,13.52,13.14,-3.28,-0.51,737629,1.09,2.31,-0.18,-2.74,-22.22,-2.96,50.5,2.66,4.03,-0.13,-10.42,-24.24
2000-02-25,13.28,12.8,-2.61,1.01,784990,1.15,-1.43,-3.3,-5.49,-25.32,-5.49,46.7,2.72,4.22,-2.79,-12.64,-26.22
2000-02-28,12.8,12.42,-2.99,0.0,515112,0.78,-7.35,-7.14,-9.72,-25.93,-8.32,42.9,2.78,4.4,-5.63,-15.14,-28.43
2000-02-29,12.35,12.48,0.54,-0.58,597711,0.91,-11.51,-6.18,-8.89,-25.53,-7.83,43.8,2.78,4.43,-5.04,-14.56,-28.04
2000-03-01,12.48,12.42,-0.54,0.0,851502,1.26,-8.63,-8.42,-8.77,-23.9,-8.32,43.1,2.74,4.32,-5.39,-14.88,-28.43
2000-03-02,12.38,12.59,1.38,-0.28,1952458,2.61,-4.22,-7.16,-8.23,-21.95,-7.06,45.5,2.77,4.29,-3.99,-13.58,-27.44
