date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-10-24,28.74,28.3,,,1263,,,,,,0.0,,,1.53,,,
2018-10-26,27.68,27.68,-2.2,-2.2,315,,,,,,-2.2,0.0,,1.62,,,
2018-10-29,27.35,27.35,-1.17,-1.17,199,,,,,,-3.35,0.0,,1.6,,,
2018-10-31,27.73,27.73,1.39,1.39,215,,,,,,-2.01,4.6,,1.57,,,
2018-11-01,27.99,28.11,1.36,0.91,282,,,,,,-0.68,9.1,,1.53,,,
2018-11-02,28.35,28.35,0.85,0.85,197,,0.17,,,,0.17,12.0,,1.47,,,
2018-11-05,28.2,28.35,0.0,-0.54,233,,2.43,,,,0.17,12.0,,1.4,,,
2018-11-07,29.84,28.54,0.66,5.27,1962,,4.33,,,,0.83,14.4,,1.67,,,
2018-11-12,28.4,27.97,-2.0,-0.49,310,,0.84,,,,-1.18,13.2,,1.73,,,
2018-11-13,28.02,28.02,0.2,0.2,101,,-0.31,,,,-0.98,14.0,,1.61,,,
2018-11-14,27.85,27.83,-0.69,-0.62,830,,-1.83,,,,-1.66,13.5,,1.56,,,
2018-11-15,27.84,28.0,0.59,0.04,535,,-1.25,,,,-1.08,15.9,,1.48,,,
2018-11-16,28.11,28.11,0.42,0.42,101,,-1.49,,,,-0.67,17.7,,1.4,,,
2018-11-19,27.48,27.48,-2.23,-2.23,310,,-1.73,,,,-2.89,15.8,,1.49,,,
2018-11-20,26.9,26.95,-1.93,-2.11,473,,-3.82,,,,-4.76,14.4,,1.57,,,
2018-11-23,27.1,27.12,0.61,0.54,361,,-2.56,,,,-4.18,16.8,,1.49,,,
2018-11-26,27.92,27.92,2.95,2.95,101,,-0.27,,,,-1.36,27.8,,1.55,,,
2018-11-27,27.29,26.9,-3.66,-2.24,4421,,-4.32,,,,-4.97,23.5,,1.76,,,
2018-11-29,27.38,27.52,2.33,1.79,650,,0.14,,,,-2.75,30.6,,1.76,,,
2018-12-04,27.2,27.19,-1.22,-1.19,205,0.31,0.86,,,,-3.94,29.0,,1.74,,,-4.74
2018-12-06,26.47,26.12,-3.9,-2.62,2203,3.14,-3.67,,,,-7.69,24.8,,2.0,,,-8.46
2018-12-07,26.14,26.08,-0.16,0.05,433,0.61,-6.57,-7.84,,,-7.84,24.6,1.83,1.88,,,-8.6
2018-12-10,26.26,26.41,1.25,0.68,203,0.29,-1.81,-4.59,,,-6.69,28.3,1.81,1.81,,,-7.46
2018-12-11,26.26,26.26,-0.56,-0.56,6,0.01,-4.58,-3.99,,,-7.21,27.7,1.8,1.73,,,-7.98
2018-12-12,26.86,26.67,1.56,2.27,255,0.37,-1.9,-3.84,,,-5.77,32.4,1.8,1.74,,,-6.55
2018-12-13,26.44,26.44,-0.88,-0.88,74,0.11,1.19,-5.96,,,-6.59,31.1,1.77,1.69,,,-7.37
2018-12-14,26.14,26.14,-1.12,-1.12,1,0.0,0.21,-7.8,,,-7.64,29.6,1.76,1.67,,,-8.41
2018-12-17,25.96,25.61,-2.03,-0.7,208,0.35,-3.03,-9.68,,,-9.52,27.0,1.8,1.78,,,-10.27
2018-12-18,25.78,25.78,0.67,0.67,14,0.02,-1.83,-9.67,,,-8.91,29.1,1.8,1.69,,,-9.67
