date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,29.28,29.79,,,647718,,,,,,0.0,,,2.08,,,
2005-02-28,29.74,30.21,1.41,-0.15,841022,,,,,,1.41,,,2.02,,,
2005-03-01,30.16,30.59,1.28,-0.15,735386,,,,,,2.71,,,1.96,,,
2005-03-02,30.42,30.56,-0.12,-0.58,667598,,,,,,2.58,99.3,,1.94,,,
2005-03-03,30.51,31.01,1.47,-0.15,677866,,,,,,4.09,99.4,,1.92,,,
2005-03-04,31.01,31.18,0.55,0.0,719775,,4.66,,,,4.66,99.4,,1.9,,,
2005-03-07,31.12,31.35,0.56,-0.18,439435,,3.78,,,,5.25,99.4,,1.85,,,
2005-03-08,31.38,31.05,-0.95,0.09,713147,,1.49,,,,4.24,93.5,,1.85,,,
2005-03-09,31.02,30.98,-0.24,-0.09,378923,,1.37,,,,3.99,92.0,,1.83,,,
2005-03-10,30.98,31.15,0.55,0.0,467875,,0.46,,,,4.56,92.3,,1.76,,,
2005-03-11,31.15,31.02,-0.42,0.0,298515,,-0.51,,,,4.12,89.5,,1.71,,,
2005-03-14,31.05,31.46,1.44,0.12,372508,,0.36,,,,5.63,90.6,,1.68,,,
2005-03-15,31.45,31.44,-0.06,-0.03,477712,,1.26,,,,5.56,90.2,,1.64,,,
2005-03-16,31.39,31.26,-0.6,-0.18,552131,,0.9,,,,4.93,86.0,,1.61,,,
2005-03-17,31.26,31.45,0.63,0.0,391107,,0.98,,,,5.59,86.7,,1.57,,,
2005-03-18,31.45,31.58,0.42,0.0,542077,,1.84,,,,6.03,87.2,,1.5,,,
2005-03-21,31.58,31.48,-0.33,0.0,341713,,0.06,,,,5.69,84.7,,1.46,,,
2005-03-22,31.47,31.49,0.03,-0.03,1124997,,0.15,,,,5.72,84.8,,1.45,,,
2005-03-23,31.38,31.42,-0.24,-0.36,471086,,0.51,,,,5.47,82.8,,1.41,,,
2005-03-24,31.44,31.18,-0.74,0.09,316691,0.57,-0.86,,,,4.69,76.9,,1.4,,,-1.27
2005-03-28,31.28,31.01,-0.57,0.3,346201,0.64,-1.83,,,,4.09,72.6,,1.39,,,-1.83
2005-03-29,30.98,30.51,-1.6,-0.1,344063,0.66,-3.08,2.43,,,2.43,62.3,0.84,1.46,,,-3.4
2005-03-30,30.51,30.9,1.28,0.0,320112,0.64,-1.87,2.29,,,3.74,66.4,0.83,1.45,,,-2.17
2005-03-31,30.9,30.63,-0.87,0.0,378064,0.78,-2.5,0.12,,,2.83,61.4,0.81,1.44,,,-3.02
2005-04-01,30.91,30.14,-1.59,0.91,818998,1.67,-3.33,-1.35,,,1.19,53.6,0.89,1.58,,,-4.56
2005-04-04,30.19,30.16,0.06,0.15,441998,0.93,-2.72,-2.72,,,1.26,53.9,0.81,1.53,,,-4.51
2005-04-05,30.21,30.45,0.97,0.16,305147,0.65,-0.18,-2.31,,,2.24,57.6,0.84,1.57,,,-3.58
2005-04-06,30.49,30.38,-0.25,0.12,466164,1.02,-1.69,-3.1,,,1.98,56.3,0.82,1.52,,,-3.82
