date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,25.71,26.42,,,55837,,,,,,0.0,,,3.01,,,
2005-02-28,26.33,26.57,0.55,-0.33,194109,,,,,,0.55,,,2.95,,,
2005-03-01,26.7,27.13,2.13,0.5,240548,,,,,,2.7,,,2.84,,,
2005-03-02,27.21,27.2,0.27,0.3,81848,,,,,,2.97,,,2.75,,,
2005-03-03,27.09,27.13,-0.27,-0.42,109014,,,,,,2.7,96.8,,2.68,,,
2005-03-04,27.22,27.27,0.52,0.33,63036,,3.23,,,,3.23,97.0,,2.59,,,
2005-03-07,27.3,27.3,0.11,0.11,85212,,2.78,,,,3.34,97.0,,2.53,,,
2005-03-08,27.26,27.0,-1.09,-0.15,133156,,-0.47,,,,2.21,84.2,,2.49,,,
2005-03-09,26.96,26.23,-2.88,-0.16,274676,,-3.59,,,,-0.73,61.4,,2.64,,,
2005-03-10,26.23,25.25,-3.72,0.0,283850,,-6.93,,,,-4.42,44.9,,2.85,,,
2005-03-11,25.37,25.54,1.15,0.45,168106,,-6.35,,,,-3.32,49.3,,2.83,,,
2005-03-14,25.5,25.53,-0.04,-0.18,96592,,-6.48,,,,-3.36,49.2,,2.71,,,
2005-03-15,25.53,25.64,0.43,0.0,198407,,-5.04,,,,-2.94,50.9,,2.57,,,
2005-03-16,25.67,25.62,-0.1,0.1,154868,,-2.33,,,,-3.04,50.5,,2.51,,,
2005-03-17,25.5,25.58,-0.14,-0.47,200957,,1.31,,,,-3.17,49.8,,2.44,,,
2005-03-18,25.75,25.8,0.85,0.67,174141,,1.01,,,,-2.35,53.6,,2.36,,,
2005-03-21,25.71,25.99,0.72,-0.34,126656,,1.78,,,,-1.64,56.6,,2.3,,,
2005-03-22,25.97,26.11,0.47,-0.07,133042,,1.82,,,,-1.17,58.5,,2.21,,,
2005-03-23,26.02,25.65,-1.75,-0.36,110985,,0.14,,,,-2.91,49.8,,2.23,,,
2005-03-24,25.58,25.46,-0.74,-0.27,60486,0.41,-0.47,,,,-3.62,46.6,,2.21,,,-6.74
2005-03-28,25.43,25.59,0.51,-0.14,102279,0.68,-0.81,,,,-3.14,49.0,,2.14,,,-6.27
2005-03-29,25.49,25.34,-0.99,-0.41,144074,0.98,-2.49,-4.09,,,-4.09,44.8,1.34,2.14,,,-7.19
2005-03-30,25.45,25.01,-1.28,0.45,188075,1.3,-4.2,-5.84,,,-5.32,40.1,1.35,2.26,,,-8.39
2005-03-31,24.98,24.8,-0.86,-0.14,122247,0.83,-3.33,-8.6,,,-6.14,37.3,1.23,2.26,,,-9.18
2005-04-01,24.93,24.55,-1.01,0.55,112381,0.77,-3.59,-9.76,,,-7.08,34.3,1.23,2.32,,,-10.09
2005-04-04,24.52,24.4,-0.58,-0.12,190395,1.24,-4.64,-10.05,,,-7.63,32.7,1.23,2.33,,,-10.61
2005-04-05,24.4,24.38,-0.1,0.0,174834,1.11,-3.78,-10.6,,,-7.72,32.4,1.21,2.32,,,-10.71
2005-04-06,24.5,24.09,-1.17,0.5,252388,1.54,-3.67,-11.75,,,-8.8,29.3,1.21,2.37,,,-11.75
2005-04-07,24.16,24.55,1.88,0.28,74764,0.49,-1.01,-9.1,,,-7.08,39.4,1.31,2.33,,,-10.09
2005-04-08,24.54,24.25,-1.23,-0.04,104835,0.73,-1.23,-7.55,,,-8.22,35.7,1.21,2.29,,,-11.19
2005-04-11,24.34,23.77,-1.95,0.37,121786,0.86,-2.59,-5.85,,,-10.02,30.9,1.0,2.39,,,-12.93
2005-04-12,23.78,23.94,0.71,0.04,156846,1.08,-1.79,-6.26,,,-9.38,34.3,0.98,2.38,,,-12.31
2005-04-13,23.99,23.61,-1.38,0.18,127473,0.9,-2.01,-7.53,,,-10.63,31.1,1.0,2.45,,,-13.52
2005-04-14,23.69,23.21,-1.68,0.32,126778,0.9,-5.43,-9.47,,,-12.13,27.7,1.02,2.52,,,-14.97
2005-04-15,23.3,22.72,-2.11,0.37,116909,0.86,-6.28,-11.29,,,-13.99,24.2,1.08,2.67,,,-16.77
2005-04-18,23.54,22.88,0.67,3.6,81612,0.62,-3.77,-10.57,,,-13.41,27.3,1.11,2.78,,,-16.21
2005-04-19,22.87,22.99,0.5,-0.04,95197,0.73,-3.98,-10.89,,,-12.98,29.6,1.09,2.67,,,-15.79
2005-04-20,23.0,22.52,-2.03,0.03,115633,0.9,-4.61,-13.33,,,-14.75,25.9,1.1,2.73,,,-17.51
2005-04-21,22.7,23.31,3.49,0.78,161835,1.23,0.41,-10.73,,,-11.77,39.4,1.41,2.73,,,-14.63
2005-04-22,23.31,23.17,-0.59,0.0,240898,1.71,1.96,-9.67,,,-12.3,38.1,1.38,2.73,,,-15.14
2005-04-25,23.12,23.69,2.22,-0.2,166828,1.16,3.53,-6.98,,,-10.35,45.4,1.5,2.69,,,-13.25
2005-04-26,23.69,23.17,-2.18,0.0,177622,1.22,0.78,-9.46,,,-12.3,40.3,1.54,2.77,,,-15.14
2005-04-27,23.09,22.92,-1.07,-0.37,147438,1.03,1.78,-9.53,,,-13.24,38.1,1.54,2.75,,,-16.04
2005-04-28,23.34,23.12,0.88,1.84,218952,1.48,-0.79,-7.55,,,-12.47,40.9,1.55,2.76,,,-15.3
2005-04-29,23.12,22.79,-1.46,0.0,158699,1.05,-1.66,-8.11,,,-13.75,37.8,1.57,2.81,,,-16.54
2005-05-02,22.79,22.92,0.6,0.0,236949,1.55,-3.22,-6.62,,,-13.24,39.8,1.58,2.78,,,-16.04
2005-05-03,23.0,22.75,-0.76,0.33,177047,1.16,-1.82,-6.78,,,-13.89,38.1,1.58,2.73,,,-16.68
2005-05-04,22.83,23.38,2.76,0.34,129561,0.88,1.98,-4.11,,,-11.51,46.9,1.72,2.66,,,-14.38
2005-05-05,23.38,23.38,0.03,0.03,142211,0.95,1.12,-2.95,,,-11.49,46.9,1.7,2.6,,,-14.36
2005-05-06,23.38,23.3,-0.36,0.0,73604,0.5,2.25,-5.08,,,-11.81,45.9,1.64,2.59,-5.67,,-14.66
2005-05-09,23.38,23.26,-0.17,0.36,96126,0.65,1.47,-4.07,,,-11.96,45.4,1.62,2.58,-5.59,,-14.81
2005-05-10,23.32,23.11,-0.65,0.25,123642,0.85,1.57,-2.8,,,-12.54,43.5,1.57,2.51,-5.94,,-15.36
2005-05-11,23.11,22.74,-1.59,0.0,143959,0.98,-2.72,-5.02,,,-13.92,39.2,1.59,2.57,-7.1,,-16.71
2005-05-12,22.65,22.23,-2.23,-0.38,97632,0.67,-4.92,-5.84,,,-15.85,34.1,1.63,2.62,-8.81,,-18.57
2005-05-13,22.23,22.05,-0.82,0.0,230794,1.53,-5.37,-5.02,,,-16.54,32.4,1.61,2.59,-9.18,,-19.24
2005-05-16,21.97,22.22,0.79,-0.38,404822,2.42,-4.45,-2.2,,,-15.88,35.6,1.56,2.5,-8.08,,-18.6
2005-05-17,22.14,21.97,-1.16,-0.39,155915,0.92,-4.94,-3.98,,,-16.86,33.1,1.57,2.5,-8.74,,-19.55
2005-05-18,22.01,22.12,0.71,0.2,268057,1.51,-2.72,-3.78,,,-16.27,36.0,1.57,2.38,-7.72,,-18.98
