date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-08-05,13.06,10.77,,,14096900,,,,,,0.0,,,27.02,,,
2015-08-06,11.0,8.77,-18.57,2.14,3570060,,,,,,-18.57,0.0,,33.23,,,
2015-08-07,9.19,10.14,15.62,4.79,1624200,,,,,,-5.85,5.0,,27.69,,,
2015-08-10,10.73,10.12,-0.2,5.82,435900,,,,,,-6.04,5.0,,26.28,,,
2015-08-11,10.0,9.79,-3.26,-1.19,349732,,,,,,-9.1,4.9,,25.68,,,
2015-08-12,9.68,10.35,5.72,-1.12,498800,,-3.9,,,,-3.9,7.3,,23.07,,,
2015-08-13,10.07,10.12,-2.22,-2.71,397500,,15.39,,,,-6.04,7.2,,22.12,,,
2015-08-14,10.01,10.04,-0.79,-1.09,410600,,-0.99,,,,-6.78,7.2,,21.02,,,
2015-08-17,10.04,10.13,0.9,0.0,345900,,0.1,,,,-5.94,7.6,,19.56,,,
2015-08-18,10.0,10.24,1.09,-1.28,277600,,4.6,,,,-4.92,8.2,,18.2,,,
2015-08-19,10.3,10.73,4.79,0.59,573900,,3.67,,,,-0.37,10.9,,16.7,,,
2015-08-20,10.55,10.52,-1.96,-1.68,322200,,3.95,,,,-2.32,10.8,,16.32,,,
2015-08-21,10.2,9.9,-5.89,-3.04,394900,,-1.39,,,,-8.08,10.3,,16.65,,,
2015-08-24,9.19,9.16,-7.47,-7.17,1052358,,-9.58,,,,-14.95,9.8,,17.8,,,
2015-08-25,9.66,9.9,8.08,5.46,834000,,-3.32,,,,-8.08,14.4,,16.05,,,
2015-08-26,10.03,10.78,8.89,1.31,791000,,0.47,,,,0.09,19.6,,14.28,,,
2015-08-27,10.91,11.0,2.04,1.21,569400,,4.56,,,,2.14,21.0,,13.23,,,
2015-08-28,11.18,11.62,5.64,1.64,450500,,17.37,,,,7.89,24.7,,12.18,,,
2015-08-31,11.86,11.88,2.24,2.07,617200,,29.69,,,,10.31,26.2,,11.57,,,
2015-09-01,11.49,11.86,-0.17,-3.28,745700,0.53,19.8,,,,10.12,26.2,,11.21,,,-0.17
2015-09-02,12.0,11.59,-2.28,1.18,510100,0.69,7.51,,,,7.61,25.6,,11.67,,,-2.44
2015-09-03,11.48,11.64,0.43,-0.95,219700,0.38,5.82,8.08,,,8.08,25.9,6.86,11.28,,,-2.02
2015-09-04,11.56,11.56,-0.69,-0.69,171500,0.34,-0.52,31.81,,,7.34,25.7,5.29,10.93,,,-2.69
2015-09-08,12.0,11.55,-0.09,3.81,708900,1.38,-2.78,13.91,,,7.24,25.7,4.18,10.83,,,-2.78
2015-09-09,11.75,11.39,-1.39,1.73,334700,0.65,-3.96,12.55,,,5.76,25.2,4.2,10.67,,,-4.12
2015-09-10,11.44,11.69,2.63,0.44,369136,0.73,0.86,19.41,,,8.54,27.9,4.12,9.94,,,-1.6
2015-09-11,11.5,11.5,-1.63,-1.63,427300,0.84,-1.2,11.11,,,6.78,27.2,4.0,9.66,,,-3.2
2015-09-14,11.41,11.25,-2.17,-0.78,405600,0.8,-2.68,11.17,,,4.46,26.3,4.0,9.53,,,-5.3
2015-09-15,11.18,11.49,2.13,-0.62,346600,0.68,-0.52,14.44,,,6.69,28.8,4.0,8.97,,,-3.28
2015-09-16,11.4,11.31,-1.57,-0.78,323000,0.64,-0.7,11.65,,,5.01,28.0,4.03,8.78,,,-4.8
2015-09-17,11.24,11.4,0.8,-0.62,314300,0.63,-2.48,11.33,,,5.85,29.0,4.03,8.34,,,-4.04
2015-09-18,11.3,11.58,1.58,-0.88,1343300,2.46,0.7,7.92,,,7.52,31.1,3.92,8.11,,,-2.53
2015-09-21,11.69,11.74,1.38,0.95,299500,0.55,4.36,11.6,,,9.01,33.0,3.89,7.77,,,-1.18
2015-09-22,11.6,11.39,-2.98,-1.19,431900,0.85,-0.87,15.05,,,5.76,31.0,3.69,7.85,,,-4.12
2015-09-23,11.75,11.01,-3.34,3.16,286900,0.59,-2.65,20.2,,,2.23,29.0,3.33,8.04,,,-7.32
2015-09-24,10.88,10.81,-1.82,-1.18,268558,0.59,-5.18,9.19,,,0.37,27.9,2.94,7.79,,,-9.01
2015-09-25,10.88,11.13,2.96,0.65,351600,0.79,-3.89,3.25,,,3.34,32.1,2.31,7.36,,,-6.31
2015-09-28,11.04,10.06,-9.61,-0.81,590291,1.3,-14.31,-8.55,,,-6.59,26.6,3.1,8.51,,,-15.32
2015-09-29,10.14,9.81,-2.49,0.8,1040800,2.19,-13.87,-15.58,,,-8.91,25.4,2.81,8.76,,,-17.42
2015-09-30,9.9,10.37,5.71,0.92,3454400,5.66,-5.81,-12.71,,,-3.71,32.3,3.08,8.4,,,-12.71
2015-10-01,10.38,10.3,-0.68,0.1,491800,0.81,-4.72,-13.15,,,-4.36,31.9,3.08,8.62,,,-13.3
2015-10-02,10.13,10.51,2.04,-1.65,288200,0.47,-5.57,-9.32,,,-2.41,34.4,3.11,8.35,,,-11.53
2015-10-05,10.71,10.66,1.43,1.9,290295,0.47,5.96,-8.42,,,-1.02,36.3,3.13,7.95,,,-10.27
2015-10-06,10.65,11.05,3.66,-0.09,338800,0.56,12.64,-4.41,,,2.6,41.0,3.25,7.51,,,-6.99
2015-10-07,11.08,11.19,1.27,0.27,448400,0.74,7.91,-3.12,,,3.9,42.6,3.26,7.46,,,-5.81
2015-10-08,11.29,11.39,1.79,0.89,137800,0.23,10.58,0.0,,,5.76,44.9,3.27,7.06,,,-4.12
2015-10-09,11.42,11.26,-1.14,0.26,184000,0.32,7.14,-3.68,,,4.55,43.7,3.23,6.87,,,-5.22
2015-10-12,11.31,10.78,-4.26,0.44,144290,0.25,1.13,-6.26,,,0.09,39.4,3.34,7.04,,,-9.26
2015-10-13,10.67,10.69,-0.83,-1.02,156600,0.28,-3.26,-4.98,,,-0.74,38.6,3.31,6.82,,,-10.02
2015-10-14,10.65,10.74,0.47,-0.37,196200,0.35,-4.02,-6.53,,,-0.28,39.3,3.27,6.59,-0.68,,-9.6
2015-10-15,10.85,10.6,-1.3,1.02,266200,0.48,-6.94,-6.28,,,-1.58,38.0,3.27,6.63,-1.94,,-10.77
2015-10-16,10.68,10.34,-2.45,0.75,158400,0.32,-8.17,-9.3,,,-3.99,35.6,3.29,6.58,-4.62,,-12.96
2015-10-19,10.28,9.81,-5.13,-0.58,338700,0.69,-9.0,-15.28,,,-8.91,31.2,3.41,6.94,-9.46,,-17.42
2015-10-20,9.81,9.5,-3.16,0.0,185045,0.38,-11.13,-19.08,,,-11.79,29.0,3.42,6.93,-12.22,,-20.03
2015-10-21,9.5,8.94,-5.89,0.0,597200,1.2,-16.76,-21.51,,,-16.99,25.5,3.56,7.68,-17.26,,-24.75
2015-10-22,9.03,8.9,-0.45,1.01,605300,1.18,-16.04,-19.16,,,-17.36,25.2,3.53,7.47,-17.41,,-25.08
