date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-01-27,9.15,5.93,,,509567,,,,,,0.0,,,59.02,,,
2022-01-28,6.15,5.64,-4.89,3.76,215217,,,,,,-4.89,0.0,,58.69,,,
2022-01-31,5.68,6.51,15.43,0.71,165475,,,,,,9.78,18.8,,48.35,,,
2022-02-01,7.06,5.72,-12.14,8.45,346006,,,,,,-3.54,15.8,,53.0,,,
2022-02-02,6.0,5.71,-0.17,4.9,257545,,,,,,-3.71,15.8,,49.8,,,
2022-02-03,5.62,5.71,0.0,-1.58,193478,,-3.71,,,,-3.71,15.8,,46.58,,,
2022-02-04,5.63,5.88,2.98,-1.4,82284,,4.26,,,,-0.84,19.2,,42.37,,,
2022-02-07,6.07,5.77,-1.87,3.23,78098,,-11.37,,,,-2.7,18.7,,40.51,,,
2022-02-08,5.91,5.75,-0.35,2.43,65227,,0.52,,,,-3.04,18.6,,38.24,,,
2022-02-09,5.7,5.71,-0.7,-0.87,73662,,0.0,,,,-3.71,18.3,,36.02,,,
2022-02-10,5.73,5.57,-2.45,0.35,92487,,-2.45,,,,-6.07,17.6,,34.67,,,
2022-02-11,5.45,5.04,-9.52,-2.15,78011,,-14.29,,,,-15.01,15.1,,36.97,,,
2022-02-14,5.12,5.02,-0.4,1.59,87700,,-13.0,,,,-15.35,15.0,,35.19,,,
2022-02-15,5.23,5.67,12.95,4.18,150805,,-1.39,,,,-4.38,29.2,,29.85,,,
2022-02-16,5.72,7.23,27.51,0.88,439496,,26.62,,,,21.92,50.6,,23.42,,,
2022-02-17,7.22,6.69,-7.47,-0.14,262717,,20.11,,,,12.82,45.5,,24.62,,,
2022-02-18,6.47,6.4,-4.33,-3.29,165654,,26.98,,,,7.93,43.0,,24.67,,,
2022-02-22,6.45,5.65,-11.72,0.78,315763,,12.55,,,,-4.72,37.2,,27.06,,,
2022-02-23,5.6,5.35,-5.31,-0.88,145681,,-5.64,,,,-9.78,35.2,,27.38,,,
2022-02-24,5.1,5.69,6.36,-4.67,88470,0.46,-21.3,,,,-4.05,39.2,,24.72,,,-21.3
2022-02-25,5.8,6.22,9.31,1.93,74076,0.44,-7.03,,,,4.89,45.0,,21.61,,,-13.97
2022-02-28,6.07,6.06,-2.57,-2.41,70871,0.44,-5.31,2.19,,,2.19,43.6,9.52,21.14,,,-16.18
2022-03-01,6.06,6.24,2.97,0.0,67577,0.43,10.44,10.64,,,5.23,45.6,9.45,19.59,,,-13.69
2022-03-02,6.36,6.15,-1.44,1.92,37347,0.26,14.95,-5.53,,,3.71,44.8,8.85,18.79,,,-14.94
2022-03-03,6.17,6.12,-0.49,0.33,63288,0.48,7.56,6.99,,,3.2,44.5,8.4,17.84,,,-15.35
2022-03-04,6.57,6.41,4.74,7.35,57575,0.46,3.05,12.26,,,8.09,48.0,8.44,16.44,,,-11.34
2022-03-07,6.6,6.69,4.37,2.96,81514,0.65,10.4,17.16,,,12.82,51.3,8.48,15.48,,,-7.47
2022-03-08,6.62,7.0,4.63,-1.05,64683,0.52,12.18,19.05,,,18.04,54.6,8.5,14.59,,,-3.18
2022-03-09,7.44,7.67,9.57,6.29,89151,0.71,24.72,32.93,,,29.34,60.9,8.66,13.13,,,0.0
2022-03-10,7.94,8.1,5.61,3.52,54461,0.44,32.35,40.87,,,36.59,64.4,8.69,12.21,,,0.0
2022-03-11,8.2,8.26,1.98,1.23,107031,0.86,28.86,44.66,,,39.29,65.6,8.67,11.91,,,0.0
2022-03-14,8.5,8.54,3.39,2.91,69513,0.56,27.65,53.32,,,44.01,67.6,8.61,11.21,,,0.0
2022-03-15,9.0,9.39,9.95,5.39,108305,0.86,34.14,86.31,,,58.35,72.9,8.31,10.41,,,0.0
2022-03-16,9.55,8.85,-5.75,1.7,169217,1.34,15.38,76.29,,,49.24,65.6,8.5,11.15,,,-5.75
2022-03-17,8.75,8.37,-5.42,-1.13,64498,0.6,3.33,47.62,,,41.15,59.8,8.38,11.46,,,-10.86
2022-03-18,8.29,7.84,-6.33,-0.96,111977,1.12,-5.08,8.44,,,32.21,54.1,6.25,12.31,,,-16.51
2022-03-21,7.93,8.0,2.04,1.15,31119,0.33,-6.32,19.58,,,34.91,55.5,5.98,11.51,,,-14.8
2022-03-22,8.1,8.0,0.0,1.25,33386,0.42,-14.8,25.0,,,34.91,55.5,5.86,10.92,,,-14.8
2022-03-23,7.85,7.94,-0.75,-1.88,41347,0.56,-10.28,40.53,,,33.9,54.8,5.08,10.51,,,-15.44
2022-03-24,8.04,7.98,0.5,1.26,39744,0.55,-4.66,49.16,,,34.57,55.2,4.83,9.89,,,-15.02
2022-03-25,8.0,8.04,0.75,0.25,74836,1.04,2.55,41.3,,,35.58,55.9,4.73,9.51,,,-14.38
2022-03-28,8.1,8.0,-0.5,0.75,51597,0.73,0.0,28.62,,,34.91,55.3,4.42,9.45,,,-14.8
2022-03-29,7.84,8.74,9.25,-2.0,68006,0.96,9.25,44.22,,,47.39,62.9,4.65,8.76,,,-6.92
2022-03-30,8.88,8.43,-3.55,1.6,111208,1.49,6.17,35.1,,,42.16,58.4,4.79,9.17,,,-10.22
2022-03-31,8.38,8.26,-2.02,-0.59,52758,0.71,3.51,34.31,,,39.29,56.0,4.81,8.89,,,-12.03
2022-04-01,8.69,8.81,6.66,5.21,50648,0.69,9.58,43.95,,,48.57,61.5,4.91,8.22,,,-6.18
2022-04-04,8.8,9.25,4.99,-0.11,16181,0.23,15.62,44.31,,,55.99,65.2,4.92,7.75,,,-1.49
2022-04-05,10.0,9.48,2.49,8.11,68813,0.97,8.47,41.7,,,59.87,67.0,4.89,7.59,,,0.0
2022-04-06,9.75,9.88,4.22,2.85,130600,1.79,17.2,41.14,,,66.61,69.9,4.88,7.4,,,0.0
2022-04-07,9.52,9.16,-7.29,-3.64,135935,1.77,10.9,19.43,,,54.47,59.7,4.92,8.34,29.19,,-7.29
2022-04-08,9.17,8.72,-4.8,0.11,71523,0.95,-1.02,7.65,,,47.05,54.5,4.95,8.67,22.02,,-11.74
2022-04-11,8.54,8.59,-1.49,-2.06,113798,1.47,-7.14,4.0,,,44.86,53.0,4.95,9.18,19.22,,-13.06
2022-04-12,8.4,8.49,-1.16,-2.21,61360,0.82,-10.44,-0.59,,,43.17,51.9,4.91,9.33,17.19,,-14.07
2022-04-13,8.52,8.26,-2.71,0.35,41536,0.61,-16.4,-12.03,,,39.29,49.2,4.39,9.55,13.22,,-16.4
2022-04-14,8.19,8.5,2.91,-0.85,25178,0.38,-7.21,-3.95,,,43.34,52.0,4.28,8.88,15.62,,-13.97
2022-04-18,8.5,8.59,1.06,0.0,28538,0.46,-1.49,2.63,,,44.86,53.0,4.11,8.86,15.94,,-13.06
2022-04-19,8.59,8.77,2.1,0.0,25799,0.42,2.1,11.86,,,47.89,55.1,3.84,8.4,17.45,,-11.23
2022-04-20,9.17,9.13,4.1,4.56,21140,0.34,7.54,14.13,,,53.96,59.0,3.9,7.96,21.18,,-7.59
2022-04-21,9.4,9.19,0.66,2.96,32950,0.54,11.26,14.87,,,54.97,59.7,3.9,7.81,20.88,,-6.98
2022-04-22,9.18,9.09,-1.09,-0.11,20794,0.35,6.94,14.48,,,53.29,58.0,3.91,7.62,18.51,,-8.0
2022-04-25,8.79,8.9,-2.09,-3.3,16633,0.29,3.61,11.53,,,50.08,55.0,3.95,7.48,15.03,,-9.92
2022-04-26,8.84,8.9,0.0,-0.67,27541,0.49,1.48,10.7,,,50.08,55.0,3.96,7.19,13.9,,-9.92
2022-04-27,9.4,8.9,0.0,5.62,27830,0.52,-2.52,11.25,,,50.08,55.0,3.95,7.5,12.78,,-9.92
2022-04-28,9.19,9.2,3.37,3.26,61299,1.19,0.11,5.26,55.14,,55.14,59.2,3.49,7.32,15.54,,-6.88
